date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,968.5,968.65,963.75,965.6,3003,966.5,966.5,965.75,965.95,68,970.85,954.3
2025-01-02,973.4,973.7,967.1,967.65,2875,986,986.25,985.45,986.25,811,988.0,962.6
2025-01-03,988,988.4,981.5,986.2,2076,987.05,987.05,984.1,985.2,4645,994.95,981.5
2025-01-06,985.6,986.4,983.05,986.4,1081,951,951,950.1,950.6,1301,986.4,949.35
2025-01-07,956.95,959.75,952.05,959.75,5370,956.4,956.4,955.55,956,64,964.6,947.2
2025-01-08,955,963.5,947.35,953.3,6003,943.5,943.55,942.75,942.75,1827,963.5,929.4
2025-01-09,943.65,947.95,943.5,944.6,2677,933.3,933.75,933.2,933.7,164,947.95,922.1
2025-01-10,932.45,940.2,932.45,937.05,4148,918.7,919.4,918.35,919.4,7009,940.2,910.6
2025-01-13,892,903.95,890.15,903.75,6635,879.05,879.05,876.5,876.5,2530,911.6,876.5
2025-01-14,881.8,888.35,861.2,887.15,2349,883.95,884.2,883.35,883.35,342,895.55,861.2
2025-01-15,891.35,894.15,887,894.15,1904,878.1,878.1,877.25,877.45,258,894.15,874.05
2025-01-16,885.7,890,883.65,888.65,2465,887.9,888,886.95,888,1053,905.85,882.65
2025-01-17,891.55,894.55,887.9,891.05,3823,884.2,884.65,884.2,884.65,480,894.55,868.7
2025-01-20,885,891.15,884.7,884.7,2603,884.15,884.55,883.95,884.35,231,891.15,867.8
2025-01-21,884,890,884,888.75,4085,870.75,871,869.95,871,1251,895.0,868.8
2025-01-22,883.6,883.6,861.5,875.15,2630,867.5,867.65,866.55,867.3,4946,883.6,853.6
2025-01-23,868.9,872.2,868.8,872.2,1144,909.25,909.25,907.05,908.4,9854,920.0,868.8
2025-01-24,910.85,914.95,908.7,909.75,9374,889.4,889.65,888.9,889.35,3007,918.45,884.8
2025-01-27,888,888,875.5,881.05,9963,880.3,880.3,879.85,880.3,448,888.0,874.1
2025-01-28,895,899.95,892.3,892.4,3989,907.75,907.75,906.5,906.5,1303,918.4,877.0
2025-01-29,907.1,908.7,903.1,908.7,435,927.2,927.2,926.4,926.65,851,932.85,902.1
2025-01-30,930.7,936,926.55,926.55,6037,928.55,928.6,927.5,927.5,1469,936.0,911.15
2025-01-31,927.2,934,925.4,925.4,3869,914.2,914.2,912.6,913.75,1335,934.0,910.75
2025-02-01,920,922.1,920,921.25,418,890.4,890.5,889.75,889.75,1284,923.6,875.15
2025-02-03,896,896,891,892.8,891,879,879.4,879,879.4,285,906.0,870.9
2025-02-04,886.8,886.8,881,885.05,1493,904,907.65,903.75,907.65,5178,907.65,879.15
2025-02-05,907.8,914.7,907.8,911.35,2385,899.65,900.55,899.65,899.8,12019,914.75,893.0
2025-02-06,906.6,906.6,895,895.5,6444,891.25,891.25,889.85,891,1113,906.6,873.5
2025-02-07,864,880,856,878.05,94163,894.65,894.8,894,894.2,9558,906.05,856.0
2025-02-10,891,900.95,891,899.95,3978,893.05,893.7,892.6,893.2,878,900.95,879.0
2025-02-11,890.95,894.85,889.95,894.05,4948,876.75,877.25,876.35,877,1383,896.0,869.55
2025-02-12,876.5,876.85,871.05,874.6,1399,867.6,867.6,866.5,867.3,948,876.85,856.05
2025-02-13,867.95,873.7,867.25,870.75,2413,860.8,860.8,860.2,860.2,793,879.7,854.2
2025-02-14,866.05,866.05,861.25,864.2,2036,845.95,845.95,844.9,845.4,68,866.05,827.95
2025-02-17,844.65,844.65,831.85,832,4309,859.5,860.2,859,859.35,6627,863.55,829.55
2025-02-18,860.7,860.75,850.95,859,12647,851.4,852.2,851.1,852.2,2144,860.75,838.05
2025-02-19,844.3,854.95,844.3,849.85,2695,860.75,861.2,860.75,861.15,294,873.85,844.3
2025-02-20,855,856.8,850,854.8,3352,860.15,860.15,860,860.05,177,869.9,850.0
2025-02-21,859.25,872.3,855,862.3,17837,852.45,852.65,850.8,852.15,312,872.3,845.0
2025-02-24,841.9,848.55,835,847.25,2602,849.4,849.4,848.05,848.2,1182,852.7,835.0
2025-02-25,847.95,854.3,847.95,853.25,4364,851.5,851.7,851.15,851.7,352,862.7,847.2
2025-02-27,847.2,847.2,842.2,842.2,2476,842.55,843.65,842.55,842.95,145,853.6,835.25
2025-02-28,834.7,834.7,832,832,25,830,830.1,830,830,5373,840.45,811.85
2025-03-03,834,840.1,829.6,840.1,5383,841.3,841.6,841.1,841.6,1601,844.55,817.35
2025-03-04,831,833.6,829.2,831.8,573,846.2,846.4,846.2,846.4,789,852.65,827.3
2025-03-05,846.05,851.9,844.05,847.3,5167,860.3,860.35,859.9,859.95,4000,862.75,843.0
2025-03-06,867.7,867.8,861.8,866.45,8875,875.35,875.95,875.35,875.85,5752,890.0,860.65
2025-03-07,876.3,878.5,872.2,874.25,649,870.55,871.15,870.15,870.5,425,888.35,870.15
2025-03-10,874.95,878.4,870.8,878.4,4467,861.55,861.6,860.7,861.35,342,880.65,859.6
2025-03-11,855.5,859.3,855.5,859.3,207,855.7,855.8,855.3,855.8,1639,867.0,851.05
2025-03-12,858.35,860.95,855.05,856.6,2911,815.95,817.95,815.95,817.95,7135,860.95,788.2
2025-03-13,809,818.3,806.3,818.3,17310,801.65,803.75,801.05,802.95,4210,818.3,795.0
2025-03-17,802,805.2,802,803.5,109,830.05,831,830,830.5,2754,835.85,800.6
2025-03-18,835,838.6,832.75,832.8,4863,838.3,838.45,837.55,837.95,1346,848.2,825.55
2025-03-19,844.9,845.4,841.8,844.1,1557,855.85,856.35,855,855,4230,867.65,840.8
2025-03-20,862.5,862.5,855.95,859.8,674,847.75,848.55,847.35,848.4,1298,862.5,847.0
2025-03-21,848.95,850.05,841.85,844.65,5497,855.35,857.5,854.6,857.5,21225,866.2,841.2
2025-03-24,856.35,863.65,856.35,863.65,1535,861.8,861.8,861.3,861.7,886,869.9,851.65
