date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,504.95,505.7,500.15,505.7,2967,498.95,498.95,496,497.8,4369,508.75,496.0
2025-01-02,499.8,501.2,498.55,499.35,844,504,504.2,503.8,504,283,509.5,498.0
2025-01-03,503.9,508,503.9,505.15,1007,494.1,494.3,493.5,494.05,1409,509.5,493.25
2025-01-06,492.5,496.75,492.5,495,924,495.25,496,495.25,495.65,723,502.65,492.3
2025-01-07,492.5,499.45,492.5,499.4,970,489.65,489.7,489.3,489.4,325,499.45,485.1
2025-01-08,491.2,493.5,491.2,493.5,242,493.85,493.9,493.1,493.55,459,497.1,488.35
2025-01-09,492,493.1,492,492.65,189,501,501.45,500.4,500.9,766,508.8,492.0
2025-01-10,503.75,503.75,498.8,499.15,1018,493.65,494.4,493.55,493.65,2042,503.75,479.0
2025-01-13,488,490,487.2,490,692,485.65,485.65,484.3,485.6,3011,493.0,481.0
2025-01-14,485,486.85,485,486.85,35,481.95,482.2,481.15,482.2,397,489.95,468.25
2025-01-15,480,484.05,480,484.05,693,483.45,483.45,481.55,482.9,710,488.6,480.0
2025-01-16,483.2,487.75,483.2,486.6,245,489.3,489.55,489.3,489.55,72,494.45,483.2
2025-01-17,488.9,490.2,488.6,488.6,219,494.55,494.65,494.55,494.6,85,495.0,485.25
2025-01-20,493.05,495.05,490,490.5,2402,494.55,494.55,493.8,493.8,68,495.75,489.35
2025-01-21,495.6,495.95,493.5,493.5,51,492,492,491.4,492,873,499.0,488.0
2025-01-22,490.25,490.25,489.8,489.8,44,485.15,485.15,484.3,484.3,110,490.25,476.75
2025-01-23,484,486.45,483.35,484,549,478.15,478.15,477.2,478,634,489.5,476.1
2025-01-24,480.5,480.5,477.5,477.5,334,474.9,475.25,473.25,474.5,1893,483.45,473.25
2025-01-27,474.15,474.15,470.3,471,503,462.1,463,462,462.65,343,474.15,453.0
2025-01-28,467.8,467.8,462.75,462.75,79,466.2,466.25,465.05,465.35,150,472.8,451.45
2025-01-29,464.95,468.45,464.95,467.35,658,470.45,471.15,470.4,471.15,82,484.5,464.1
2025-01-30,471.9,471.9,470.35,470.35,1,467.35,467.7,466.75,467.45,607,476.55,465.95
2025-01-31,468.05,472.2,466.25,466.8,1667,473.5,474.45,472.45,474.15,804,476.15,464.8
2025-02-01,473.3,475.2,473.25,475.2,184,471.3,471.3,470.3,471,312,475.95,465.1
2025-02-03,470.95,470.95,467.45,468,249,471.35,471.4,470,470,122,476.65,459.5
2025-02-04,475.7,476.05,475.1,475.45,94,470.4,472.55,470.4,471.65,1441,479.7,469.35
2025-02-05,475,475,471.55,471.55,107,480.25,480.25,479,479.7,288,486.95,468.2
2025-02-06,481,482.35,480,480,559,485.65,486.45,485.65,486.1,98,488.95,479.15
2025-02-07,483,483.55,482.55,482.55,204,483.35,483.35,482.55,483.25,8,485.2,479.65
2025-02-10,480.05,482.65,479.5,481.15,638,468.5,468.55,468.5,468.55,196,482.65,466.45
2025-02-11,468,471,465.8,465.8,334,450.8,450.85,450.2,450.65,170,471.0,445.85
2025-02-12,458,458,452.05,452.2,3607,437.9,439.25,437.05,439.2,1125,461.55,434.9
2025-02-13,439.05,442.2,438.8,441.85,983,428.45,428.7,428.45,428.7,295,445.15,425.0
2025-02-14,428.6,431.2,428.6,429.35,1400,418.6,418.85,417.4,418.85,643,431.2,414.95
2025-02-17,418.05,418.05,411.1,415.75,2718,399.75,399.75,399.15,399.7,344,426.35,395.3
2025-02-18,401.6,402.5,399.1,399.1,1044,381.2,382,380.85,382,170952,403.6,376.45
2025-02-19,383,385.75,383,385.75,6297,397.55,397.95,397.2,397.85,566,407.65,383.0
2025-02-20,394.05,398.85,393,398.85,1660,397.6,397.8,397.3,397.75,220,406.5,392.65
2025-02-21,399.8,402.7,399.8,402.05,155,407.05,408.25,406.4,408.25,1003,418.1,398.4
2025-02-24,409.8,409.95,407,409.95,3172,391.85,393.05,391.05,392.05,1951,411.45,385.2
2025-02-25,391,397.95,391,396.5,496,389,389,387.5,388.35,15673,397.95,385.0
2025-02-27,390.95,394.1,388.05,388.05,1632,389.85,389.85,389.25,389.45,139,396.45,378.05
