date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,482.7,484.8,480.35,481.3,3646,482.35,482.6,482.3,482.3,566,481.8,482.85,481.8,482.65,1201,505.2,480.35,505.2,480.35
2025-01-02,483.7,486.55,483.65,486,8307,479.5,480,479.5,480,2531,479.5,480,478.5,479.7,2974,490.25,477.1,490.25,477.1
2025-01-03,480.7,484.3,479.35,483.7,3932,480.85,480.85,480.3,480.4,907,481.05,481.15,481,481.15,793,486.45,477.1,486.45,477.1
2025-01-06,485.55,488,482.5,487.3,5096,467.05,467.85,467.05,467.8,389,467.45,467.45,466.15,467.4,3341,494.2,463.5,494.2,463.5
2025-01-07,467.9,477.2,465.15,477.2,4619,484.9,485,484.6,485,1432,484.85,485,484.75,485,1062,490.0,465.15,490.0,465.15
2025-01-08,489.9,494.25,487.05,492.15,7959,478.4,478.6,478.35,478.5,986,479.5,479.5,477.5,478,1736,494.25,473.15,494.25,473.15
2025-01-09,478.4,482.95,478.05,482.9,3372,471.35,472.4,471.35,472.4,793,470.6,470.8,469.2,470,1694,483.6,468.3,483.6,468.3
2025-01-10,471.7,474.45,469.55,471.95,5472,468.55,469.45,468.5,469.3,2289,471.85,474,471.4,474,855,478.0,462.25,478.0,462.25
2025-01-13,460,470.2,459.05,469.7,6367,428.85,428.9,428.2,428.6,2521,425.55,427.2,424.1,427,3264,480.55,428.0,480.55,424.1
2025-01-14,431.9,437.95,431.9,436.7,3550,422.7,423,422.6,423,4534,422.6,423,422,422,884,438.2,418.0,438.2,418.0
2025-01-15,425,426.75,423.8,426.75,5153,425,425.3,424.85,425.25,4688,425.25,425.25,424.15,425.05,2037,435.7,423.6,435.7,423.6
2025-01-16,432.35,434.95,430,433.8,10989,426.65,426.75,426.55,426.6,1213,427,427,426.95,427,3453,437.25,423.6,437.25,423.6
2025-01-17,425,427.9,425,425.75,2260,426.75,426.9,426.75,426.8,758,426.3,428.65,425.75,428.2,4306,431.65,424.0,431.65,424.0
2025-01-20,430.4,430.6,424.3,425.35,2485,436.2,436.5,435.75,436.45,1194,436.55,437,436.55,437,384,439.7,424.3,439.7,424.3
2025-01-21,439.55,440.35,436.55,438.6,2432,438.2,438.2,438,438,4777,439.05,439.5,439,439,5482,445.0,430.95,445.0,430.95
2025-01-22,437,439.9,436.4,436.4,3229,439.95,439.95,439.55,439.55,1734,441.9,441.9,441.25,441.5,314,442.0,426.3,443.6,426.3
2025-01-23,441.7,444,440.1,443.85,3611,444.15,444.4,444.15,444.4,1421,443.75,444,442.9,442.9,1996,455.0,438.3,455.0,438.3
2025-01-24,447.95,447.95,443.5,444.2,3155,430.9,430.9,428.1,430.9,7783,432.45,432.45,431.6,432,2614,449.0,428.1,449.0,428.1
2025-01-27,425.25,426.8,425.25,425.25,2010,426.65,427.45,426,426.8,1471,425.25,425.7,424.05,424.05,742,435.0,407.05,435.0,407.05
2025-01-28,424,425.25,423,423,4863,426.5,426.75,425.9,425.9,1073,425.45,425.55,425,425.4,10948,432.95,400.6,432.95,400.6
2025-01-29,424.15,424.95,424,424.8,803,448.25,450,447.95,449.6,6408,452.8,453.85,452.8,453.85,1557,450.0,424.0,455.5,424.0
2025-01-30,449.1,451.95,448.2,448.85,3092,460.25,460.6,460.05,460.55,5316,460.85,460.9,460.5,460.5,1736,463.65,448.2,463.65,448.2
2025-01-31,461.5,466.95,461.5,466.05,8574,473.85,474.2,472.5,473.95,3995,471.85,472,471.85,471.95,1722,475.0,461.5,475.0,461.5
2025-02-01,469.3,472.15,466.9,472.15,328,465.5,465.7,463.8,465.05,3643,459.2,460,459.2,460,2122,475.0,455.5,475.0,455.5
2025-02-03,459.05,459.05,452.15,452.75,1887,448.85,450.35,445.75,447.9,3163,446.6,447.3,446.25,446.35,692,460.0,443.95,460.0,443.95
2025-02-04,448.2,452.4,448.15,451,2073,451.2,451.3,450.85,450.9,535,452.5,452.95,452.15,452.95,1036,465.1,447.1,465.1,447.1
2025-02-05,454.7,460.85,453.05,460.05,2699,458.9,459.25,458.85,459.2,2621,461.25,462,460,461.85,611,466.45,453.05,466.45,453.05
2025-02-06,468,472,467.55,469.45,11474,459.95,460,459.1,459.65,2972,460.1,461.4,458.2,458.85,3496,481.0,457.4,481.0,457.4
2025-02-07,455,463.35,455,459.7,8330,461.25,464.1,461.25,463.2,13137,470.5,475,470.1,474.75,9200,465.0,451.8,475.0,451.8
2025-02-10,490,491,477.9,478.1,57429,463.5,465.35,463.5,465.35,11484,458.65,458.9,458.4,458.7,3224,491.0,462.25,491.0,458.15
2025-02-11,453.35,458,453.3,454.5,6481,448.45,448.85,448,448.5,3858,445,447,445,447,2481,458.0,427.6,458.0,427.6
2025-02-12,439.95,444,439.95,441.95,1348,442.85,442.95,441.6,442.2,2465,441.4,441.4,441,441.4,1921,449.7,431.9,449.7,431.9
2025-02-13,441.8,447.45,441.8,445.8,7961,461.95,461.95,461.5,461.7,1250,462,462.15,462,462,4258,463.8,441.8,463.8,441.8
2025-02-14,460,468.2,460,462.9,9263,458,459.85,457.5,459.3,9893,457.2,457.85,457.2,457.3,973,468.2,441.0,468.2,441.0
2025-02-17,458.05,459.95,451.05,451.05,3432,480.15,482.2,480,481.5,13809,484.2,484.2,480.3,480.4,8954,482.2,443.4,485.2,443.4
2025-02-18,484.4,485,477.15,479.2,8782,472.95,473.6,471.45,471.45,7680,469.25,469.9,468.1,468.85,2464,485.0,466.4,485.0,466.4
2025-02-19,471.8,473.35,464.15,467.4,4025,482.3,483,482.3,482.7,1042,479.95,480,479.15,479.5,3145,487.95,464.15,487.95,464.15
2025-02-20,483.4,487.9,478.05,487.9,11279,486.6,487.5,485.6,487.4,2722,488.45,489,487.5,488.05,2032,500.8,478.05,500.8,478.05
2025-02-21,486,491.35,483.2,491.35,4656,490.65,490.85,490.1,490.45,2417,489,489,487.85,488.7,4501,500.5,483.2,500.5,483.2
2025-02-24,489.65,489.65,451.1,479.65,38118,474.8,475.5,473.95,475.2,9417,474.1,475,474,474.5,5692,489.65,451.1,489.65,451.1
2025-02-25,468,482,468,480.75,5355,474.85,475.35,474.65,475.35,2715,476.05,476.3,474.65,474.7,1915,486.75,468.0,486.75,468.0
2025-02-27,477,479.95,476.55,479.6,6927,467.75,467.75,467.2,467.35,809,466.5,467.8,466.5,466.7,2459,482.9,455.05,482.9,455.05
2025-02-28,459,460.55,452.1,453.45,5386,455.8,456.15,455,455.15,14678,457.2,458.3,456.8,458,4280,460.55,441.6,460.55,441.6
2025-03-03,459.35,459.4,455.35,456.3,2312,448.2,448.3,448.2,448.25,222,449.8,450.45,449.5,450.45,5090,459.4,437.0,459.4,437.0
2025-03-04,443.65,449.35,442.55,448.5,1829,454.25,454.5,453.4,454.5,7152,454.6,455,453.1,454.55,3432,457.5,442.55,457.5,442.55
2025-03-05,454.05,462.8,454.05,460.65,3865,467.65,468.25,467.35,467.65,3469,464.6,465,464.6,465,3521,473.5,454.05,473.5,454.05
2025-03-06,468.5,483.25,468.45,483.25,17718,476.8,476.9,476.3,476.3,1230,473.8,475,473.8,475,4547,486.4,468.45,486.4,468.45
2025-03-07,477,482.7,474.55,479.1,9019,472.1,472.45,472.1,472.4,1173,470.1,472.05,467.2,472,6338,486.5,471.6,486.5,467.1
2025-03-10,473,486.6,473,486.6,8578,501.35,501.8,498.2,498.8,43569,501.1,503.7,501,503.65,29463,514.85,473.0,514.85,473.0
2025-03-11,490.4,499.95,490.05,499.95,24484,527,527.1,525.4,525.45,15919,531.75,533.2,531.75,532.55,38868,532.5,483.0,533.2,483.0
2025-03-12,531,537.4,524.2,528.2,69785,539,539.6,538.5,538.9,8976,539.85,539.9,539.25,539.25,15538,539.6,523.35,539.9,523.35
2025-03-13,540.05,543,533.6,534.8,33569,538.75,539.05,538.7,539.05,5968,542.55,542.55,541.35,541.85,7574,549.5,533.6,549.5,533.6
2025-03-17,545.1,546.85,537.45,537.45,6987,537.2,537.35,537.2,537.2,2416,535.5,536.5,535.15,536.5,6222,549.9,526.25,549.9,526.25
