date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,3401.3,3428.15,3401.3,3418.5,81,3458.5,3460,3458.5,3458.85,157,3460.0,3398.05
2025-01-02,3460,3476.95,3460,3470.05,135,3469.45,3476.4,3465.7,3465.9,538,3487.7,3432.05
2025-01-03,3490,3512.45,3481.5,3508.5,607,3465.05,3467.5,3464.7,3466.95,244,3515.9,3461.05
2025-01-06,3477,3481.15,3443.85,3457.8,310,3460.45,3461.85,3455,3455,262,3497.15,3425.0
2025-01-07,3432,3489.95,3432,3489.95,176,3503.4,3508,3503.4,3507.9,177,3509.95,3432.0
2025-01-08,3500,3511.9,3500,3511.9,169,3525.8,3533.25,3525.8,3528.3,390,3533.7,3460.65
2025-01-09,3525.5,3530,3480.65,3504.15,100,3436,3436.85,3430.5,3436,173,3549.0,3430.5
2025-01-10,3419,3438.7,3415.3,3416.15,250,3320.05,3324.7,3320.05,3322.75,272,3438.7,3315.05
2025-01-13,3310.1,3337.35,3300.05,3306,311,3170,3209.05,3169.1,3205.7,842,3337.35,3166.0
2025-01-14,3188.4,3208.5,3188.4,3201.8,95,3244.95,3257.8,3244.95,3252.7,264,3257.8,3165.0
2025-01-15,3252,3260,3252,3255,31,3221.9,3223.9,3219.25,3219.25,47,3277.45,3216.0
2025-01-16,3230,3251.8,3230,3251.45,47,3288.9,3288.9,3281.1,3287.15,129,3297.7,3215.0
2025-01-17,3288.45,3303.35,3265.9,3270.45,170,3227,3232.7,3227,3228.75,246,3306.0,3217.0
2025-01-20,3235.05,3245,3228.05,3228.05,16338,3224.7,3224.9,3220,3223.4,151,3249.0,3195.05
2025-01-21,3210,3239.85,3210,3217.05,227,3265.2,3269.65,3261.1,3268.6,510,3279.95,3197.55
2025-01-22,3269.75,3278.95,3248.2,3257.35,346,3262.9,3264.9,3260,3262.3,282,3278.95,3207.0
2025-01-23,3278.1,3285,3266.55,3283.15,160,3342.55,3342.55,3338.65,3340.5,84,3379.0,3256.2
2025-01-24,3304.05,3326.95,3304.05,3311,747,3217.75,3217.75,3169.5,3191.4,3598,3355.95,3169.5
2025-01-27,3170,3196.65,3151,3151.1,221,3143.7,3145.1,3140.7,3144.95,304,3196.65,3005.85
2025-01-28,3099.2,3136.95,3070.2,3108.1,541,3125.35,3128.2,3124.15,3125,818,3138.7,3027.9
2025-01-29,3141.8,3154.75,3141.8,3149.45,93,3219.3,3223.15,3219.3,3223,8,3235.0,3139.7
2025-01-30,3194.95,3194.95,3169.95,3169.95,283,3333.95,3337.8,3326.95,3337.1,628,3353.55,3155.55
2025-01-31,3310,3322.7,3305.35,3305.35,128,3417.25,3420.1,3417.25,3419.9,23,3444.4,3294.05
2025-02-01,3425,3448,3425,3437.65,271,3430,3430,3424.9,3428.05,117,3448.0,3392.0
2025-02-03,3405.75,3417.95,3360,3360,309,3304.7,3313.5,3304.05,3313.1,286,3417.95,3254.2
2025-02-04,3328,3347.1,3301,3347.1,71,3318.45,3320.25,3317.45,3320,218,3351.0,3271.2
2025-02-05,3348.25,3348.25,3342.5,3346.15,59,3401.75,3404.5,3396.5,3396.75,92,3404.5,3298.2
2025-02-06,3417.3,3424.25,3374.4,3374.4,268,3369.95,3369.95,3352.6,3352.65,273,3424.25,3318.2
2025-02-07,3390.05,3400,3367.3,3375.5,48,3279.75,3279.75,3277.45,3277.95,195,3400.0,3255.5
2025-02-10,3323.5,3325,3274.5,3295.35,298,3238.4,3242.1,3233.15,3241.9,650,3325.0,3210.2
2025-02-11,3212.25,3221.3,3197.35,3197.35,153,3099.8,3099.8,3051,3070.7,1358,3221.3,3051.0
2025-02-12,3128.95,3128.95,3103.5,3114.55,146,3018,3018,3015,3015,87,3128.95,2989.95
2025-02-13,3011,3035.95,3011,3022.05,274,3022.5,3030.7,3022.5,3028.45,154,3075.0,2975.6
2025-02-14,3025,3046.85,3021.2,3025,173,2942.15,2948.35,2937.55,2942.4,268,3046.85,2890.2
2025-02-17,2897,2897,2856.6,2863.15,304,2942.85,2944.4,2938.95,2939.5,90,2998.95,2832.05
2025-02-18,2980,2984.8,2943.9,2984.8,347,3108.9,3119.6,3107.6,3119.55,1018,3124.2,2926.0
2025-02-19,3115,3130.55,3084,3087.75,604,3054.3,3067.8,3051.45,3067.8,453,3134.35,2998.35
2025-02-20,3060.95,3098.55,3060.95,3098.55,217,3124.5,3125.5,3120.5,3123.05,47,3163.05,3060.95
2025-02-21,3141.15,3160,3121.7,3157.35,326,3199.6,3202.2,3196.3,3200.55,368,3209.55,3089.1
2025-02-24,3192.05,3200,3147.1,3157.1,197,3083.6,3083.6,3075.75,3077.85,191,3200.0,3075.65
2025-02-25,3095,3131,3095,3107.65,797,3115.5,3115.5,3110,3111.05,181,3167.5,3078.3
2025-02-27,3141.85,3168.7,3080.05,3084.3,878,3079.8,3080.25,3075.5,3079.8,54,3168.7,3037.25
2025-02-28,3086.3,3125.95,3081,3099.8,2428,3072.1,3075.8,3066,3073.7,1102,3189.0,3040.0
2025-03-03,3065,3093.95,3061.25,3083.5,1370,3094.8,3098.75,3092.1,3098.75,251,3144.9,2940.0
2025-03-04,3050,3148.45,3050,3148.45,916,3197.5,3197.5,3185.4,3196.2,2339,3345.0,3050.0
2025-03-05,3200,3227.45,3162.6,3164,975,3287.7,3290.6,3287.7,3290,298,3290.6,3128.1
2025-03-06,3215.05,3266.95,3215.05,3266.8,1209,3258.15,3259.7,3255.25,3259.7,97,3278.0,3199.5
2025-03-07,3253.7,3279.95,3253.35,3267.65,633,3276,3277.7,3276,3277.7,372,3322.0,3239.0
2025-03-10,3273.05,3273.05,3249.9,3255.7,244,3278,3278,3268.45,3268.45,530,3291.65,3215.2
2025-03-11,3267.3,3267.3,3225.6,3231.6,576,3255.35,3258.8,3250.9,3253.4,975,3267.3,3167.2
2025-03-12,3258.6,3271.3,3254.35,3254.35,420,3298.15,3299.95,3293.55,3294.6,273,3358.0,3242.45
2025-03-13,3343.55,3343.7,3300,3300,124,3354.9,3355,3348.65,3350.9,277,3360.0,3293.65
2025-03-17,3360,3374.5,3327.05,3327.05,423,3411.05,3415.5,3407.75,3414.75,854,3434.0,3325.4
2025-03-18,3443.15,3443.15,3417,3417,659,3374.1,3380.7,3367.05,3379.9,1275,3443.15,3365.4
2025-03-19,3376,3396.05,3375.2,3396.05,971,3449.2,3469.95,3449.2,3469.95,1036,3485.0,3375.2
2025-03-20,3492,3498,3458,3472.8,470,3523.4,3525,3520,3520.05,1279,3604.2,3458.0
2025-03-21,3540,3543.9,3485.85,3485.85,773,3691.85,3691.85,3678.65,3678.65,2052,3736.95,3458.75
2025-03-24,3575,3647.95,3575,3639,1296,3575.2,3575.2,3571.8,3571.95,319,3655.75,3569.65
2025-03-25,3599,3599,3574.9,3574.9,216,3490.75,3493.65,3489.55,3489.55,213,3599.0,3466.05
2025-03-26,3525.95,3551.05,3520.1,3551.05,1671,3511.4,3515,3511.35,3514.65,260,3599.9,3495.15
2025-03-27,3521.7,3522.15,3486.05,3497.5,253,3395.35,3398,3387.05,3395.35,1535,3537.6,3387.05
2025-03-28,3400,3439.95,3400,3429.9,367,3371.8,3378.7,3371.8,3373.2,165,3460.0,3352.05
2025-04-01,3376,3394.75,3364.3,3378.1,490,3274.45,3287.85,3274.45,3280.6,785,3403.95,3202.35
2025-04-02,3289.6,3289.95,3254.35,3289.95,637,3299.55,3299.9,3296.95,3299.7,63,3313.0,3241.7
2025-04-03,3215,3290.3,3215,3251.15,677,3288.8,3289.65,3284.75,3285.8,63,3324.95,3215.0
2025-04-04,3288.05,3308.3,3225.05,3233.3,779,3135.5,3135.5,3133,3134.85,108,3308.3,3111.0
2025-04-07,2851.05,2999.75,2823,2961.65,503,2978.05,2983.7,2977.5,2980.45,543,3026.7,2823.0
2025-04-08,3023,3057.55,3020,3040.85,743,3092.4,3100.7,3092.1,3100.7,1225,3128.8,2970.0
2025-04-09,3068,3068,3045,3053.35,829,2978.75,2981.85,2977.2,2978,700,3068.0,2976.15
2025-04-11,3011.8,3049.45,2998,3000.75,902,3040.75,3042,3040.6,3040.6,122,3062.95,2975.0
2025-04-15,3060,3113.9,3060,3090.6,705,3136.2,3137.2,3136,3137.2,163,3159.3,3060.0
2025-04-16,3148.4,3202,3141.6,3143,894,3197.9,3197.9,3195.1,3197.7,71,3205.0,3132.8
2025-04-17,3200,3209.7,3183.7,3187.5,226,3261.5,3265,3261.2,3262.7,98,3265.0,3164.2
2025-04-21,3288,3315.8,3262.5,3301.5,884,3281,3285.3,3281,3282,228,3324.5,3250.8
2025-04-22,3316.8,3317,3311.9,3317,606,3335.3,3336.1,3335,3336,67,3345.0,3255.1
2025-04-23,3315,3331.8,3315,3329.2,293,3284.7,3285,3283.6,3283.7,323,3346.7,3214.0
