date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,596.8,598.35,594.35,598.35,4972,591.95,592.1,591.45,592,5209,592.25,592.35,592,592.35,6770,601.55,588.4,601.55,588.4
2025-01-02,593.75,598.65,593,594.6,13063,597.35,597.35,596.7,596.95,14871,597.9,598.4,597.85,598,9792,599.0,587.0,599.0,587.0
2025-01-03,598,600.7,592.8,600.15,31219,591.7,591.9,591.5,591.7,23356,590.4,592,589.1,590.85,7818,607.3,587.55,607.3,587.55
2025-01-06,590,593,589.05,592.65,10343,580.6,581.7,579.6,581.55,28958,580.55,581,579.1,580.45,6488,595.15,578.3,595.15,578.3
2025-01-07,578.1,582,578.1,581.25,8883,584.45,584.65,584,584.3,7888,583.35,585,583,583.2,7105,587.8,575.05,587.8,575.05
2025-01-08,585.45,587.35,581.1,581.1,6619,573.1,573.2,572.6,572.6,3760,572.55,572.9,572.45,572.75,5013,587.35,571.65,587.35,571.65
2025-01-09,573.15,574.95,572.15,573.05,3068,566.2,566.45,566,566.45,7831,564.45,566.7,564,565.2,21758,574.95,560.0,574.95,560.0
2025-01-10,563.95,567.6,563,564.85,7160,569.4,569.4,569,569.2,13088,569.55,570.2,569.3,570.2,39246,573.75,558.55,573.75,558.55
2025-01-13,557,566.6,556.25,564.15,14835,562.55,562.8,561.85,562,7963,561.8,561.9,560.5,561.8,8298,571.7,556.25,571.7,556.25
2025-01-14,561.85,568.65,561.05,568,14637,569.5,569.65,569.35,569.45,4045,571.4,571.4,570.5,570.7,6310,577.5,561.05,577.5,561.05
2025-01-15,571,575,571,573.1,2611,571,571.05,571,571,3677,571.35,572.65,571.35,571.9,2923,575.0,561.4,575.0,561.4
2025-01-16,574,576.2,573.05,574.5,8553,582.6,582.95,582.35,582.7,11364,582.05,583.5,581.3,583,28216,585.35,573.05,585.35,573.05
2025-01-17,584.8,586,583.25,585.6,16047,574.75,574.8,574.4,574.65,5881,573.2,574.8,573.05,573.8,15726,588.95,574.3,588.95,572.45
2025-01-20,578.55,579.95,577.3,577.9,24525,565.95,566.25,565.9,566.25,16837,568.65,569,568,568,14871,579.95,558.65,579.95,558.65
2025-01-21,568.9,568.9,565,568,6892,556.2,556.2,555.5,555.55,10107,554.55,555.95,554.45,555.9,7607,573.85,555.5,573.85,554.45
2025-01-22,555.1,556.3,550,552.25,18878,530.55,530.55,530.3,530.35,29548,532.9,534.95,532.8,533.1,26089,557.05,528.65,557.05,528.65
2025-01-23,534.7,536.1,530.75,534.9,19347,543.25,543.25,542.7,543.05,4107,542.7,543.3,542.5,543.15,3056,548.75,530.75,548.75,530.75
2025-01-24,510,534.4,510,534.4,393964,525.1,525.1,524.55,525,47573,525,526.2,524.65,525.15,19605,546.95,510.0,546.95,510.0
2025-01-27,521.05,522.15,517.3,520.75,31385,512.7,512.95,512.5,512.95,69474,514.2,514.6,514,514.5,8899,522.15,507.05,522.15,507.05
2025-01-28,515.85,519.1,514.95,519.1,20174,496.9,497,496.65,496.85,5936,495.2,496,495.05,495.6,8196,519.55,496.3,519.55,495.05
2025-01-29,497.55,500,494.3,494.75,8388,502.1,502.3,501.1,502.25,45177,503.9,504.85,502.1,503.65,23402,511.95,493.35,511.95,493.35
2025-01-30,515.8,515.8,508.1,509.85,45453,505.5,505.6,505.5,505.55,14384,506.05,506.25,506,506,14777,517.4,496.9,517.4,496.9
2025-01-31,503.85,507,501.25,503.2,17997,504.4,504.5,504.25,504.5,11745,503.5,504.9,503.1,503.95,24898,507.3,500.05,507.3,500.05
2025-02-01,510.1,514,508,512.95,49688,503.2,503.3,503,503.3,1612,503.85,504.2,503.5,504,4349,514.0,498.85,514.0,498.85
2025-02-03,500,502,491.55,491.55,58723,485.05,485.05,485,485,8967,485,488.45,485,486,97547,502.0,477.6,502.0,477.6
2025-02-04,500,522.35,500,518,253187,502.5,502.65,501.95,502.45,19487,501.95,503,501.5,503,7365,524.85,499.55,524.85,499.55
2025-02-05,509.95,509.95,501,502,21599,514.2,514.85,514.05,514.65,16752,515.3,515.3,515,515.25,15636,517.7,496.0,517.7,496.0
2025-02-06,518.95,519.55,511.5,511.5,15693,533.95,534,533.55,533.95,17537,533.9,534.35,533.7,534.2,8405,534.65,511.5,534.95,511.5
2025-02-07,535.85,535.85,529.3,530.35,43938,529.7,529.75,529.35,529.35,12363,530.05,530.25,530,530.25,17112,535.85,520.0,535.85,520.0
2025-02-10,529.5,532.65,528,530.3,7824,528.5,529.45,527.9,529.4,28486,529.35,529.4,529.25,529.4,7192,534.5,522.05,534.5,522.05
2025-02-11,525.1,529.4,524.05,526.8,20921,510.7,511,510.45,511,10968,509.75,509.75,508.05,509,10067,530.85,507.25,530.85,507.25
2025-02-12,510,511.85,503.85,504.7,15339,511.5,511.6,511.15,511.25,6862,511.1,512,511.1,512,3042,513.7,495.0,513.7,495.0
2025-02-13,515,517,514.6,515.9,5229,517.35,517.6,516.25,516.3,5902,513.9,514.75,513.65,513.7,4254,521.5,509.5,521.5,509.5
2025-02-14,516.4,522.55,514.5,515.15,15171,489.2,489.25,487.4,487.7,6886,487.7,487.7,485.05,486.55,14776,522.55,487.4,522.55,485.05
2025-02-17,483.9,484.1,475.25,476.15,42161,487,487,485.85,486.3,25047,488.95,489.8,488.1,488.3,11528,493.45,475.05,493.45,475.05
2025-02-18,492.3,499.75,490.95,496.65,31106,506.95,506.95,506.35,506.9,33883,505.85,506.45,505.4,506.45,13466,508.0,489.65,508.0,489.65
2025-02-19,505,505,501.1,502.2,21347,511.8,512.05,511.65,511.9,4012,509,509.95,509,509.9,10268,513.8,498.75,513.8,498.75
2025-02-20,502,509.45,502,508.65,14527,518.35,518.4,517.15,517.15,16880,516.35,516.8,515.35,516.15,4127,520.2,502.0,520.2,502.0
2025-02-21,520.7,521.45,515.4,517.4,10080,507.4,507.4,506.7,507.1,10476,505.75,506.25,505.35,505.5,2924,524.65,506.7,524.65,505.35
2025-02-24,504.85,505,501.2,504,22107,505.4,505.65,504.6,504.65,16130,505.05,506.65,505,506,5808,513.55,497.75,513.55,497.75
2025-02-25,503.1,509.5,502.05,503.45,25582,509.1,509.1,509,509.1,2813,509,509,508.15,508.5,4803,512.0,502.05,512.0,502.05
2025-02-27,507,507,502,503.2,19227,501.4,501.55,501.15,501.4,14030,502.95,505.1,502.5,503.85,15550,507.0,491.85,508.3,491.85
2025-02-28,495,496.55,481.55,482.25,119669,494.05,494.55,493.9,494.45,46666,490.95,491,490.95,491,13097,497.65,476.7,497.65,476.7
2025-03-03,503.95,503.95,491.9,491.9,16076,485.4,485.95,485.3,485.65,7010,486.2,486.4,484.65,484.65,6748,503.95,476.1,503.95,476.1
2025-03-04,472.9,479.95,472.8,477.85,30430,474.2,474.4,473.3,473.6,14207,474.95,474.95,473.4,474.85,10034,484.9,464.05,484.9,464.05
2025-03-05,470,484.2,470,482.15,23480,509.6,510.5,509.5,510.2,18309,509.35,509.9,508.8,508.8,9286,510.5,470.0,511.9,470.0
2025-03-06,518,532.45,517.25,528.55,88597,522.6,522.6,522,522.2,5292,519.95,520,519.25,519.75,1753,532.45,515.0,532.45,515.0
2025-03-07,520.5,521,516.5,516.55,7705,517.65,517.65,517.05,517.35,3464,516.8,516.8,516.05,516.8,1833,529.7,512.95,529.7,512.95
2025-03-10,518,518.35,515,516.85,14113,511.9,511.9,511.45,511.9,5042,512.35,512.5,507.9,512.35,12406,522.9,511.25,522.9,507.9
2025-03-11,504.5,504.5,500.2,501.2,30893,507.5,507.6,507,507.1,7352,508.05,508.5,506.95,508,4480,509.25,495.0,509.25,495.0
2025-03-12,512,513.1,506.5,506.5,12749,505.75,506,505.7,505.7,4279,504,506.4,504,506.25,6937,513.1,491.0,513.1,491.0
2025-03-13,505.55,506.75,501.85,502.9,7236,485.4,485.6,484.45,485.1,10055,485,485.05,485,485,6211,506.75,484.45,506.75,484.45
2025-03-17,485.1,488.4,484,485.95,5137,485.45,485.7,485.35,485.65,9281,486.35,487,486.05,486.05,2219,491.55,481.0,491.55,481.0
2025-03-18,489.8,493,485.55,485.75,18669,494.55,495,494.55,494.9,3219,494,494.05,493.9,494.05,13418,495.0,485.45,495.1,485.45
2025-03-19,495,496.8,491,492.7,17530,506.95,507.05,506.5,507.05,9055,508,508.95,508,508,6923,514.35,491.0,514.35,491.0
2025-03-20,509.15,514.15,509.15,513.35,14741,508.85,508.85,508.5,508.5,2132,506.95,508.15,506.5,508.15,6902,517.65,504.65,517.65,504.65
