date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,day_high,day_low
2025-01-01,742,746,742,743,4493,751.85,756.4,750.6,756,10542,756.4,737.1
2025-01-02,759,759.95,756,758.85,8345,761.05,764.7,760,764.7,9896,766.6,747.5
2025-01-03,768.4,771.95,766,770.65,10884,775.15,775.55,774,775,12187,786.0,766.0
2025-01-06,789.9,789.9,777.25,778.6,22238,749.75,753.7,749.75,753.6,12928,789.9,742.45
2025-01-07,750,760.2,746,756.55,8841,765.55,765.7,764.7,765.4,2102,770.75,743.4
2025-01-08,764.8,772.95,764.75,768.95,7416,739,741.45,738.75,739.8,7621,772.95,731.65
2025-01-09,745,749.95,744.05,744.95,7950,717.55,717.7,716.15,717.25,2795,749.95,716.15
2025-01-10,715,716.9,710.4,716.1,6851,711.15,711.5,710.2,711,2642,726.45,696.0
2025-01-13,696,696,690.05,694.6,5190,673.35,674.45,672.1,673.6,8284,699.75,659.4
2025-01-14,670.5,683.8,670.5,683.8,5586,686,686.85,684.9,686.85,1966,690.4,670.5
2025-01-15,692.95,697.95,690,697.95,2420,700.65,700.7,699.35,699.8,5191,707.7,685.5
2025-01-16,708,715.65,703,703,19674,697.05,697.05,696.45,696.5,2505,715.65,693.2
2025-01-17,701,701.5,696.75,697.9,3060,682,682.15,680.8,681.65,7564,701.5,680.8
2025-01-20,683.95,684,680.95,683.05,4832,720,720.35,717.9,718,10474,725.2,676.95
2025-01-21,719.05,721.05,716,716.35,6272,684.15,684.15,681.05,683,10925,725.65,681.05
2025-01-22,685.5,689,681.1,681.75,7742,675.7,675.7,674.15,675.2,3448,689.0,661.75
2025-01-23,676.65,677.15,667.5,668.7,5565,657.95,658,656.4,657.8,5955,681.5,656.4
2025-01-24,662.55,665.25,662,665.25,6192,650.6,650.6,649.2,650.25,1834,681.55,645.05
2025-01-27,646.85,646.95,635.3,637.5,4502,629.8,629.8,628.05,628.65,2777,646.95,616.1
2025-01-28,629.3,631.6,622,622.05,6081,590.7,590.75,588.55,590,5898,631.6,582.0
2025-01-29,599,599.8,592.65,596.65,21466,614.85,616.5,613.2,616.5,11030,618.8,592.65
2025-01-30,645.9,672.85,645.9,652.25,52117,636,636.35,633.35,633.75,7349,672.85,630.8
2025-01-31,636.9,639,632.45,634.3,16349,667.55,672.5,667.5,672.1,28654,672.5,632.45
2025-02-01,670.35,710,670.35,695.75,50636,666.55,666.75,661,661.25,19955,710.0,644.7
2025-02-03,661.5,671.15,656,671.15,23349,634.3,634.3,632.9,633.1,10728,686.95,632.9
2025-02-04,640.35,643.2,626.55,628.3,32837,573.05,575.3,572.1,574.4,147619,643.2,571.0
2025-02-05,577,591.75,577,590.55,94906,578.45,578.5,578,578.2,17751,594.65,575.0
2025-02-06,585.45,587.8,578.3,581.15,40005,569.85,569.85,568.25,569.4,14542,588.9,567.0
2025-02-07,572.8,581.5,571.05,580.9,36798,580.75,587,580.6,585.6,56120,597.85,571.05
2025-02-10,582,583.65,572.3,572.3,16379,567.9,570.2,566.1,569.95,12532,583.65,559.25
2025-02-11,569.95,572.15,566.25,569,11240,556.35,556.4,555.4,556.1,2516,572.15,546.0
2025-02-12,555,556,551,552.5,5954,574.7,574.7,573.25,573.65,2868,582.5,546.55
2025-02-13,577.6,581.65,574.75,576.4,20211,565.25,565.5,564.3,565.1,4126,583.95,564.3
2025-02-14,566.3,569.9,566,566,18087,580,581.65,579.1,579.8,38150,604.9,555.15
2025-02-17,569,569.15,552.65,556.65,48623,545.55,547.3,544.8,546.9,31362,581.25,539.05
2025-02-18,545.25,550.6,540.55,548.95,27629,567.1,568,566.1,567.1,27716,578.8,532.4
2025-02-19,559.9,559.9,544.05,556.35,41030,562.15,562.2,560.7,561,7492,573.15,544.05
2025-02-20,563.45,569.3,558.75,569.1,13464,577,577.3,576.45,577.15,18890,594.3,558.75
2025-02-21,573.95,582.4,570.55,582,24432,586.5,586.85,585.65,586.8,24316,609.8,570.55
2025-02-24,575,577.85,570,576.6,29219,565.55,565.75,564.1,564.6,13312,578.9,563.25
2025-02-25,558.65,567.85,555.05,560.6,30459,550.75,550.75,549.1,549.75,25315,567.85,548.0
2025-02-27,552.8,555.2,542.65,542.65,25596,524.2,524.6,522.2,523,11755,555.2,522.0
2025-02-28,523.55,524,514,514,13960,486.35,486.35,484.1,485.3,27261,524.0,484.1
2025-03-03,486.75,493.8,486.1,486.5,29022,476.3,477.2,476.3,476.8,13706,493.8,460.3
2025-03-04,471.8,477.7,470.7,472.35,25119,486.75,486.75,485.75,486,5067,498.65,467.25
2025-03-05,486.85,491.6,482.45,483.35,11550,502.5,503.3,501.95,503.3,5492,504.0,478.55
2025-03-06,514,519.65,512.2,516.75,35633,538.25,538.7,535.7,536.5,42388,546.75,512.2
2025-03-07,539,545.9,535.75,543.6,36991,613.25,639,612.75,627.7,1215573,639.0,535.75
2025-03-10,601.25,604.35,593.1,595.3,184340,566.1,566.15,563.1,565.4,78227,604.35,563.1
2025-03-11,555,562.65,550.85,561.35,100117,530.2,530.8,528.7,529.2,63493,565.6,526.0
2025-03-12,535.85,540,529.4,529.4,75352,520.45,520.45,518.8,519.75,24236,540.0,508.1
2025-03-13,524.2,526.4,515.55,515.55,50325,514.85,515.1,513.9,515,25254,528.95,511.1
2025-03-17,514.25,517,510.25,513.65,10380,509.55,509.55,507,508.45,57669,524.0,507.0
2025-03-18,515,524.65,515,524.65,38037,573.3,574.2,572.45,573.85,115118,600.6,515.0
2025-03-19,569,570.75,561.75,567.05,142600,566.6,566.7,565.1,566,45025,577.8,555.65
2025-03-20,572.45,582,571,582,75240,568.35,568.35,567.1,567.65,26229,583.4,554.25
2025-03-21,572,572,560.45,562,55145,565.55,565.95,564.1,564.5,32346,572.9,559.8
2025-03-24,570,577.8,569.35,577.3,59787,574.4,574.8,574.25,574.75,14844,584.0,564.85
2025-03-25,582,591.75,582,587,57878,555.25,555.25,553.55,553.9,22198,591.75,550.5
2025-03-26,557.55,559.3,551.75,555.35,30595,560.85,561.1,560.45,560.85,10898,574.0,543.9
2025-03-27,564,565.7,555.9,557,31208,558.8,580.05,551.8,562.75,181982,616.5,515.6
2025-03-28,563.8,568.9,561.7,568.9,21277,563,563.05,562.15,562.65,10012,583.0,554.45
2025-04-01,560.95,562,556.25,556.85,18125,534.05,534.55,533.1,534.45,16303,562.0,533.1
2025-04-02,540,545.65,539.2,540,60080,542.45,543.1,542,542.75,10938,545.65,526.0
2025-04-03,530.15,538.5,530.15,536.15,36329,535.05,535.2,535,535.05,12123,540.8,530.05
2025-04-04,535.4,538,530.45,531.65,15156,520.25,520.35,518.3,518.75,9678,538.0,510.8
2025-04-07,480.05,489,471.7,486,54591,492,492.65,491.4,492.65,5616,499.0,471.7
2025-04-08,503.25,505,501,502.65,29273,487.25,488.3,485.85,487.3,30774,505.0,478.8
2025-04-09,489,491.9,484.45,486.95,39292,477.45,477.45,476.15,476.5,18073,491.9,473.3
2025-04-11,494.9,497,485.55,485.55,33285,495.6,495.8,494.75,495.05,8460,500.8,481.2
2025-04-15,502,503.85,497.1,499.55,51143,505.95,505.95,504.75,504.8,20228,513.6,493.5
2025-04-16,511.85,516.75,508.55,516.75,32855,513.3,513.35,512.5,512.5,11934,518.5,507.35
2025-04-17,513,514.1,503.95,507.4,34167,509.55,509.55,508.7,508.95,3660,514.1,499.0
2025-04-21,515,517.45,511.75,512.9,19141,512.05,512.05,511.05,511.4,7711,518.8,507.45
2025-04-22,514.35,516.75,513.65,516,19253,510,510.25,510,510.1,6703,516.75,506.5
2025-04-23,515.05,523.5,512.7,523.5,61083,520.4,521.1,520,520.85,14492,533.9,512.7
2025-04-24,522.95,524.6,518.3,518.3,37233,520.5,520.6,520,520.25,8510,532.8,512.4
2025-04-25,523.3,524.65,519.6,520.6,21235,506.6,506.6,506.05,506.35,14679,524.65,495.05
2025-04-28,505,509,501.9,506.55,27758,526,526.8,526,526.2,13211,526.8,500.8
2025-04-29,529.8,534.1,527.5,534.1,16005,523.05,523.35,523,523.35,7970,539.8,519.85
2025-04-30,524,527.95,523,524.45,40793,518.75,518.75,516.8,516.95,19117,532.75,516.8
2025-05-02,516,516.9,512.65,514.1,19082,506,506.5,505.75,506.15,7103,516.9,502.85
2025-05-05,509.8,510.9,507.55,510.9,8893,526.3,526.85,525.95,526.8,9989,536.75,507.55
2025-05-06,530,532,528,529.85,18322,502.5,502.65,501.15,501.15,15396,532.0,501.15
2025-05-07,503.05,503.95,497.5,501.5,24192,517.3,517.7,516.75,517.35,4157,518.9,495.05
2025-05-08,518.95,525.15,518.95,524.95,13964,527.2,527.25,526.35,526.7,14446,536.5,518.0
2025-05-09,515.9,520.85,512.2,520.85,35094,515.95,516.25,515.65,516.2,3034,521.75,506.4
2025-05-12,549,558.3,547.5,549.55,197004,559.85,559.85,554.75,556.6,108917,578.8,545.5
2025-05-13,559.5,564,553.2,553.2,42364,550.15,550.15,550,550.05,8242,564.0,547.25
2025-05-14,555,561.3,550.95,561.3,77081,573.9,573.9,572.1,572.1,32874,595.7,550.95
2025-05-15,578,582,574.4,575.9,70269,616.9,617.95,615.8,616.5,61707,619.2,572.95
2025-05-16,619.9,622.9,608.6,608.6,102709,605.05,605.2,604.65,605,19997,622.9,598.1
2025-05-19,609.9,613.1,606.35,612.3,47724,600.95,601.4,600.5,601.2,8683,616.9,597.25
2025-05-20,605,606.15,599.95,599.95,31496,584.95,585.2,584.7,585.15,12125,606.15,584.0
2025-05-21,581.3,586.75,580.05,585.65,31200,576.05,576.05,575.45,576.05,22970,586.8,562.05
2025-05-22,576.45,582,576.45,579.95,18716,572.4,572.4,572,572.2,9424,588.7,568.0
2025-05-23,572.65,577,568.15,576.5,19072,582.15,582.5,581.9,582,6044,587.8,568.15
2025-05-26,584.7,585.1,577.7,581,29905,590.6,590.9,590,590.2,5080,595.0,577.7
2025-05-27,591.8,592.65,588.35,592.65,15228,604.3,605.7,604.05,605.15,12510,617.55,588.15
2025-05-28,606.75,609.25,606,606.05,15516,592.1,592.5,592,592.2,18550,609.25,591.5
2025-05-29,596,596.6,591.3,592.45,22533,596,596.05,596,596,4027,597.4,582.0
2025-05-30,598,598,590.05,596.25,16593,580.5,580.55,580,580,14281,598.0,580.0
