date,0915_open,0915_high,0915_low,0915_close,0915_volume,1518_open,1518_high,1518_low,1518_close,1518_volume,1528_open,1528_high,1528_low,1528_close,1528_volume,session_high,session_low,day_high,day_low
2025-01-01,498.45,501.3,498.45,499.2,16233,500.3,500.5,500,500.5,5667,501.15,501.65,501.15,501.35,2356,501.3,497.2,501.85,497.2
2025-01-02,500,504.35,499.85,503.85,33939,508.85,509.3,508.55,509,10664,509.75,510,509.5,509.5,7015,511.9,499.85,511.9,499.85
2025-01-03,508.5,510,508.5,509.2,6798,529.25,529.25,528.45,528.45,31747,530.2,530.25,527.9,530,14039,533.25,508.5,533.25,508.5
2025-01-06,525,529.2,524.25,528.85,19623,520.2,520.5,519.9,520.5,7467,520.8,521.35,519.05,520.85,2335,535.45,516.1,535.45,516.1
2025-01-07,521,526.2,520,526.2,27063,542.75,543.1,542.55,542.95,14826,541.8,542,540.7,541.5,20651,548.65,520.0,548.65,520.0
2025-01-08,541.15,543.4,539.9,543.2,32842,540.25,540.5,540,540.1,11385,540,540.95,539.65,540.25,7808,543.4,531.65,543.4,531.65
2025-01-09,541.95,547.55,539.7,546.25,43843,545.6,545.6,544.95,545.35,15816,545,545.45,544.75,545,27200,554.65,539.7,554.65,539.7
2025-01-10,545.9,548,542.9,543.8,10979,548.6,548.85,548.3,548.6,14125,548.6,548.6,547.6,548,13195,555.75,534.5,555.75,534.5
2025-01-13,546.25,546.25,543.9,546.2,21297,532.7,532.7,532.3,532.55,6078,534.05,534.15,532.9,533.15,14650,549.0,530.95,549.0,530.95
2025-01-14,534.95,540.2,534.95,539.05,23935,541.75,541.85,541.65,541.85,5771,542.1,542.55,541,542.5,7127,542.95,531.3,542.95,531.3
2025-01-15,544.9,547,544.9,546.15,4819,547.15,547.35,546.85,547.05,6412,545.95,547.1,545.95,546.1,5904,552.0,543.15,552.0,543.15
2025-01-16,546.95,552.95,546.95,550,12629,546.6,546.75,546.05,546.75,6024,546.6,546.9,546,546.9,7681,552.95,545.25,552.95,545.25
2025-01-17,545,546.95,543.5,545.1,17009,551.7,551.95,551.3,551.75,38236,551,551.3,550.85,551,7160,557.65,543.5,557.65,543.5
2025-01-20,552.95,554.15,551.2,551.8,9925,551.45,551.55,551.1,551.5,3393,554.4,554.9,554.25,554.85,6266,554.15,545.35,555.0,545.35
2025-01-21,557,557,553.05,555.35,12723,544.65,544.7,544.05,544.2,8192,544.5,544.5,543.9,544.5,4328,559.9,543.85,559.9,543.5
2025-01-22,548,548,545.2,546.1,8169,542.35,542.35,542.3,542.35,6273,542.1,542.1,540.55,541.8,11266,548.0,531.6,548.0,531.6
2025-01-23,542.5,545.9,542.05,545.65,15593,558.15,558.2,557.75,558,4788,556.7,557.2,556.25,557.15,9654,559.75,542.05,559.75,542.05
2025-01-24,559.95,560.45,555.4,556.45,34795,552,552,551.6,551.9,4730,550.95,550.95,550.1,550.6,3881,560.45,551.0,560.45,550.1
2025-01-27,548.95,550.4,545.5,546.2,27535,541.7,542.3,541.7,542.1,9243,541.2,541.75,539.9,541.75,13858,550.4,536.2,550.4,536.2
2025-01-28,546,546.5,544,545.5,14789,538.45,538.55,538,538.1,6156,538.1,539.15,538.1,539.1,2860,546.5,536.1,546.5,536.1
2025-01-29,542,543.65,540.25,543.55,5974,552.2,552.2,551.55,551.95,17334,554.5,554.9,552.8,554.9,10018,554.0,539.3,554.9,539.3
2025-01-30,556,558.9,554.6,557.5,16467,566.3,567.4,566.05,566.3,32653,565.8,566.3,564.65,564.65,12087,578.3,554.6,578.3,554.6
2025-01-31,573,580.15,570.15,572.6,77988,601.5,601.5,600.1,600.85,140855,604.45,604.8,603.5,604.05,33078,617.8,567.75,617.8,567.75
2025-02-01,609.8,616.9,606.25,606.25,498633,605.55,605.85,605.1,605.55,20566,601.2,601.9,599.85,599.85,46374,617.8,597.05,617.8,597.05
2025-02-03,610,616.95,607.55,609.65,366303,630,630,629.05,629.35,51106,629.95,630,629.6,629.8,15766,636.8,607.55,636.8,607.55
2025-02-04,637.5,641.55,627.1,627.3,196067,637.45,637.7,637.2,637.65,18973,636.2,636.2,635.45,635.95,20954,641.55,625.0,641.55,625.0
2025-02-05,636,636,633.45,633.45,25374,645.6,646,645.5,645.65,42574,645.4,645.7,645.4,645.5,17580,649.45,632.0,649.45,632.0
2025-02-06,644,644,626.45,632.15,358129,645.3,645.3,644.55,645.05,14892,645.05,646.85,643.8,645.2,30073,646.45,626.45,646.85,626.45
2025-02-07,642.05,647.7,642.05,646.3,39571,641.8,642.05,641.35,641.35,19890,642.15,642.45,641.5,641.5,12945,648.7,635.1,648.7,635.1
2025-02-10,641.25,643,638.25,639.6,24850,634.9,635.15,634.8,635.15,18313,634.65,635.6,633.95,635.25,12842,643.0,631.8,643.0,631.8
2025-02-11,635,636.5,632.45,634.75,14423,610.25,610.3,609.65,610.25,23695,610.55,610.85,610.15,610.85,14030,636.8,608.2,636.8,608.2
2025-02-12,610.7,614.65,609,613.05,15654,619.95,620.35,619.8,619.95,11533,621.65,621.75,621,621.65,10066,620.65,594.45,624.3,594.45
2025-02-13,620.5,625,618.15,620.6,23080,629.85,630.25,629,629,21323,630,630.65,627.25,630.45,19481,638.9,615.0,638.9,615.0
2025-02-14,631,633.9,629.75,629.75,23363,617.85,617.85,617.5,617.6,6474,617.05,617.1,615.8,617,15819,633.9,610.25,633.9,610.25
2025-02-17,618.2,618.2,609.9,611.75,30582,632.45,632.55,631.8,632.15,14432,632.25,632.95,632.25,632.75,5719,633.75,609.9,633.75,609.9
2025-02-18,633,634.35,629.85,631.35,12651,630.5,630.5,630.2,630.45,7350,630.55,630.55,629.15,629.15,3920,634.35,625.2,634.35,625.2
2025-02-19,629.85,630.9,621,629.5,50921,649.85,650.15,649.55,649.65,57838,650.4,651.5,650.15,650.5,8858,651.7,621.0,651.7,621.0
2025-02-20,650.05,653.3,646.6,649.2,57571,647.4,647.4,646.8,647.2,12455,646.95,646.95,646.35,646.95,8703,653.95,644.25,653.95,644.25
2025-02-21,648,652.75,647.3,652.75,15336,646.9,647.5,646.7,647.2,9057,645.4,646,645.35,645.95,6000,658.25,637.4,658.25,637.4
2025-02-24,643.75,645.35,638.3,643.5,22886,644.6,644.85,644.6,644.75,6545,646.2,646.2,643.85,644.45,13173,648.95,638.3,648.95,638.3
2025-02-25,648.1,650.35,645.8,649.75,17732,647.6,647.7,647.5,647.7,12323,646.05,646.8,645.3,646.5,28022,657.3,645.8,657.3,645.3
2025-02-27,648,648.35,642,644.15,38954,642.95,643,642.6,643,18702,643.7,644.95,642.85,644.05,10205,648.35,634.2,648.35,634.2
2025-02-28,635,641,632.05,632.05,15879,632.2,632.25,632.05,632.1,33051,632.95,632.95,631,631,7988,641.0,619.5,641.0,619.5
2025-03-03,628.1,629.8,625.6,628,23953,617,617,616.65,616.65,27825,616.3,616.3,615.95,615.95,7705,634.15,611.25,634.15,611.25
2025-03-04,607,614.95,607,612.55,23156,613,613,612.95,612.95,7162,614,614,612.15,612.85,10241,619.6,607.0,619.6,607.0
2025-03-05,615,621.5,614.15,617.25,35254,627.85,627.85,627.6,627.7,7862,628.25,628.45,628.25,628.45,12205,630.2,614.15,630.2,614.15
2025-03-06,634.9,638.9,631.2,638.9,36438,624.85,624.9,623.8,624,10852,623.4,624.5,623.4,624.5,6989,639.25,623.0,639.25,623.0
2025-03-07,624.55,625,620.4,623.35,9716,629.3,629.3,629.05,629.05,16225,629,629.95,629,629.7,8371,642.7,620.4,642.7,620.4
2025-03-10,631.45,635.25,627.8,635.25,20190,614.85,615.1,613.8,614.45,8219,615,615.05,613.4,613.4,6344,637.0,613.8,637.0,613.4
2025-03-11,613.45,614.85,608.4,608.65,21912,615,615,614.95,615,41146,615,615,614.95,615,30137,618.85,602.35,618.85,602.35
2025-03-12,617.95,619.75,617.05,619,10338,607.5,607.5,606.85,607.4,16392,608.2,608.9,608.05,608.7,5747,620.15,599.95,620.15,599.95
2025-03-13,610.9,613,610.2,610.45,6533,601.9,601.9,601.35,601.55,17636,602,603,601.95,602.5,4864,614.4,600.4,614.4,600.4
2025-03-17,601.45,607.3,601.45,606.75,11220,626.25,626.7,625.85,626.25,24901,626,627.9,625.95,626,40020,626.95,601.45,627.9,601.45
2025-03-18,630,630.65,624.6,627.25,26626,635.1,635.4,635,635.2,20983,635.1,636.75,634.85,635.2,21216,635.9,623.15,636.75,623.15
