CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
30020.05,30000,29830.2,29741,EQ,ABBOTINDIA,2024-12-31T18:30:00.000Z,2799,5346,159697955,30080,29610.05,30.66,1639,29872.42,01-Jan-2025
29957.25,29883.45,30020,30020.05,EQ,ABBOTINDIA,2025-01-01T18:30:00.000Z,3543,6136,183886050.35,30186.05,29770,32.5,1994,29968.39,02-Jan-2025
29490.2,29462,30049,29957.25,EQ,ABBOTINDIA,2025-01-02T18:30:00.000Z,4181,6842,202539455.95,30122.35,29352.1,35.81,2450,29602.38,03-Jan-2025
29950.6,29970.6,29390.2,29490.2,EQ,ABBOTINDIA,2025-01-05T18:30:00.000Z,5946,12181,362353646.7,29989.95,29311.8,37.84,4609,29747.45,06-Jan-2025
29959.65,30000,30000,29950.6,EQ,ABBOTINDIA,2025-01-06T18:30:00.000Z,9563,19691,595034332.45,30668,29905.05,41.14,8101,30218.59,07-Jan-2025
29608.25,29500,30001.05,29959.65,EQ,ABBOTINDIA,2025-01-07T18:30:00.000Z,5247,9626,286907263.4,30200,29461.5,38.74,3729,29805.45,08-Jan-2025
29753.85,29700,29500,29608.25,EQ,ABBOTINDIA,2025-01-08T18:30:00.000Z,4016,7682,228486450.1,29930,29449.95,34.38,2641,29743.09,09-Jan-2025
28772.8,28849.1,29748,29753.85,EQ,ABBOTINDIA,2025-01-09T18:30:00.000Z,3456,7476,217845578.2,29821.95,28720.2,40.52,3029,29139.32,10-Jan-2025
28555.8,28450.2,28613,28772.8,EQ,ABBOTINDIA,2025-01-12T18:30:00.000Z,3736,8154,232129657.55,28656.25,28242.1,40.35,3290,28468.19,13-Jan-2025
28235.55,28370,28555.8,28555.8,EQ,ABBOTINDIA,2025-01-13T18:30:00.000Z,4017,10667,302383107.85,28700.1,28170.75,39,4160,28347.53,14-Jan-2025
