CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
526.65,525.5,531,529.45,EQ,ADANIPOWER,2024-12-31T18:30:00.000Z,53929,3063854,1620246566.6,534.35,525,17.57,538302,528.83,01-Jan-2025
521.8,521.55,529,526.65,EQ,ADANIPOWER,2025-01-01T18:30:00.000Z,44369,2056552,1077826456.2,529.8,520,30.89,635303,524.09,02-Jan-2025
520.45,519,523,521.8,EQ,ADANIPOWER,2025-01-02T18:30:00.000Z,53360,2965056,1556081480.15,532.25,518.05,25.59,758904,524.81,03-Jan-2025
498.3,498.05,519,520.45,EQ,ADANIPOWER,2025-01-05T18:30:00.000Z,80483,2987088,1509054881.55,520,496,34.24,1022694,505.19,06-Jan-2025
509.85,508.75,498.95,498.3,EQ,ADANIPOWER,2025-01-06T18:30:00.000Z,101228,5606797,2871134689.05,521.45,497.55,20.87,1170404,512.08,07-Jan-2025
504.95,505.7,514.45,509.85,EQ,ADANIPOWER,2025-01-07T18:30:00.000Z,44823,2312110,1170848667.05,514.45,502.9,24.47,565746,506.4,08-Jan-2025
497.9,498,507,504.95,EQ,ADANIPOWER,2025-01-08T18:30:00.000Z,44593,1723426,865680386.4,508.8,496.3,31.01,534349,502.3,09-Jan-2025
482.3,482.75,498,497.9,EQ,ADANIPOWER,2025-01-09T18:30:00.000Z,96597,3638409,1768341686.6,502.9,478.45,29.03,1056245,486.02,10-Jan-2025
449.9,452.7,476.05,482.3,EQ,ADANIPOWER,2025-01-12T18:30:00.000Z,134801,5369628,2482027653.95,477.95,445,37.36,2005848,462.23,13-Jan-2025
537,539.85,460,449.9,EQ,ADANIPOWER,2025-01-13T18:30:00.000Z,557617,51113423,26528100215.9,539.85,459.95,11.9,6081716,519,14-Jan-2025
