CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
10406.3,10406,10318,10317.6,EQ,APARINDS,2024-12-31T18:30:00.000Z,12784,55008,572757422,10509.75,10300.55,42.43,23338,10412.26,01-Jan-2025
10519.85,10510,10487.1,10406.3,EQ,APARINDS,2025-01-01T18:30:00.000Z,12524,60707,637592586.4,10566.05,10340.05,53.05,32204,10502.79,02-Jan-2025
10950.7,10881.05,10500,10519.85,EQ,APARINDS,2025-01-02T18:30:00.000Z,64141,269128,2945895452.3,11160,10491.2,21.04,56635,10946.08,03-Jan-2025
11154.15,11177,10961.5,10950.7,EQ,APARINDS,2025-01-05T18:30:00.000Z,39616,165427,1823165615.6,11249.8,10715.3,38.82,64226,11020.97,06-Jan-2025
11666,11670,11179.15,11154.15,EQ,APARINDS,2025-01-06T18:30:00.000Z,41314,162658,1860968255.8,11750,11095,25.91,42141,11440.99,07-Jan-2025
10785.15,10733,11713.8,11666,EQ,APARINDS,2025-01-07T18:30:00.000Z,34967,123293,1378606758.45,11779.9,10715.55,32,39458,11181.55,08-Jan-2025
10514.4,10503,10833.85,10785.15,EQ,APARINDS,2025-01-08T18:30:00.000Z,33475,109708,1162301740.5,10875.2,10383.45,30.69,33671,10594.5,09-Jan-2025
10596.1,10570,10598,10514.4,EQ,APARINDS,2025-01-09T18:30:00.000Z,23535,83731,881757070,10757.95,10301.1,34.74,29089,10530.83,10-Jan-2025
10231.15,10150,10500.05,10596.1,EQ,APARINDS,2025-01-12T18:30:00.000Z,39211,141855,1436082041.5,10570,9861,43.14,61196,10123.59,13-Jan-2025
10347.2,10339.95,10242.05,10231.15,EQ,APARINDS,2025-01-13T18:30:00.000Z,27369,121656,1252412947.15,10595,10060,44.97,54705,10294.71,14-Jan-2025
10303.05,10269.9,10350.7,10347.2,EQ,APARINDS,2025-01-14T18:30:00.000Z,23446,85420,893065277.15,10673,10164.9,44.56,38063,10454.99,15-Jan-2025
10042.5,10080,10328.55,10303.05,EQ,APARINDS,2025-01-15T18:30:00.000Z,17555,55123,562522589.4,10436.8,10000.05,41.29,22763,10204.86,16-Jan-2025
10078.85,10045,10127.4,10042.5,EQ,APARINDS,2025-01-16T18:30:00.000Z,11190,40798,408557504.55,10146.45,9890,32.68,13332,10014.16,17-Jan-2025
10103,10090,10178,10078.85,EQ,APARINDS,2025-01-19T18:30:00.000Z,11695,34449,347748834.75,10178,9968.85,30.39,10470,10094.6,20-Jan-2025
10170.5,10205,10150,10103,EQ,APARINDS,2025-01-20T18:30:00.000Z,14292,72084,727757503.5,10225.4,9980,60.54,43640,10095.96,21-Jan-2025
9897.9,9879.8,10132,10170.5,EQ,APARINDS,2025-01-21T18:30:00.000Z,19662,99221,982851682.45,10172.45,9835,63.23,62734,9905.68,22-Jan-2025
9700.3,9717,9898,9897.9,EQ,APARINDS,2025-01-22T18:30:00.000Z,27272,188664,1833838939.85,9898,9621,73.07,137864,9720.13,23-Jan-2025
9311.7,9315,9782.7,9700.3,EQ,APARINDS,2025-01-23T18:30:00.000Z,21723,195857,1857140740.05,9788.35,9270,77.62,152032,9482.13,24-Jan-2025
8963.8,8964.95,9300,9311.7,EQ,APARINDS,2025-01-26T18:30:00.000Z,34888,121198,1076851914.95,9300,8714.2,38.13,46210,8885.06,27-Jan-2025
7173.7,7179,8763.8,8963.8,EQ,APARINDS,2025-01-27T18:30:00.000Z,127063,848938,6428921296,8889.9,7171.05,26.49,224856,7572.9,28-Jan-2025
7282,7232.85,7170.05,7173.7,EQ,APARINDS,2025-01-28T18:30:00.000Z,136697,1017235,7106106664.4,7350,6690,32.16,327128,6985.71,29-Jan-2025
7430.15,7351,7341.2,7282,EQ,APARINDS,2025-01-29T18:30:00.000Z,32651,221625,1632745019,7646,7091,34.83,77184,7367.15,30-Jan-2025
7491.95,7460,7430.15,7430.15,EQ,APARINDS,2025-01-30T18:30:00.000Z,15328,121598,907585517.95,7619,7228.45,49.36,60025,7463.82,31-Jan-2025
7400.7,7405,7494.25,7491.95,EQ,APARINDS,2025-01-31T18:30:00.000Z,15281,101257,768300063.7,7795,7330,36.58,37036,7587.62,01-Feb-2025
7239.2,7212,7370.05,7400.7,EQ,APARINDS,2025-02-02T18:30:00.000Z,33661,182551,1331625172.4,7629.7,7106.2,52.73,96262,7294.54,03-Feb-2025
7133.8,7122,7289,7239.2,EQ,APARINDS,2025-02-03T18:30:00.000Z,36607,220887,1563958380.2,7319.35,6940,67.32,148693,7080.36,04-Feb-2025
7304.8,7302.9,7138.9,7133.8,EQ,APARINDS,2025-02-04T18:30:00.000Z,12874,59398,432868474.25,7355,7138.9,45.44,26989,7287.59,05-Feb-2025
7296.1,7292.9,7320.85,7304.8,EQ,APARINDS,2025-02-05T18:30:00.000Z,20392,69085,504347986.65,7468.15,7208,42.51,29367,7300.4,06-Feb-2025
7103.05,7090,7252.05,7296.1,EQ,APARINDS,2025-02-06T18:30:00.000Z,19539,119776,861271928.1,7331.95,7077,58.34,69883,7190.69,07-Feb-2025
6728.2,6711,7121.55,7103.05,EQ,APARINDS,2025-02-09T18:30:00.000Z,43826,206821,1398319482.2,7125.5,6660.85,53.7,111058,6761.01,10-Feb-2025
