CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
1585.45,1585.1,1560,1568.25,EQ,APLAPOLLO,2024-12-31T18:30:00.000Z,33422,564350,892113746.25,1596.9,1560,32.81,185160,1580.78,01-Jan-2025
1587.2,1583,1585,1585.45,EQ,APLAPOLLO,2025-01-01T18:30:00.000Z,36443,563584,894418174.95,1598.35,1573.55,56.37,317675,1587.02,02-Jan-2025
1616.75,1620,1601.55,1587.2,EQ,APLAPOLLO,2025-01-02T18:30:00.000Z,31918,567607,915275658,1624.95,1590,48.12,273108,1612.52,03-Jan-2025
1591.75,1595,1624,1616.75,EQ,APLAPOLLO,2025-01-05T18:30:00.000Z,40170,451456,722380038.6,1635.3,1585,49.92,225389,1600.11,06-Jan-2025
1593.15,1591.45,1590,1591.75,EQ,APLAPOLLO,2025-01-06T18:30:00.000Z,27671,370954,591768267.1,1613.4,1577.55,58.08,215453,1595.26,07-Jan-2025
1538.6,1534.5,1604,1593.15,EQ,APLAPOLLO,2025-01-07T18:30:00.000Z,23361,260263,402880572.95,1604,1522,46.21,120269,1547.97,08-Jan-2025
1550.8,1550.05,1530,1538.6,EQ,APLAPOLLO,2025-01-08T18:30:00.000Z,19219,223277,344190198.4,1554.35,1524.1,50.11,111873,1541.54,09-Jan-2025
1520.7,1515.05,1548,1550.8,EQ,APLAPOLLO,2025-01-09T18:30:00.000Z,18347,416710,636793369.8,1549.95,1510,69.41,289254,1528.15,10-Jan-2025
1424.1,1423.6,1502,1520.7,EQ,APLAPOLLO,2025-01-12T18:30:00.000Z,88360,1012887,1456891240.7,1502,1415.4,62.93,637392,1438.36,13-Jan-2025
1466.9,1463.9,1437.45,1424.1,EQ,APLAPOLLO,2025-01-13T18:30:00.000Z,41038,722631,1060715453.95,1490.3,1430.05,55.38,400217,1467.85,14-Jan-2025
1513.3,1510,1468.3,1466.9,EQ,APLAPOLLO,2025-01-14T18:30:00.000Z,51967,884934,1333173980.25,1522.35,1468.25,54.25,480096,1506.52,15-Jan-2025
1548.8,1544.9,1525,1513.3,EQ,APLAPOLLO,2025-01-15T18:30:00.000Z,30996,473343,728113466.45,1552.15,1508.6,46.84,221705,1538.24,16-Jan-2025
1570.15,1570,1558,1548.8,EQ,APLAPOLLO,2025-01-16T18:30:00.000Z,34363,447420,705581326.05,1598.4,1550.65,26.14,116950,1577,17-Jan-2025
1590.05,1592,1584.95,1570.15,EQ,APLAPOLLO,2025-01-19T18:30:00.000Z,59972,1279235,2042476070.3,1618.65,1550.75,39.84,509652,1596.64,20-Jan-2025
1584.2,1586.5,1617.65,1590.05,EQ,APLAPOLLO,2025-01-20T18:30:00.000Z,75611,1333837,2142182124.4,1643.35,1570.45,28.05,374129,1606.03,21-Jan-2025
1559.55,1560,1588,1584.2,EQ,APLAPOLLO,2025-01-21T18:30:00.000Z,30118,556417,863703939.8,1602.1,1531.55,57.42,319480,1552.26,22-Jan-2025
1582.85,1582.9,1560,1559.55,EQ,APLAPOLLO,2025-01-22T18:30:00.000Z,26193,401870,636352549.55,1603.4,1554.05,52.09,209351,1583.48,23-Jan-2025
1561.4,1560.1,1582.9,1582.85,EQ,APLAPOLLO,2025-01-23T18:30:00.000Z,27029,539946,849696814.55,1599.4,1556.15,54.37,293561,1573.67,24-Jan-2025
1515.95,1509,1527.6,1561.4,EQ,APLAPOLLO,2025-01-26T18:30:00.000Z,29473,375050,569260075.45,1541.35,1498.65,51.54,193289,1517.82,27-Jan-2025
1488.8,1490,1515,1515.95,EQ,APLAPOLLO,2025-01-27T18:30:00.000Z,29033,295078,436972327.6,1515.65,1452.05,39.54,116686,1480.87,28-Jan-2025
1521.95,1517,1488,1488.8,EQ,APLAPOLLO,2025-01-28T18:30:00.000Z,12644,156856,238311935.9,1530,1485.7,37.42,58701,1519.3,29-Jan-2025
1475.9,1475,1529.8,1521.95,EQ,APLAPOLLO,2025-01-29T18:30:00.000Z,32369,371995,556581274.35,1535.5,1469,50.74,188762,1496.21,30-Jan-2025
1509.55,1512.2,1475.9,1475.9,EQ,APLAPOLLO,2025-01-30T18:30:00.000Z,20285,254143,380152536.3,1518,1463.7,46.88,119132,1495.82,31-Jan-2025
1506.2,1501.85,1509.55,1509.55,EQ,APLAPOLLO,2025-01-31T18:30:00.000Z,9720,162076,241917540.15,1530,1452,21.04,34105,1492.62,01-Feb-2025
1442.3,1445.45,1495.55,1506.2,EQ,APLAPOLLO,2025-02-02T18:30:00.000Z,40919,514600,744257531.1,1495.55,1430,52.38,269547,1446.28,03-Feb-2025
1437.6,1435.65,1447.1,1442.3,EQ,APLAPOLLO,2025-02-03T18:30:00.000Z,59606,867528,1236204372.9,1462.85,1401.5,63.49,550783,1424.97,04-Feb-2025
1428.2,1434,1433.05,1437.6,EQ,APLAPOLLO,2025-02-04T18:30:00.000Z,23391,410540,588855783.9,1459.7,1422.2,61.18,251167,1434.34,05-Feb-2025
1420.6,1420,1430.5,1428.2,EQ,APLAPOLLO,2025-02-05T18:30:00.000Z,30048,317100,449500046.4,1438.95,1406,62.28,197501,1417.53,06-Feb-2025
1427.85,1428,1420.6,1420.6,EQ,APLAPOLLO,2025-02-06T18:30:00.000Z,23979,596679,851629414,1449.5,1395.25,50.18,299422,1427.28,07-Feb-2025
1406.6,1400,1433.8,1427.85,EQ,APLAPOLLO,2025-02-09T18:30:00.000Z,22169,380525,535099883.9,1438,1398.6,59.11,224913,1406.21,10-Feb-2025
1377.9,1372,1404.9,1406.6,EQ,APLAPOLLO,2025-02-10T18:30:00.000Z,38264,392746,542364202.3,1415.85,1364.35,57.88,227320,1380.95,11-Feb-2025
1339.95,1339.85,1377.9,1377.9,EQ,APLAPOLLO,2025-02-11T18:30:00.000Z,49554,446016,600884342.45,1386.4,1320,43.38,193493,1347.23,12-Feb-2025
1374.2,1366.5,1329.85,1339.95,EQ,APLAPOLLO,2025-02-12T18:30:00.000Z,62521,479618,658766570.8,1395.5,1329.85,47.28,226784,1373.52,13-Feb-2025
1303.05,1297,1370.5,1374.2,EQ,APLAPOLLO,2025-02-13T18:30:00.000Z,41774,556945,733019309.7,1382.5,1293,61.87,344568,1316.14,14-Feb-2025
1333.75,1332.3,1306.75,1303.05,EQ,APLAPOLLO,2025-02-16T18:30:00.000Z,51949,655880,860594870.55,1343,1272.7,50.11,328660,1312.12,17-Feb-2025
1324.9,1315.55,1340.5,1333.75,EQ,APLAPOLLO,2025-02-17T18:30:00.000Z,22544,361853,477164807.85,1341.4,1309.75,56.64,204943,1318.67,18-Feb-2025
1380.65,1384.85,1315,1324.9,EQ,APLAPOLLO,2025-02-18T18:30:00.000Z,54098,1388508,1883633303.9,1385,1311.1,52.45,728333,1356.59,19-Feb-2025
1476.6,1473.5,1373.85,1380.65,EQ,APLAPOLLO,2025-02-19T18:30:00.000Z,119458,1684963,2440605748.2,1481.95,1373.7,37.19,626675,1448.46,20-Feb-2025
1489.2,1483,1500,1476.6,EQ,APLAPOLLO,2025-02-20T18:30:00.000Z,124458,1727780,2597748000.95,1537.5,1471,36.96,638528,1503.52,21-Feb-2025
1471.8,1474,1480,1489.2,EQ,APLAPOLLO,2025-02-23T18:30:00.000Z,33186,440041,649724944.8,1493.65,1462.5,52.03,228955,1476.51,24-Feb-2025
1464.65,1459.75,1471.8,1471.8,EQ,APLAPOLLO,2025-02-24T18:30:00.000Z,47541,589959,866598945.15,1483,1457.4,63.5,374635,1468.91,25-Feb-2025
1438.3,1436,1461.85,1464.65,EQ,APLAPOLLO,2025-02-26T18:30:00.000Z,44394,438871,635481327.45,1472.8,1431,48.85,214392,1447.99,27-Feb-2025
1438.95,1430.45,1427.95,1438.3,EQ,APLAPOLLO,2025-02-27T18:30:00.000Z,64192,1253631,1788580172.85,1453.8,1383.85,62.43,782630,1426.72,28-Feb-2025
1428.05,1425.05,1426.35,1438.95,EQ,APLAPOLLO,2025-03-02T18:30:00.000Z,50386,610143,862696678.85,1443.45,1378.5,43.85,267565,1413.93,03-Mar-2025
