CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
577.45,580,564.7,564.7,EQ,BLUEJET,2024-12-31T18:30:00.000Z,6020,203224,117001417.75,584.45,564.65,48.07,97685,575.73,01-Jan-2025
586.45,583,581.5,577.45,EQ,BLUEJET,2025-01-01T18:30:00.000Z,7086,323506,188937117.65,588.8,576.25,52.39,169495,584.03,02-Jan-2025
598.95,596,587.5,586.45,EQ,BLUEJET,2025-01-02T18:30:00.000Z,8516,327453,193993906.4,608.2,576.7,48.55,158965,592.43,03-Jan-2025
574.7,580,612.1,598.95,EQ,BLUEJET,2025-01-05T18:30:00.000Z,9388,271856,158636728,612.15,570.65,49.7,135125,583.53,06-Jan-2025
607.15,604,579.65,574.7,EQ,BLUEJET,2025-01-06T18:30:00.000Z,9962,389818,233945877.8,611.85,579.65,59.37,231448,600.14,07-Jan-2025
599.05,595.15,619,607.15,EQ,BLUEJET,2025-01-07T18:30:00.000Z,9041,279052,168126284.45,624,590.5,41.81,116668,602.49,08-Jan-2025
582.6,582.25,598.5,599.05,EQ,BLUEJET,2025-01-08T18:30:00.000Z,4176,102140,60094768.25,599.3,580.2,44.43,45376,588.36,09-Jan-2025
571.5,570.6,582.1,582.6,EQ,BLUEJET,2025-01-09T18:30:00.000Z,8217,198481,113743022.7,584.6,560.5,37,73441,573.07,10-Jan-2025
570.2,567,564,571.5,EQ,BLUEJET,2025-01-12T18:30:00.000Z,6400,194730,110487549.1,584,555.25,44.86,87349,567.39,13-Jan-2025
581.4,582,573.85,570.2,EQ,BLUEJET,2025-01-13T18:30:00.000Z,5231,134689,77886712.9,593.55,565,34.9,47006,578.27,14-Jan-2025
587.05,588,581,581.4,EQ,BLUEJET,2025-01-14T18:30:00.000Z,3969,124786,72465581.3,589.4,568.6,39.17,48873,580.72,15-Jan-2025
591.55,593,590,587.05,EQ,BLUEJET,2025-01-15T18:30:00.000Z,5088,190240,112502602.05,600.1,578.95,55.19,104984,591.37,16-Jan-2025
596.05,597.4,586,591.55,EQ,BLUEJET,2025-01-16T18:30:00.000Z,6319,267152,159928448.8,606.85,583.7,59.75,159635,598.64,17-Jan-2025
597.8,595.1,586,596.05,EQ,BLUEJET,2025-01-19T18:30:00.000Z,5811,306241,183746047.1,608,586,66.19,202686,600,20-Jan-2025
581.45,586,596.9,597.8,EQ,BLUEJET,2025-01-20T18:30:00.000Z,3449,101938,59909583.35,600,577.95,53.23,54257,587.71,21-Jan-2025
558.75,557,581.45,581.45,EQ,BLUEJET,2025-01-21T18:30:00.000Z,6977,209887,118877742.05,588.9,552.4,54.31,113982,566.39,22-Jan-2025
591.4,590.5,556,558.75,EQ,BLUEJET,2025-01-22T18:30:00.000Z,9306,336699,195471735.75,595,556,59.32,199735,580.55,23-Jan-2025
582.85,573.1,591.4,591.4,EQ,BLUEJET,2025-01-23T18:30:00.000Z,6746,155912,91492704.15,598.5,571.35,47.29,73725,586.82,24-Jan-2025
570.55,569.35,575,582.85,EQ,BLUEJET,2025-01-26T18:30:00.000Z,9546,511630,297448561.3,590.5,565.5,73.9,378071,581.37,27-Jan-2025
