CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
5324.2,5319,5429,5385.1,EQ,CRAFTSMAN,2024-12-31T18:30:00.000Z,3490,11261,60162995.85,5429,5301.5,34.53,3888,5342.6,01-Jan-2025
5336.85,5320.9,5324.2,5324.2,EQ,CRAFTSMAN,2025-01-01T18:30:00.000Z,5013,16370,87251524.4,5375,5282.05,37.48,6136,5329.96,02-Jan-2025
5327.6,5325,5348.5,5336.85,EQ,CRAFTSMAN,2025-01-02T18:30:00.000Z,3834,10410,55526135.4,5400,5301.95,39.33,4094,5333.92,03-Jan-2025
5227.9,5200.05,5250,5327.6,EQ,CRAFTSMAN,2025-01-05T18:30:00.000Z,12437,38628,202874951.6,5417.95,5200,41.92,16194,5252.02,06-Jan-2025
5254.15,5265,5220,5227.9,EQ,CRAFTSMAN,2025-01-06T18:30:00.000Z,5161,12549,66039627.45,5325.2,5220,38.1,4781,5262.54,07-Jan-2025
5202.85,5200,5270,5254.15,EQ,CRAFTSMAN,2025-01-07T18:30:00.000Z,14997,64904,342377918,5378,5200,37.28,24199,5275.14,08-Jan-2025
5197.25,5202,5254.9,5202.85,EQ,CRAFTSMAN,2025-01-08T18:30:00.000Z,3182,13492,70245826.35,5272.45,5157,49.48,6676,5206.48,09-Jan-2025
5200.15,5212,5197.25,5197.25,EQ,CRAFTSMAN,2025-01-09T18:30:00.000Z,5993,62113,322977491.1,5247.7,5155.4,80.36,49912,5199.84,10-Jan-2025
4974.75,4960,5121.9,5200.15,EQ,CRAFTSMAN,2025-01-12T18:30:00.000Z,8888,42756,213862740.75,5165.9,4944,63.74,27251,5001.94,13-Jan-2025
4975.15,4951,4989,4974.75,EQ,CRAFTSMAN,2025-01-13T18:30:00.000Z,5578,25714,128054117.05,5072.7,4926.65,51.63,13276,4979.94,14-Jan-2025
4817.45,4819,4975.15,4975.15,EQ,CRAFTSMAN,2025-01-14T18:30:00.000Z,11094,45145,218418301.6,4989.7,4782.1,40.68,18364,4838.15,15-Jan-2025
4850.95,4856.65,4852,4817.45,EQ,CRAFTSMAN,2025-01-15T18:30:00.000Z,5117,41852,203444006,4951.15,4824,69.74,29186,4861.03,16-Jan-2025
4733.25,4748,4857,4850.95,EQ,CRAFTSMAN,2025-01-16T18:30:00.000Z,6270,17063,81521248.05,4880,4715,42.99,7335,4777.66,17-Jan-2025
