CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
3230.5,3225,3274,3274,EQ,CUMMINSIND,2024-12-31T18:30:00.000Z,26564,254916,824659743.15,3274,3222,59.18,150861,3235.03,01-Jan-2025
3257.45,3265,3230.5,3230.5,EQ,CUMMINSIND,2025-01-01T18:30:00.000Z,50344,924230,2979612148.8,3274,3192.75,67.38,622774,3223.89,02-Jan-2025
3216.9,3220.1,3275,3257.45,EQ,CUMMINSIND,2025-01-02T18:30:00.000Z,45874,720321,2322398302.75,3299,3200,67.22,484235,3224.12,03-Jan-2025
3176.2,3177.5,3237.95,3216.9,EQ,CUMMINSIND,2025-01-05T18:30:00.000Z,97380,956388,3045275421.85,3239.95,3151.8,62.55,598190,3184.14,06-Jan-2025
3164.5,3165.7,3176.2,3176.2,EQ,CUMMINSIND,2025-01-06T18:30:00.000Z,55434,554853,1762280222.5,3227.95,3152.05,66.86,370967,3176.12,07-Jan-2025
3163.9,3158.55,3215,3164.5,EQ,CUMMINSIND,2025-01-07T18:30:00.000Z,47302,448082,1413876440.45,3215,3121.85,58.53,262271,3155.4,08-Jan-2025
3108.5,3104,3164.1,3163.9,EQ,CUMMINSIND,2025-01-08T18:30:00.000Z,57830,762592,2380257434.3,3172.7,3088.4,69.83,532525,3121.27,09-Jan-2025
2999.45,2988.9,3105,3108.5,EQ,CUMMINSIND,2025-01-09T18:30:00.000Z,55500,632659,1918529515.95,3113.45,2988.9,60.26,381224,3032.49,10-Jan-2025
2873.35,2869,2952.6,2999.45,EQ,CUMMINSIND,2025-01-12T18:30:00.000Z,52656,597634,1739545605.1,2988.6,2853.65,56.25,336178,2910.72,13-Jan-2025
2940.95,2943.5,2873.35,2873.35,EQ,CUMMINSIND,2025-01-13T18:30:00.000Z,49324,331376,967401501.25,2950,2873.35,60.07,199059,2919.35,14-Jan-2025
2888.3,2875.65,2962,2940.95,EQ,CUMMINSIND,2025-01-14T18:30:00.000Z,72415,677709,1953052402.6,2964.95,2840.1,59.9,405939,2881.85,15-Jan-2025
2924.95,2925,2890,2888.3,EQ,CUMMINSIND,2025-01-15T18:30:00.000Z,54848,585735,1708940838.75,2939.2,2886.5,66.11,387204,2917.6,16-Jan-2025
2935.25,2933.15,2924.95,2924.95,EQ,CUMMINSIND,2025-01-16T18:30:00.000Z,24920,226368,664814243.9,2959.95,2908,51.98,117673,2936.87,17-Jan-2025
2943.3,2940.35,2959,2935.25,EQ,CUMMINSIND,2025-01-19T18:30:00.000Z,27131,227986,667525592.45,2959,2906.85,52.49,119677,2927.92,20-Jan-2025
2903.8,2901,2945,2943.3,EQ,CUMMINSIND,2025-01-20T18:30:00.000Z,46831,403269,1181392579.1,2973,2900,55.25,222819,2929.54,21-Jan-2025
2883.75,2884.45,2925,2903.8,EQ,CUMMINSIND,2025-01-21T18:30:00.000Z,77178,619181,1779309802.55,2925,2822.7,56.25,348314,2873.65,22-Jan-2025
2889.05,2886.05,2883.75,2883.75,EQ,CUMMINSIND,2025-01-22T18:30:00.000Z,36488,256027,741990325.8,2937,2853,55.62,142413,2898.09,23-Jan-2025
2804.05,2811.95,2891,2889.05,EQ,CUMMINSIND,2025-01-23T18:30:00.000Z,31021,269838,768138527.85,2904.7,2799.95,56.64,152837,2846.67,24-Jan-2025
2775.2,2785.3,2814.95,2804.05,EQ,CUMMINSIND,2025-01-26T18:30:00.000Z,40758,454728,1258248260.95,2819.8,2700,50.75,230765,2767.03,27-Jan-2025
2739.6,2750,2786.3,2775.2,EQ,CUMMINSIND,2025-01-27T18:30:00.000Z,72438,622614,1702851122.8,2812.65,2705.2,55.65,346503,2735,28-Jan-2025
2848.9,2840.9,2749.9,2739.6,EQ,CUMMINSIND,2025-01-28T18:30:00.000Z,44388,537445,1527938706.9,2866.2,2741.1,58.39,313818,2842.97,29-Jan-2025
2852.95,2865,2850.4,2848.9,EQ,CUMMINSIND,2025-01-29T18:30:00.000Z,55560,428601,1219616871.95,2875.45,2820,30.67,131436,2845.58,30-Jan-2025
2914.05,2935,2852.95,2852.95,EQ,CUMMINSIND,2025-01-30T18:30:00.000Z,39996,415544,1211432431.65,2943,2837.8,57.28,238016,2915.29,31-Jan-2025
2797.45,2800.8,2944.55,2914.05,EQ,CUMMINSIND,2025-01-31T18:30:00.000Z,92399,1121092,3171960776.55,2996.45,2736.8,51.46,576941,2829.35,01-Feb-2025
2700.7,2698,2790,2797.45,EQ,CUMMINSIND,2025-02-02T18:30:00.000Z,93693,1133967,3079066581.25,2793.5,2660.6,57.12,647738,2715.31,03-Feb-2025
2853.5,2856.95,2710.5,2700.7,EQ,CUMMINSIND,2025-02-03T18:30:00.000Z,132453,1731462,4849828913.55,2863.95,2705.15,51.93,899192,2801,04-Feb-2025
2921.15,2926,2860,2853.5,EQ,CUMMINSIND,2025-02-04T18:30:00.000Z,87801,1117642,3286492490.95,2973,2856.95,49.7,555415,2940.56,05-Feb-2025
2965.1,2963.9,3067,2921.15,EQ,CUMMINSIND,2025-02-05T18:30:00.000Z,150729,2266222,6728983884.55,3090,2924.15,37.6,852125,2969.25,06-Feb-2025
2871.9,2869.65,2989.7,2965.1,EQ,CUMMINSIND,2025-02-06T18:30:00.000Z,110914,1103565,3181961317.45,2989.7,2826.15,37.38,412482,2883.35,07-Feb-2025
2890.4,2886,2876.4,2871.9,EQ,CUMMINSIND,2025-02-09T18:30:00.000Z,88829,1127133,3299106002.45,2976,2870,23.57,265716,2926.99,10-Feb-2025
2836.3,2825,2880,2890.4,EQ,CUMMINSIND,2025-02-10T18:30:00.000Z,82684,813128,2306875116.25,2884,2792,46.43,377512,2837.04,11-Feb-2025
2810.9,2808.5,2825,2836.3,EQ,CUMMINSIND,2025-02-11T18:30:00.000Z,55224,460427,1284924031.5,2830.25,2729.05,39.44,181608,2790.72,12-Feb-2025
2801.3,2806,2820,2810.9,EQ,CUMMINSIND,2025-02-12T18:30:00.000Z,47426,398078,1120391951.25,2870.8,2783.85,42.07,167489,2814.5,13-Feb-2025
2734.8,2718.95,2800,2801.3,EQ,CUMMINSIND,2025-02-13T18:30:00.000Z,53379,420649,1149576980.25,2804.9,2696.2,49.05,206321,2732.87,14-Feb-2025
2721.45,2710.2,2700,2734.8,EQ,CUMMINSIND,2025-02-16T18:30:00.000Z,68297,507208,1370750199.75,2733.2,2636.75,58.87,298583,2702.54,17-Feb-2025
2717,2710,2720,2721.45,EQ,CUMMINSIND,2025-02-17T18:30:00.000Z,58517,661971,1787178297.55,2724.75,2674.1,60.45,400142,2699.78,18-Feb-2025
2690.3,2698.15,2700,2717,EQ,CUMMINSIND,2025-02-18T18:30:00.000Z,86041,908689,2449282947.7,2730.6,2667.3,63.14,573760,2695.4,19-Feb-2025
2818.6,2824.3,2697,2690.3,EQ,CUMMINSIND,2025-02-19T18:30:00.000Z,49075,438545,1221167352.45,2824.45,2675.65,46.26,202875,2784.59,20-Feb-2025
2836.15,2812.35,2800,2818.6,EQ,CUMMINSIND,2025-02-20T18:30:00.000Z,57037,627587,1780062823.5,2860.3,2797,55.86,350576,2836.36,21-Feb-2025
2832.7,2840,2800,2836.15,EQ,CUMMINSIND,2025-02-23T18:30:00.000Z,31176,305219,858507539.5,2840,2768.05,53.73,163987,2812.76,24-Feb-2025
2788.15,2772.55,2832.7,2832.7,EQ,CUMMINSIND,2025-02-24T18:30:00.000Z,43250,379168,1058310500.6,2846.05,2770,58.69,222518,2791.14,25-Feb-2025
2811.15,2802,2766.35,2788.15,EQ,CUMMINSIND,2025-02-26T18:30:00.000Z,48284,496668,1391462714.6,2820.9,2766.35,59.44,295219,2801.6,27-Feb-2025
2717.95,2735,2800,2811.15,EQ,CUMMINSIND,2025-02-27T18:30:00.000Z,54130,826862,2256803118.15,2805,2701.45,65.57,542175,2729.36,28-Feb-2025
2824.8,2826.9,2724.95,2717.95,EQ,CUMMINSIND,2025-03-02T18:30:00.000Z,83026,697974,1938813406.45,2836.6,2693.05,52.83,368741,2777.77,03-Mar-2025
2861.1,2860,2782,2824.8,EQ,CUMMINSIND,2025-03-03T18:30:00.000Z,57045,614448,1746299782.55,2876.15,2758.15,61.89,380268,2842.06,04-Mar-2025
2903.95,2903,2861.1,2861.1,EQ,CUMMINSIND,2025-03-04T18:30:00.000Z,52769,541007,1554785155.5,2910,2822.85,52.11,281921,2873.87,05-Mar-2025
2973.1,2964.5,2922,2903.95,EQ,CUMMINSIND,2025-03-05T18:30:00.000Z,80759,1201264,3577123505.55,3050,2912.65,54.42,653751,2977.8,06-Mar-2025
2899.05,2910,2983.7,2973.1,EQ,CUMMINSIND,2025-03-06T18:30:00.000Z,40408,280406,822978117.25,2990.3,2891.6,49.64,139191,2934.95,07-Mar-2025
2864.45,2846.3,2893,2899.05,EQ,CUMMINSIND,2025-03-09T18:30:00.000Z,35922,434718,1253087654.45,2934.95,2842.55,61.75,268426,2882.53,10-Mar-2025
2875.25,2876.85,2842,2864.45,EQ,CUMMINSIND,2025-03-10T18:30:00.000Z,35972,344048,979782769.15,2890,2808.95,57.42,197555,2847.81,11-Mar-2025
2818.75,2816,2875.25,2875.25,EQ,CUMMINSIND,2025-03-11T18:30:00.000Z,31999,301503,849140421.05,2892.15,2781,45.2,136272,2816.36,12-Mar-2025
2835.25,2828.85,2819.75,2818.75,EQ,CUMMINSIND,2025-03-12T18:30:00.000Z,43071,382212,1090242213.25,2890.5,2808.95,53.93,206127,2852.45,13-Mar-2025
2862.1,2865,2831,2835.25,EQ,CUMMINSIND,2025-03-16T18:30:00.000Z,37161,205971,586983356.8,2872.45,2817.1,48.77,100447,2849.83,17-Mar-2025
2929.65,2930.25,2884,2862.1,EQ,CUMMINSIND,2025-03-17T18:30:00.000Z,37755,247269,720790580.9,2939,2870,46.86,115863,2915.01,18-Mar-2025
3002.2,3004.55,2939.05,2929.65,EQ,CUMMINSIND,2025-03-18T18:30:00.000Z,34451,256853,766656124.8,3014.1,2930.3,47.9,123029,2984.81,19-Mar-2025
2990.6,2985,3025.2,3002.2,EQ,CUMMINSIND,2025-03-19T18:30:00.000Z,30450,249139,744568114.6,3028.95,2948,49.98,124527,2988.57,20-Mar-2025
2937.75,2945,2990,2990.6,EQ,CUMMINSIND,2025-03-20T18:30:00.000Z,54049,764045,2257044913.7,3029.9,2924,66.12,505175,2954.07,21-Mar-2025
3056.25,3065,2945,2937.75,EQ,CUMMINSIND,2025-03-23T18:30:00.000Z,61638,630555,1924112637.85,3078.95,2945,39.95,251900,3051.46,24-Mar-2025
2962.5,2960.95,3080,3056.25,EQ,CUMMINSIND,2025-03-24T18:30:00.000Z,51873,349961,1047780776.85,3085,2946.55,52.46,183607,2993.99,25-Mar-2025
3004.95,3000,2974,2962.5,EQ,CUMMINSIND,2025-03-25T18:30:00.000Z,56237,620642,1877234352.45,3070,2950.55,45.92,284972,3024.67,26-Mar-2025
3004.35,2988.55,3004.95,3004.95,EQ,CUMMINSIND,2025-03-26T18:30:00.000Z,67508,731950,2208383424.55,3056,2976.8,51.48,376838,3017.12,27-Mar-2025
