CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
3561,3562,3560,3561.85,EQ,DMART,2024-12-31T18:30:00.000Z,30908,241116,858904274.65,3586.95,3536.55,51.57,124353,3562.2,01-Jan-2025
3611.1,3615.3,3564.95,3561,EQ,DMART,2025-01-01T18:30:00.000Z,47951,566194,2039987930.85,3635,3550.25,64.96,367823,3602.98,02-Jan-2025
4025.2,4011.9,3840,3611.1,EQ,DMART,2025-01-02T18:30:00.000Z,403198,9284385,37826229508.4,4165.9,3820,22.07,2049286,4074.18,03-Jan-2025
3934.75,3929,4025.2,4025.2,EQ,DMART,2025-01-05T18:30:00.000Z,86875,889155,3544244783.75,4061.75,3920.1,30.98,275431,3986.08,06-Jan-2025
3830.3,3828,3934,3934.75,EQ,DMART,2025-01-06T18:30:00.000Z,66549,672094,2618285168.55,3958.95,3820,49.44,332256,3895.71,07-Jan-2025
3843,3842,3857,3830.3,EQ,DMART,2025-01-07T18:30:00.000Z,67715,849681,3243788544.45,3873.95,3761.8,50.83,431896,3817.65,08-Jan-2025
3813.8,3811.35,3853.5,3843,EQ,DMART,2025-01-08T18:30:00.000Z,47424,727974,2776409582.95,3860,3790.1,68.48,498514,3813.89,09-Jan-2025
3686.25,3702.35,3837.8,3813.8,EQ,DMART,2025-01-09T18:30:00.000Z,83421,902001,3361500531.3,3837.8,3666.65,50.17,452553,3726.71,10-Jan-2025
3507.45,3500,3501,3686.25,EQ,DMART,2025-01-12T18:30:00.000Z,205738,2952386,10524616467.2,3643.95,3469.95,44.66,1318457,3564.78,13-Jan-2025
3476.5,3488,3529.95,3507.45,EQ,DMART,2025-01-13T18:30:00.000Z,89933,746217,2591653404.85,3538.95,3443,52.21,389633,3473.06,14-Jan-2025
3568.45,3570,3500.05,3476.5,EQ,DMART,2025-01-14T18:30:00.000Z,51815,744961,2635743766.5,3578.95,3476.5,57.54,428646,3538.1,15-Jan-2025
3600.95,3604,3570,3568.45,EQ,DMART,2025-01-15T18:30:00.000Z,36218,395260,1426428977.4,3643.3,3570,46.44,183539,3608.84,16-Jan-2025
3620.65,3615,3610,3600.95,EQ,DMART,2025-01-16T18:30:00.000Z,26106,244753,885333222.9,3649.95,3580.95,34.22,83754,3617.25,17-Jan-2025
3614.7,3609,3624,3620.65,EQ,DMART,2025-01-19T18:30:00.000Z,23306,195566,706645522.85,3640,3598,46.16,90274,3613.34,20-Jan-2025
3587.8,3592,3614.7,3614.7,EQ,DMART,2025-01-20T18:30:00.000Z,28791,211130,757940822.45,3630,3547.35,32.52,68652,3589.92,21-Jan-2025
3561.6,3560,3604,3587.8,EQ,DMART,2025-01-21T18:30:00.000Z,36385,320915,1145505915.15,3619,3524.5,48.54,155767,3569.5,22-Jan-2025
3598.35,3600,3555,3561.6,EQ,DMART,2025-01-22T18:30:00.000Z,29689,263606,946604238.9,3609.8,3530,49.12,129480,3590.98,23-Jan-2025
