CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
421.35,422,421,416.55,EQ,EXIDEIND,2024-12-31T18:30:00.000Z,55658,2319841,971855040.25,422.5,415.15,30.44,706066,418.93,01-Jan-2025
429,428.75,423.1,421.35,EQ,EXIDEIND,2025-01-01T18:30:00.000Z,41884,2458894,1043791894.1,430,418.3,40.35,992187,424.5,02-Jan-2025
424.75,424.2,431.6,429,EQ,EXIDEIND,2025-01-02T18:30:00.000Z,34609,1786961,763675692.6,431.6,423.5,46.27,826822,427.36,03-Jan-2025
408.95,409.75,425.05,424.75,EQ,EXIDEIND,2025-01-05T18:30:00.000Z,64895,3033673,1252589662.1,426.5,406.65,43.09,1307112,412.9,06-Jan-2025
409.05,409.3,409.4,408.95,EQ,EXIDEIND,2025-01-06T18:30:00.000Z,43356,2815071,1151573912.1,415.3,404.15,40.2,1131587,409.07,07-Jan-2025
405.45,404.25,409.8,409.05,EQ,EXIDEIND,2025-01-07T18:30:00.000Z,31452,1310142,531043390.8,410.05,402,27.91,365674,405.33,08-Jan-2025
397.45,398.25,404.8,405.45,EQ,EXIDEIND,2025-01-08T18:30:00.000Z,50025,1898879,760668965.9,406.8,396.45,38.04,722318,400.59,09-Jan-2025
389.1,390.25,397.45,397.45,EQ,EXIDEIND,2025-01-09T18:30:00.000Z,69670,3238458,1265430634.85,398,386.6,48.78,1579591,390.75,10-Jan-2025
372.6,372.05,386.8,389.1,EQ,EXIDEIND,2025-01-12T18:30:00.000Z,65766,2608440,992818310.3,390.5,371.25,36.02,939521,380.62,13-Jan-2025
382.25,383.5,368,372.6,EQ,EXIDEIND,2025-01-13T18:30:00.000Z,71462,2978181,1127163217.1,384.4,367.25,38.95,1159916,378.47,14-Jan-2025
382,382.05,386.8,382.25,EQ,EXIDEIND,2025-01-14T18:30:00.000Z,45666,1465678,561096614.05,386.95,379.35,35.45,519588,382.82,15-Jan-2025
387.95,388.5,388,382,EQ,EXIDEIND,2025-01-15T18:30:00.000Z,31498,1523084,592801990,393.8,385.4,30.58,465809,389.21,16-Jan-2025
389.55,389.95,388,387.95,EQ,EXIDEIND,2025-01-16T18:30:00.000Z,32939,1058356,411391445.05,391.55,384.55,34.57,365856,388.71,17-Jan-2025
391.55,390.85,391.6,389.55,EQ,EXIDEIND,2025-01-19T18:30:00.000Z,41860,1716427,669271695.85,393.35,386.4,35.11,602675,389.92,20-Jan-2025
377.15,377.6,392.6,391.55,EQ,EXIDEIND,2025-01-20T18:30:00.000Z,59050,2677761,1024121966.25,394.4,376.45,42.87,1147865,382.45,21-Jan-2025
375.7,375.7,379,377.15,EQ,EXIDEIND,2025-01-21T18:30:00.000Z,38157,2226469,828764054.5,379.7,367.6,40.85,909534,372.23,22-Jan-2025
