CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
4162.55,4166.95,4199.95,4199.05,EQ,HDFCAMC,2024-12-31T18:30:00.000Z,27595,297058,1237605534.05,4217.8,4145.1,65.82,195530,4166.21,01-Jan-2025
4281.95,4285.85,4180,4162.55,EQ,HDFCAMC,2025-01-01T18:30:00.000Z,50109,303954,1287852590.15,4292.55,4160.05,53.66,163115,4237,02-Jan-2025
4224.65,4227,4298,4281.95,EQ,HDFCAMC,2025-01-02T18:30:00.000Z,54286,476512,2009432626.5,4310,4160.8,60.71,289290,4216.96,03-Jan-2025
4104.95,4102.9,4200,4224.65,EQ,HDFCAMC,2025-01-05T18:30:00.000Z,77961,825389,3380937936.9,4238.45,4022,57.56,475074,4096.18,06-Jan-2025
4071.7,4064.1,4090.9,4104.95,EQ,HDFCAMC,2025-01-06T18:30:00.000Z,37646,288911,1179683770.4,4129.9,4062.45,61.37,177292,4083.21,07-Jan-2025
4062.45,4064.8,4079.65,4071.7,EQ,HDFCAMC,2025-01-07T18:30:00.000Z,64660,497575,2007858662.7,4081.65,3992,57.16,284396,4035.29,08-Jan-2025
3950.4,3954.1,4062.45,4062.45,EQ,HDFCAMC,2025-01-08T18:30:00.000Z,27625,179478,715466622.95,4079.95,3942,49.81,89400,3986.38,09-Jan-2025
3844.8,3851.45,3959.95,3950.4,EQ,HDFCAMC,2025-01-09T18:30:00.000Z,46024,473532,1840107313.65,3978.95,3832.95,58.16,275388,3885.92,10-Jan-2025
3834.55,3832.35,3800,3844.8,EQ,HDFCAMC,2025-01-12T18:30:00.000Z,44292,398420,1536088546.8,3904.95,3792.2,44.67,177967,3855.45,13-Jan-2025
3865.05,3899.05,3852.35,3834.55,EQ,HDFCAMC,2025-01-13T18:30:00.000Z,53558,662998,2580803369.75,3947.1,3813.35,31.94,211783,3892.63,14-Jan-2025
4047.5,4037.05,3901.85,3865.05,EQ,HDFCAMC,2025-01-14T18:30:00.000Z,149003,1864301,7506100323.5,4114.95,3841.05,24.21,451334,4026.23,15-Jan-2025
4090.7,4093.95,4047.85,4047.5,EQ,HDFCAMC,2025-01-15T18:30:00.000Z,41783,357898,1462683106.85,4118,4045,47.91,171457,4086.87,16-Jan-2025
4030.85,4046.9,4090,4090.7,EQ,HDFCAMC,2025-01-16T18:30:00.000Z,27802,297514,1200810004.85,4099.9,4006.05,56.78,168918,4036.15,17-Jan-2025
4040.4,4038.45,4038.65,4030.85,EQ,HDFCAMC,2025-01-19T18:30:00.000Z,33172,411921,1664167023.25,4089.95,4000.6,64.05,263829,4040.02,20-Jan-2025
4029.7,4030,4043.95,4040.4,EQ,HDFCAMC,2025-01-20T18:30:00.000Z,43110,410609,1660371245.3,4085.5,4011.75,66.3,272230,4043.68,21-Jan-2025
3951.1,3965,4059.8,4029.7,EQ,HDFCAMC,2025-01-21T18:30:00.000Z,60410,506125,2009154740.5,4059.8,3925.5,63.62,321983,3969.68,22-Jan-2025
4001.7,4000,3942,3951.1,EQ,HDFCAMC,2025-01-22T18:30:00.000Z,46302,298595,1193405553.95,4033.1,3904.45,57.48,171629,3996.74,23-Jan-2025
3877.8,3880.35,4028.9,4001.7,EQ,HDFCAMC,2025-01-23T18:30:00.000Z,38012,296525,1166666799.1,4045,3864.3,48.13,142715,3934.46,24-Jan-2025
3714.2,3716,3860.35,3877.8,EQ,HDFCAMC,2025-01-26T18:30:00.000Z,81219,576684,2154967664.4,3864,3700,59.6,343717,3736.83,27-Jan-2025
3688.65,3671.55,3776.35,3714.2,EQ,HDFCAMC,2025-01-27T18:30:00.000Z,34930,358687,1330509778.5,3776.35,3661.6,44.59,159923,3709.39,28-Jan-2025
3785.7,3780,3699.95,3688.65,EQ,HDFCAMC,2025-01-28T18:30:00.000Z,19950,129136,484691225.6,3794.45,3682.2,36.92,47683,3753.34,29-Jan-2025
3769.35,3765.65,3810,3785.7,EQ,HDFCAMC,2025-01-29T18:30:00.000Z,58957,405748,1533167914.2,3811.95,3755.55,41.38,167914,3778.62,30-Jan-2025
3869.9,4000,3769.35,3769.35,EQ,HDFCAMC,2025-01-30T18:30:00.000Z,43402,359119,1385860490.1,4000,3754.15,57.6,206864,3859.06,31-Jan-2025
3908.1,3895,3869.85,3869.9,EQ,HDFCAMC,2025-01-31T18:30:00.000Z,26643,251230,979955358.05,4007.55,3771,28.06,70487,3900.63,01-Feb-2025
3810.9,3803.45,3900,3908.1,EQ,HDFCAMC,2025-02-02T18:30:00.000Z,48937,407937,1560253704.75,3900,3786,57.36,234008,3824.74,03-Feb-2025
3868.35,3875,3844.95,3810.9,EQ,HDFCAMC,2025-02-03T18:30:00.000Z,58211,539218,2089645913.05,3924,3840.05,67.76,365396,3875.33,04-Feb-2025
3992.85,3987.15,3890,3868.35,EQ,HDFCAMC,2025-02-04T18:30:00.000Z,106331,783716,3131013917.3,4037.95,3880.05,67.81,531411,3995.09,05-Feb-2025
3935.65,3926.3,4014.8,3992.85,EQ,HDFCAMC,2025-02-05T18:30:00.000Z,42372,274765,1095514588.55,4043.95,3922,54.75,150442,3987.1,06-Feb-2025
3922.35,3917.1,3935.65,3935.65,EQ,HDFCAMC,2025-02-06T18:30:00.000Z,41730,247964,969848666,3970,3840.35,41.51,102919,3911.25,07-Feb-2025
3872.4,3855.55,3924,3922.35,EQ,HDFCAMC,2025-02-09T18:30:00.000Z,27898,231081,894408672.85,3955.35,3835.75,57.65,133211,3870.54,10-Feb-2025
3684.45,3684.2,3871,3872.4,EQ,HDFCAMC,2025-02-10T18:30:00.000Z,68573,616957,2286374929.25,3871,3647.95,67.06,413758,3705.89,11-Feb-2025
3703.65,3718.85,3685,3684.45,EQ,HDFCAMC,2025-02-11T18:30:00.000Z,96185,771175,2836103779.6,3766.95,3563.05,53.55,412937,3677.64,12-Feb-2025
3755.85,3765,3731.45,3703.65,EQ,HDFCAMC,2025-02-12T18:30:00.000Z,55726,445112,1669862990.95,3780,3681.05,64.16,285605,3751.56,13-Feb-2025
3752.45,3751,3765,3755.85,EQ,HDFCAMC,2025-02-13T18:30:00.000Z,65044,661126,2478001229.6,3790,3695,65.57,433533,3748.15,14-Feb-2025
