CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
247.39,247,247.9,247.95,EQ,HINDCOPPER,2024-12-31T18:30:00.000Z,23679,2545914,630574443.17,250.15,245.14,34.79,885789,247.68,01-Jan-2025
249.74,249.59,248.7,247.39,EQ,HINDCOPPER,2025-01-01T18:30:00.000Z,22461,3055122,761334840.28,250.9,247,40.81,1246834,249.2,02-Jan-2025
250.23,249.79,249.92,249.74,EQ,HINDCOPPER,2025-01-02T18:30:00.000Z,39629,3580827,905776211.97,256.68,248.56,28.55,1022338,252.95,03-Jan-2025
235.64,235,249.23,250.23,EQ,HINDCOPPER,2025-01-05T18:30:00.000Z,46619,5344927,1280529766.08,249.79,234.15,51.31,2742235,239.58,06-Jan-2025
238.13,237.9,236.4,235.64,EQ,HINDCOPPER,2025-01-06T18:30:00.000Z,39303,3337163,798537365.28,242.45,235,31.84,1062388,239.29,07-Jan-2025
239.73,238.15,237.63,238.13,EQ,HINDCOPPER,2025-01-07T18:30:00.000Z,23869,2357857,559008183.28,241.59,234.3,29.8,702613,237.08,08-Jan-2025
235.78,235,239,239.73,EQ,HINDCOPPER,2025-01-08T18:30:00.000Z,22984,2039704,483028739.18,239.6,233.9,46.36,945688,236.81,09-Jan-2025
233.31,232.31,236,235.78,EQ,HINDCOPPER,2025-01-09T18:30:00.000Z,40263,4667934,1097206380.03,241.17,230,39.19,1829572,235.05,10-Jan-2025
219.35,217.39,231,233.31,EQ,HINDCOPPER,2025-01-12T18:30:00.000Z,54750,8130610,1860487410.52,235.85,216.76,54.97,4469736,228.83,13-Jan-2025
226.08,226,219,219.35,EQ,HINDCOPPER,2025-01-13T18:30:00.000Z,39297,4808444,1077853901.21,229.95,218.56,32.58,1566617,224.16,14-Jan-2025
220.82,220.89,226.55,226.08,EQ,HINDCOPPER,2025-01-14T18:30:00.000Z,32254,3836574,864600421.95,230.85,220.2,43.48,1668280,225.36,15-Jan-2025
231.3,230.53,223.34,220.82,EQ,HINDCOPPER,2025-01-15T18:30:00.000Z,44823,4933049,1132613170.26,235.49,223.34,34.02,1678165,229.6,16-Jan-2025
247.69,245.49,232,231.3,EQ,HINDCOPPER,2025-01-16T18:30:00.000Z,86124,11483471,2783952538.68,252.2,230.71,19.91,2286323,242.43,17-Jan-2025
251.24,250,246.31,247.69,EQ,HINDCOPPER,2025-01-19T18:30:00.000Z,36749,5561025,1384654018.86,253.69,243.06,34.57,1922306,248.99,20-Jan-2025
