CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
412.35,412,410,408.75,EQ,HINDPETRO,2024-12-31T18:30:00.000Z,51764,2185656,895023725,414,404.7,24.45,534296,409.5,01-Jan-2025
412.7,412.8,412.25,412.35,EQ,HINDPETRO,2025-01-01T18:30:00.000Z,34052,2391474,982740309.45,415.8,404.5,27.94,668126,410.93,02-Jan-2025
413.05,412,413.5,412.7,EQ,HINDPETRO,2025-01-02T18:30:00.000Z,45012,4037493,1663977573.6,417.1,407.7,45.84,1850869,412.13,03-Jan-2025
388.95,389.5,413.05,413.05,EQ,HINDPETRO,2025-01-05T18:30:00.000Z,73981,5016149,1983025175.05,414,388,34.6,1735395,395.33,06-Jan-2025
386.2,385.9,391.9,388.95,EQ,HINDPETRO,2025-01-06T18:30:00.000Z,37703,3195402,1244061126.65,397.6,385.15,39.08,1248817,389.33,07-Jan-2025
391.35,391,386.5,386.2,EQ,HINDPETRO,2025-01-07T18:30:00.000Z,49542,3631344,1413273471.6,394.7,381.7,34.71,1260589,389.19,08-Jan-2025
384.8,385.2,393,391.35,EQ,HINDPETRO,2025-01-08T18:30:00.000Z,40481,2525567,977663134.1,393,383.45,35.13,887297,387.11,09-Jan-2025
388.45,387.45,387.55,384.8,EQ,HINDPETRO,2025-01-09T18:30:00.000Z,46227,3504508,1359956525.65,392.8,379.55,38.18,1337914,388.06,10-Jan-2025
364.4,363.5,376.55,388.45,EQ,HINDPETRO,2025-01-12T18:30:00.000Z,233382,13439614,4909944847.6,376.55,360.15,46.57,6258798,365.33,13-Jan-2025
373.25,374.8,365,364.4,EQ,HINDPETRO,2025-01-13T18:30:00.000Z,62086,3392260,1256109860.8,375.95,363.85,44.43,1507268,370.29,14-Jan-2025
363.25,363.9,377.5,373.25,EQ,HINDPETRO,2025-01-14T18:30:00.000Z,49483,4162695,1527376220.85,379.45,360.6,35.98,1497879,366.92,15-Jan-2025
358.2,357.75,364,363.25,EQ,HINDPETRO,2025-01-15T18:30:00.000Z,64946,5072603,1830887478.65,365.55,357.4,48.83,2476824,360.94,16-Jan-2025
358.9,359.3,358.35,358.2,EQ,HINDPETRO,2025-01-16T18:30:00.000Z,43214,3122954,1123097649.45,363.2,355.2,35.38,1104782,359.63,17-Jan-2025
360.35,360.45,360,358.9,EQ,HINDPETRO,2025-01-19T18:30:00.000Z,76788,6963879,2502819112.45,363.4,353.35,48.78,3396914,359.4,20-Jan-2025
369.95,370.2,363,360.35,EQ,HINDPETRO,2025-01-20T18:30:00.000Z,102221,12344913,4558451981.25,372.4,358,44.2,5456999,369.26,21-Jan-2025
370.1,370.7,373.8,369.95,EQ,HINDPETRO,2025-01-21T18:30:00.000Z,65278,6676035,2461912515.85,374.7,363.2,40.89,2729734,368.77,22-Jan-2025
362.1,361.45,373,370.1,EQ,HINDPETRO,2025-01-22T18:30:00.000Z,67886,5143368,1867513124.3,373.8,359.85,38.01,1954752,363.09,23-Jan-2025
352.85,352.25,374.2,362.1,EQ,HINDPETRO,2025-01-23T18:30:00.000Z,153374,18088473,6615554767.95,379.95,351.25,12.11,2190688,365.73,24-Jan-2025
