CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
938.1,937.55,925.4,930.7,EQ,JINDALSTEL,2024-12-31T18:30:00.000Z,28893,591839,551837286.8,939.5,918.6,40.8,241472,932.41,01-Jan-2025
941.7,942.8,932,938.1,EQ,JINDALSTEL,2025-01-01T18:30:00.000Z,56187,1107101,1042199714.5,947,930.3,58.89,651930,941.38,02-Jan-2025
957.85,955,940.5,941.7,EQ,JINDALSTEL,2025-01-02T18:30:00.000Z,49203,1702255,1625402330.2,962.1,939.3,50.68,862785,954.85,03-Jan-2025
939.35,936.35,957.8,957.85,EQ,JINDALSTEL,2025-01-05T18:30:00.000Z,69972,1881095,1765387302.25,957.8,926.65,55.91,1051722,938.49,06-Jan-2025
941.45,939.25,935.1,939.35,EQ,JINDALSTEL,2025-01-06T18:30:00.000Z,50212,1057467,1001072649.9,954.7,935.1,47.08,497848,946.67,07-Jan-2025
942.55,936,937,941.45,EQ,JINDALSTEL,2025-01-07T18:30:00.000Z,43682,1719232,1615419872.65,947.75,930.15,56.26,967217,939.62,08-Jan-2025
931.55,929.15,940.85,942.55,EQ,JINDALSTEL,2025-01-08T18:30:00.000Z,35360,1652891,1537078455.55,941.65,921,58.7,970326,929.93,09-Jan-2025
917.7,918,930,931.55,EQ,JINDALSTEL,2025-01-09T18:30:00.000Z,40450,965180,886629497.15,931.55,911.05,38.68,373284,918.62,10-Jan-2025
876.7,872,913.05,917.7,EQ,JINDALSTEL,2025-01-12T18:30:00.000Z,66584,1916830,1725897409.5,918.55,871.05,52.34,1003297,900.39,13-Jan-2025
909.9,909.05,878.9,876.7,EQ,JINDALSTEL,2025-01-13T18:30:00.000Z,112386,2581715,2353079176.6,922.4,878.9,43.64,1126658,911.44,14-Jan-2025
910.25,908,915.1,909.9,EQ,JINDALSTEL,2025-01-14T18:30:00.000Z,79927,1733336,1576216831.85,919.25,898.15,48.95,848448,909.35,15-Jan-2025
917.85,917,919,910.25,EQ,JINDALSTEL,2025-01-15T18:30:00.000Z,81122,1399598,1293071313.3,932.5,911.5,51.78,724757,923.89,16-Jan-2025
924.65,924.9,915,917.85,EQ,JINDALSTEL,2025-01-16T18:30:00.000Z,51360,1374068,1269288527.85,930.9,912.6,50.25,690413,923.75,17-Jan-2025
933.8,932,927.8,924.65,EQ,JINDALSTEL,2025-01-19T18:30:00.000Z,46313,1226037,1140733191,939.9,910.65,50.9,624054,930.42,20-Jan-2025
