CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
7597.55,7600,7439,7417.3,EQ,KAYNES,2024-12-31T18:30:00.000Z,127651,1062831,8148286359.55,7822,7402.9,18.18,193198,7666.59,01-Jan-2025
7483.6,7467.6,7659,7597.55,EQ,KAYNES,2025-01-01T18:30:00.000Z,53038,362449,2721569336.75,7690.65,7440,31.78,115180,7508.83,02-Jan-2025
7544.7,7535,7498,7483.6,EQ,KAYNES,2025-01-02T18:30:00.000Z,40566,291514,2207252876.2,7633.35,7483.35,28.89,84216,7571.69,03-Jan-2025
7166,7195,7547.25,7544.7,EQ,KAYNES,2025-01-05T18:30:00.000Z,93097,577518,4211227158.15,7590,7135,39.55,228400,7291.94,06-Jan-2025
7247.55,7249.95,7170,7166,EQ,KAYNES,2025-01-06T18:30:00.000Z,87526,546544,4004911173.7,7455.95,7160,32.42,177203,7327.7,07-Jan-2025
6970.65,6950,7299.05,7247.55,EQ,KAYNES,2025-01-07T18:30:00.000Z,89264,552760,3877106980.1,7337.95,6901.65,35.47,196062,7014.09,08-Jan-2025
6731.9,6715,6967.25,6970.65,EQ,KAYNES,2025-01-08T18:30:00.000Z,60927,423086,2895141665.95,7000,6705.8,37.27,157681,6842.92,09-Jan-2025
6672.35,6650,6741.85,6731.9,EQ,KAYNES,2025-01-09T18:30:00.000Z,106772,658657,4416921922.95,6879,6553,26.4,173907,6705.95,10-Jan-2025
6145.35,6188,6574.25,6672.35,EQ,KAYNES,2025-01-12T18:30:00.000Z,146190,856399,5378247575.7,6575,6030,35.73,305962,6280.07,13-Jan-2025
6196.7,6217.5,6189.4,6145.35,EQ,KAYNES,2025-01-13T18:30:00.000Z,100450,697679,4314255216.5,6382.5,5961.2,29.54,206076,6183.73,14-Jan-2025
