CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
4469.5,4476.75,4429.95,4436.65,EQ,KEI,2024-12-31T18:30:00.000Z,16517,82106,364831806.6,4476.75,4387,38.73,31797,4443.42,01-Jan-2025
4477.75,4477,4488,4469.5,EQ,KEI,2025-01-01T18:30:00.000Z,18007,106897,478860654.9,4520,4442,38.84,41514,4479.65,02-Jan-2025
4363.85,4349.75,4500,4477.75,EQ,KEI,2025-01-02T18:30:00.000Z,17407,127570,564552272.2,4519.2,4338.35,46.89,59813,4425.43,03-Jan-2025
4254.15,4280,4350,4363.85,EQ,KEI,2025-01-05T18:30:00.000Z,32640,220456,938993613.6,4369.65,4211.5,48.89,107779,4259.32,06-Jan-2025
4312.7,4320.05,4225,4254.15,EQ,KEI,2025-01-06T18:30:00.000Z,24641,164182,704565143.75,4333.95,4212.05,48.68,79919,4291.37,07-Jan-2025
4264.5,4277,4312.7,4312.7,EQ,KEI,2025-01-07T18:30:00.000Z,17954,92274,393651964,4328.5,4237.2,39.91,36831,4266.12,08-Jan-2025
4202.95,4197.05,4259.45,4264.5,EQ,KEI,2025-01-08T18:30:00.000Z,27986,157635,667502281.7,4297,4189.65,55.41,87345,4234.48,09-Jan-2025
4177.05,4178,4197.05,4202.95,EQ,KEI,2025-01-09T18:30:00.000Z,23899,209091,878067200.05,4247.7,4160,65.74,137456,4199.45,10-Jan-2025
3994.45,3974.95,4126,4177.05,EQ,KEI,2025-01-12T18:30:00.000Z,85644,868973,3498687337,4139.45,3951.5,66.9,581307,4026.23,13-Jan-2025
4020.3,4030.85,3974.95,3994.45,EQ,KEI,2025-01-13T18:30:00.000Z,39200,280853,1114270281.95,4048.5,3867.95,45.52,127845,3967.45,14-Jan-2025
4068.35,4080,4055,4020.3,EQ,KEI,2025-01-14T18:30:00.000Z,27025,170471,694324144.6,4118,4022.95,53.97,92010,4072.98,15-Jan-2025
4109.35,4101,4100,4068.35,EQ,KEI,2025-01-15T18:30:00.000Z,28364,152201,625714327.95,4152.9,4051,48.66,74063,4111.11,16-Jan-2025
4104.7,4114,4095.95,4109.35,EQ,KEI,2025-01-16T18:30:00.000Z,15903,76025,310507046.15,4121.95,4050.05,40.95,31134,4084.28,17-Jan-2025
4148.35,4148,4104.7,4104.7,EQ,KEI,2025-01-19T18:30:00.000Z,11614,66671,276485539.8,4198.2,4094.4,37.9,25268,4147.01,20-Jan-2025
4034.55,4040,4177,4148.35,EQ,KEI,2025-01-20T18:30:00.000Z,33626,191973,780519698.25,4196,4007,45.82,87959,4065.78,21-Jan-2025
4127.55,4110,3999.45,4034.55,EQ,KEI,2025-01-21T18:30:00.000Z,97017,1244810,5006429465.6,4161.7,3910.4,46.22,575380,4021.84,22-Jan-2025
4480.6,4460,4117.1,4127.55,EQ,KEI,2025-01-22T18:30:00.000Z,116884,1440639,6436131709.4,4572.7,4101.75,40.57,584400,4467.55,23-Jan-2025
4253.5,4246.95,4478.25,4480.6,EQ,KEI,2025-01-23T18:30:00.000Z,36671,250147,1092430055.55,4484.1,4235,37.75,94437,4367.15,24-Jan-2025
3998.55,3991,4182.65,4253.5,EQ,KEI,2025-01-26T18:30:00.000Z,38473,296376,1197076443.7,4184.65,3983.7,37.2,110238,4039.05,27-Jan-2025
3911.5,3929.25,3991,3998.55,EQ,KEI,2025-01-27T18:30:00.000Z,64650,369542,1450727768.6,4064.85,3848.05,42.05,155391,3925.75,28-Jan-2025
4017.05,4020,3925.25,3911.5,EQ,KEI,2025-01-28T18:30:00.000Z,32710,140623,560555706.85,4029.65,3912,35.89,50476,3986.23,29-Jan-2025
3961.15,3990,4011.3,4017.05,EQ,KEI,2025-01-29T18:30:00.000Z,33145,240651,954333146.65,4059.7,3907.15,45.32,109065,3965.63,30-Jan-2025
4023.6,4041.1,3974.95,3961.15,EQ,KEI,2025-01-30T18:30:00.000Z,27122,139970,564987668.3,4092.9,3963,36.06,50480,4036.49,31-Jan-2025
3917.75,3919,4060,4023.6,EQ,KEI,2025-01-31T18:30:00.000Z,21430,201342,797520389.9,4126.55,3846.75,29.59,59585,3961.02,01-Feb-2025
3902.9,3900,3875.5,3917.75,EQ,KEI,2025-02-02T18:30:00.000Z,29685,192921,750443521.45,3931.45,3840.1,36.77,70944,3889.9,03-Feb-2025
3877,3870,3900,3902.9,EQ,KEI,2025-02-03T18:30:00.000Z,47902,393527,1522090229.85,3920,3808.4,51.77,203748,3867.82,04-Feb-2025
3895.05,3880,3878.05,3877,EQ,KEI,2025-02-04T18:30:00.000Z,40799,396028,1548449979.5,3964.85,3878.05,57.81,228928,3909.95,05-Feb-2025
3921.15,3922,3910,3895.05,EQ,KEI,2025-02-05T18:30:00.000Z,27120,172402,674624410.2,3945,3885,49.73,85727,3913.09,06-Feb-2025
3912.25,3907,3940.8,3921.15,EQ,KEI,2025-02-06T18:30:00.000Z,22918,152667,599048251.45,3955.8,3885.75,50.05,76404,3923.89,07-Feb-2025
3794.9,3798,3912.25,3912.25,EQ,KEI,2025-02-09T18:30:00.000Z,26394,144490,552986279.25,3917.75,3781.5,35.77,51685,3827.16,10-Feb-2025
3560.35,3566.05,3799.95,3794.9,EQ,KEI,2025-02-10T18:30:00.000Z,67787,540824,1939394064.65,3809,3500.65,49.47,267563,3586,11-Feb-2025
3479.95,3492.25,3560.35,3560.35,EQ,KEI,2025-02-11T18:30:00.000Z,77318,1011381,3515162710.75,3565.9,3401,57.61,582697,3475.61,12-Feb-2025
3404,3396,3518.1,3479.95,EQ,KEI,2025-02-12T18:30:00.000Z,68737,869828,3003322587.95,3518.1,3390.4,62.48,543450,3452.78,13-Feb-2025
3411.65,3410.05,3410,3404,EQ,KEI,2025-02-13T18:30:00.000Z,57701,321223,1093402803.65,3475,3330.95,35.31,113435,3403.87,14-Feb-2025
3447.25,3474,3399,3411.65,EQ,KEI,2025-02-16T18:30:00.000Z,58377,340083,1164449479.9,3474,3335.05,44.62,151751,3424.02,17-Feb-2025
3403.6,3410.6,3410.35,3447.25,EQ,KEI,2025-02-17T18:30:00.000Z,39044,296138,1007945179.35,3468.75,3366.5,43.26,128110,3403.63,18-Feb-2025
3568.6,3574,3380,3403.6,EQ,KEI,2025-02-18T18:30:00.000Z,79791,563786,1971882075.75,3587.95,3379,59.68,336480,3497.57,19-Feb-2025
3732.45,3725.05,3570,3568.6,EQ,KEI,2025-02-19T18:30:00.000Z,71446,523328,1922700378.05,3753.95,3525,52.29,273640,3673.99,20-Feb-2025
3844.45,3838.95,3739.1,3732.45,EQ,KEI,2025-02-20T18:30:00.000Z,101896,807902,3128514820.7,3932.35,3735,34.56,279199,3872.39,21-Feb-2025
3741.9,3749.9,3810.1,3844.45,EQ,KEI,2025-02-23T18:30:00.000Z,68446,408922,1544565964.55,3859.5,3716.1,50.12,204970,3777.17,24-Feb-2025
3797.85,3775,3749.95,3741.9,EQ,KEI,2025-02-24T18:30:00.000Z,45089,289870,1099266941.2,3836.9,3740,52.42,151957,3792.28,25-Feb-2025
2999.05,2989,3450,3797.85,EQ,KEI,2025-02-26T18:30:00.000Z,249537,5271343,16358494990.95,3450,2974.4,25.9,1365062,3103.29,27-Feb-2025
3070.15,3105,2974,2999.05,EQ,KEI,2025-02-27T18:30:00.000Z,258355,5860362,18032852203.95,3225,2902.85,26.58,1557462,3077.09,28-Feb-2025
3137.15,3126.95,3151.3,3070.15,EQ,KEI,2025-03-02T18:30:00.000Z,140089,1638079,5091345138.1,3239.9,3025.5,16.36,267979,3108.12,03-Mar-2025
3140.85,3145,3080,3137.15,EQ,KEI,2025-03-03T18:30:00.000Z,85103,837292,2616555316.95,3169,3074.4,27.98,234275,3125.02,04-Mar-2025
3287.2,3279,3129.05,3140.85,EQ,KEI,2025-03-04T18:30:00.000Z,117159,1260570,4097730222.25,3305,3121.25,35.52,447793,3250.7,05-Mar-2025
3287.25,3274.95,3310.05,3287.2,EQ,KEI,2025-03-05T18:30:00.000Z,70495,585854,1927594124.85,3344.35,3246.05,43.91,257239,3290.23,06-Mar-2025
3223.85,3221,3277.05,3287.25,EQ,KEI,2025-03-06T18:30:00.000Z,50968,454725,1470424459.85,3285,3204,37.87,172193,3233.66,07-Mar-2025
3030.75,3021.4,3235.65,3223.85,EQ,KEI,2025-03-09T18:30:00.000Z,78273,716195,2208346148.45,3242.5,3020,40.98,293528,3083.44,10-Mar-2025
3028.45,3049.75,2975,3030.75,EQ,KEI,2025-03-10T18:30:00.000Z,64837,566221,1699033803.7,3059,2963.05,40.55,229616,3000.65,11-Mar-2025
3065.45,3063,3035.95,3028.45,EQ,KEI,2025-03-11T18:30:00.000Z,32762,271429,830258656.1,3096.95,3018.65,32.36,87840,3058.84,12-Mar-2025
3053.95,3048.5,3085,3065.45,EQ,KEI,2025-03-12T18:30:00.000Z,26229,248157,759632065.8,3090,3036,44.94,111513,3061.09,13-Mar-2025
3124.05,3122.25,3036,3053.95,EQ,KEI,2025-03-16T18:30:00.000Z,56878,468552,1455157700.2,3140.5,3020.1,49.11,230093,3105.65,17-Mar-2025
3265.95,3264,3140.05,3124.05,EQ,KEI,2025-03-17T18:30:00.000Z,51690,341060,1097769039.35,3277,3133.1,37.42,127623,3218.7,18-Mar-2025
3283.25,3284.2,3268.05,3265.95,EQ,KEI,2025-03-18T18:30:00.000Z,48292,416246,1369807954.7,3324,3240.35,46.98,195555,3290.86,19-Mar-2025
2841.1,2870,3155.25,3283.25,EQ,KEI,2025-03-19T18:30:00.000Z,352631,8380075,24047368090.3,3169.95,2762.25,33.15,2777658,2869.59,20-Mar-2025
2890.3,2880,2892,2841.1,EQ,KEI,2025-03-20T18:30:00.000Z,198536,3012943,8721145580.8,2936.75,2853,28.53,859453,2894.56,21-Mar-2025
2882.65,2886.15,2907.05,2890.3,EQ,KEI,2025-03-23T18:30:00.000Z,74861,1313628,3817299662.6,2943.5,2874.2,45.41,596517,2905.92,24-Mar-2025
2835.2,2829,2907,2882.65,EQ,KEI,2025-03-24T18:30:00.000Z,70603,1049515,3024118641.8,2936.95,2825,33.48,351415,2881.44,25-Mar-2025
2819.95,2821.65,2844.5,2835.2,EQ,KEI,2025-03-25T18:30:00.000Z,49084,727654,2068460891.4,2884.75,2815,42.96,312572,2842.64,26-Mar-2025
2883.25,2894,2830.1,2819.95,EQ,KEI,2025-03-26T18:30:00.000Z,58663,887991,2544836497.2,2912,2805.3,46.01,408567,2865.84,27-Mar-2025
2892.85,2883,2904.65,2883.25,EQ,KEI,2025-03-27T18:30:00.000Z,56276,722128,2104649276.05,2944.95,2872.8,48.18,347917,2914.51,28-Mar-2025
2829.4,2827,2864,2892.85,EQ,KEI,2025-03-31T18:30:00.000Z,37043,399933,1136542626.2,2908.2,2812,45.12,180439,2841.83,01-Apr-2025
2879.7,2880,2830,2829.4,EQ,KEI,2025-04-01T18:30:00.000Z,70827,766198,2164543133.75,2883,2762,39.56,303095,2825.04,02-Apr-2025
2824.4,2824.9,2850,2879.7,EQ,KEI,2025-04-02T18:30:00.000Z,48633,419420,1190882861.55,2886.55,2817.25,40.76,170936,2839.36,03-Apr-2025
2645.1,2655,2824.9,2824.4,EQ,KEI,2025-04-03T18:30:00.000Z,90372,975173,2612081180.1,2839,2613.35,45.58,444458,2678.58,04-Apr-2025
2509.75,2512,2500,2645.1,EQ,KEI,2025-04-06T18:30:00.000Z,76211,708097,1774071678.1,2577.7,2424,41.37,292959,2505.41,07-Apr-2025
2589.85,2600.05,2580,2509.75,EQ,KEI,2025-04-07T18:30:00.000Z,37503,574236,1484194845.25,2618.9,2537.35,44.81,257335,2584.64,08-Apr-2025
2599.7,2603.95,2615,2589.85,EQ,KEI,2025-04-08T18:30:00.000Z,33816,642997,1673486079.4,2639.3,2570.05,60.08,386296,2602.63,09-Apr-2025
2607.35,2603.75,2689.9,2599.7,EQ,KEI,2025-04-10T18:30:00.000Z,50516,779654,2035185601.6,2689.95,2592.15,56.4,439751,2610.37,11-Apr-2025
2736.4,2735,2659.5,2607.35,EQ,KEI,2025-04-14T18:30:00.000Z,50787,847398,2277296569.9,2745.9,2625.1,55.71,472109,2687.4,15-Apr-2025
2754.9,2747.7,2736.4,2736.4,EQ,KEI,2025-04-15T18:30:00.000Z,30988,586575,1608612596.7,2765.2,2712.3,57.31,336162,2742.38,16-Apr-2025
