CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
52.59,52.59,51.99,52.19,EQ,MAHABANK,2024-12-31T18:30:00.000Z,18518,4231937,221757200.16,52.79,51.78,26.15,1106644,52.4,01-Jan-2025
52.76,52.7,52.59,52.59,EQ,MAHABANK,2025-01-01T18:30:00.000Z,25717,7153002,375781240.91,53.14,51.81,35.26,2522415,52.53,02-Jan-2025
55.13,55.29,54.71,52.76,EQ,MAHABANK,2025-01-02T18:30:00.000Z,140553,63148953,3499214901.58,56.3,54.51,17.78,11224851,55.41,03-Jan-2025
52.6,52.51,55.48,55.13,EQ,MAHABANK,2025-01-05T18:30:00.000Z,54030,14566962,776327171.9,55.48,52.03,29.17,4249118,53.29,06-Jan-2025
51.25,51.37,53,52.6,EQ,MAHABANK,2025-01-06T18:30:00.000Z,52771,21144032,1099821894.81,53.32,51.06,43.3,9154865,52.02,07-Jan-2025
50.11,50.1,51.71,51.25,EQ,MAHABANK,2025-01-07T18:30:00.000Z,73702,19597021,991280122.18,51.78,50,44.2,8662301,50.58,08-Jan-2025
49.13,49.3,50.11,50.11,EQ,MAHABANK,2025-01-08T18:30:00.000Z,35974,10247760,508732703.76,50.3,49.01,39.97,4096541,49.64,09-Jan-2025
48.75,48.99,49.48,49.13,EQ,MAHABANK,2025-01-09T18:30:00.000Z,45406,13606862,661242776.15,49.48,47.73,31.23,4249812,48.6,10-Jan-2025
46.59,46.5,47.5,48.75,EQ,MAHABANK,2025-01-12T18:30:00.000Z,62867,15380801,731703759.16,48.91,46.11,36.25,5575248,47.57,13-Jan-2025
52.74,52.3,47.2,46.59,EQ,MAHABANK,2025-01-13T18:30:00.000Z,157962,65432746,3356277534.82,54.4,47.09,16.29,10660765,51.29,14-Jan-2025
50.99,51.15,51.39,52.74,EQ,MAHABANK,2025-01-14T18:30:00.000Z,97839,42863151,2191080183.14,52.9,49.87,16.87,7231553,51.12,15-Jan-2025
51.98,52.1,51.96,50.99,EQ,MAHABANK,2025-01-15T18:30:00.000Z,63374,27672884,1444371221.32,53.3,51.46,20.9,5784238,52.19,16-Jan-2025
51.39,51.4,52,51.98,EQ,MAHABANK,2025-01-16T18:30:00.000Z,38021,12195190,628344251.6,52.05,51.25,31.72,3867779,51.52,17-Jan-2025
52.1,52.1,51.6,51.39,EQ,MAHABANK,2025-01-19T18:30:00.000Z,40858,15226019,793867177.12,52.85,51.12,23.8,3623127,52.14,20-Jan-2025
51.35,51.37,52.25,52.1,EQ,MAHABANK,2025-01-20T18:30:00.000Z,34328,11114766,572274018.75,52.36,50.95,37.24,4138837,51.49,21-Jan-2025
50.19,50.19,51.3,51.35,EQ,MAHABANK,2025-01-21T18:30:00.000Z,60178,15604799,778146148.6,51.35,49.3,27.88,4351354,49.87,22-Jan-2025
50.4,50.25,50.19,50.19,EQ,MAHABANK,2025-01-22T18:30:00.000Z,26747,8233501,415788083.77,51.14,49.8,21.53,1772439,50.5,23-Jan-2025
49.65,49.59,50.37,50.4,EQ,MAHABANK,2025-01-23T18:30:00.000Z,26403,7302267,363830773.36,50.58,49.36,29.49,2153481,49.82,24-Jan-2025
48.62,48.58,49.45,49.65,EQ,MAHABANK,2025-01-26T18:30:00.000Z,60345,19195516,943284225.89,50.9,47.85,17.97,3450016,49.14,27-Jan-2025
49.4,49.48,49.48,48.62,EQ,MAHABANK,2025-01-27T18:30:00.000Z,52358,17515109,863770030.23,50.34,48.36,21.22,3716429,49.32,28-Jan-2025
50.38,50.45,49.98,49.4,EQ,MAHABANK,2025-01-28T18:30:00.000Z,35964,13357924,673619188.63,51.1,49.54,34.21,4569821,50.43,29-Jan-2025
50.28,50.32,50.92,50.38,EQ,MAHABANK,2025-01-29T18:30:00.000Z,21087,5465276,276004709.76,50.92,50.06,33.28,1818927,50.5,30-Jan-2025
51.29,51.2,50.79,50.28,EQ,MAHABANK,2025-01-30T18:30:00.000Z,33744,11601194,591576755.59,51.8,49.94,39.77,4614020,50.99,31-Jan-2025
