CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
2243.8,2248,2230,2227.8,EQ,MAZDOCK,2024-12-31T18:30:00.000Z,110025,1981901,4465224493.95,2284,2220,13.86,274597,2253,01-Jan-2025
2253.8,2254,2260,2243.8,EQ,MAZDOCK,2025-01-01T18:30:00.000Z,81671,1434052,3242820498.95,2293.2,2245,18.37,263442,2261.3,02-Jan-2025
2236.9,2237,2255.5,2253.8,EQ,MAZDOCK,2025-01-02T18:30:00.000Z,90753,1592341,3598622231.65,2297.85,2231.15,20.56,327341,2259.96,03-Jan-2025
2130.35,2126,2235,2236.9,EQ,MAZDOCK,2025-01-05T18:30:00.000Z,123084,1781399,3862554808.8,2235,2120,31.3,557566,2168.27,06-Jan-2025
2180.55,2175,2130.35,2130.35,EQ,MAZDOCK,2025-01-06T18:30:00.000Z,118909,2097861,4551946359.85,2222,2107.05,12.83,269201,2169.8,07-Jan-2025
2155.7,2156,2185.05,2180.55,EQ,MAZDOCK,2025-01-07T18:30:00.000Z,84830,1430865,3101313765.2,2200.85,2138.8,16.44,235247,2167.44,08-Jan-2025
2232.55,2227.5,2150,2155.7,EQ,MAZDOCK,2025-01-08T18:30:00.000Z,123735,2089236,4607250166.5,2251.2,2132.85,26.02,543593,2205.23,09-Jan-2025
2223.15,2225,2225,2232.55,EQ,MAZDOCK,2025-01-09T18:30:00.000Z,109172,1622550,3597507495.4,2254,2167.3,22.89,371332,2217.19,10-Jan-2025
2028.3,2046.95,2165,2223.15,EQ,MAZDOCK,2025-01-12T18:30:00.000Z,150894,2191902,4595542862.95,2203.75,2005,26.19,574071,2096.6,13-Jan-2025
2231.55,2236.15,2057.8,2028.3,EQ,MAZDOCK,2025-01-13T18:30:00.000Z,252944,5145777,11207427629.7,2250,2055.05,10.76,553886,2177.99,14-Jan-2025
2229.15,2224,2255,2231.55,EQ,MAZDOCK,2025-01-14T18:30:00.000Z,178399,3311823,7523715740.7,2321,2215.45,12.65,418950,2271.77,15-Jan-2025
2248.15,2250,2254.7,2229.15,EQ,MAZDOCK,2025-01-15T18:30:00.000Z,77930,1230427,2773593335,2278,2232.2,21.86,268947,2254.17,16-Jan-2025
2315.05,2308,2246.8,2248.15,EQ,MAZDOCK,2025-01-16T18:30:00.000Z,155707,2714853,6264627109.75,2337.25,2227.5,16.07,436240,2307.54,17-Jan-2025
2438.45,2440,2320,2315.05,EQ,MAZDOCK,2025-01-19T18:30:00.000Z,270004,5731147,13891874650.95,2496.3,2302.1,14.45,828259,2423.93,20-Jan-2025
2351.85,2350,2460,2438.45,EQ,MAZDOCK,2025-01-20T18:30:00.000Z,179769,3319166,7955474368.3,2490,2333.35,16.89,560680,2396.83,21-Jan-2025
2287.75,2280.2,2355,2351.85,EQ,MAZDOCK,2025-01-21T18:30:00.000Z,152617,2433006,5528480374.65,2367.15,2217,16.96,412524,2272.28,22-Jan-2025
2319.55,2324.95,2275.85,2287.75,EQ,MAZDOCK,2025-01-22T18:30:00.000Z,224771,3898601,9149002250.5,2423,2256.6,14.85,579038,2346.74,23-Jan-2025
2299.55,2302,2340,2319.55,EQ,MAZDOCK,2025-01-23T18:30:00.000Z,157219,2587979,6020864927.4,2387,2277,16.54,428024,2326.47,24-Jan-2025
2228.45,2212,2289.7,2299.55,EQ,MAZDOCK,2025-01-26T18:30:00.000Z,107312,1645667,3662067346.85,2289.7,2191.35,19.53,321351,2225.28,27-Jan-2025
2322.7,2321,2240,2228.45,EQ,MAZDOCK,2025-01-27T18:30:00.000Z,276137,5139156,11522857149.1,2346.95,2084.5,11.48,590029,2242.17,28-Jan-2025
2355.05,2349,2343,2322.7,EQ,MAZDOCK,2025-01-28T18:30:00.000Z,151649,2838163,6714626217.35,2410,2328.3,14.6,414231,2365.84,29-Jan-2025
2350.7,2347,2358.8,2355.05,EQ,MAZDOCK,2025-01-29T18:30:00.000Z,131344,2169832,5143609922,2414,2331,15.48,335844,2370.51,30-Jan-2025
2498.5,2490.95,2355.95,2350.7,EQ,MAZDOCK,2025-01-30T18:30:00.000Z,256925,5589552,13756662174.7,2515,2344.95,23.82,1331369,2461.14,31-Jan-2025
2379.7,2373,2509.65,2498.5,EQ,MAZDOCK,2025-01-31T18:30:00.000Z,361543,7472837,18441117515.45,2587.3,2323.05,13.08,977074,2467.75,01-Feb-2025
2234.3,2235,2330,2379.7,EQ,MAZDOCK,2025-02-02T18:30:00.000Z,223496,3309775,7500689244.15,2364.5,2220.1,23.38,773676,2266.22,03-Feb-2025
