CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
1102.55,1103,1110.9,1113.9,EQ,MFSL,2024-12-31T18:30:00.000Z,12320,123907,136712678.95,1117.95,1097,40.32,49961,1103.35,01-Jan-2025
1122.8,1125,1100,1102.55,EQ,MFSL,2025-01-01T18:30:00.000Z,21174,256963,286381634.2,1125,1099.65,50.4,129513,1114.49,02-Jan-2025
1109.8,1110.1,1124.55,1122.8,EQ,MFSL,2025-01-02T18:30:00.000Z,16815,286379,320194915.85,1130.35,1105.15,55.89,160052,1118.08,03-Jan-2025
1092.3,1093,1093.3,1109.8,EQ,MFSL,2025-01-05T18:30:00.000Z,58048,1287489,1405355319.65,1102.5,1066,70,901290,1091.55,06-Jan-2025
1111.45,1114.85,1086.95,1092.3,EQ,MFSL,2025-01-06T18:30:00.000Z,38173,423949,467979787.9,1117.95,1076,44.98,190703,1103.86,07-Jan-2025
1088.9,1093,1114.8,1111.45,EQ,MFSL,2025-01-07T18:30:00.000Z,22656,194452,213293168.3,1114.95,1086.6,42.28,82211,1096.89,08-Jan-2025
1089.95,1091,1093.9,1088.9,EQ,MFSL,2025-01-08T18:30:00.000Z,14393,162965,178507930.65,1106.1,1086.05,34.8,56704,1095.38,09-Jan-2025
1077.65,1078,1089.7,1089.95,EQ,MFSL,2025-01-09T18:30:00.000Z,21183,213365,230360718.15,1090.65,1075.05,58.18,124139,1079.66,10-Jan-2025
1068.9,1065.1,1052,1077.65,EQ,MFSL,2025-01-12T18:30:00.000Z,25175,639893,681000664.45,1072.15,1051.1,68.21,436499,1064.24,13-Jan-2025
1051.4,1055,1068.9,1068.9,EQ,MFSL,2025-01-13T18:30:00.000Z,26616,745831,792251818.7,1075.5,1043.55,62.37,465171,1062.24,14-Jan-2025
1034.65,1041,1054,1051.4,EQ,MFSL,2025-01-14T18:30:00.000Z,24335,543843,561246382.55,1056.1,1022.5,67.28,365919,1032,15-Jan-2025
1063.15,1065.2,1049,1034.65,EQ,MFSL,2025-01-15T18:30:00.000Z,135248,2619890,2849982413,1119.4,1041.05,32.65,855496,1087.83,16-Jan-2025
1088.3,1089.75,1057.85,1063.15,EQ,MFSL,2025-01-16T18:30:00.000Z,57103,926404,1005890418,1099.95,1054.4,41.34,382955,1085.8,17-Jan-2025
1075.85,1075,1087.8,1088.3,EQ,MFSL,2025-01-19T18:30:00.000Z,18460,429373,460733924.2,1099.05,1060.05,54.17,232611,1073.04,20-Jan-2025
1053.1,1061.8,1071.85,1075.85,EQ,MFSL,2025-01-20T18:30:00.000Z,24845,928917,984494963.45,1079.45,1045.5,74.8,694864,1059.83,21-Jan-2025
