CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
1312.5,1310.25,1270,1272.8,EQ,NH,2024-12-31T18:30:00.000Z,17273,195346,253369645.7,1320.45,1267.1,50.47,98597,1297.03,01-Jan-2025
1300.25,1300.5,1317.95,1312.5,EQ,NH,2025-01-01T18:30:00.000Z,17775,144659,188896506.7,1318,1298,59.18,85609,1305.81,02-Jan-2025
1310.4,1310.15,1309,1300.25,EQ,NH,2025-01-02T18:30:00.000Z,19969,140283,183516474.45,1312.95,1298.2,65.73,92202,1308.19,03-Jan-2025
1311.55,1314,1315,1310.4,EQ,NH,2025-01-05T18:30:00.000Z,49164,778395,1033372354,1355,1304.55,41.13,320126,1327.57,06-Jan-2025
1351.3,1353,1318,1311.55,EQ,NH,2025-01-06T18:30:00.000Z,46843,703099,949621860.15,1367.55,1309,44.35,311803,1350.62,07-Jan-2025
1365.4,1358,1380,1351.3,EQ,NH,2025-01-07T18:30:00.000Z,69242,860204,1177496260.3,1398,1335.05,33.09,284657,1368.86,08-Jan-2025
1330.3,1331,1350,1365.4,EQ,NH,2025-01-08T18:30:00.000Z,24915,245833,329607179.55,1366.2,1325.8,45.94,112940,1340.78,09-Jan-2025
1312.15,1303,1339.5,1330.3,EQ,NH,2025-01-09T18:30:00.000Z,26237,266928,351823695.3,1343.9,1301.4,42.51,113460,1318.05,10-Jan-2025
1271.4,1268.55,1297.05,1312.15,EQ,NH,2025-01-12T18:30:00.000Z,43120,327624,420856951.4,1302.35,1256.55,52.91,173348,1284.57,13-Jan-2025
1292.05,1290,1275,1271.4,EQ,NH,2025-01-13T18:30:00.000Z,22194,184526,236682506.25,1301.3,1263.85,51.89,95757,1282.65,14-Jan-2025
1288,1285,1305,1292.05,EQ,NH,2025-01-14T18:30:00.000Z,14595,121005,155681035.05,1305.55,1275,51.79,62672,1286.57,15-Jan-2025
1310.15,1311,1290,1288,EQ,NH,2025-01-15T18:30:00.000Z,13368,152949,199638235.65,1324,1285,55.81,85368,1305.26,16-Jan-2025
1299.65,1299.7,1310.15,1310.15,EQ,NH,2025-01-16T18:30:00.000Z,17285,140473,182648508.35,1310.15,1289.45,58.14,81665,1300.24,17-Jan-2025
1329.55,1335,1309.9,1299.65,EQ,NH,2025-01-19T18:30:00.000Z,26975,186833,244933565.2,1345,1292.65,54.68,102164,1310.98,20-Jan-2025
1319.3,1317,1330.55,1329.55,EQ,NH,2025-01-20T18:30:00.000Z,21259,167742,221052414.7,1338.8,1305.65,58.5,98127,1317.81,21-Jan-2025
1325.7,1330.65,1324.95,1319.3,EQ,NH,2025-01-21T18:30:00.000Z,31246,168365,220468869.1,1334.15,1293.55,53.55,90163,1309.47,22-Jan-2025
1327.15,1327.85,1325.05,1325.7,EQ,NH,2025-01-22T18:30:00.000Z,21388,146338,193740223.45,1338.15,1305.05,43.04,62980,1323.92,23-Jan-2025
