CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
6436.8,6430.2,6457.65,6457.7,EQ,PERSISTENT,2024-12-31T18:30:00.000Z,28004,189395,1216039326.15,6502.05,6344,25.74,48745,6420.65,01-Jan-2025
6481.15,6475,6435,6436.8,EQ,PERSISTENT,2025-01-01T18:30:00.000Z,34160,249756,1614131350.8,6513,6400,44.46,111039,6462.83,02-Jan-2025
6405.95,6395,6499,6481.15,EQ,PERSISTENT,2025-01-02T18:30:00.000Z,38870,246196,1575816253.75,6527.85,6311.7,41.08,101144,6400.66,03-Jan-2025
6311.15,6280,6405.95,6405.95,EQ,PERSISTENT,2025-01-05T18:30:00.000Z,42414,314015,1992914146.2,6488.85,6267.5,54.94,172529,6346.56,06-Jan-2025
6334.3,6330,6319.95,6311.15,EQ,PERSISTENT,2025-01-06T18:30:00.000Z,47635,367951,2334271018.65,6404.4,6300,68.4,251668,6343.97,07-Jan-2025
6230.2,6221,6330,6334.3,EQ,PERSISTENT,2025-01-07T18:30:00.000Z,70823,454176,2808775242.7,6333.25,6092.1,51.31,233042,6184.33,08-Jan-2025
6179.35,6152,6223.35,6230.2,EQ,PERSISTENT,2025-01-08T18:30:00.000Z,44034,377541,2339805292.8,6296,6142.7,49.82,188103,6197.49,09-Jan-2025
6319.65,6301,6175.1,6179.35,EQ,PERSISTENT,2025-01-09T18:30:00.000Z,80549,705635,4468172909.15,6410,6175.1,44.76,315856,6332.13,10-Jan-2025
6003.4,6015.1,6289.25,6319.65,EQ,PERSISTENT,2025-01-12T18:30:00.000Z,59509,540037,3292506764.9,6306.65,5985.1,60.15,324842,6096.82,13-Jan-2025
5880.1,5910,6047.5,6003.4,EQ,PERSISTENT,2025-01-13T18:30:00.000Z,81428,839681,4971901336.15,6069,5850,65.64,551156,5921.18,14-Jan-2025
6111.25,6100,5940,5880.1,EQ,PERSISTENT,2025-01-14T18:30:00.000Z,81873,1295234,7927958058.95,6219.4,5914.8,59.55,771302,6120.87,15-Jan-2025
6071.6,6076.45,6155.2,6111.25,EQ,PERSISTENT,2025-01-15T18:30:00.000Z,34385,284470,1738726561.9,6215,6051.1,54.93,156260,6112.16,16-Jan-2025
5961.2,5970,6095,6071.6,EQ,PERSISTENT,2025-01-16T18:30:00.000Z,41123,281302,1682471750.2,6095,5930.35,47.84,134576,5981.02,17-Jan-2025
6090.9,6075,5994,5961.2,EQ,PERSISTENT,2025-01-19T18:30:00.000Z,48533,500440,3024499279.3,6152.4,5840,50.61,253255,6043.68,20-Jan-2025
5896.7,5900,6095.4,6090.9,EQ,PERSISTENT,2025-01-20T18:30:00.000Z,60321,281341,1680631913.15,6143.75,5881.7,45.99,129377,5973.65,21-Jan-2025
5683.15,5655,5750,5896.7,EQ,PERSISTENT,2025-01-21T18:30:00.000Z,149449,1209268,6775956687.1,5872.5,5445,43.35,524239,5603.35,22-Jan-2025
6287.7,6270,5790,5683.15,EQ,PERSISTENT,2025-01-22T18:30:00.000Z,221632,2738505,17013606946.4,6359.1,5783.15,28.92,791854,6212.74,23-Jan-2025
6360.65,6388.45,6287.7,6287.7,EQ,PERSISTENT,2025-01-23T18:30:00.000Z,140010,1433020,9153288062.25,6501,6230.05,39.13,560779,6387.41,24-Jan-2025
6061.25,6034.65,6298.8,6360.65,EQ,PERSISTENT,2025-01-26T18:30:00.000Z,90931,571171,3508597372,6312.4,6017.85,32,182782,6142.81,27-Jan-2025
5910.3,5901.1,6000,6061.25,EQ,PERSISTENT,2025-01-27T18:30:00.000Z,74475,681360,4062031273.25,6059,5871.25,42.2,287552,5961.65,28-Jan-2025
6275.95,6305.7,5970,5910.3,EQ,PERSISTENT,2025-01-28T18:30:00.000Z,85922,724783,4487498384,6310,5970,32.84,238053,6191.51,29-Jan-2025
6056.7,6055.5,6310,6275.95,EQ,PERSISTENT,2025-01-29T18:30:00.000Z,70918,454129,2788082298.6,6338.6,6025.5,25.9,117632,6139.41,30-Jan-2025
6032.6,6058.1,6080.4,6056.7,EQ,PERSISTENT,2025-01-30T18:30:00.000Z,45184,354309,2142377999.8,6137.2,5964,46.91,166194,6046.64,31-Jan-2025
5933.55,5906.65,6047.75,6032.6,EQ,PERSISTENT,2025-01-31T18:30:00.000Z,48393,317096,1890939809.1,6138.9,5833.1,33.04,104779,5963.3,01-Feb-2025
6076.75,6060,5830,5933.55,EQ,PERSISTENT,2025-02-02T18:30:00.000Z,87508,557306,3327509591.2,6107.95,5477.55,38.08,212236,5970.7,03-Feb-2025
6111.9,6114.15,6128.85,6076.75,EQ,PERSISTENT,2025-02-03T18:30:00.000Z,60654,440631,2701883695.95,6253.95,6008.05,38.41,169226,6131.85,04-Feb-2025
6189.45,6179.4,6157.65,6111.9,EQ,PERSISTENT,2025-02-04T18:30:00.000Z,44976,342294,2120380927.7,6246.7,6120,53.58,183411,6194.62,05-Feb-2025
6228.6,6215,6240,6189.45,EQ,PERSISTENT,2025-02-05T18:30:00.000Z,42579,270778,1692176917.95,6295,6210.5,50.39,136432,6249.31,06-Feb-2025
6254.1,6258.75,6230,6228.6,EQ,PERSISTENT,2025-02-06T18:30:00.000Z,33843,246917,1542144037,6303.95,6190,35.66,88058,6245.6,07-Feb-2025
5993.9,6011.7,6280,6254.1,EQ,PERSISTENT,2025-02-09T18:30:00.000Z,44539,265630,1606909332.95,6284.9,5956.1,43.29,114994,6049.43,10-Feb-2025
5828.35,5807.95,6026.35,5993.9,EQ,PERSISTENT,2025-02-10T18:30:00.000Z,41847,255594,1504171907.5,6038.4,5783.85,44.13,112803,5885,11-Feb-2025
5705.2,5707,5839.95,5828.35,EQ,PERSISTENT,2025-02-11T18:30:00.000Z,58014,283805,1631447025.45,5860,5683.05,44.78,127079,5748.48,12-Feb-2025
5663.3,5644,5721.95,5705.2,EQ,PERSISTENT,2025-02-12T18:30:00.000Z,55018,233733,1331746351.2,5788.25,5618,45.83,107114,5697.72,13-Feb-2025
5562.7,5547,5700,5663.3,EQ,PERSISTENT,2025-02-13T18:30:00.000Z,79423,370089,2054444543.45,5728.85,5490.1,48.14,178156,5551.22,14-Feb-2025
