CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
5307.45,5300.5,5270,5281.5,EQ,PFIZER,2024-12-31T18:30:00.000Z,8669,30466,160880702.9,5353,5173.25,40.62,12375,5280.66,01-Jan-2025
5324.15,5304.5,5350,5307.45,EQ,PFIZER,2025-01-01T18:30:00.000Z,8783,27605,146269041.45,5353,5230.1,46.44,12821,5298.64,02-Jan-2025
5223.35,5224,5324.15,5324.15,EQ,PFIZER,2025-01-02T18:30:00.000Z,13079,39037,204923575.5,5340,5204.95,47.31,18469,5249.47,03-Jan-2025
5128.7,5127.05,5224,5223.35,EQ,PFIZER,2025-01-05T18:30:00.000Z,11382,28328,146254733.15,5274.75,5108,52.68,14924,5162.9,06-Jan-2025
5347.8,5350,5133,5128.7,EQ,PFIZER,2025-01-06T18:30:00.000Z,29497,117953,632663586.15,5496.95,5091.3,18.67,22023,5363.69,07-Jan-2025
5381.85,5378,5360,5347.8,EQ,PFIZER,2025-01-07T18:30:00.000Z,21831,78281,425797301.95,5544,5265.2,21.94,17178,5439.34,08-Jan-2025
5330.05,5325,5398.1,5381.85,EQ,PFIZER,2025-01-08T18:30:00.000Z,5824,18611,99636616.45,5407.15,5300,34.87,6489,5353.64,09-Jan-2025
5254.45,5255,5371.9,5330.05,EQ,PFIZER,2025-01-09T18:30:00.000Z,5115,12922,68172136.65,5371.9,5200,39.27,5074,5275.66,10-Jan-2025
5090.5,5088,5254.45,5254.45,EQ,PFIZER,2025-01-12T18:30:00.000Z,6986,17531,90626419.7,5291.6,5061.55,42.76,7497,5169.5,13-Jan-2025
5087.3,5098.8,5155,5090.5,EQ,PFIZER,2025-01-13T18:30:00.000Z,7711,24081,121689870.9,5224.95,4987.3,42.78,10302,5053.36,14-Jan-2025
4961.55,4950,5097.8,5087.3,EQ,PFIZER,2025-01-14T18:30:00.000Z,5468,47397,236479559.7,5107.15,4941.95,79.59,37723,4989.34,15-Jan-2025
4959.75,4950,4962,4961.55,EQ,PFIZER,2025-01-15T18:30:00.000Z,3380,10776,53589694.45,5029.45,4930.4,38.55,4154,4973.06,16-Jan-2025
4958.1,4959.7,4965,4959.75,EQ,PFIZER,2025-01-16T18:30:00.000Z,2133,8842,43796799.7,5000.95,4921,51.3,4536,4953.27,17-Jan-2025
4933.95,4929,4999,4958.1,EQ,PFIZER,2025-01-19T18:30:00.000Z,2931,23364,115337159.65,4999.45,4907.4,74.9,17500,4936.53,20-Jan-2025
4944.5,4941.85,4921,4933.95,EQ,PFIZER,2025-01-20T18:30:00.000Z,5355,12861,63621759.1,4984.05,4900.05,40.02,5147,4946.87,21-Jan-2025
4792.5,4819,4934.1,4944.5,EQ,PFIZER,2025-01-21T18:30:00.000Z,8195,19095,91974698.45,4985,4763.15,53.12,10144,4816.69,22-Jan-2025
4784.65,4774.95,4800,4792.5,EQ,PFIZER,2025-01-22T18:30:00.000Z,4242,14793,70912167.45,4827.95,4770,63.12,9338,4793.63,23-Jan-2025
4713.95,4708.05,4811.1,4784.65,EQ,PFIZER,2025-01-23T18:30:00.000Z,4247,18427,87001549.25,4811.1,4700,67.15,12373,4721.42,24-Jan-2025
4591.45,4570.05,4676.05,4713.95,EQ,PFIZER,2025-01-26T18:30:00.000Z,6300,13643,62558842.65,4687.1,4540.1,51.64,7045,4585.42,27-Jan-2025
4423.3,4416,4599.9,4591.45,EQ,PFIZER,2025-01-27T18:30:00.000Z,7027,22013,98120341,4658.5,4413.05,47.47,10449,4457.38,28-Jan-2025
4486.6,4486.65,4429.9,4423.3,EQ,PFIZER,2025-01-28T18:30:00.000Z,4617,13923,62512886.05,4521.25,4425.05,44.77,6233,4489.9,29-Jan-2025
4519.15,4534.8,4550,4486.6,EQ,PFIZER,2025-01-29T18:30:00.000Z,4226,10750,48711488.45,4573.5,4494.6,46.44,4992,4531.3,30-Jan-2025
4538.2,4526.7,4450.05,4519.15,EQ,PFIZER,2025-01-30T18:30:00.000Z,5036,13735,62247506.15,4562.85,4450.05,46.59,6399,4532.04,31-Jan-2025
4562.85,4565,4466.05,4538.2,EQ,PFIZER,2025-01-31T18:30:00.000Z,3721,12138,55028864.2,4594.9,4461,24.48,2971,4533.6,01-Feb-2025
4504.15,4533,4575,4562.85,EQ,PFIZER,2025-02-02T18:30:00.000Z,8289,24868,110631517,4575,4376.05,43.64,10853,4448.75,03-Feb-2025
4425.8,4421.1,4514.9,4504.15,EQ,PFIZER,2025-02-03T18:30:00.000Z,6636,16429,73061875.15,4516.4,4411.25,58.27,9573,4447.13,04-Feb-2025
4377,4410,4469,4425.8,EQ,PFIZER,2025-02-04T18:30:00.000Z,9043,39060,170827234.6,4469,4351,62.8,24530,4373.46,05-Feb-2025
4414.95,4425,4399,4377,EQ,PFIZER,2025-02-05T18:30:00.000Z,8121,26813,118012408.55,4445.95,4370.75,50.98,13670,4401.31,06-Feb-2025
4357.9,4334.25,4459.8,4414.95,EQ,PFIZER,2025-02-06T18:30:00.000Z,6463,17807,77649470.55,4459.8,4329.35,40.19,7157,4360.61,07-Feb-2025
4248.1,4232.65,4301,4357.9,EQ,PFIZER,2025-02-09T18:30:00.000Z,5374,16807,71661958.45,4347,4230.1,51.69,8688,4263.82,10-Feb-2025
4111.15,4100,4278.75,4248.1,EQ,PFIZER,2025-02-10T18:30:00.000Z,7731,21760,89651139.85,4278.75,4060,48.49,10551,4120,11-Feb-2025
4120.55,4120,4126.4,4111.15,EQ,PFIZER,2025-02-11T18:30:00.000Z,7120,20677,84277197.3,4143.85,4010.55,32.74,6770,4075.89,12-Feb-2025
4169.05,4199,4110,4120.55,EQ,PFIZER,2025-02-12T18:30:00.000Z,30610,116608,499620452.2,4425.45,4089,19.42,22641,4284.62,13-Feb-2025
4178.25,4225,4199,4169.05,EQ,PFIZER,2025-02-13T18:30:00.000Z,7526,23705,98026248.75,4248.8,4062,46.87,11111,4135.26,14-Feb-2025
4152.5,4129,4178.25,4178.25,EQ,PFIZER,2025-02-16T18:30:00.000Z,9360,27337,112887967.1,4193.35,4050.05,35.01,9572,4129.49,17-Feb-2025
