CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
139.51,140.5,137,137.32,EQ,PFOCUS,2024-12-31T18:30:00.000Z,386,25338,3520169.58,140.98,135.31,72.72,18426,138.93,01-Jan-2025
143.05,142.69,140.9,139.51,EQ,PFOCUS,2025-01-01T18:30:00.000Z,1006,79885,11408861.36,145,137.9,66.47,53098,142.82,02-Jan-2025
134.78,135.8,143.59,143.05,EQ,PFOCUS,2025-01-02T18:30:00.000Z,1477,65843,9039489.13,144.12,133.8,60.88,40085,137.29,03-Jan-2025
130.65,130.5,136,134.78,EQ,PFOCUS,2025-01-05T18:30:00.000Z,1148,48162,6383712.96,136,130,75.74,36478,132.55,06-Jan-2025
134.76,134.99,129.84,130.65,EQ,PFOCUS,2025-01-06T18:30:00.000Z,588,24671,3277791.21,134.99,128.61,37.41,9230,132.86,07-Jan-2025
133.54,135,136.2,134.76,EQ,PFOCUS,2025-01-07T18:30:00.000Z,778,38344,5206813.94,138,131.61,64.52,24738,135.79,08-Jan-2025
127.34,126.1,131.21,133.54,EQ,PFOCUS,2025-01-08T18:30:00.000Z,1306,33131,4303567.06,135.3,126.1,53.83,17835,129.9,09-Jan-2025
127.65,128.99,127.5,127.34,EQ,PFOCUS,2025-01-09T18:30:00.000Z,910,41755,5284548.76,128.99,124.41,59.26,24744,126.56,10-Jan-2025
117.6,117.98,126.95,127.65,EQ,PFOCUS,2025-01-12T18:30:00.000Z,1532,78333,9399163.01,128.03,115.31,68.71,53819,119.99,13-Jan-2025
123.25,122.02,115.3,117.6,EQ,PFOCUS,2025-01-13T18:30:00.000Z,839,18853,2294197.05,124.72,115.3,40.08,7556,121.69,14-Jan-2025
120.93,120.97,123.52,123.25,EQ,PFOCUS,2025-01-14T18:30:00.000Z,540,33583,4127861.28,124.9,120.6,73.72,24756,122.92,15-Jan-2025
125.15,125.25,121.94,120.93,EQ,PFOCUS,2025-01-15T18:30:00.000Z,690,1136213,142928998.55,127.9,121.94,98.57,1119916,125.79,16-Jan-2025
126.67,126.94,126.6,125.15,EQ,PFOCUS,2025-01-16T18:30:00.000Z,1665,801655,100547579.29,131,124.2,94.47,757314,125.43,17-Jan-2025
