CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
497.8,496.1,504.95,503.1,EQ,RHIM,2024-12-31T18:30:00.000Z,9556,115006,57545965.3,508.75,496,50.77,58384,500.37,01-Jan-2025
503.7,504,499.8,497.8,EQ,RHIM,2025-01-01T18:30:00.000Z,9476,132796,66741101.3,509.5,498,52.76,70069,502.58,02-Jan-2025
496.8,493.95,503.9,503.7,EQ,RHIM,2025-01-02T18:30:00.000Z,33815,581336,288780249.5,509.5,493.25,59,342983,496.75,03-Jan-2025
497.75,497,492.5,496.8,EQ,RHIM,2025-01-05T18:30:00.000Z,10716,186431,92660612,502.65,492.3,46.41,86526,497.02,06-Jan-2025
489.2,489,492.5,497.75,EQ,RHIM,2025-01-06T18:30:00.000Z,30748,460846,225542428.75,499.45,485.1,69.85,321922,489.41,07-Jan-2025
493.15,492.1,491.2,489.2,EQ,RHIM,2025-01-07T18:30:00.000Z,6537,77818,38340590.2,497.1,488.35,40.77,31725,492.7,08-Jan-2025
501,499.25,492,493.15,EQ,RHIM,2025-01-08T18:30:00.000Z,14540,169821,85362784.1,508.8,492,29.66,50368,502.66,09-Jan-2025
493.35,493.55,503.75,501,EQ,RHIM,2025-01-09T18:30:00.000Z,14646,208575,101943243.25,503.75,479,44.28,92367,488.76,10-Jan-2025
485.2,485.45,488,493.35,EQ,RHIM,2025-01-12T18:30:00.000Z,12924,217830,105357803.9,493,481,61.52,134006,483.67,13-Jan-2025
482.05,482,485,485.2,EQ,RHIM,2025-01-13T18:30:00.000Z,7604,87750,42265040.85,489.95,468.25,40.18,35262,481.65,14-Jan-2025
483.05,482.9,480,482.05,EQ,RHIM,2025-01-14T18:30:00.000Z,5758,50185,24314995.05,488.6,480,38.75,19445,484.51,15-Jan-2025
488.9,492.8,483.2,483.05,EQ,RHIM,2025-01-15T18:30:00.000Z,5234,62023,30375045,494.45,483.2,30.98,19216,489.74,16-Jan-2025
494.7,495,488.9,488.9,EQ,RHIM,2025-01-16T18:30:00.000Z,5090,55160,27106663.1,498.4,485.25,48.3,26645,491.42,17-Jan-2025
493,493,492.05,494.7,EQ,RHIM,2025-01-19T18:30:00.000Z,3581,38612,19022636.6,495.75,489.35,50.61,19542,492.66,20-Jan-2025
491.75,490.05,495.6,493,EQ,RHIM,2025-01-20T18:30:00.000Z,13251,112250,55225975.8,499,488,69.88,78438,491.99,21-Jan-2025
484,483.9,490.25,491.75,EQ,RHIM,2025-01-21T18:30:00.000Z,6430,49391,23806141.6,490.25,476.75,43.79,21628,481.99,22-Jan-2025
477.95,479,484,484,EQ,RHIM,2025-01-22T18:30:00.000Z,6091,68185,32838049.8,489.5,476.1,45.43,30978,481.6,23-Jan-2025
474.6,474.25,480.5,477.95,EQ,RHIM,2025-01-23T18:30:00.000Z,5306,65274,31171918.8,483.45,472.55,48.48,31646,477.55,24-Jan-2025
461.55,461.2,474.15,474.6,EQ,RHIM,2025-01-26T18:30:00.000Z,11127,89062,40896647.45,474.15,453,45.19,40245,459.19,27-Jan-2025
464.35,467,467.8,461.55,EQ,RHIM,2025-01-27T18:30:00.000Z,12234,115454,53205425.4,472.8,451.45,39.86,46020,460.84,28-Jan-2025
469.95,469,464.95,464.35,EQ,RHIM,2025-01-28T18:30:00.000Z,8937,61900,29281851.15,484.5,464.1,35.67,22077,473.05,29-Jan-2025
467.3,466.1,471.9,469.95,EQ,RHIM,2025-01-29T18:30:00.000Z,7586,61316,28869217.6,476.55,465.95,55.82,34224,470.83,30-Jan-2025
472.5,470.3,468.05,467.3,EQ,RHIM,2025-01-30T18:30:00.000Z,5423,44051,20701676.3,476.15,464.8,43.08,18977,469.95,31-Jan-2025
471.65,469.1,473.3,472.5,EQ,RHIM,2025-01-31T18:30:00.000Z,2739,27481,12933371.25,475.95,465.1,35.07,9638,470.63,01-Feb-2025
473.25,471.1,470.95,471.65,EQ,RHIM,2025-02-02T18:30:00.000Z,6174,60939,28495473.25,476.65,459.5,48.1,29309,467.61,03-Feb-2025
471.4,470.2,475.7,473.25,EQ,RHIM,2025-02-03T18:30:00.000Z,4652,55724,26336819.8,479.7,469.35,58.87,32806,472.63,04-Feb-2025
480.1,481,475,471.4,EQ,RHIM,2025-02-04T18:30:00.000Z,5972,42651,20384544.8,486.95,468.2,43.14,18401,477.94,05-Feb-2025
485.95,486,481,480.1,EQ,RHIM,2025-02-05T18:30:00.000Z,4938,40671,19679197.9,488.95,479.15,50.36,20482,483.86,06-Feb-2025
482.8,482,483,485.95,EQ,RHIM,2025-02-06T18:30:00.000Z,3273,30377,14656878.35,485.2,479.65,64.57,19614,482.5,07-Feb-2025
468.55,468,480.05,482.8,EQ,RHIM,2025-02-09T18:30:00.000Z,4126,43972,20717275,482.65,466.3,58.28,25625,471.15,10-Feb-2025
450.2,450,468,468.55,EQ,RHIM,2025-02-10T18:30:00.000Z,8009,78611,35607405.6,471,445.85,63.17,49662,452.96,11-Feb-2025
438.5,439.25,458,450.2,EQ,RHIM,2025-02-11T18:30:00.000Z,21553,312266,140376668.45,461.55,434.9,68.94,215265,449.54,12-Feb-2025
428.3,428,439.05,438.5,EQ,RHIM,2025-02-12T18:30:00.000Z,18407,202098,88110529.55,445.15,424,59.02,119286,435.98,13-Feb-2025
418.05,412.05,428.6,428.3,EQ,RHIM,2025-02-13T18:30:00.000Z,15365,148301,62243815.75,431.2,410.25,42.87,63571,419.71,14-Feb-2025
399.45,398,418.05,418.05,EQ,RHIM,2025-02-16T18:30:00.000Z,22999,246329,100165871.05,426.35,395.3,51.5,126866,406.63,17-Feb-2025
