CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
345.65,345.05,333,329.5,EQ,SAPPHIRE,2024-12-31T18:30:00.000Z,23314,422687,144109752.5,350,330.85,27.65,116881,340.94,01-Jan-2025
341.5,340.1,345.05,345.65,EQ,SAPPHIRE,2025-01-01T18:30:00.000Z,19496,283644,97448381.4,351,337.3,32.02,90835,343.56,02-Jan-2025
348.85,347.05,341.3,341.5,EQ,SAPPHIRE,2025-01-02T18:30:00.000Z,130705,4207246,1512601393.35,371.35,341.3,11.37,478471,359.52,03-Jan-2025
354.4,356.05,349.05,348.85,EQ,SAPPHIRE,2025-01-05T18:30:00.000Z,115021,3063847,1110471772,374.65,348.05,15.78,483454,362.44,06-Jan-2025
354.45,351.3,356.5,354.4,EQ,SAPPHIRE,2025-01-06T18:30:00.000Z,26503,555067,198865105.9,362.9,351.3,37.63,208877,358.27,07-Jan-2025
339.6,339.6,352,354.45,EQ,SAPPHIRE,2025-01-07T18:30:00.000Z,24747,473682,160956925.65,353.9,335.85,23.34,110554,339.8,08-Jan-2025
343.9,341.55,339.6,339.6,EQ,SAPPHIRE,2025-01-08T18:30:00.000Z,16350,268914,91438593.4,347.15,334.9,26.67,71711,340.03,09-Jan-2025
328.65,329.3,345.7,343.9,EQ,SAPPHIRE,2025-01-09T18:30:00.000Z,19621,215196,71616696.3,345.7,327,25.74,55390,332.8,10-Jan-2025
320.9,320.75,328.65,328.65,EQ,SAPPHIRE,2025-01-12T18:30:00.000Z,26257,530674,169984991.4,328.65,315.2,66.48,352816,320.32,13-Jan-2025
325.8,330.6,320,320.9,EQ,SAPPHIRE,2025-01-13T18:30:00.000Z,17097,448350,145076822.7,333.85,314.5,72.61,325544,323.58,14-Jan-2025
331.35,327.25,330.7,325.8,EQ,SAPPHIRE,2025-01-14T18:30:00.000Z,36817,500476,164100854.7,335.45,320.15,34.06,170478,327.89,15-Jan-2025
323.5,324.4,330.5,331.35,EQ,SAPPHIRE,2025-01-15T18:30:00.000Z,16762,306570,99137425.85,332.95,319,35.94,110194,323.38,16-Jan-2025
318.05,318.2,322.8,323.5,EQ,SAPPHIRE,2025-01-16T18:30:00.000Z,13159,183261,58309155.7,324,314.9,42.57,78018,318.18,17-Jan-2025
314.25,315.85,315.2,318.05,EQ,SAPPHIRE,2025-01-19T18:30:00.000Z,18616,243048,76328718.3,319.8,310.4,49.25,119713,314.05,20-Jan-2025
312.15,314.95,314.25,314.25,EQ,SAPPHIRE,2025-01-20T18:30:00.000Z,6141,82593,25977892.1,323.9,310.65,28.7,23703,314.53,21-Jan-2025
310.2,311.25,312.2,312.15,EQ,SAPPHIRE,2025-01-21T18:30:00.000Z,34282,718453,223904833.1,319.85,307.8,72.28,519313,311.65,22-Jan-2025
305.3,304.35,311.25,310.2,EQ,SAPPHIRE,2025-01-22T18:30:00.000Z,26619,294864,90985570.5,315.25,303.3,49.81,146864,308.57,23-Jan-2025
305.35,310.85,302.75,305.3,EQ,SAPPHIRE,2025-01-23T18:30:00.000Z,13681,182932,55892226.35,311.15,301.6,29.47,53910,305.54,24-Jan-2025
295.2,291.1,306.95,305.35,EQ,SAPPHIRE,2025-01-26T18:30:00.000Z,16363,185530,55064303.45,306.95,291.1,44.45,82466,296.79,27-Jan-2025
286.95,288.1,295.95,295.2,EQ,SAPPHIRE,2025-01-27T18:30:00.000Z,26823,395519,114094749.4,296.95,283.7,53.54,211758,288.47,28-Jan-2025
289.95,289.9,286,286.95,EQ,SAPPHIRE,2025-01-28T18:30:00.000Z,13909,150002,43708431.05,296,284.65,42.92,64376,291.39,29-Jan-2025
290.05,295,289.95,289.95,EQ,SAPPHIRE,2025-01-29T18:30:00.000Z,10287,125615,36431842.15,295,286.4,52.04,65370,290.03,30-Jan-2025
289.6,289.15,291.6,290.05,EQ,SAPPHIRE,2025-01-30T18:30:00.000Z,31959,545170,157454030.8,299,284,58.02,316316,288.82,31-Jan-2025
315.75,312.9,291.05,289.6,EQ,SAPPHIRE,2025-01-31T18:30:00.000Z,47254,1583581,498974731.05,321.9,287.5,22.53,356725,315.09,01-Feb-2025
326.8,325.3,305,315.75,EQ,SAPPHIRE,2025-02-02T18:30:00.000Z,169924,4994203,1653445220.4,346,292.9,23.45,1171198,331.07,03-Feb-2025
