CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
1572.85,1565.05,1560.95,1576.7,EQ,SOBHA,2024-12-31T18:30:00.000Z,6836,40749,64071292.35,1583.25,1560.95,34.25,13958,1572.34,01-Jan-2025
1547.3,1548,1580,1572.85,EQ,SOBHA,2025-01-01T18:30:00.000Z,9878,116615,180770154.3,1580.95,1538.25,48.36,56391,1550.14,02-Jan-2025
1545.65,1545.85,1563.7,1547.3,EQ,SOBHA,2025-01-02T18:30:00.000Z,8010,86359,133448032.7,1563.7,1538,35.68,30811,1545.27,03-Jan-2025
1479.85,1485.7,1550,1545.65,EQ,SOBHA,2025-01-05T18:30:00.000Z,20092,183868,275452621.5,1550,1462.7,45.13,82987,1498.1,06-Jan-2025
1513.35,1510,1497.85,1479.85,EQ,SOBHA,2025-01-06T18:30:00.000Z,11179,106415,158809201.25,1518,1469.15,43.27,46046,1492.36,07-Jan-2025
1436.05,1426,1488,1513.35,EQ,SOBHA,2025-01-07T18:30:00.000Z,52181,470750,684453749.65,1507.5,1416.1,37.48,176443,1453.96,08-Jan-2025
1383.55,1380,1426,1436.05,EQ,SOBHA,2025-01-08T18:30:00.000Z,31918,342820,479628205.7,1431.45,1379.85,43.02,147467,1399.07,09-Jan-2025
1370.8,1365,1383.55,1383.55,EQ,SOBHA,2025-01-09T18:30:00.000Z,41095,329735,444959592.5,1388.45,1317,35.1,115743,1349.45,10-Jan-2025
1272.95,1271,1349.85,1370.8,EQ,SOBHA,2025-01-12T18:30:00.000Z,29481,226466,295119577.3,1354,1265,25.48,57707,1303.15,13-Jan-2025
1298,1298.55,1273.05,1272.95,EQ,SOBHA,2025-01-13T18:30:00.000Z,21413,175525,227381421.85,1316.6,1268.45,37.8,66346,1295.44,14-Jan-2025
1307.65,1311,1317.5,1298,EQ,SOBHA,2025-01-14T18:30:00.000Z,14055,118499,156313102.75,1339,1299.1,29.42,34862,1319.11,15-Jan-2025
1290.6,1293,1321.9,1307.65,EQ,SOBHA,2025-01-15T18:30:00.000Z,12618,122793,160353478.65,1342,1285.45,42.32,51960,1305.88,16-Jan-2025
1298.45,1297.45,1294.5,1290.6,EQ,SOBHA,2025-01-16T18:30:00.000Z,20571,223885,290461729,1311.35,1282,53.42,119592,1297.37,17-Jan-2025
1321.4,1323,1300,1298.45,EQ,SOBHA,2025-01-19T18:30:00.000Z,13045,102860,134456201.2,1324.85,1281,41.62,42809,1307.18,20-Jan-2025
1282.5,1281.6,1333.6,1321.4,EQ,SOBHA,2025-01-20T18:30:00.000Z,17114,122731,159436433.05,1333.6,1277.55,29.42,36108,1299.07,21-Jan-2025
