CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
690.05,688.35,683.35,683.35,EQ,SUNTV,2024-12-31T18:30:00.000Z,10524,201022,138615384.95,693.75,680.05,15.6,31351,689.55,01-Jan-2025
693.5,694,688.35,690.05,EQ,SUNTV,2025-01-01T18:30:00.000Z,7109,121120,83712876.15,694.55,686.75,33.92,41083,691.16,02-Jan-2025
687.4,688.95,696.1,693.5,EQ,SUNTV,2025-01-02T18:30:00.000Z,9454,165485,114751055.35,701.95,685.2,32.43,53674,693.42,03-Jan-2025
668.6,669.6,687.65,687.4,EQ,SUNTV,2025-01-05T18:30:00.000Z,13189,167218,112508288.5,692.1,666.35,40.69,68047,672.82,06-Jan-2025
666.05,667.75,664,668.6,EQ,SUNTV,2025-01-06T18:30:00.000Z,25512,679454,450978930.55,671.95,656.1,53.62,364338,663.74,07-Jan-2025
669.2,670.5,666.95,666.05,EQ,SUNTV,2025-01-07T18:30:00.000Z,12134,164131,109367359.8,672.2,660.1,31.56,51797,666.34,08-Jan-2025
669.2,667.7,671.6,669.2,EQ,SUNTV,2025-01-08T18:30:00.000Z,21960,454648,306856443.8,683.4,666.65,21.06,95756,674.93,09-Jan-2025
670.2,670.9,667.7,669.2,EQ,SUNTV,2025-01-09T18:30:00.000Z,17931,513581,342754600.4,674,654.55,44.12,226610,667.38,10-Jan-2025
644.95,646.3,658,670.2,EQ,SUNTV,2025-01-12T18:30:00.000Z,18456,472133,306907236.7,667.55,636.4,43.35,204660,650.04,13-Jan-2025
658,658.45,643.75,644.95,EQ,SUNTV,2025-01-13T18:30:00.000Z,9529,130683,85810835.25,662.35,643.75,25.01,32680,656.63,14-Jan-2025
