CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
1108.35,1109.5,1121,1104.8,EQ,TITAGARH,2024-12-31T18:30:00.000Z,44498,995689,1108032596.95,1126,1105.05,27.63,275150,1112.83,01-Jan-2025
1112.4,1112,1117.35,1108.35,EQ,TITAGARH,2025-01-01T18:30:00.000Z,49862,1129419,1251873645.15,1120.3,1101.95,34.13,385423,1108.42,02-Jan-2025
1117.7,1120.8,1105,1112.4,EQ,TITAGARH,2025-01-02T18:30:00.000Z,44175,1073341,1209024293.2,1142.6,1105,25.02,268554,1126.41,03-Jan-2025
1087.95,1094,1128,1117.7,EQ,TITAGARH,2025-01-05T18:30:00.000Z,49541,1055308,1157754714.65,1131.7,1079.45,36.04,380303,1097.08,06-Jan-2025
1120.85,1119,1102.95,1087.95,EQ,TITAGARH,2025-01-06T18:30:00.000Z,63677,1648186,1848652706.2,1148.95,1094.1,23.73,391153,1121.63,07-Jan-2025
1108.9,1109.4,1126.2,1120.85,EQ,TITAGARH,2025-01-07T18:30:00.000Z,31278,768065,852631310.05,1126.2,1100.1,28.13,216088,1110.1,08-Jan-2025
1091.2,1088,1109.3,1108.9,EQ,TITAGARH,2025-01-08T18:30:00.000Z,25988,532009,584877650.85,1115,1087,35.7,189944,1099.38,09-Jan-2025
1039.65,1046.95,1090,1091.2,EQ,TITAGARH,2025-01-09T18:30:00.000Z,123272,2236341,2328998097.65,1092.5,1021,32.72,731820,1041.43,10-Jan-2025
1000.75,1009,1035.05,1039.65,EQ,TITAGARH,2025-01-12T18:30:00.000Z,77558,1395119,1408762762.35,1036,988.55,30.06,419376,1009.78,13-Jan-2025
1009.45,1014.9,1010,1000.75,EQ,TITAGARH,2025-01-13T18:30:00.000Z,101357,1960199,1966735733.5,1026.75,985.35,36.41,713710,1003.33,14-Jan-2025
1011.8,1009,1025.95,1009.45,EQ,TITAGARH,2025-01-14T18:30:00.000Z,74644,1576810,1616000410.4,1049.35,1003,26.62,419733,1024.85,15-Jan-2025
1053.25,1054.9,1038.3,1011.8,EQ,TITAGARH,2025-01-15T18:30:00.000Z,116037,2978063,3134016669.4,1072.55,1028.8,19.56,582370,1052.37,16-Jan-2025
1082.2,1077.4,1055,1053.25,EQ,TITAGARH,2025-01-16T18:30:00.000Z,102703,3048476,3305711174.2,1111,1041,15.07,459452,1084.38,17-Jan-2025
1088.1,1085.45,1092.4,1082.2,EQ,TITAGARH,2025-01-19T18:30:00.000Z,51526,1205584,1308443642.15,1099.5,1059.7,19.9,239967,1085.32,20-Jan-2025
1055.35,1050,1090,1088.1,EQ,TITAGARH,2025-01-20T18:30:00.000Z,50243,1008117,1082147546.6,1098.5,1046,25.23,254332,1073.43,21-Jan-2025
1000.65,1000,1054,1055.35,EQ,TITAGARH,2025-01-21T18:30:00.000Z,72919,1504101,1522047720,1054.8,996.55,40.08,602877,1011.93,22-Jan-2025
987.85,986.7,999.9,1000.65,EQ,TITAGARH,2025-01-22T18:30:00.000Z,90420,1562275,1546684677.75,1000.5,977.6,31.55,492887,990.02,23-Jan-2025
968.45,965,987.85,987.85,EQ,TITAGARH,2025-01-23T18:30:00.000Z,51587,882884,863223798.35,993.85,963,36.35,320886,977.73,24-Jan-2025
936.95,941.8,960.15,968.45,EQ,TITAGARH,2025-01-26T18:30:00.000Z,77326,1364941,1260076305.4,962,906.35,29.53,403084,923.17,27-Jan-2025
915.3,920,940.05,936.95,EQ,TITAGARH,2025-01-27T18:30:00.000Z,121099,2207793,2040964989.05,950,890.15,25.61,565456,924.44,28-Jan-2025
947,953,927.05,915.3,EQ,TITAGARH,2025-01-28T18:30:00.000Z,53499,1045735,984650396.35,953.95,922.75,36.59,382591,941.59,29-Jan-2025
959.85,962.5,958,947,EQ,TITAGARH,2025-01-29T18:30:00.000Z,105439,2153178,2111948668.8,1007.5,955.1,20.31,437312,980.85,30-Jan-2025
1018.95,1027,974.25,959.85,EQ,TITAGARH,2025-01-30T18:30:00.000Z,101235,2498293,2511866252.65,1036.95,964.25,21.39,534318,1005.43,31-Jan-2025
956,950,1038.9,1018.95,EQ,TITAGARH,2025-01-31T18:30:00.000Z,372903,9316041,9549685778.8,1100,932.5,15.62,1454969,1025.08,01-Feb-2025
910.6,913,935.05,956,EQ,TITAGARH,2025-02-02T18:30:00.000Z,152742,3415791,3087631314.7,941,882.2,23.81,813383,903.93,03-Feb-2025
901.6,902,928,910.6,EQ,TITAGARH,2025-02-03T18:30:00.000Z,114608,3140871,2855461823.25,938.7,891.05,17.89,561814,909.13,04-Feb-2025
910.6,915,903.95,901.6,EQ,TITAGARH,2025-02-04T18:30:00.000Z,113267,3224606,3020930631.1,964.15,903.95,15.74,507529,936.84,05-Feb-2025
900.55,902.4,918.65,910.6,EQ,TITAGARH,2025-02-05T18:30:00.000Z,76563,1702992,1541388819.05,927.95,894.55,25.63,436550,905.11,06-Feb-2025
883.05,885,905,900.55,EQ,TITAGARH,2025-02-06T18:30:00.000Z,68814,1423233,1263143372.4,908.65,880,31.39,446753,887.52,07-Feb-2025
873.5,874,885.1,883.05,EQ,TITAGARH,2025-02-09T18:30:00.000Z,72873,1358736,1200209307.35,905,865.1,24.22,329135,883.33,10-Feb-2025
839.6,835,865,873.5,EQ,TITAGARH,2025-02-10T18:30:00.000Z,75215,1527336,1286206515.85,868.65,827.2,36.56,558451,842.12,11-Feb-2025
840.75,845.5,834.95,839.6,EQ,TITAGARH,2025-02-11T18:30:00.000Z,123595,2370171,1949025779.85,849,790.85,18.3,433719,822.31,12-Feb-2025
850.15,850,846,840.75,EQ,TITAGARH,2025-02-12T18:30:00.000Z,75878,1410290,1203629923.95,868,834.1,15.43,217669,853.46,13-Feb-2025
804.65,800.45,811,850.15,EQ,TITAGARH,2025-02-13T18:30:00.000Z,109233,2369100,1919858153.65,828,796.1,18.83,446001,810.37,14-Feb-2025
771.6,772.55,800,804.65,EQ,TITAGARH,2025-02-16T18:30:00.000Z,120971,2293464,1778690295.85,801.2,763.2,23.47,538334,775.55,17-Feb-2025
778.75,784.5,772,771.6,EQ,TITAGARH,2025-02-17T18:30:00.000Z,86080,1787142,1363868581.5,784.8,747.85,18.53,331167,763.16,18-Feb-2025
795.7,794,774.45,778.75,EQ,TITAGARH,2025-02-18T18:30:00.000Z,104958,2093421,1672313703.2,813.4,762,15.34,321078,798.84,19-Feb-2025
803.75,803,791,795.7,EQ,TITAGARH,2025-02-19T18:30:00.000Z,55489,1112629,890514867.9,813.55,777.25,20.21,224839,800.37,20-Feb-2025
783.1,781,802,803.75,EQ,TITAGARH,2025-02-20T18:30:00.000Z,65504,1360129,1085959593.4,822.95,778,24.05,327133,798.42,21-Feb-2025
771.15,772,778.75,783.1,EQ,TITAGARH,2025-02-23T18:30:00.000Z,55879,1149093,886041218.7,785.7,755.6,26.73,307161,771.08,24-Feb-2025
777.05,776,772,771.15,EQ,TITAGARH,2025-02-24T18:30:00.000Z,44245,865610,671155328.3,784.5,765.75,18.66,161559,775.36,25-Feb-2025
741.15,734.3,774.1,777.05,EQ,TITAGARH,2025-02-26T18:30:00.000Z,57846,1370030,1025409194.8,779.8,732.3,33.41,457761,748.46,27-Feb-2025
697,698,726.6,741.15,EQ,TITAGARH,2025-02-27T18:30:00.000Z,95836,2343034,1653536585.05,727.8,692.7,32.37,758365,705.72,28-Feb-2025
675.15,674,698.55,697,EQ,TITAGARH,2025-03-02T18:30:00.000Z,100693,2538882,1724322339.05,709.6,665.05,36.26,920628,679.17,03-Mar-2025
692.8,694,660,675.15,EQ,TITAGARH,2025-03-03T18:30:00.000Z,103191,3022680,2083031789.5,707.7,654.55,19.08,576664,689.13,04-Mar-2025
715.15,716,704,692.8,EQ,TITAGARH,2025-03-04T18:30:00.000Z,66283,1831070,1295909795.4,719.8,695.05,27.42,502127,707.73,05-Mar-2025
720.55,718.15,722.95,715.15,EQ,TITAGARH,2025-03-05T18:30:00.000Z,41171,1165689,842343528.15,732.5,715.05,21.93,255676,722.61,06-Mar-2025
759,756.95,718,720.55,EQ,TITAGARH,2025-03-06T18:30:00.000Z,159288,5729872,4370143139.55,784.05,716,12.11,694144,762.69,07-Mar-2025
709,704,764.5,759,EQ,TITAGARH,2025-03-09T18:30:00.000Z,75655,2774656,2016914420.2,764.95,702.7,29.3,812980,726.91,10-Mar-2025
699.6,701,691.55,709,EQ,TITAGARH,2025-03-10T18:30:00.000Z,59030,2135054,1481157824.95,704.65,677.25,22.35,477288,693.73,11-Mar-2025
699.55,699.5,699.6,699.6,EQ,TITAGARH,2025-03-11T18:30:00.000Z,47913,1204372,840263794.25,708.9,684.25,23.48,282814,697.68,12-Mar-2025
694.3,694.1,700,699.55,EQ,TITAGARH,2025-03-12T18:30:00.000Z,40840,1108269,774856046.7,710.95,689,23.97,265614,699.16,13-Mar-2025
690.7,687,695,694.3,EQ,TITAGARH,2025-03-16T18:30:00.000Z,40259,1107671,771795888.3,708.75,686,23.88,264518,696.77,17-Mar-2025
710.5,712,696,690.7,EQ,TITAGARH,2025-03-17T18:30:00.000Z,38036,1476926,1037118657.3,713.9,693.35,27.18,401410,702.21,18-Mar-2025
752.6,751.65,712,710.5,EQ,TITAGARH,2025-03-18T18:30:00.000Z,100336,3343948,2484593053.85,763.3,711.6,18.67,624476,743.01,19-Mar-2025
742.7,745,755.95,752.6,EQ,TITAGARH,2025-03-19T18:30:00.000Z,82216,2954039,2222380641.6,777,735.5,24.13,712752,752.32,20-Mar-2025
784.5,786,745.95,742.7,EQ,TITAGARH,2025-03-20T18:30:00.000Z,125451,5536352,4338589683.7,802,744.5,15.55,861086,783.65,21-Mar-2025
820.9,822.4,799,784.5,EQ,TITAGARH,2025-03-23T18:30:00.000Z,110613,4399836,3587571617.1,831.9,795.15,19.86,873590,815.39,24-Mar-2025
812.5,807,824.9,820.9,EQ,TITAGARH,2025-03-24T18:30:00.000Z,88361,3032387,2488165309.3,836.95,800.2,19.45,589785,820.53,25-Mar-2025
803,801,808.8,812.5,EQ,TITAGARH,2025-03-25T18:30:00.000Z,47555,1566445,1265265855.6,820.75,800.05,24.05,376697,807.73,26-Mar-2025
815.2,816,799.95,803,EQ,TITAGARH,2025-03-26T18:30:00.000Z,68824,1994444,1601893901.9,820,789.25,25.77,513893,803.18,27-Mar-2025
796.25,793,820,815.2,EQ,TITAGARH,2025-03-27T18:30:00.000Z,60512,1764410,1434141842.5,831,791.6,25.8,455172,812.82,28-Mar-2025
798.5,803.9,793.9,796.25,EQ,TITAGARH,2025-03-31T18:30:00.000Z,39994,1151199,921873995.95,814.5,786.05,21.19,243948,800.79,01-Apr-2025
809.9,810.05,805,798.5,EQ,TITAGARH,2025-04-01T18:30:00.000Z,39422,1134887,906760671,812.55,780.85,17.73,201256,798.99,02-Apr-2025
825.7,828,793.05,809.9,EQ,TITAGARH,2025-04-02T18:30:00.000Z,41234,1570033,1283868663.1,828.8,792.5,26.89,422155,817.73,03-Apr-2025
790.4,793.1,825.7,825.7,EQ,TITAGARH,2025-04-03T18:30:00.000Z,58099,1816108,1446070465.45,826.8,782.85,26.75,485857,796.25,04-Apr-2025
748.7,762.45,715,790.4,EQ,TITAGARH,2025-04-06T18:30:00.000Z,69997,1915801,1402762936.35,762.45,711.4,19.81,379551,732.21,07-Apr-2025
758.7,760,767.85,748.7,EQ,TITAGARH,2025-04-07T18:30:00.000Z,49742,1272225,973556684.15,784.2,752.4,18.87,240050,765.24,08-Apr-2025
736.35,738.1,750,758.7,EQ,TITAGARH,2025-04-08T18:30:00.000Z,41645,1061046,785971123.75,754.95,731.35,23.37,247957,740.75,09-Apr-2025
746.95,752,764.95,736.35,EQ,TITAGARH,2025-04-10T18:30:00.000Z,33709,993364,747115481.9,770,742,25.7,255327,752.11,11-Apr-2025
790.15,789.5,761.95,746.95,EQ,TITAGARH,2025-04-14T18:30:00.000Z,45946,1547806,1213467301.75,794,757.05,19.04,294627,783.99,15-Apr-2025
789.2,791.05,792,790.15,EQ,TITAGARH,2025-04-15T18:30:00.000Z,37103,1111509,877500848.3,799.8,780,20.77,230857,789.47,16-Apr-2025
787.75,787.2,789,789.2,EQ,TITAGARH,2025-04-16T18:30:00.000Z,30310,920916,728704531.8,802.85,783.05,23.84,219514,791.28,17-Apr-2025
790.65,791.4,792,787.75,EQ,TITAGARH,2025-04-20T18:30:00.000Z,43702,1367826,1091437948.75,807.4,787.25,29.16,398808,797.94,21-Apr-2025
795.3,794.8,794.6,790.65,EQ,TITAGARH,2025-04-21T18:30:00.000Z,48899,1475730,1180715092.2,809.9,787.3,34.3,506244,800.09,22-Apr-2025
799.35,798.65,802,795.3,EQ,TITAGARH,2025-04-22T18:30:00.000Z,47439,1586610,1267336997.9,810.5,783,28.36,449976,798.77,23-Apr-2025
811.45,812.8,800.1,799.35,EQ,TITAGARH,2025-04-23T18:30:00.000Z,90684,3979847,3256869458.55,830.15,798.4,21.81,868171,818.34,24-Apr-2025
778.55,774.65,823.65,811.45,EQ,TITAGARH,2025-04-24T18:30:00.000Z,80467,2842955,2240821141.55,829.5,767.5,25.67,729738,788.2,25-Apr-2025
776.65,778,778,778.55,EQ,TITAGARH,2025-04-27T18:30:00.000Z,44332,1923894,1495143210.4,784,768,37.53,721996,777.14,28-Apr-2025
767.65,766.95,784,776.65,EQ,TITAGARH,2025-04-28T18:30:00.000Z,49333,1545032,1199932502.4,794.4,764.6,29.47,455252,776.64,29-Apr-2025
