CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
1494.25,1500,1484,1485.95,EQ,TORNTPOWER,2024-12-31T18:30:00.000Z,34060,535228,797184098.9,1521.65,1472.65,49.82,266630,1489.43,01-Jan-2025
1538.5,1531.8,1500,1494.25,EQ,TORNTPOWER,2025-01-01T18:30:00.000Z,37503,482031,731357819.05,1545.3,1482.95,35.58,171491,1517.24,02-Jan-2025
1513.45,1510,1521.5,1538.5,EQ,TORNTPOWER,2025-01-02T18:30:00.000Z,30387,300817,456666229.1,1540.25,1508,41.42,124613,1518.09,03-Jan-2025
1471.35,1476,1515.05,1513.45,EQ,TORNTPOWER,2025-01-05T18:30:00.000Z,35415,348138,514854902.2,1516.75,1459.8,51.56,179513,1478.88,06-Jan-2025
1453.5,1451.4,1486,1471.35,EQ,TORNTPOWER,2025-01-06T18:30:00.000Z,43871,316996,463911958.8,1494.6,1447.3,59.05,187171,1463.46,07-Jan-2025
1434.45,1437.9,1466.55,1453.5,EQ,TORNTPOWER,2025-01-07T18:30:00.000Z,70563,587136,850012852.2,1474.1,1429.95,52.17,306288,1447.73,08-Jan-2025
1414.8,1412,1437.9,1434.45,EQ,TORNTPOWER,2025-01-08T18:30:00.000Z,45809,730612,1046754217.8,1458,1411,69.66,508965,1432.71,09-Jan-2025
1358.25,1358.8,1417.45,1414.8,EQ,TORNTPOWER,2025-01-09T18:30:00.000Z,42931,521333,719202238.6,1424,1350.1,41.51,216381,1379.54,10-Jan-2025
1309.75,1310.45,1340,1358.25,EQ,TORNTPOWER,2025-01-12T18:30:00.000Z,49364,449041,595284292.6,1366,1301,50.06,224788,1325.68,13-Jan-2025
1378.1,1379,1311,1309.75,EQ,TORNTPOWER,2025-01-13T18:30:00.000Z,46049,561822,766147961.95,1387.45,1311,30.87,173448,1363.68,14-Jan-2025
1421.1,1425.95,1384.4,1378.1,EQ,TORNTPOWER,2025-01-14T18:30:00.000Z,50856,688751,971816663.2,1441.7,1360.4,62.64,431442,1410.98,15-Jan-2025
1492.75,1490,1430.2,1421.1,EQ,TORNTPOWER,2025-01-15T18:30:00.000Z,57240,737681,1086649127.9,1504.1,1430.1,54.24,400118,1473.06,16-Jan-2025
1477,1478.5,1490,1492.75,EQ,TORNTPOWER,2025-01-16T18:30:00.000Z,29015,333687,498109296.25,1518,1472.3,35.17,117371,1492.74,17-Jan-2025
1482.95,1476,1481.2,1477,EQ,TORNTPOWER,2025-01-19T18:30:00.000Z,24174,276280,412220523.8,1522.9,1473.3,30.45,84127,1492.04,20-Jan-2025
1437.95,1433.8,1483,1482.95,EQ,TORNTPOWER,2025-01-20T18:30:00.000Z,32711,292099,423035097.3,1485,1431.05,43.64,127483,1448.26,21-Jan-2025
1390,1393,1445,1437.95,EQ,TORNTPOWER,2025-01-21T18:30:00.000Z,54376,354441,493745618.15,1449.85,1374.2,55.39,196332,1393.03,22-Jan-2025
1424.25,1425.9,1391,1390,EQ,TORNTPOWER,2025-01-22T18:30:00.000Z,43254,618512,884782043.3,1458.7,1383.55,65.85,407279,1430.5,23-Jan-2025
1469.7,1465,1425.8,1424.25,EQ,TORNTPOWER,2025-01-23T18:30:00.000Z,86166,1031287,1512046007.6,1488.7,1382.1,19.76,203796,1466.17,24-Jan-2025
