CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
1074.8,1073.1,1125,1100,EQ,TRAVELFOOD,2025-07-13T18:30:00.000Z,153399,4942773,5426724822.1,1130,1066,57.52,2843297,1097.91,14-Jul-2025
1053.7,1057.5,1073.9,1074.8,EQ,TRAVELFOOD,2025-07-14T18:30:00.000Z,43889,1103033,1172419900.9,1089.9,1048,68.7,757835,1062.91,15-Jul-2025
1087.4,1088.8,1053.7,1053.7,EQ,TRAVELFOOD,2025-07-15T18:30:00.000Z,64702,1943902,2105353498.5,1106.9,1038.1,42.4,824123,1083.06,16-Jul-2025
1101.8,1095.1,1095,1087.4,EQ,TRAVELFOOD,2025-07-16T18:30:00.000Z,54819,1243555,1372068293.2,1114.4,1088,60.19,748520,1103.34,17-Jul-2025
1141,1131.1,1099.7,1101.8,EQ,TRAVELFOOD,2025-07-17T18:30:00.000Z,98512,2927112,3308896486.1,1164.8,1065.2,49.42,1446471,1130.43,18-Jul-2025
1146.8,1150,1151,1141,EQ,TRAVELFOOD,2025-07-20T18:30:00.000Z,48998,1059143,1211064964.7,1160,1111.6,37.42,396368,1143.44,21-Jul-2025
1173.6,1164.1,1152.4,1146.8,EQ,TRAVELFOOD,2025-07-21T18:30:00.000Z,65341,1721445,2017472804,1187.8,1140.8,53.2,915777,1171.96,22-Jul-2025
1170.5,1170,1170.1,1173.6,EQ,TRAVELFOOD,2025-07-22T18:30:00.000Z,24554,587267,679264538.5,1174.9,1132.9,43.7,256653,1156.65,23-Jul-2025
1162.7,1164,1172,1170.5,EQ,TRAVELFOOD,2025-07-23T18:30:00.000Z,26577,499521,580320867.3,1172,1143.8,52.64,262937,1161.75,24-Jul-2025
1153.8,1155,1154.9,1162.7,EQ,TRAVELFOOD,2025-07-24T18:30:00.000Z,16220,368749,427347110.8,1170,1148.5,55.94,206288,1158.91,25-Jul-2025
1118.5,1122,1144.2,1153.8,EQ,TRAVELFOOD,2025-07-27T18:30:00.000Z,42471,524712,588747993.8,1155.8,1096.7,45.19,237123,1122.04,28-Jul-2025
1099.1,1092.5,1118.5,1118.5,EQ,TRAVELFOOD,2025-07-28T18:30:00.000Z,9977,163504,180807282,1123.7,1090.2,36.15,59102,1105.83,29-Jul-2025
1085.4,1075,1091,1099.1,EQ,TRAVELFOOD,2025-07-29T18:30:00.000Z,11566,175727,192261567.8,1109,1073.2,56.85,99898,1094.09,30-Jul-2025
1045.8,1047.7,1070,1085.4,EQ,TRAVELFOOD,2025-07-30T18:30:00.000Z,16429,299125,316610678.7,1080,1038,51.81,154965,1058.46,31-Jul-2025
1026.3,1020.9,1045.1,1045.8,EQ,TRAVELFOOD,2025-07-31T18:30:00.000Z,14651,206667,216000944.8,1065,1011.1,26.8,55390,1045.16,01-Aug-2025
1017.3,1018.7,1026.1,1026.3,EQ,TRAVELFOOD,2025-08-03T18:30:00.000Z,6291,84755,86258025,1036,1008.5,42.4,35938,1017.73,04-Aug-2025
1047.5,1044.5,1018.6,1017.3,EQ,TRAVELFOOD,2025-08-04T18:30:00.000Z,10027,206709,213589164.6,1060,1014.7,48.56,100384,1033.28,05-Aug-2025
