CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
2406.6,2402.1,2365,2368.5,EQ,TVSMOTOR,2024-12-31T18:30:00.000Z,35934,330907,788985281.55,2420.25,2347,37.06,122619,2384.31,01-Jan-2025
2501.45,2508,2419.3,2406.6,EQ,TVSMOTOR,2025-01-01T18:30:00.000Z,67679,1247379,3069563109.5,2508,2402.05,40.78,508714,2460.81,02-Jan-2025
2482.95,2484,2514,2501.45,EQ,TVSMOTOR,2025-01-02T18:30:00.000Z,41358,766578,1905434139.55,2514,2467.5,55.37,424441,2485.64,03-Jan-2025
2413.85,2411,2488,2482.95,EQ,TVSMOTOR,2025-01-05T18:30:00.000Z,46277,592677,1450094543.1,2495,2401.75,51.39,304564,2446.69,06-Jan-2025
2384.5,2371.4,2420.05,2413.85,EQ,TVSMOTOR,2025-01-06T18:30:00.000Z,43316,529516,1268305530.8,2450.85,2366.75,55.59,294357,2395.22,07-Jan-2025
2361.8,2360,2381.1,2384.5,EQ,TVSMOTOR,2025-01-07T18:30:00.000Z,46473,678020,1605011380,2395,2343,59.68,404623,2367.2,08-Jan-2025
2326.45,2335.8,2360,2361.8,EQ,TVSMOTOR,2025-01-08T18:30:00.000Z,60767,956229,2225057183.85,2366.4,2311,61.08,584029,2326.91,09-Jan-2025
2283.25,2284.55,2332.5,2326.45,EQ,TVSMOTOR,2025-01-09T18:30:00.000Z,38427,638304,1462957774.4,2349.95,2272.65,53.62,342238,2291.95,10-Jan-2025
2176.6,2179,2277.1,2283.25,EQ,TVSMOTOR,2025-01-12T18:30:00.000Z,61118,896851,1975131552.75,2278.25,2171.4,58.32,523042,2202.3,13-Jan-2025
2235,2234.55,2178.45,2176.6,EQ,TVSMOTOR,2025-01-13T18:30:00.000Z,45364,707155,1579043020.2,2264,2178.45,61.04,431645,2232.95,14-Jan-2025
2250.5,2253,2237.05,2235,EQ,TVSMOTOR,2025-01-14T18:30:00.000Z,48768,1051263,2362710782.6,2261.85,2225.4,62.21,654035,2247.5,15-Jan-2025
2278.05,2280.15,2269.85,2250.5,EQ,TVSMOTOR,2025-01-15T18:30:00.000Z,38660,661212,1510043183.75,2306.15,2263,61.14,404265,2283.75,16-Jan-2025
2301.25,2304,2288,2278.05,EQ,TVSMOTOR,2025-01-16T18:30:00.000Z,22208,569486,1303495718.4,2307.15,2254.1,65.94,375518,2288.9,17-Jan-2025
2292.95,2288,2314,2301.25,EQ,TVSMOTOR,2025-01-19T18:30:00.000Z,36666,684192,1555650767.55,2314.8,2245,61.79,422759,2273.7,20-Jan-2025
2291.9,2287.75,2303,2292.95,EQ,TVSMOTOR,2025-01-20T18:30:00.000Z,53987,687145,1581903240.6,2326.5,2282.2,51.88,356518,2302.14,21-Jan-2025
