CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_OPENING_PRICE,CH_PREVIOUS_CLS_PRICE,CH_SERIES,CH_SYMBOL,CH_TIMESTAMP,CH_TOTAL_TRADES,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,COP_DELIV_PERC,COP_DELIV_QTY,VWAP,mTIMESTAMP
2862.2,2864,2869,2854.6,EQ,WAAREEENER,2024-12-31T18:30:00.000Z,50829,833148,2392708664.35,2906,2842.5,20.57,171348,2871.89,01-Jan-2025
2839.1,2833,2870,2862.2,EQ,WAAREEENER,2025-01-01T18:30:00.000Z,56425,880522,2507746616.5,2877,2830,23.84,209899,2848.02,02-Jan-2025
2820.85,2821.5,2843.1,2839.1,EQ,WAAREEENER,2025-01-02T18:30:00.000Z,60654,968095,2764399875.7,2892.95,2815,25.6,247785,2855.5,03-Jan-2025
2741.6,2739.9,2826.95,2820.85,EQ,WAAREEENER,2025-01-05T18:30:00.000Z,99527,1248844,3455460234.35,2843.4,2695,27.99,349590,2766.93,06-Jan-2025
2769,2763,2748.9,2741.6,EQ,WAAREEENER,2025-01-06T18:30:00.000Z,55605,826532,2295578424.5,2824,2739.9,22.83,188692,2777.36,07-Jan-2025
2697.65,2690,2755,2769,EQ,WAAREEENER,2025-01-07T18:30:00.000Z,56651,757064,2055985887.6,2760.6,2686.5,34.18,258766,2715.74,08-Jan-2025
2600.4,2597,2693.3,2697.65,EQ,WAAREEENER,2025-01-08T18:30:00.000Z,79443,1032882,2711745510.45,2693.3,2591,34.42,355554,2625.42,09-Jan-2025
2565,2561,2585,2600.4,EQ,WAAREEENER,2025-01-09T18:30:00.000Z,89426,1258932,3264760944,2647.55,2560,25.74,324008,2593.28,10-Jan-2025
2487.2,2487.95,2552.25,2565,EQ,WAAREEENER,2025-01-12T18:30:00.000Z,110633,1691859,4317948679.2,2648,2475,26.97,456327,2552.19,13-Jan-2025
2617.1,2635,2520,2487.2,EQ,WAAREEENER,2025-01-13T18:30:00.000Z,114209,1667039,4298263933.9,2635,2493.1,19.84,330763,2578.38,14-Jan-2025
2609.9,2609,2655,2617.1,EQ,WAAREEENER,2025-01-14T18:30:00.000Z,57143,981806,2588258956.05,2684.9,2590,20.98,205993,2636.22,15-Jan-2025
2648.5,2656,2650,2609.9,EQ,WAAREEENER,2025-01-15T18:30:00.000Z,51028,738069,1960584074.5,2683.95,2630.05,23.83,175888,2656.37,16-Jan-2025
2605.3,2606,2656,2648.5,EQ,WAAREEENER,2025-01-16T18:30:00.000Z,33968,421725,1101580611.75,2656,2595,28.94,122033,2612.08,17-Jan-2025
2634.6,2638.5,2620.9,2605.3,EQ,WAAREEENER,2025-01-19T18:30:00.000Z,37328,543690,1434262338.85,2667.45,2611,24.41,132696,2638.01,20-Jan-2025
2673.4,2678,2674.55,2634.6,EQ,WAAREEENER,2025-01-20T18:30:00.000Z,77298,1216649,3232325903.65,2721,2591.1,21.95,267100,2656.74,21-Jan-2025
2425.1,2424,2680,2673.4,EQ,WAAREEENER,2025-01-21T18:30:00.000Z,323312,5626060,13825607865.95,2680,2362.25,30.31,1705319,2457.42,22-Jan-2025
2343.4,2355.95,2435.9,2425.1,EQ,WAAREEENER,2025-01-22T18:30:00.000Z,211795,2825108,6723993800.1,2464.3,2317.85,25.05,707776,2380.08,23-Jan-2025
2241.7,2225,2369.95,2343.4,EQ,WAAREEENER,2025-01-23T18:30:00.000Z,146885,2527905,5776097861,2394.4,2207,28.69,725286,2284.93,24-Jan-2025
2196.15,2180.1,2215,2241.7,EQ,WAAREEENER,2025-01-26T18:30:00.000Z,289181,4621411,10049040272.4,2268,2026,19.1,882721,2174.45,27-Jan-2025
2091.95,2088,2208.8,2196.15,EQ,WAAREEENER,2025-01-27T18:30:00.000Z,222199,3757703,7897393101,2230.8,2030,23.18,870950,2101.65,28-Jan-2025
2207.55,2220.75,2115.1,2091.95,EQ,WAAREEENER,2025-01-28T18:30:00.000Z,143377,2485779,5384844504.3,2222,2087.4,17.83,443165,2166.26,29-Jan-2025
2197.1,2235.05,2226,2207.55,EQ,WAAREEENER,2025-01-29T18:30:00.000Z,135756,2372322,5224898720.25,2257.75,2145,23.69,562018,2202.44,30-Jan-2025
2392.7,2396,2434,2197.1,EQ,WAAREEENER,2025-01-30T18:30:00.000Z,334294,7082312,17095421298.95,2505.5,2360.1,13.02,922176,2413.82,31-Jan-2025
2402.8,2395,2415,2392.7,EQ,WAAREEENER,2025-01-31T18:30:00.000Z,219431,4083990,10062879017.8,2557.35,2358.6,12.45,508518,2463.98,01-Feb-2025
2334.4,2332.4,2369.45,2402.8,EQ,WAAREEENER,2025-02-02T18:30:00.000Z,102935,1607782,3724033777.6,2369.45,2275,19.25,309444,2316.26,03-Feb-2025
2353.3,2360,2379.8,2334.4,EQ,WAAREEENER,2025-02-03T18:30:00.000Z,89128,1385138,3259952662.85,2403.6,2311,19.2,265921,2353.52,04-Feb-2025
2381.75,2384,2373.95,2353.3,EQ,WAAREEENER,2025-02-04T18:30:00.000Z,58328,944692,2253946620.25,2414,2362.1,21.41,202299,2385.91,05-Feb-2025
2329.15,2321,2390,2381.75,EQ,WAAREEENER,2025-02-05T18:30:00.000Z,41905,613329,1446949065.6,2398,2320,28.31,173638,2359.17,06-Feb-2025
2298.3,2292,2321,2329.15,EQ,WAAREEENER,2025-02-06T18:30:00.000Z,51761,853039,1972995539.6,2343.55,2290.2,18.33,156396,2312.9,07-Feb-2025
2268.3,2268.1,2298.3,2298.3,EQ,WAAREEENER,2025-02-09T18:30:00.000Z,58836,876016,1977522288.25,2299,2222.6,26.22,229727,2257.4,10-Feb-2025
2166.3,2164,2268,2268.3,EQ,WAAREEENER,2025-02-10T18:30:00.000Z,75738,1056788,2315740675.5,2270,2152.5,31.76,335635,2191.3,11-Feb-2025
2190.8,2195.45,2147.9,2166.3,EQ,WAAREEENER,2025-02-11T18:30:00.000Z,110690,1739591,3777486193,2215,2111.1,15.49,269544,2171.48,12-Feb-2025
2194.05,2204.9,2191.1,2190.8,EQ,WAAREEENER,2025-02-12T18:30:00.000Z,67189,1047889,2325754483.15,2258,2168.25,14,146690,2219.47,13-Feb-2025
2103.9,2099.95,2210.9,2194.05,EQ,WAAREEENER,2025-02-13T18:30:00.000Z,86007,1067068,2274767576.95,2218.95,2085.25,25.5,272146,2131.79,14-Feb-2025
2173.6,2181,2100,2103.9,EQ,WAAREEENER,2025-02-16T18:30:00.000Z,107390,1362233,2894936175.1,2185.9,2052.4,18.1,246622,2125.14,17-Feb-2025
