date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-01-01,844.4,858.65,833,836.25,846.49,330793,152456,46.09,280012009,32025
2025-01-02,841.1,851.2,826.6,829.75,835.94,258378,136557,52.85,215989438.75,23046
2025-01-03,837.15,842,818.55,822.2,827.17,320875,191799,59.77,265416658.7,20315
2025-01-06,828.7,828.7,791,795,805.46,347242,178019,51.27,279690272.1,32885
2025-01-07,795,825,795,820.5,817.69,364934,201860,55.31,298401219.55,32822
2025-01-08,821,823.5,790.75,799.15,801.21,201155,104136,51.77,161167183.35,22448
2025-01-09,798.1,806,765,771.75,784.48,409046,256155,62.62,320888321.55,35969
2025-01-10,771.1,790.4,768,782.1,780.43,360388,185640,51.51,281257599.85,40570
2025-01-13,764.5,771.5,723,724.5,741.34,299326,135559,45.29,221901290.9,29158
2025-01-14,731.7,743,717,738.75,733.73,269011,141029,52.42,197380184.15,23031
2025-01-15,745.7,770.85,739.1,761.95,757.98,438121,218470,49.87,332088883.65,29179
2025-01-16,780,782,763.2,769.5,770.99,216775,104244,48.09,167132049.7,27535
2025-01-17,768.9,770,755.4,758.3,761.14,112853,47306,41.92,85897483.15,10918
2025-01-20,760,763.55,745.15,750.3,751.17,244103,172106,70.51,183364003.75,17031
2025-01-21,755,767,730,732.45,745.74,136798,55024,40.22,102016125.45,17661
2025-01-22,732.45,739,709.35,719.65,722.6,191367,108562,56.73,138281703.2,28325
2025-01-23,717.1,732,714.1,717.85,720.08,250683,146312,58.37,180511043.05,25070
2025-01-24,720.95,728,700.3,708.75,710.34,180244,103010,57.15,128033664,19173
2025-01-27,656.05,680,631.2,643.45,652.21,670464,274342,40.92,437284229.25,52808
2025-01-28,630.3,643.2,587,611.8,607.46,845847,362030,42.8,513815693.9,75342
2025-01-29,623.95,664,609.05,657.2,634.8,549967,222716,40.5,349118686.35,58010
2025-01-30,652,664.3,641.7,654.7,654.59,455031,251273,55.22,297858725.85,28526
2025-01-31,649,709.35,641.75,683.1,688.43,767061,290221,37.84,528064885.95,54630
2025-02-01,689.85,690.5,672,676.9,680.64,195812,76722,39.18,133277284.1,24513
2025-02-03,666,671.95,643,655.05,654.18,312662,140699,45,204536165.7,37993
2025-02-04,654.05,689,638.8,680.9,669.98,390633,136272,34.88,261716490.3,43837
2025-02-05,687.65,710,685.7,704.15,698.2,780157,635708,81.48,544701745,34872
2025-02-06,706.15,717.85,695.5,702.75,708.13,206784,105486,51.01,146429613.65,16972
2025-02-07,702.75,710,682.6,695.9,698.82,160042,61819,38.63,111840800.7,25830
2025-02-10,695,698.8,670.2,673.05,675.33,138339,76480,55.28,93424014.35,20538
2025-02-11,670,675.75,649.95,658.75,662.49,257786,146578,56.86,170779900.95,21717
2025-02-12,659,682,645.35,661.8,658.06,657116,412565,62.78,432420064.8,52356
2025-02-13,661.8,673.4,655.55,658.5,663.17,140114,59527,42.48,92919800.1,21228
