date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-01-01,484.85,491.25,481,483.65,484.63,1179589,454036,38.49,571664877.05,35218
2025-01-02,484.9,503.5,480.5,498.6,495.93,5253640,1069920,20.37,2605420621.9,92946
2025-01-03,503.4,521.8,498.1,505.5,509.22,5096344,929615,18.24,2595147678.65,107741
2025-01-06,507.55,519.55,478,479.25,496.67,2934278,910241,31.02,1457359994.6,59336
2025-01-07,483,502,483,499.6,495.79,2751534,517715,18.82,1364173971.8,89643
2025-01-08,501.75,504,480.5,482.25,486.66,1537200,544834,35.44,748094735.5,40712
2025-01-09,483,485.9,459.6,467.2,471.63,1726668,713590,41.33,814344494.45,36403
2025-01-10,468,469.95,442.15,451.05,451.37,3276401,897737,27.4,1478861900.75,79081
2025-01-13,444.95,447.15,424.5,430.15,432.56,4463690,1666546,37.34,1930824757.9,68739
2025-01-14,438,439.45,423.8,430.2,431.32,3162140,1342227,42.45,1363896881.75,65052
2025-01-15,430.95,437.4,424,432.8,430.78,1865984,893572,47.89,803835867.2,49409
2025-01-16,436.3,456,436.3,451.5,448.9,2717559,611847,22.51,1219899447.9,55007
2025-01-17,448.95,512,436.75,501.85,494.4,38308975,2300073,6,18939768011,423674
2025-01-20,501.6,518,452.15,469.55,469.93,23903154,2686018,11.24,11232797571,369432
2025-01-21,471.6,493.7,458.15,463.95,476.77,23610951,1434038,6.07,11257046439.4,334145
2025-01-22,465.65,465.65,445.8,456.5,455.84,5851883,1023248,17.49,2667528650.25,109653
2025-01-23,451.05,464.4,451.05,453.95,457.44,2678702,346390,12.93,1225355734.45,61775
2025-01-24,454.95,455.85,435.05,438.6,442.73,2402791,594935,24.76,1063779909.1,50390
2025-01-27,432.9,432.9,409.95,415.8,418.41,3195213,742205,23.23,1336914437.15,81644
2025-01-28,417.5,424.9,400.25,414.5,411.48,5811520,1058436,18.21,2391308324.05,108183
2025-01-29,416.45,432.35,416.45,422.4,424.31,5699176,1396192,24.5,2418245200.65,102766
2025-01-30,422.5,429.75,419.25,420.7,424.3,2984736,913502,30.61,1266416242.45,47051
2025-01-31,420.7,447,418.05,436.25,433.52,6779198,909041,13.41,2938908397.45,101878
2025-02-01,439.85,446.5,427.05,437.4,439.26,2929420,374119,12.77,1286763569.1,73733
2025-02-03,431.8,438.85,427.05,434.95,433.33,940928,217676,23.13,407735037.5,27949
2025-02-04,436.95,446.45,435.1,438.5,441.24,1980734,397583,20.07,873986446.9,43231
2025-02-05,438.6,452,434.9,443.4,445.33,2275807,342501,15.05,1013474265.05,47347
2025-02-06,445.6,457.95,440.3,445.2,447.78,7564915,734230,9.71,3387434545.05,69988
2025-02-07,446.5,450.2,437.15,440.35,442.79,1235633,304099,24.61,547125016.75,21037
2025-02-10,437.4,440.45,419.2,423.95,424.51,1867478,634928,34,792771501.6,32860
2025-02-11,425.05,426.5,397.75,400.75,409.47,3158285,1041933,32.99,1293238319.6,60263
2025-02-12,400,412.05,387,395.9,399.44,4488888,886747,19.75,1793024977.45,120418
2025-02-13,397.7,404.9,391.4,395.15,398.03,2145068,633137,29.52,853810346.2,56479
2025-02-14,397,405.8,372.05,375.3,390.37,7194896,1183214,16.45,2808672988.4,105991
2025-02-17,368.5,375.95,357.9,370.1,365.64,4128660,1362319,33,1509608507.4,102277
2025-02-18,373.75,380.5,357.75,378.05,370.37,3435083,692219,20.15,1272265939.9,101554
2025-02-19,372.05,394.9,372.05,387.5,388.23,2331085,519778,22.3,905003946.6,89907
2025-02-20,386.05,400.7,383.3,392.6,394.88,2099254,518766,24.71,828944374.2,55211
2025-02-21,392,395.3,378,379.85,384.77,1864416,688885,36.95,717376447,44523
2025-02-24,375,378.05,368.45,369.95,371.5,1489154,442948,29.74,553217495.2,62800
2025-02-25,371.45,375.4,361.6,365.35,368.31,3968024,1256411,31.66,1461449575.4,73677
2025-02-27,364.9,365.9,346.55,349.45,351.75,3488383,1406105,40.31,1227038433.45,98341
2025-02-28,344,345.75,335.55,339.05,340.1,3167505,952510,30.07,1077273120.65,76333
2025-03-03,344.1,344.65,308.25,328.1,324.22,5618653,1681084,29.92,1821701079.05,131536
2025-03-04,326.05,345.9,322.75,343.85,337.22,2856679,641753,22.47,963340044.5,85135
2025-03-05,343,351.35,339,340,343.28,3722061,706015,18.97,1277696156.75,64762
2025-03-06,342.1,346.55,335.15,339.35,341.26,3329681,1421905,42.7,1136274404.75,55920
2025-03-07,339.95,350.2,337.8,347.25,345.96,3187591,1207733,37.89,1102777738.7,71514
2025-03-10,347.25,349.35,328.1,330.55,337.39,3003808,1290847,42.97,1013460523.45,45769
2025-03-11,325.9,329.4,319,327,326.26,2703250,954099,35.29,881962466.2,86757
2025-03-12,329.5,334.5,326.15,327.45,329,2723576,1393348,51.16,896049991.55,54330
2025-03-13,329.45,331.2,322.9,325.65,324.89,1600482,623620,38.96,519979097.15,32909
2025-03-17,326.5,338.85,325.5,336.9,333.8,2497799,826973,33.11,833757563.35,47533
2025-03-18,339.8,351,337.45,348.05,346.83,2609648,951309,36.45,905092273.15,31745
2025-03-19,369,369,348,349.55,350.81,6671740,1673752,25.09,2340505568.5,46664
2025-03-20,351,366.4,350.7,361.6,357.97,3978968,744600,18.71,1424339291.95,60229
2025-03-21,358,402,356.45,397.4,380.96,10716238,1964283,18.33,4082454362.55,153713
2025-03-24,401,424.85,391,422.35,410.56,8861568,2209481,24.93,3638198663.55,101346
2025-03-25,422,428.6,401.4,404.4,409.34,2803743,886799,31.63,1147697628.05,64964
2025-03-26,405.95,414.75,395,396.7,401.85,3271515,1293047,39.52,1314652545.45,53595
2025-03-27,395,402.7,389.35,398.7,396.35,4097522,1265002,30.87,1624036339.65,74120
2025-03-28,402,408.4,395.55,398.65,400.8,2075489,985885,47.5,831855481.45,46244
