date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-01-01,1111,1137.9,1071,1122.5,1103.64,855007,314118,36.74,943615863.7,65220
2025-01-02,1103.3,1128.7,1089,1114.45,1112.1,595606,312988,52.55,662376274.8,68357
2025-01-03,1110,1119.2,1090,1101.65,1104.61,263171,173930,66.09,290701220.85,20522
2025-01-06,1102,1107,1079.95,1092.6,1093.43,231153,139626,60.4,252750109.05,39173
2025-01-07,1088.95,1120,1081.25,1092.95,1100.02,111663,43391,38.86,122831136.85,16445
2025-01-08,1102.8,1106.65,1085.5,1099.55,1095.27,97134,47238,48.63,106387699.55,19486
2025-01-09,1106.2,1130,1097.05,1104.05,1109.14,168726,90975,53.92,187140843.85,25941
2025-01-10,1106.95,1107,1056,1061.95,1066.82,194760,127356,65.39,207774219.4,21436
2025-01-13,1046,1059.7,1039.1,1050.1,1050.42,207517,148261,71.45,217981020.45,18334
2025-01-14,1042.45,1069,1040.6,1055.05,1055.69,128650,91516,71.14,135814948.8,13865
2025-01-15,1055,1068.6,1049,1055.8,1059.1,112382,73830,65.7,119023449.8,26098
2025-01-16,1064.2,1082,1056,1070.4,1071.78,175248,115383,65.84,187826803.2,31579
2025-01-17,1065.1,1090.15,1065.1,1079.45,1078.82,216883,122448,56.46,233977875.55,38029
2025-01-20,1085,1085.1,1056,1073.05,1070.22,376800,334637,88.81,403258960.25,12690
2025-01-21,1081.55,1091.35,1023.95,1053.7,1053.72,258037,156076,60.49,271898567,24470
2025-01-22,1045,1065.4,1011.2,1023.6,1034.43,317481,240082,75.62,328412051.05,24066
2025-01-23,1029,1045,1012.6,1036,1030.75,95505,55556,58.17,98441942.1,20616
2025-01-24,1036.05,1041.35,990.8,1004.2,1007.07,93132,47713,51.23,93790439.1,16488
2025-01-27,999.8,1000.1,948.25,985.1,971.31,201229,100612,50,195455325.95,23286
2025-01-28,979.95,988.8,935,975.3,957.69,206010,119202,57.86,197293834,32488
2025-01-29,982.6,1022.2,952.45,1015.35,999.26,97365,43222,44.39,97292779.75,15983
2025-01-30,1003.4,1056.05,1000.1,1037.9,1037.87,173967,83320,47.89,180555637.9,22613
2025-01-31,1027.5,1062.2,1025.6,1054.75,1053.86,239787,184544,76.96,252701877.65,18130
2025-02-01,1056.95,1147.1,1053.65,1104.9,1077.2,154325,104209,67.53,166239326.15,11433
2025-02-03,1164.95,1164.95,1084.7,1106,1119.56,767977,303134,39.47,859799663.15,61663
2025-02-04,1072.55,1142.2,1072.45,1134.45,1122.74,226250,148565,65.66,254019236.1,28698
