date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-01-01,1178.55,1180.9,1158.2,1168.05,1172.58,70412,27093,38.48,82563735.45,7509
2025-01-02,1168.5,1189.9,1168.05,1177.1,1177.96,109771,34622,31.54,129305965.85,10634
2025-01-03,1175.1,1176.6,1151,1154.35,1164.54,103173,57150,55.39,120149126.6,11438
2025-01-06,1154.35,1157.4,1101.15,1105.15,1121.47,147692,74280,50.29,165632593.1,17033
2025-01-07,1108.25,1125.3,1099.8,1120.3,1115.92,98355,34820,35.4,109756570.95,11312
2025-01-08,1128,1129.2,1080.6,1096,1095.52,167569,78343,46.75,183575845.6,14442
2025-01-09,1095.95,1109.6,1081.05,1085.95,1093.29,75831,28607,37.72,82905546.25,10408
2025-01-10,1088.05,1091.25,1036,1039.05,1051.24,126181,54473,43.17,132647036.15,16326
2025-01-13,1014.05,1032.4,986,990.45,1000.89,187454,91096,48.6,187620298.95,27533
2025-01-14,990.45,1019.75,986.75,1012.3,1008.65,157496,81101,51.49,158858870,18286
2025-01-15,1020,1029.9,1001.75,1008.1,1013.99,183775,90474,49.23,186346477.3,19681
2025-01-16,1024.9,1056.45,1020.7,1031,1038.62,218123,104841,48.07,226546232.65,19804
2025-01-17,1030,1083,1021,1028.1,1054.81,553173,83930,15.17,583492307.2,45431
2025-01-20,1028.1,1042,1021.3,1030.95,1031.52,102486,31927,31.15,105716439.55,14330
2025-01-21,1034.9,1041.8,1012.6,1020.45,1024.1,100886,32819,32.53,103317510.2,10874
2025-01-22,1027,1028.1,988.6,1006.8,999.72,108086,48502,44.87,108055327.65,16711
2025-01-23,1008.7,1039.25,998.7,1015.1,1019.46,160821,46992,29.22,163951311.55,14900
2025-01-24,1019.3,1024.75,988.05,996.4,997.23,167855,90600,53.98,167390335.95,17291
2025-01-27,976,1030,961.65,1013.35,996.48,274035,63265,23.09,273069189.15,31408
2025-01-28,1012.1,1012.9,967.95,974.1,986.22,268468,84000,31.29,264769793.85,32025
2025-01-29,976.9,998.7,967.3,984.35,978.18,103404,34067,32.95,101147808.5,15347
2025-01-30,987,1008.85,984.15,1002.7,998.18,116793,39248,33.6,116580903.15,16507
2025-01-31,998.05,1006.45,988.8,1001.5,1000.82,74779,29414,39.33,74840474.45,12530
2025-02-01,1006.95,1026,990,999,1007.69,84022,27055,32.2,84668403.15,9458
2025-02-03,999,1010.2,981.3,1000.55,1000.84,108717,50867,46.79,108808112.55,14926
2025-02-04,993,1001.25,980,990.2,987.77,108255,44712,41.3,106931388.35,12793
2025-02-05,990.25,1004.3,983,986.65,991.2,117939,39447,33.45,116901315.05,16172
2025-02-06,990.05,990.35,965,983.25,975.7,131913,59618,45.19,128707505.1,22779
2025-02-07,990,991,968.2,985.8,981.44,98835,42119,42.62,97000600.7,11941
2025-02-10,988,988,963.5,968.4,969.23,73401,37584,51.2,71142167.8,10688
2025-02-11,968,968,909.9,916.35,927.39,237220,113902,48.02,219996331.85,27524
2025-02-12,916,924,874.5,883.3,892.44,300580,143587,47.77,268251073.1,35260
2025-02-13,886,1059.95,865.05,998.55,967.96,7843749,258620,3.3,7592453408.45,257752
2025-02-14,990.05,990.05,910.2,934.45,948.23,2660327,119360,4.49,2522593885.7,134075
2025-02-17,910,932,885.05,912.25,906.39,1077901,93614,8.68,976996094.05,88363
2025-02-18,924,928.8,876.15,896.5,898.45,349505,50510,14.45,314013658.15,40085
2025-02-19,890,938.8,875.55,928.6,918.62,463878,61249,13.2,426129377.65,46430
2025-02-20,925,936.85,911,930.25,924.29,292040,73025,25.01,269930250.55,25186
2025-02-21,930.25,952.65,911.55,914.95,928.61,225086,45821,20.36,209016247.85,20936
2025-02-24,914.85,919,895.15,902.1,903.11,128056,34375,26.84,115648494.6,12692
2025-02-25,902.1,918.9,887.1,895.7,905.91,134976,24989,18.51,122276781.85,16857
2025-02-27,874.7,876.7,832,839.6,846.85,895844,227290,25.37,758649495.65,61458
2025-02-28,830,843.2,810.1,816.85,823.94,458591,88168,19.23,377849287.55,41417
2025-03-03,825.2,839.35,789,802.4,804.61,354885,104469,29.44,285543097.65,34544
