date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-01-01,1055.55,1060.9,1041,1045,1051.26,38994,12759,32.72,40992720.3,5100
2025-01-02,1045,1083.9,1036.2,1076.15,1067.02,149177,63431,42.52,159174909,17857
2025-01-03,1070,1094,1065.05,1068.05,1080.82,132934,58172,43.76,143678073.85,15842
2025-01-06,1068.05,1081.25,1017.55,1036.65,1050.58,282439,127720,45.22,296725407.6,28664
2025-01-07,1044.95,1072.65,1032.1,1061.3,1057.28,140084,73525,52.49,148107754.85,14255
2025-01-08,1061,1066.6,1023.25,1054.7,1044.85,374160,246063,65.76,390939222.7,28027
2025-01-09,1069.95,1069.95,1030.1,1041,1049.08,189436,120209,63.46,198733067.1,23688
2025-01-10,1044.1,1055,1005.2,1036.7,1030.11,153328,76948,50.19,157945386.35,34928
2025-01-13,1036.65,1036.65,999.2,1018.4,1012.6,291557,157697,54.09,295230567.9,29602
2025-01-14,1020,1053.4,1002.15,1041.15,1021.97,1211993,1083276,89.38,1238625372,35405
2025-01-15,1055,1074.9,1022.7,1027.25,1047.26,281093,128487,45.71,294377058.75,24237
2025-01-16,1032.25,1057.45,1032.25,1048.45,1042.1,250420,165090,65.93,260961846.65,18289
2025-01-17,1055,1073.05,1020,1030.2,1041.14,495930,302940,61.09,516332243.3,31563
2025-01-20,1028.5,1072.45,1026.2,1038.2,1049.85,503464,320029,63.57,528559498.6,41994
2025-01-21,1044,1051.15,1015.1,1020.4,1022.46,298964,236869,79.23,305679592.1,23334
2025-01-22,1021.65,1029.95,973.75,987.45,991.1,191450,98819,51.62,189747009.1,29744
2025-01-23,987.5,1001.35,974.6,993.7,992.1,171601,92086,53.66,170245940.4,24572
2025-01-24,994.5,1005.25,988.75,995.9,996.21,84880,37126,43.74,84558175.95,11842
2025-01-27,990,993.65,964,977.1,975.54,184480,121002,65.59,179967091.7,23373
2025-01-28,987,987,930.05,961.95,955.58,327740,170146,51.91,313181297.4,37797
2025-01-29,975,987,938,969.9,961.32,338366,117486,34.72,325279170.4,40274
2025-01-30,984.15,984.15,923.05,945.1,957.82,348859,204169,58.52,334143329.4,44156
2025-01-31,947.3,1000,936.05,995.95,987.24,335479,164836,49.13,331198330,33967
2025-02-01,990,1019.9,955.1,962.6,980.77,164389,65646,39.93,161227788.6,14188
2025-02-03,964.9,1000,956.95,992.85,990.68,308280,183642,59.57,305407889.75,24502
2025-02-04,992.85,1018.55,990.1,998.7,999.36,256727,164435,64.05,256562536.4,26724
2025-02-05,1008,1009.85,996.7,1000.95,1002.44,222292,165314,74.37,222834271.8,11690
2025-02-06,1002.55,1033.15,999.3,1015.95,1021.3,302558,147098,48.62,309001342.4,24623
2025-02-07,1019,1019.1,1000,1005.3,1008.97,200025,118720,59.35,201820121.15,26370
2025-02-10,1005.05,1007.95,970.15,981.1,985.39,174500,94240,54.01,171951138.5,27389
2025-02-11,974.95,977,945.4,959.35,954.24,244468,146880,60.08,233281254.95,39941
2025-02-12,945,959.3,926.35,939.65,940.98,308417,173114,56.13,290213678.45,36106
2025-02-13,940.8,974.2,939,969.6,957.59,160089,73709,46.04,153300320.35,17046
2025-02-14,968,969.55,917.8,936.3,934.11,288808,137375,47.57,269778054.9,43280
2025-02-17,939,967,922.55,954.75,946.86,331963,167437,50.44,314321015.3,43332
2025-02-18,957.5,960.05,923.45,932.8,936.86,141628,85868,60.63,132684937.95,17754
2025-02-19,930.15,930.2,898.55,926.45,913.3,493150,282032,57.19,450391912.1,35597
2025-02-20,920,946.55,915.15,941.95,937.51,82683,44040,53.26,77516271.95,12915
2025-02-21,941,953.95,928.6,933.65,940.25,125533,70891,56.47,118032138.5,19112
2025-02-24,920.1,931.75,905,908.3,912.64,132245,82114,62.09,120691806.3,22906
2025-02-25,912.95,917.65,880.05,885,895.76,321334,187667,58.4,287838842.1,28360
2025-02-27,888.1,941,888.1,924.9,922.89,676125,289571,42.83,623986636.05,62351
2025-02-28,911.5,1076.6,909,1018.65,994.61,10197416,1162258,11.4,10142475115.4,323559
2025-03-03,1018.2,1027.35,953.1,998.9,990.01,2086397,216650,10.38,2065549205.6,111227
