date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-01-01,340,345.65,338.5,343.95,342.65,2228186,847656,38.04,763478243.15,36723
2025-01-02,343.85,347.2,341.35,346.4,344.49,5093469,3021209,59.32,1754652412.55,60228
2025-01-03,346,352.5,342.55,344,345.54,4130940,2252965,54.54,1427390314.55,51264
2025-01-06,345.8,345.8,328.05,329.8,333.47,6233638,3664589,58.79,2078727161.65,81154
2025-01-07,331.3,335.3,327.55,328.15,330.42,4495351,2482794,55.23,1485346882.6,62216
2025-01-08,329.8,334,325.2,330.35,328.81,5541381,2902930,52.39,1822065444.25,87897
2025-01-09,330.35,339.3,328.6,330.8,333.59,7595457,3870870,50.96,2533788424.7,72173
2025-01-10,330,330.65,319.45,320.4,323.28,6603060,3561121,53.93,2134610343.25,59993
2025-01-13,315.55,333.25,315.55,320.5,324.56,13453147,6267488,46.59,4366320000.65,111333
2025-01-14,324,341.85,323.4,340.3,334.48,12001185,7085098,59.04,4014170344.1,128348
2025-01-15,340.9,361.2,339.15,351.8,354.35,22050850,10092552,45.77,7813819926.2,222230
2025-01-16,363,363,353.4,354.55,356.09,8279242,4073465,49.2,2948137195.85,81675
2025-01-17,358.1,365,357.15,362.7,362.25,14711286,8176252,55.58,5329215986.35,137644
2025-01-20,380.4,390.45,370.35,375.6,376.85,23507683,9687016,41.21,8858965535.4,184724
2025-01-21,373.9,374,360.65,361.65,366.4,5167716,2195370,42.48,1893451658.25,83127
2025-01-22,361.6,361.9,348.5,357.1,353.58,9032850,4646726,51.44,3193841639,111298
2025-01-23,360,369.65,354.5,366.6,364.72,9182913,4211294,45.86,3349202908.25,102580
2025-01-24,367.2,374.2,365.25,367.95,369.5,19643296,5671179,28.87,7258148514.95,208800
2025-01-27,365.65,366.7,346.85,348.95,352.91,7693448,3320827,43.16,2715059562.9,107121
2025-01-28,352,356.9,342.85,353.5,350.78,7413921,3650532,49.24,2600670877.7,80243
2025-01-29,352.5,355.1,343.3,346.7,348.29,4888368,1906728,39.01,1702579646.3,88798
2025-01-30,347,349.5,342.05,345.6,345.1,8768186,4763741,54.33,3025883592.1,103916
2025-01-31,345.95,348.9,342.4,347.2,345.52,6499334,3561392,54.8,2245653844.1,89265
2025-02-01,346.9,366.4,334,352.8,350.42,7963805,1976227,24.82,2790713804.6,96790
2025-02-03,347.1,351.25,338.7,350.1,346.3,4618051,1960631,42.46,1599240573.85,87634
2025-02-04,353.65,359.15,349.7,356.9,355.82,5792352,2767704,47.78,2061057386.45,72237
2025-02-05,358.25,363.45,356.45,358.05,360.06,6894532,4357031,63.2,2482431036.15,115441
2025-02-06,359.95,368.3,354.05,356.1,359.15,8285405,5283108,63.76,2975694944.35,138229
2025-02-07,358.3,369.35,357.7,363.3,364.71,10231223,3795131,37.09,3731459791.85,139419
2025-02-10,363.25,364.8,348.55,352.05,352.21,4667093,2064262,44.23,1643803011.25,65573
2025-02-11,353.25,354.45,344.5,348.2,348.24,4574371,2596544,56.76,1592984709.65,57047
2025-02-12,349,350.75,332.15,347.4,345.05,7020361,3369782,48,2422392391.4,57297
2025-02-13,347.05,356.8,343.45,348.75,351.93,4427505,2305420,52.07,1558193755.85,66973
2025-02-14,350.15,350.4,329.6,335.5,335.97,3742431,1331459,35.58,1257360557.3,62556
2025-02-17,334.25,340.4,326.75,339.3,335.57,4162964,1762392,42.34,1396960983.35,52462
2025-02-18,339.3,340.1,329.05,337.05,333.97,2976715,1434805,48.2,994128387.4,57627
2025-02-19,334.6,344.25,329.95,341.4,339.79,7010165,3950971,56.36,2381960058.05,102563
2025-02-20,337.05,344.5,336.05,341.1,341.06,3324577,1926776,57.96,1133865846,74636
2025-02-21,339,340.95,331.5,336.4,335.87,7741976,4794792,61.93,2600329933.2,78603
2025-02-24,332,333.9,325.25,330.2,329.05,5605913,3229425,57.61,1844621433.45,52824
2025-02-25,330.5,336.95,329.6,331.6,332.79,4709750,2521612,53.54,1567376337,79003
2025-02-27,331.65,339.9,329.5,338.25,335.62,8675643,5328014,61.41,2911719356.5,82927
2025-02-28,337.9,337.9,321.9,323.35,327,9209911,5828921,63.29,3011595417.45,72988
2025-03-03,325,328.25,312.75,326.7,320.08,6628370,3066315,46.26,2121588400.55,59284
2025-03-04,326,330.15,319.5,327,326.23,3429689,1622445,47.31,1118872860.3,59892
2025-03-05,329.9,337.5,326.55,336.8,334.76,3824203,2243443,58.66,1280186214.15,87092
2025-03-06,338,340.9,328.6,330.45,333.9,5352132,2690004,50.26,1787062809.7,45947
2025-03-07,331.05,332.25,325.9,327.4,328.5,3798696,2096952,55.2,1247858946.8,47689
2025-03-10,329.05,336.55,328.15,330.2,332.73,4911269,2430157,49.48,1634109639.95,59949
2025-03-11,326.3,342.5,325.2,341.4,335.1,6330559,3743319,59.13,2121371781.65,58640
2025-03-12,345,345,314.7,324.65,324.84,16599619,6335323,38.17,5392220852.05,189605
2025-03-13,324.95,330.2,323.35,327,327.79,6340342,3683094,58.09,2078327189.75,59077
2025-03-17,326,332,322.25,330.6,328.92,4496735,2489545,55.36,1479049937,53350
2025-03-18,332.3,338,331.75,336.85,334.62,3533635,1981280,56.07,1182418967.25,51224
2025-03-19,337.25,342.85,336.05,339.3,340.1,7037625,4272306,60.71,2393496423.3,75091
2025-03-20,341,342.1,334.1,340.6,338.04,3429892,1589003,46.33,1159435682.4,41092
2025-03-21,340.9,350,338.45,348.85,345.7,8201117,5032863,61.37,2835101387.95,67293
2025-03-24,355,358.9,348.25,349.05,352.36,5023515,2625367,52.26,1770110435.9,71791
2025-03-25,350.9,350.9,337.25,339.75,341.7,4042558,2104081,52.05,1381324495.2,57226
2025-03-26,339.7,344,334.9,339.25,339.37,3678722,1694630,46.07,1248463349.55,55933
