date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-01-01,760,780,754.1,775.85,770.53,3494514,984221,28.16,2692636054.3,109835
2025-01-02,778.1,795.4,767.3,787.9,780.19,5574250,2003627,35.94,4348964419.35,159480
2025-01-03,790.9,792.9,757.4,777.8,773.72,6953038,1968845,28.32,5379683935.15,163937
2025-01-06,781.55,793.45,740.5,744.55,764.42,6020813,2223397,36.93,4602408878,171162
2025-01-07,777.05,781.15,718.15,722.95,742.47,14987021,3367829,22.47,11127395310.3,319699
2025-01-08,724.45,724.65,663.5,706.4,689.98,20415166,4335383,21.24,14086117887.75,424964
2025-01-09,708.9,709.4,656,662.55,674.93,12811828,3825666,29.86,8647144298.45,263755
2025-01-10,660,661.6,614.65,626.75,639.63,11749415,2628721,22.37,7515264740.1,299392
2025-01-13,600,609.7,568.75,573.1,587.7,16964480,4575916,26.97,9970073469.4,301983
2025-01-14,581.05,603.95,570.15,596.4,590.41,18395591,4348614,23.64,10860883649,318515
2025-01-15,600,602.65,522,555.1,556.23,29446466,5532521,18.79,16378900221.65,467369
2025-01-16,558.1,570,518.1,539.2,537.03,39325170,5739868,14.6,21118948962.6,535710
2025-01-17,537,554.65,498,501.5,515.08,29250914,6814427,23.3,15066442868.25,425074
2025-01-20,525,549,521.05,530.9,537.39,42274364,7156258,16.93,22717657822.35,471696
2025-01-21,538,538,480.7,488.35,501.72,30176134,5974368,19.8,15140063937.45,392931
2025-01-22,486,499,459,485.65,475.09,48236616,5131805,10.64,22916898575.35,581539
2025-01-23,492.65,509.65,472,478.15,492.76,44335820,4485277,10.12,21846827805.1,528486
2025-01-24,480,483.5,455.25,458.75,465.98,23715822,2984764,12.59,11051034127.85,338925
2025-01-27,458,458,433.2,437.2,440.34,18798873,2663787,14.17,8277978425.3,263488
2025-01-28,437.55,448.95,420.65,438.05,436.13,29156002,1852548,6.35,12715806794.35,331456
2025-01-29,441.1,451.95,434.3,448.7,445.2,18178589,1539519,8.47,8093071949.9,233859
2025-01-30,451,466.05,435.1,440.65,450.34,21631272,2502654,11.57,9741390417.2,270759
2025-01-31,460.05,506.7,446.5,503.1,486.2,76184680,9960576,13.07,37041068701.55,757397
2025-02-01,502,526.75,484,505.45,509.51,48867197,3070369,6.28,24898483374.15,578794
2025-02-03,502.45,517.35,485.1,502.9,505.5,22726079,2300121,10.12,11488032995.65,318265
2025-02-04,510,594,505.1,563.8,540.18,52426558,9573960,18.26,28319684376.85,483294
2025-02-05,567,591.4,553,567.85,572.71,51857027,6441274,12.42,29699053841.25,663483
2025-02-06,564,569.5,538.1,542.4,552.93,23885400,2656532,11.12,13206921523.6,299923
2025-02-07,541,553.55,533.6,539.4,542.85,17368687,1373876,7.91,9428564064.3,230906
2025-02-10,537.05,545,514,522.05,522.72,10099332,1401292,13.88,5279089533.7,144065
2025-02-11,524.65,527,505,520.25,514.03,10354212,1533514,14.81,5322378199.1,134914
2025-02-12,512.1,521.65,498.65,512.6,510.52,11442504,1730749,15.13,5841678216.5,149486
2025-02-13,511,530,507,526.45,521.22,10861298,1555773,14.32,5661109736.5,142938
2025-02-14,522,524.85,480.15,488.4,499.92,12516211,1493654,11.93,6257165354.8,183446
2025-02-17,484.45,509.95,477.55,507.05,499.8,15540320,984219,6.33,7767072970.8,252011
2025-02-18,503.05,506.25,479.5,484.3,488.78,13375181,1908171,14.27,6537571806.65,191884
2025-02-19,484,493.75,474.8,483.15,485.98,16318703,2555400,15.66,7930595878.6,204673
2025-02-20,483.15,496.5,480.15,493.85,490.7,8615680,1158313,13.44,4227754975.2,107597
2025-02-21,493,502.4,482,485.25,491.96,6975603,807042,11.57,3431718305.1,89498
2025-02-24,482.95,485.2,474.6,479.1,479.87,6151724,792004,12.87,2952018178.45,68394
2025-02-25,482.45,487.9,473.15,478.05,480.71,6624720,1125763,16.99,3184592476.75,69477
2025-02-27,479,483.95,458.55,469.2,470.2,7999524,1420528,17.76,3761400766.4,98819
2025-02-28,452.55,472.3,452.55,462.25,461.57,9678048,2661262,27.5,4467083359.8,105181
2025-03-03,464.05,467.35,436.85,440.45,447.45,7993592,1673536,20.94,3576759942.6,105466
2025-03-04,437.9,465.35,426,459.6,445.69,12207939,2403525,19.69,5440927617.5,133209
2025-03-05,457.8,469.45,455.1,467.45,464.15,5883560,1163440,19.77,2730847701.25,80742
2025-03-06,468.25,475.5,447.1,450.4,458.93,7622018,1939327,25.44,3497992451.2,118695
2025-03-07,452,453.4,429,431.7,439.07,11762843,3148578,26.77,5164691255.15,219352
2025-03-10,438,439.1,406,407.5,416.36,17135126,4070928,23.76,7134361271.45,240590
2025-03-11,404.5,430.15,399.4,421.5,413.88,32037217,7257944,22.65,13259680787,240974
2025-03-12,424.15,431.4,417.65,427.25,424.54,13069316,1826619,13.98,5548418225.15,125949
2025-03-13,429.35,436.45,418,430.9,426.59,9809250,2027107,20.67,4184527990.75,93104
2025-03-17,430,437.75,425,428,431.72,6286845,1181809,18.8,2714135007.05,67939
2025-03-18,429.95,437.5,428.15,434.45,433.99,6745975,2378881,35.26,2927691884.05,59983
2025-03-19,434.45,465,434,453.55,446.44,8732320,2376037,27.21,3898437376,70482
2025-03-20,460,475,442.5,467.25,457.83,11753814,2521592,21.45,5381245227.1,92842
2025-03-21,467.85,484,464.55,471.2,474.5,9707389,2379878,24.52,4606112540.45,95876
2025-03-24,474.05,500.7,466.55,489.85,488.01,12929450,2574072,19.91,6309657118,131889
2025-03-25,492.35,495,466.45,469.2,477.11,8667538,1642588,18.95,4135386402.45,107652
2025-03-26,471.1,481.5,468.6,474.3,475.08,6631615,1495976,22.56,3150568665.2,73762
2025-03-27,473,475,464.3,469.05,469.69,5040093,1552380,30.8,2367303863.45,65496
2025-03-28,471.15,481.6,462.9,467.25,473.5,5318930,992578,18.66,2518501730.65,65561
2025-04-01,467.5,469.5,452.6,458.05,460.17,4813861,871241,18.1,2215212175,66733
2025-04-02,460.2,518.4,459.45,511.1,497.01,38537731,4425308,11.48,19153633610,307599
2025-04-03,502.5,516.9,497.9,509.1,508.53,16010829,1577312,9.85,8141946375.5,174261
2025-04-04,506.1,508,481.15,487.15,490.75,8666363,1096488,12.65,4253036427.6,106665
2025-04-07,443.05,492,443.05,486.3,473.61,10031988,1096980,10.93,4751277258.75,125985
2025-04-08,500,505,483.6,492.3,492.14,7793425,869088,11.15,3835458348.1,91686
2025-04-09,493,498.7,482.25,494.05,489.48,4738177,1049980,22.16,2319259398.35,64516
2025-04-11,501.7,517.2,495.05,510.75,507.53,9258081,1812222,19.57,4698788235.65,111950
2025-04-15,518.05,523.95,511.45,514.15,517.5,5595619,1221907,21.84,2895751296.8,73997
2025-04-16,514.15,529,512.8,525.35,523.98,6297239,1374865,21.83,3299613619.55,78150
2025-04-17,525.25,533.3,516.2,524.65,524.43,5628907,820139,14.57,2951983995.1,72835
2025-04-21,527.75,535.5,522,529.15,529.6,4668209,1276344,27.34,2472297475.4,59616
2025-04-22,532,539.15,521.6,525,531.2,4707881,1005381,21.36,2500822057.25,60065
2025-04-23,528.6,545.4,518.95,538,530.74,6814548,1536352,22.55,3616780466.95,74092
2025-04-24,536,536,517.45,519.8,526.64,4969546,1485672,29.9,2617152935.85,74788
2025-04-25,523,526.05,495.2,501.25,506.37,5186211,829909,16,2626155253.05,83496
2025-04-28,501.2,525.6,501,518.2,518.63,7718095,1182831,15.33,4002843486.15,100125
2025-04-29,520.95,523,514.5,518.2,518.18,3263583,829011,25.4,1691117284.1,46363
2025-04-30,519.85,522.85,511.4,516.55,517.9,3230049,897336,27.78,1672846594.55,47003
2025-05-02,514.1,518.9,506.05,508.45,511.49,2919874,743865,25.48,1493483397.5,48710
2025-05-05,512.9,534.8,508.1,530.8,523.79,5057306,1364988,26.99,2648964292.85,70772
2025-05-06,528.85,528.85,500.6,502.25,511.52,4252429,1082918,25.47,2175197124.35,70614
2025-05-07,496.5,526.2,493.65,523.1,511.74,6551428,1323116,20.2,3352624429.05,91371
2025-05-08,523.05,528.5,507,512.4,519.41,4816872,1030743,21.4,2501922299.1,68930
2025-05-09,501.1,527.5,501.1,519.15,519.7,8318725,1453287,17.47,4323258269.8,106759
2025-05-12,535,545,530.05,538.15,537.7,4952776,1351043,27.28,2663096368.6,65967
2025-05-13,538.2,557.7,536.6,554.5,547.76,6679954,1754812,26.27,3659006534.1,93864
2025-05-14,555.5,564.5,548.5,551.45,555.97,5229385,1546232,29.57,2907394529.45,68528
2025-05-15,552.1,556.65,548.6,551.9,552.68,2679355,492299,18.37,1480820601.6,43053
2025-05-16,554.7,565,551,560.4,559.08,3764160,1060576,28.18,2104472487.85,53561
2025-05-19,560.4,565,553.05,559.35,559.73,2797104,781567,27.94,1565631666.3,46562
2025-05-20,561.6,564.3,542.7,546.15,549.84,2699286,980795,36.34,1484181480,41579
2025-05-21,549.55,557.95,547,552.05,552.53,2242053,438981,19.58,1238811079.85,35062
2025-05-22,550,555.7,545.15,554.1,551.02,1819021,494644,27.19,1002314321.7,29285
2025-05-23,554,557.95,548.3,553.6,552.77,1506623,389965,25.88,832812541.65,29097
2025-05-26,553.5,574.5,553.15,568.35,567.39,3963204,1095202,27.63,2248702078.6,56279
2025-05-27,568.3,575.9,560,562.75,567.16,3254302,784725,24.11,1845696095.75,49446
2025-05-28,565,573.45,562.35,570.6,568.97,3694813,1427592,38.64,2102236170.85,43798
2025-05-29,571.15,573.3,562,565.4,567.16,2282974,654539,28.67,1294812749.8,37771
2025-05-30,565.4,567.9,558.6,560.4,562.04,2652645,1329503,50.12,1490884791.35,46417
2025-06-02,560.95,561.15,551,556.65,555.11,2148392,920436,42.84,1192601376.2,35867
2025-06-03,556.65,560.35,554.15,556.65,557.35,2055341,857041,41.7,1145541188.2,35424
2025-06-04,557.75,565.5,554,556.7,558.22,1607744,387836,24.12,897479209.9,26774
2025-06-05,558,560.7,550.5,554.1,554.77,2202021,844341,38.34,1221623041.5,31923
2025-06-06,554.05,567.2,550.2,563.1,560.3,4013554,1938541,48.3,2248797907.1,62004
2025-06-09,563.9,566.05,550,551.65,552.83,4580685,2044887,44.64,2532358130.4,56023
2025-06-10,554.25,555,541.55,547.1,546.45,2936338,1126319,38.36,1604553385.35,56512
2025-06-11,547.75,549.7,534,535.2,540.48,3423319,1739768,50.82,1850237678.4,51018
2025-06-12,537.95,537.95,517.1,518.55,526.71,2760817,1166685,42.26,1454144365.65,54019
2025-06-13,514.75,521,507.75,518.95,514.77,2241852,648625,28.93,1154047786.85,42674
2025-06-16,518,523.5,514.1,521.35,519.67,1677132,533198,31.79,871555597.15,28290
2025-06-17,523.95,525.95,512,514.55,519.44,1533562,521448,34,796593717.6,28561
2025-06-18,512.2,523.1,509.7,519.9,517.23,2510894,1078729,42.96,1298710297.7,32158
2025-06-19,519.9,525.8,508,511.05,515.66,1651973,373696,22.62,851857800.4,33247
2025-06-20,510.55,522.5,506.6,518.35,515.22,2572731,842160,32.73,1325513690.1,37485
2025-06-23,512.1,519.7,502.35,515.65,513,3745939,1441049,38.47,1921658201.05,57683
2025-06-24,517.45,527.45,517.45,520.8,522.34,3158001,1086107,34.39,1649546869.8,45731
2025-06-25,522.3,542.8,521.4,540.35,537.23,5979018,1209202,20.22,3212095807.65,76946
2025-06-26,542.9,557.45,534.2,553.35,546.54,6105005,2399690,39.31,3336609431.45,72188
2025-06-27,554.3,556,541,544.75,545.92,9950793,6707094,67.4,5432330130.6,91383
2025-06-30,546,559.05,542.25,555.85,551.96,5531047,2280790,41.24,3052926297.2,73141
2025-07-01,557.5,575.05,553.1,570.35,563.73,5261401,2147074,40.81,2965987531.85,64271
2025-07-02,570.35,593.6,566.8,585.6,582.95,10325501,3113228,30.15,6019242991.8,124948
2025-07-03,585.6,587.3,574,582.85,579.88,3013808,858453,28.48,1747634274.35,50312
2025-07-04,583.05,587.65,578.4,585.65,584.34,2463946,670519,27.21,1439784667.55,33004
2025-07-07,587.4,592.95,570.75,584.05,584.48,4533164,850421,18.76,2649553896.55,61590
2025-07-08,586.1,586.1,562.95,573.75,573.25,5388844,1201033,22.29,3089129504.45,76561
2025-07-09,574,592.5,571.45,578.8,580.71,6120782,1511427,24.69,3554397393.15,81937
2025-07-10,579,590,577.9,587.8,584.84,3681106,1512648,41.09,2152864506.2,42479
2025-07-11,587,587.5,576.3,582.15,581.05,2512940,988580,39.34,1460154185.25,37464
2025-07-14,586.2,588.4,580.2,585.75,585.27,1929247,521911,27.05,1129125809.05,28133
2025-07-15,588.3,594.7,585.35,588.25,589.12,2768515,740174,26.74,1630993249.2,45750
2025-07-16,590,595.75,586.1,590.2,591.3,2590757,630894,24.35,1531906541.75,37762
2025-07-17,592,609.5,589.7,600.5,602.38,6596360,1703781,25.83,3973486632.95,105853
2025-07-18,601.5,603.85,587.7,590.15,593.56,3316072,1039201,31.34,1968281466.4,57078
2025-07-21,591,596.55,583.5,591.2,591.82,2278611,652345,28.63,1348533593,39621
2025-07-22,591.05,595,586,593.05,590.38,2644299,1057395,39.99,1561147371.9,41483
2025-07-23,596.1,617.65,588.25,611.8,605.01,6492596,3435412,52.91,3928102113.25,66690
2025-07-24,612,617.7,602.25,613,610.19,4625453,1890578,40.87,2822385661.6,65246
2025-07-25,606.5,607.95,589.65,594,595.55,4183010,1966341,47.01,2491178802.1,53665
2025-07-28,590.9,603,587.35,596.85,596.33,3301048,1221696,37.01,1968503387.15,41737
2025-07-29,594.1,607.1,591.05,604.4,601.37,4141737,1333218,32.19,2490712853.8,65464
2025-07-30,604.4,610,601.55,606.65,605.28,1639300,601557,36.7,992229874.8,29018
2025-07-31,590.5,603.65,590.5,594.7,595.86,3726886,1233641,33.1,2220711059.5,53945
2025-08-01,594,594.45,580.8,582.85,587.59,2514506,981740,39.04,1477493817.1,53925
2025-08-04,583,598.35,574.05,596.45,587.22,2739060,771643,28.17,1608438823.05,39968
2025-08-05,593,603.15,590.1,600,597.01,3609951,1688442,46.77,2155171407.15,42486
2025-08-06,594,599.2,585.95,590.2,592.09,3623026,1530871,42.25,2145140595.45,39825
2025-08-07,583,600.1,569.7,590.95,586.96,6060138,2880907,47.54,3557029789.6,53620
2025-08-08,615,616,515.55,528.1,549.06,34324131,6914619,20.15,18846165957.6,379595
2025-08-11,528.1,544.55,520,537.5,530.85,9953585,2174478,21.85,5283842207.9,126370
2025-08-12,535,537.45,520.25,522.7,524.83,6644382,2054794,30.93,3487148038.85,90269
2025-08-13,528.9,529,514,515.65,518.55,4945563,1666530,33.7,2564532041.7,65665
2025-08-14,517,546.3,511.45,533.5,534.06,16235146,4183974,25.77,8670616698.15,151898
2025-08-18,535,539.9,518.25,520.2,526,6113881,2468267,40.37,3215879400.95,80025
2025-08-19,520.2,522.25,503.8,507.35,507.96,10323414,3911051,37.89,5243871207.2,119263
2025-08-20,507.5,514,504.4,510.6,509.63,8707575,2566882,29.48,4437662692.2,87289
2025-08-21,513.15,515.75,509.4,511,512.1,3642857,1365948,37.5,1865491924.05,46147
2025-08-22,511,515.4,508.55,511.15,511.78,3661834,1670781,45.63,1874054934.55,44724
2025-08-25,512,515,509.6,511.15,511.73,3732416,1839809,49.29,1909974106.55,38808
2025-08-26,509.2,512.5,495.1,498.4,502.04,6010624,2742532,45.63,3017577511.45,82197
2025-08-28,494.55,514.8,492.95,510.15,506.4,7354852,1890215,25.7,3724533110.2,86399
2025-08-29,508,510.5,501.5,504.15,505.84,3445371,1406498,40.82,1742819533.5,40285
2025-09-01,503,511.5,502.05,510.05,507.48,2632303,1376888,52.31,1335837607.55,32850
2025-09-02,509,517.45,506.2,508.7,510.59,4309669,2185415,50.71,2200490930.25,43272
2025-09-03,509,521.4,509,514.1,514.74,7851485,4231232,53.89,4041452645.95,58113
2025-09-04,516.35,518.1,500.45,501.9,503.96,6322679,2456380,38.85,3186402149.2,63909
2025-09-05,505,507.7,498.8,501.95,502.87,3099877,1450566,46.79,1558842137.65,43532
2025-09-08,500,509.95,500,505.95,506.57,1576902,550448,34.91,798808889.95,24465
2025-09-09,506,507.45,496.45,500.25,499.78,5338293,3022226,56.61,2667952528.15,48540
2025-09-10,502.55,509,499.65,507.05,503.67,4098921,2040437,49.78,2064488014.1,45063
2025-09-11,507.05,509,502,505.8,505.53,2482501,1033470,41.63,1254985208.9,28935
2025-09-12,506,507.8,502,502.75,504.73,1231836,485328,39.4,621739688.85,22771
2025-09-15,503.25,507,502.4,504.75,504.89,1386065,574942,41.48,699806688.25,23025
2025-09-16,506,512.8,503.4,508.55,506.99,1957300,987350,50.44,992325602.1,26680
2025-09-17,509.5,534.9,505.75,522.8,524.85,13974367,4010146,28.7,7334461044.55,126391
2025-09-18,525.3,525.75,512,515,518,2750835,900462,32.73,1424924974.2,37361
2025-09-19,515,517.5,510.75,511.4,512.47,2544795,1417697,55.71,1304123674.05,40703
2025-09-22,511.5,513.75,504.05,505.25,508.2,2318111,823793,35.54,1178070326.95,35419
2025-09-23,506.9,506.9,494,494.95,498.82,3515718,1763640,50.16,1753712721.5,53174
2025-09-24,496.95,496.95,476,479.1,485.81,3388990,1410222,41.61,1646416539.7,66488
2025-09-25,480,485.1,460.5,462.55,468.13,7815628,3357652,42.96,3658733542.3,97476
2025-09-26,463.5,466.2,448,455.8,454.12,6220406,2377064,38.21,2824837711.25,100569
2025-09-29,458.95,459.15,442.25,448.3,450.22,7231883,3137557,43.39,3255928834.95,95018
2025-09-30,455.3,472.1,447.4,454.3,455.93,10172021,3224783,31.7,4637696863.85,94941
2025-10-01,457.7,466.25,455.45,465.3,461.77,2860820,779361,27.24,1321040597.85,38967
2025-10-03,468,498.25,462.7,492.15,483.68,9945564,3180886,31.98,4810516823.6,113775
2025-10-06,495,495.65,479,485.35,486.06,4548669,1052194,23.13,2210905372.95,52092
2025-10-07,488.55,493.2,480.95,487.7,486.76,3252885,642918,19.76,1583359492.65,40606
2025-10-08,488.85,496.4,480.15,481.95,488.16,3503857,917765,26.19,1710448979,46645
2025-10-09,485,488.55,481.1,482.95,483.93,2192277,658898,30.06,1060906226.8,30776
2025-10-10,485.1,488.9,482.3,484.85,485.55,1546536,578969,37.44,750919024.9,22992
2025-10-13,483,483.55,473.65,474.8,476.65,2122526,798901,37.64,1011694611.65,34379
2025-10-14,476,478.2,468,469.45,471.85,2006000,817393,40.75,946523328.2,33494
2025-10-15,468,479.9,467.05,477,475.55,1519312,433806,28.55,722504190.9,25917
