date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-01-01,6027,6169.7,5996.15,6079.5,6085.49,45269,15648,34.57,275483876.35,12098
2025-01-02,6050.05,6285,6050.05,6215.75,6183.08,55031,21132,38.4,340260864.25,12711
2025-01-03,6227.6,6450,6220,6329.2,6354.89,88532,29947,33.83,562611387,20546
2025-01-06,6350,6798.9,6182.15,6623.7,6480.99,316823,116910,36.9,2053325861.65,54308
2025-01-07,6561.35,6604.35,6462.5,6499.95,6522.4,63567,23651,37.21,414609393.5,13895
2025-01-08,6470,6566.4,6450,6509.65,6517.85,53511,15470,28.91,348776626.35,12423
2025-01-09,6482,6659.05,6414.6,6456.15,6552.09,53951,16536,30.65,353491802.85,11633
2025-01-10,6371,6469.3,6336.25,6436.8,6414.2,40439,17436,43.12,259383657.75,11969
2025-01-13,6298.05,6430,5986.9,6021.95,6202.97,52094,23085,44.31,323137586.95,14175
2025-01-14,6031,6195,6031,6106.45,6105.26,33530,15158,45.21,204709266.85,7921
2025-01-15,6101.05,6166.1,5950,5989.35,6053.31,55342,32748,59.17,335002507.55,9293
2025-01-16,6136.5,6139.95,5875,5888.15,5942.28,37887,20384,53.8,225135150.5,8128
2025-01-17,5927.4,6055.65,5788.1,5810.45,5901.15,94204,47307,50.22,555911604.05,14894
2025-01-20,5840,5985.1,5772,5932.35,5878.44,69081,32601,47.19,406088384.75,13556
2025-01-21,5935.35,5985.1,5806,5857.4,5864.59,41407,23469,56.68,242835188.65,8443
2025-01-22,5808,5848.85,5701,5732.9,5743.31,38337,20288,52.92,220181126.15,8775
2025-01-23,5711,5909,5661.6,5851.2,5825.77,36142,14060,38.9,210555131.25,9933
2025-01-24,5880,5920.9,5792,5844.25,5856.36,31630,13961,44.14,185236509.7,7362
2025-01-27,5769.05,5785.55,5573.95,5680.35,5640.54,60888,30061,49.37,343441428.85,12672
2025-01-28,5621.15,5712.65,5379.55,5645.9,5487.9,333469,283869,85.13,1830045698.1,19433
2025-01-29,5677,6661,5677,6286,6249.72,393613,52562,13.35,2459970865.7,70624
2025-01-30,6290,6424,6146,6198.2,6303.5,64291,16992,26.43,405258448.95,15885
2025-01-31,6206.45,6347,6150.4,6267.85,6272.32,36441,15245,41.83,228569474.15,8457
2025-02-01,6210,6337.65,6173.95,6258.1,6266.42,24383,4962,20.35,152793997.1,7000
2025-02-03,6224.1,6231.35,6125,6181.15,6168.66,16888,6810,40.32,104176373.4,4893
2025-02-04,6350,6350,6120,6243.6,6216.9,25919,6016,23.21,161135915.9,5638
2025-02-05,6300,6355,6240,6327.8,6300,19987,7533,37.69,125918068.95,5522
2025-02-06,6351.1,6356.15,6240,6286.85,6278.21,18138,7766,42.82,113874116.3,4192
2025-02-07,6318.3,6318.4,6132,6194.45,6230.68,20799,9906,47.63,129591832.2,5435
2025-02-10,6132,6132,5990,6015.7,6031.96,27976,12659,45.25,168750066.75,6719
2025-02-11,6015.9,6058.35,5896,5951,5943.88,31372,17909,57.09,186471450.35,7614
2025-02-12,5904.25,5955,5706,5814.95,5803.01,53854,26766,49.7,312515474.1,11711
2025-02-13,5780,5856.8,5675,5693.15,5763.27,28751,10820,37.63,165699911.6,7655
2025-02-14,5733,5746.85,5455,5572.75,5543.01,70653,36161,51.18,391629951.55,13030
2025-02-17,5502,5642.8,5431,5603,5529.28,56815,27752,48.85,314145872.7,12742
2025-02-18,5603,5603,5480,5543.15,5542.25,53832,35923,66.73,298350147.25,6523
2025-02-19,5510,5950,5488,5859.9,5752.55,80234,23684,29.52,461549886.05,17533
2025-02-20,5889,6500,5866.9,6173.3,6337.38,703661,45877,6.52,4459366968.9,119487
2025-02-21,6129.05,6289.95,6118.05,6164.8,6201.38,54224,12313,22.71,336263849.35,14226
2025-02-24,6100,6365,6004,6343.7,6240.97,83571,26439,31.64,521564412.65,19577
2025-02-25,6339.05,6425,6241.85,6324.9,6347.42,67972,18352,27,431446731.6,15892
2025-02-27,6280.6,6331.8,6039.95,6068.2,6134.86,47905,16667,34.79,293890636.3,12685
2025-02-28,5966.25,6066.2,5828,5927.05,5929.63,53504,25433,47.53,317259145.1,11401
