date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-01-01,1447.4,1489,1447.4,1485.5,1475.11,279621,87996,31.47,412472629.05,22105
2025-01-02,1487,1497,1473.95,1493.05,1489.33,169394,76117,44.93,252282904.65,15084
2025-01-03,1497,1518,1482,1489.65,1496.27,215695,104515,48.45,322737379.75,17214
2025-01-06,1499.9,1499.9,1405,1412.65,1435.17,426926,215524,50.48,612709426.75,45459
2025-01-07,1415,1454,1411,1438.45,1436.24,243732,88720,36.4,350058828,22813
2025-01-08,1439.85,1444.4,1415.15,1423.1,1427.95,211312,77842,36.84,301742215.9,20421
2025-01-09,1420,1431.65,1405,1407.7,1417.37,125858,51639,41.03,178387749.8,14657
2025-01-10,1407,1407,1345,1352.95,1367.48,365478,174030,47.62,499785200.6,43588
2025-01-13,1339.65,1346.9,1240,1256.65,1279.13,709182,325914,45.96,907139316.85,74356
2025-01-14,1268,1478.5,1265.55,1435.95,1396.42,3501369,329390,9.41,4889377456.2,193310
2025-01-15,1409,1422,1350,1357.8,1383.55,1029364,217267,21.11,1424178555.2,64956
2025-01-16,1369.7,1437.9,1369.7,1399.45,1404.76,713705,161250,22.59,1002582430.4,46428
2025-01-17,1397.9,1400,1378.15,1391.6,1388.24,259374,79244,30.55,360074090.05,20400
2025-01-20,1400,1424,1381.8,1413.9,1402.77,403914,105596,26.14,566596885.45,30194
2025-01-21,1418,1441.45,1390.85,1403.25,1414.87,350319,85913,24.52,495654822.9,30954
2025-01-22,1400.05,1429.2,1350.75,1418.2,1387.68,437710,122616,28.01,607400502.6,44158
2025-01-23,1412,1426.1,1396,1403.6,1410.26,220444,66207,30.03,310884264.9,25336
2025-01-24,1409,1425.5,1372,1381.2,1390.61,389247,142570,36.63,541289335.75,31993
2025-01-27,1371.05,1390.45,1304.55,1318,1336.22,428890,174918,40.78,573089826.55,41591
2025-01-28,1320,1331,1244.9,1312.1,1288.8,663925,191413,28.83,855666320.15,68122
2025-01-29,1316.05,1342.95,1305,1325.25,1322.88,444101,156527,35.25,587491024.35,42391
2025-01-30,1365.05,1506.95,1352.45,1424.45,1451.5,8564481,484407,5.66,12431345726.1,376577
2025-01-31,1413.45,1482.95,1405,1466.2,1452.07,1981977,170992,8.63,2877968990.2,110248
2025-02-01,1469.8,1518,1420.05,1452.5,1477.77,1519573,208396,13.71,2245586967,88399
2025-02-03,1425,1444.55,1362,1370.25,1386.5,716314,191604,26.75,993166880.5,51918
2025-02-04,1379.7,1399.95,1351.4,1364.2,1369.74,431527,135993,31.51,591079041.7,36593
2025-02-05,1372.8,1395,1362.5,1368.65,1377.22,356504,110398,30.97,490983973.35,31784
2025-02-06,1373.25,1379,1341.95,1356.55,1359.43,332601,95568,28.73,452146182.9,28015
2025-02-07,1354.75,1368.65,1340,1350.5,1352.82,274605,62058,22.6,371490279.9,26496
2025-02-10,1347.15,1362.15,1320.85,1333.3,1335.31,241579,80179,33.19,322581804.6,25146
2025-02-11,1330,1330,1285.05,1289.25,1294.93,332808,131446,39.5,430962793.5,31080
2025-02-12,1289,1289,1209.15,1246.95,1243.13,599118,194061,32.39,744781414.25,62248
2025-02-13,1250,1264.8,1223.5,1229,1245.92,396452,139510,35.19,493946951.3,41914
2025-02-14,1235,1240.7,1150.1,1171.15,1179.08,744703,271364,36.44,878062608.8,86100
2025-02-17,1158,1180.05,1122.45,1146.55,1145.01,612513,173233,28.28,701330657.9,68175
2025-02-18,1148.1,1160,1087.35,1103.6,1109.71,631598,195257,30.91,700893210.45,66827
2025-02-19,1097,1194.25,1088,1175.85,1166.52,821988,164353,19.99,958862508.65,79718
2025-02-20,1168,1225,1152.3,1210.85,1195.07,526912,134569,25.54,629697598.9,48900
2025-02-21,1212,1239.15,1181,1192.25,1201.85,442304,136574,30.88,531582867.15,44919
2025-02-24,1178.05,1196.25,1150.85,1174.85,1175.53,274932,74814,27.21,323190025.55,34304
2025-02-25,1179,1193.55,1148.5,1159.7,1173.68,254471,67238,26.42,298668329.05,25366
2025-02-27,1159.7,1164.45,1120,1126.35,1137.83,229677,93341,40.64,261333065.15,25415
2025-02-28,1120,1128.2,1060,1071.65,1086.16,592011,255687,43.19,643018759.25,63695
2025-03-03,1078,1109.45,1008.3,1047.2,1047.65,662861,173541,26.18,694444870.25,78234
2025-03-04,1020.05,1116.8,1016.4,1061.8,1079.07,988238,189482,19.17,1066375101.2,83960
2025-03-05,1062.05,1100,1062.05,1088.2,1087.2,398420,119143,29.9,433160324.05,40114
2025-03-06,1100,1138.45,1085.1,1113.75,1110.83,531017,144656,27.24,589871021.45,48967
2025-03-07,1113.75,1150.85,1105.2,1143.1,1135.8,512341,147626,28.81,581917766.85,47364
2025-03-10,1148.25,1162.5,1086.05,1097.05,1114.69,520695,245104,47.07,580414236.9,44252
2025-03-11,1072.25,1095,1060.05,1085.3,1076.64,348120,108901,31.28,374798399.85,40457
2025-03-12,1088,1100.25,1044.05,1048.2,1065.57,451533,168649,37.35,481141839.6,47085
2025-03-13,1054.95,1062.95,1028.6,1038.75,1044.52,382148,157686,41.26,399162567.85,32835
2025-03-17,1041,1059.2,1010,1016.3,1034.96,469717,166696,35.49,486139606.2,45936
2025-03-18,1030,1089,1029.95,1059.2,1068.72,1728217,236210,13.67,1846973573.25,101421
2025-03-19,1070,1139.9,1070,1127.55,1115.47,1648978,243529,14.77,1839386408.95,87462
2025-03-20,1140,1147.5,1111.05,1125.55,1129.71,681958,243727,35.74,770417246.25,43819
2025-03-21,1125,1220,1108,1215.3,1188.32,1712957,396550,23.15,2035540383.45,94282
2025-03-24,1230,1319.85,1223.45,1264.7,1277.74,2895375,403965,13.95,3699534287.6,145282
2025-03-25,1270,1275.3,1195.55,1202.15,1225.03,988437,357906,36.21,1210865726.2,60649
2025-03-26,1205,1222.7,1180.05,1186.5,1200.07,769588,230681,29.97,923559420.25,48079
2025-03-27,1185.65,1205.2,1160.35,1167.45,1176.74,928552,363184,39.11,1092665192.4,56190
2025-03-28,1174.55,1215.8,1161.1,1167.5,1185.01,758271,235845,31.1,898561411.35,49100
2025-04-01,1168.15,1195.9,1161.4,1184,1179.62,489646,157694,32.21,577597587.05,36865
2025-04-02,1190.9,1193.8,1152.05,1184,1171.03,410419,110728,26.98,480613565.5,28520
2025-04-03,1170,1195.8,1161.5,1185.35,1180.45,374507,107699,28.76,442087998.6,23955
2025-04-04,1185,1185.4,1127,1138.7,1145.98,431368,176501,40.92,494338876.85,36728
2025-04-07,1000.7,1100,989.95,1080.7,1057.22,612836,202823,33.1,647901888.45,61425
2025-04-08,1130,1144.7,1093.25,1103.6,1108.81,364589,95841,26.29,404259466.45,32105
2025-04-09,1103,1103.55,1071.45,1089.95,1087.36,232590,64217,27.61,252909181.6,23017
2025-04-11,1160,1171.95,1134,1153,1144.25,852466,160656,18.85,975431907.4,45445
2025-04-15,1175,1194.7,1163.5,1179.9,1178.46,320911,114951,35.82,378180594.8,22514
2025-04-16,1193,1274.5,1188.6,1232,1249.41,3921171,415752,10.6,4899152483.5,159311
2025-04-17,1231.5,1251.9,1220.5,1241.3,1238.28,558689,139825,25.03,691815624.7,32968
2025-04-21,1245,1258,1236,1244.2,1247.12,316454,106384,33.62,394656544.4,22766
2025-04-22,1246,1263.3,1238.5,1245.6,1251.24,290259,95408,32.87,363184833.6,20044
2025-04-23,1250,1274,1222.6,1248.5,1248.75,424993,101744,23.94,530709672.2,32358
2025-04-24,1250,1259.4,1228,1232.9,1241.65,251030,88509,35.26,311691792.1,25043
2025-04-25,1234,1239.5,1170.2,1207.4,1198.04,565515,180000,31.83,677509667.5,44971
2025-04-28,1200,1215.1,1181.4,1194.3,1199.46,306428,88003,28.72,367548576.4,34833
2025-04-29,1200.3,1227,1194.8,1199.5,1205.12,276578,75367,27.25,333310698.9,22224
2025-04-30,1197.6,1202.3,1152,1161.5,1175.37,247719,115065,46.45,291160443.6,23814
2025-05-02,1161,1181.5,1137.4,1142,1156.08,310998,100457,32.3,359539073.5,27422
2025-05-05,1152,1190,1143.1,1183.8,1173.62,498323,104071,20.88,584842075.3,39599
2025-05-06,1185,1193.9,1150,1153.1,1171.82,283051,102212,36.11,331683990,28008
2025-05-07,1121,1143.8,1115,1138.6,1133.62,455991,167543,36.74,516922258.1,36241
2025-05-08,1142,1164.1,1111,1127.1,1143.5,195307,68462,35.05,223333309.2,19610
2025-05-09,1080,1115,1080,1095.2,1091.82,352095,111631,31.7,384422608.6,33733
2025-05-12,1159,1215,1147,1204.4,1183.77,835420,247719,29.65,988941877,46825
2025-05-13,1209,1257.7,1184.4,1241.6,1232.21,721846,273220,37.85,889463017.1,39900
2025-05-14,1247,1268.9,1230.9,1241,1245.88,379863,134715,35.46,473263200.5,26170
2025-05-15,1247.3,1277.8,1242.1,1255,1259.2,479611,156811,32.7,603925538.3,25096
2025-05-16,1262,1318.5,1252.2,1286.8,1287.14,908103,318301,35.05,1168859045.4,44349
2025-05-19,1290,1308.9,1268,1286.2,1288.82,444705,139993,31.48,573145466.3,26409
2025-05-20,1293.9,1315,1258.7,1263.1,1282.64,512105,177911,34.74,656847248.8,31266
2025-05-21,1270,1281.5,1253,1269.4,1267.99,249889,68127,27.26,316857025.2,20952
2025-05-22,1268.8,1278.7,1251,1257.4,1263.34,204414,80924,39.59,258245109.1,14367
2025-05-23,1278,1312.5,1278,1293.4,1296.94,1337610,320612,23.97,1734803114.6,58003
2025-05-26,1298.6,1350,1279.7,1345.4,1327.95,1277546,468280,36.65,1696513944.7,57503
2025-05-27,1160.1,1294,1160.1,1257.9,1264.96,4814013,985692,20.48,6089534380,158187
2025-05-28,1259,1274.4,1232,1238.8,1244.53,814920,287669,35.3,1014195651.3,34074
2025-05-29,1239,1244,1186.1,1190.8,1203.36,1252164,508985,40.65,1506804789.9,62628
2025-05-30,1200,1248.4,1200,1229.6,1231.81,1286786,345626,26.86,1585071957.4,50221
2025-06-02,1248,1261,1233.3,1243.4,1247.96,841367,248351,29.52,1049990603.8,36182
2025-06-03,1248.9,1257.6,1226.5,1239.3,1239.27,334379,118445,35.42,414385048.1,19333
2025-06-04,1235,1246.6,1222.5,1228.6,1232.99,255942,92424,36.11,315573491.6,17015
2025-06-05,1230,1243.9,1216.6,1220,1229.48,259405,106694,41.13,318932008.2,15818
2025-06-06,1222.7,1234.4,1220,1221.9,1223.72,231558,98308,42.46,283363070.6,14539
2025-06-09,1225,1253.9,1212.5,1224.6,1234.93,518947,164317,31.66,640864328.4,29706
2025-06-10,1224.6,1232.3,1216,1219.3,1222.1,311630,155689,49.96,380842624.4,16917
2025-06-11,1223.9,1231,1208,1219.7,1221.52,239836,97198,40.53,292965281.6,14225
2025-06-12,1223.4,1228,1195.1,1204.8,1210.56,248473,117160,47.15,300792696.7,17057
2025-06-13,1171,1203.9,1171,1188.2,1190.65,272501,107232,39.35,324453765.8,19331
2025-06-16,1183.2,1197.9,1162.1,1181.6,1176.71,250833,95140,37.93,295156845.5,19148
2025-06-17,1181,1193.9,1170,1172.4,1179.51,188406,79627,42.26,222226503.6,14900
2025-06-18,1170,1182.5,1161,1164.8,1169.34,277673,143363,51.63,324694520.3,14824
2025-06-19,1161.2,1178,1142.1,1152.2,1157.31,245680,106257,43.25,284328052.4,17043
2025-06-20,1158,1166.1,1140.2,1147,1150.44,284761,131769,46.27,327599223.2,20015
2025-06-23,1130,1155,1130,1152.5,1147.06,221940,82829,37.32,254577779.8,15927
2025-06-24,1160.1,1180,1155,1158.9,1164.02,209874,82858,39.48,244297666.4,14184
2025-06-25,1158.1,1204.8,1158,1188.5,1187.3,433705,148982,34.35,514939573,25598
