date,open,high,low,close,vwap,traded_quantity,deliverable_quantity,deliverable_percentage,turnover,trades
2025-02-06,1540,1599.7,1509,1545.7,1542.82,736532,551968,74.94,1136337495.95,15021
2025-02-07,1539.25,1545.95,1474.9,1523.1,1514.02,249544,162855,65.26,377813520.1,18159
2025-02-10,1523,1555.85,1485.1,1542.25,1515.48,548371,441463,80.5,831044467.5,25291
2025-02-11,1511,1549,1485,1508.05,1497.63,618580,413979,66.92,926403119.55,31392
2025-02-12,1500,1500,1339.9,1461.4,1420.42,528867,242257,45.81,751215736.15,37881
2025-02-13,1460.05,1504.4,1421.75,1442.15,1476.23,476914,308056,64.59,704034332.3,29883
2025-02-14,1449.9,1473.95,1403.15,1442.3,1428.55,206894,124485,60.17,295557588.2,12689
2025-02-17,1400.1,1424.8,1301.35,1333.2,1352.43,339686,244646,72.02,459401585.6,21463
2025-02-18,1334.95,1368,1272.55,1358.95,1327.18,185621,105287,56.72,246353178.25,25612
2025-02-19,1349,1364.95,1320,1333.3,1336.86,103230,53508,51.83,138003798.5,13669
2025-02-20,1349.8,1349.8,1278.6,1330.6,1313.18,167176,94823,56.72,219531770.45,15895
2025-02-21,1300,1300,1255.3,1274.3,1274.05,327981,213133,64.98,417863885.05,28580
2025-02-24,1251,1450,1246.25,1310.7,1275.86,307752,191540,62.24,392648012.1,13829
2025-02-25,1309.95,1367.5,1251.5,1348.75,1303.81,557484,359621,64.51,726851160.9,30639
2025-02-27,1344,1344,1270.1,1283.6,1286.64,261098,161169,61.73,335938529.5,16330
2025-02-28,1259,1277.5,1211.5,1238.2,1234.07,356308,240798,67.58,439709157.15,17299
2025-03-03,1241.95,1348.75,1209.95,1326.75,1265.46,219171,122525,55.9,277352265.75,9645
2025-03-04,1299.95,1392,1283.6,1382.45,1354.56,198666,121639,61.23,269104077.3,10695
2025-03-05,1370,1440.95,1370,1424.4,1407.77,186634,102620,54.98,262738391.75,9843
2025-03-06,1433,1452.05,1390,1440.95,1430.15,180860,129088,71.37,258656768.3,14997
2025-03-07,1440,1440.95,1401.1,1419,1424.47,88163,52815,59.91,125585121.8,9722
2025-03-10,1427,1534.4,1399.3,1458.6,1475.06,446919,188496,42.18,659231554.35,13322
2025-03-11,1458.6,1515,1420.1,1509.3,1489.01,170868,96710,56.6,254424849.4,7971
2025-03-12,1486.65,1525,1463.5,1509.55,1496.11,147333,88674,60.19,220426722.8,12077
2025-03-13,1523,1550,1492.6,1507.2,1512.42,150159,103425,68.88,227103125.8,6741
2025-03-17,1502,1514.7,1450,1468.25,1494.25,84868,49831,58.72,126813904.3,8015
2025-03-18,1474.9,1535,1473,1507.15,1502.36,220519,163411,74.1,331297883.8,7780
2025-03-19,1524.95,1628,1520,1597.15,1594.93,299802,209474,69.87,478164128.75,21304
2025-03-20,1615,1685,1602,1662.95,1627.58,202082,112724,55.78,328904634.3,19847
2025-03-21,1674,1705.95,1600.05,1648.45,1651.59,220580,115392,52.31,364307028.25,16587
2025-03-24,1678.1,1722.75,1620.2,1707.3,1684.48,88765,48777,54.95,149523016.75,12224
2025-03-25,1724.4,1735.4,1680,1720.15,1704.78,227560,151466,66.56,387939367.7,30157
2025-03-26,1720.15,1744.45,1635,1719.1,1694.11,142224,82413,57.95,240943148.45,14581
2025-03-27,1684.4,1724.25,1645.55,1717.65,1685.19,120511,60614,50.3,203083391.75,12987
2025-03-28,1702,1763.55,1680,1752.25,1739.9,204475,133466,65.27,355766799.85,23575
2025-04-01,1730,1763.7,1612.05,1629.2,1676.4,144356,73649,51.02,241998909.35,16376
2025-04-02,1621,1625.55,1582,1591.25,1597.56,91069,44309,48.65,145488586.35,14478
2025-04-03,1610,1700,1560.1,1573.85,1597.38,150993,72593,48.08,241192643.95,16829
2025-04-04,1544.5,1564.7,1452.8,1498.4,1497.91,207000,132807,64.16,310067574.95,17743
2025-04-07,1379.95,1408,1319.5,1376.4,1355.62,284502,152310,53.54,385675236.6,20431
2025-04-08,1422.45,1624.7,1363.05,1553.35,1515.55,331732,116904,35.24,502755694.85,28658
2025-04-09,1522.3,1535.55,1444,1485.9,1484.71,283732,159196,56.11,421260927.7,34099
2025-04-11,1559,1559,1476.5,1502.2,1501.27,183153,109498,59.78,274961283.55,19239
2025-04-15,1490,1579.4,1490,1567.6,1555.19,96210,51745,53.78,149625234.8,15444
2025-04-16,1560,1600,1543.6,1581.9,1584.29,83955,52012,61.95,133008921.2,14025
2025-04-17,1555,1598.9,1554.1,1564.6,1571.51,65693,29724,45.25,103236903.4,10911
2025-04-21,1584.9,1584.9,1507.2,1519,1528.36,82802,43071,52.02,126551528.1,11644
2025-04-22,1521,1544.7,1501,1524.8,1518.16,68561,32518,47.43,104086776.1,10822
2025-04-23,1530,1585,1524.8,1575.9,1559.79,120691,70755,58.62,188252981,16764
2025-04-24,1575.9,1664,1563.8,1575.4,1611.83,225039,121476,53.98,362724632.2,22470
2025-04-25,1577,1611.3,1494,1557.9,1532.65,156605,73264,46.78,240020840.1,20301
2025-04-28,1539,1611.9,1530.2,1591.5,1584.06,245085,166559,67.96,388230374.9,13429
2025-04-29,1591.3,1633.9,1563.1,1585.9,1587.36,81909,43097,52.62,130019272.3,12529
2025-04-30,1649.5,1677.2,1593.7,1625.5,1629.5,285446,174305,61.06,465135403,36884
2025-05-02,1638.5,1650.2,1575.4,1596.9,1611.54,84522,39762,47.04,136210808.2,13409
2025-05-05,1602,1674.4,1602,1659,1634.73,102962,52456,50.95,168314556.5,16357
2025-05-06,1750,1750,1615,1627.1,1674.75,466600,222619,47.71,781440661.4,55603
2025-05-07,1611,1648.7,1580.4,1633.4,1627.16,128370,59078,46.02,208878050,14639
