date,vwap,prev_vwap
2025-06-02,235.16,
2025-06-03,248.9,235.16
2025-06-04,261.45,248.9
2025-06-05,259.05,261.45
2025-06-06,255.52,259.05
2025-06-09,258.32,255.52
2025-06-10,256.25,258.32
2025-06-11,248.2,256.25
2025-06-12,244.15,248.2
2025-06-13,235.23,244.15
2025-06-16,233.78,235.23
2025-06-17,238.88,233.78
2025-06-18,244.71,238.88
2025-06-19,245.58,244.71
2025-06-20,244.98,245.58
2025-06-23,244.67,244.98
2025-06-24,248.97,244.67
2025-06-25,250.22,248.97
2025-06-26,258.39,250.22
2025-06-27,255.15,258.39
2025-06-30,247.71,255.15
2025-07-01,247.84,247.71
2025-07-02,244.69,247.84
2025-07-03,246.77,244.69
2025-07-04,238.78,246.77
2025-07-07,248.56,238.78
2025-07-08,248.32,248.56
2025-07-09,258.08,248.32
2025-07-10,260.79,258.08
2025-07-11,260.35,260.79
2025-07-14,262.78,260.35
2025-07-15,263.78,262.78
2025-07-16,273.59,263.78
2025-07-17,289.99,273.59
2025-07-18,294.37,289.99
2025-07-21,287.96,294.37
2025-07-22,282.42,287.96
2025-07-23,277.66,282.42
2025-07-24,270.58,277.66
2025-07-25,258.98,270.58
2025-07-28,250.17,258.98
2025-07-29,242.42,250.17
2025-07-30,245.67,242.42
2025-07-31,241.72,245.67
2025-08-01,233.93,241.72
2025-08-04,241.98,233.93
2025-08-05,250.26,241.98
2025-08-06,243.48,250.26
2025-08-07,241.28,243.48
2025-08-08,244.71,241.28
2025-08-11,240.77,244.71
2025-08-12,243.9,240.77
2025-08-13,244.87,243.9
2025-08-14,242.32,244.87
2025-08-18,244.22,242.32
2025-08-19,249.28,244.22
2025-08-20,251.18,249.28
2025-08-21,256.68,251.18
2025-08-22,252.67,256.68
2025-08-25,254.61,252.67
2025-08-26,250.78,254.61
2025-08-28,248.85,250.78
2025-08-29,247.74,248.85
2025-09-01,243.94,247.74
2025-09-02,244.15,243.94
2025-09-03,244.22,244.15
2025-09-04,244.04,244.22
2025-09-05,238.9,244.04
2025-09-08,243.6,238.9
2025-09-09,243.38,243.6
2025-09-10,247.06,243.38
2025-09-11,251.07,247.06
2025-09-12,250.01,251.07
2025-09-15,249.75,250.01
2025-09-16,249.47,249.75
2025-09-17,246.21,249.47
2025-09-18,236.84,246.21
2025-09-19,243.39,236.84
2025-09-22,246.16,243.39
2025-09-23,247.02,246.16
2025-09-24,241.48,247.02
2025-09-25,241.68,241.48
2025-09-26,240.03,241.68
2025-09-29,249.88,240.03
2025-09-30,256.42,249.88
2025-10-01,260.61,256.42
2025-10-03,277.29,260.61
2025-10-06,281.03,277.29
2025-10-07,274.34,281.03
2025-10-08,264.15,274.34
2025-10-09,269.08,264.15
2025-10-10,278.27,269.08
2025-10-13,273.46,278.27
2025-10-14,279.26,273.46
2025-10-15,279.23,279.26
2025-10-16,288.56,279.23
