date,vwap,prev_vwap
2025-01-01,1576.53,
2025-01-02,1680.97,1576.53
2025-01-03,1704.87,1680.97
2025-01-06,1702.16,1704.87
2025-01-07,1690.06,1702.16
2025-01-08,1692.84,1690.06
2025-01-09,1685.61,1692.84
2025-01-10,1701.21,1685.61
2025-01-13,1680.63,1701.21
2025-01-14,1705.81,1680.63
2025-01-15,1674.05,1705.81
2025-01-16,1693.98,1674.05
2025-01-17,1682.81,1693.98
2025-01-20,1719.67,1682.81
2025-01-21,1733.96,1719.67
2025-01-22,1728.07,1733.96
2025-01-23,1754.58,1728.07
2025-01-24,1736.76,1754.58
2025-01-27,1714.13,1736.76
2025-01-28,1755.45,1714.13
2025-01-29,1791.61,1755.45
2025-01-30,1800.97,1791.61
2025-01-31,1730.15,1800.97
2025-02-01,1728.26,1730.15
2025-02-03,1783.86,1728.26
2025-02-04,1798.97,1783.86
2025-02-05,1798.42,1798.97
2025-02-06,1790.7,1798.42
2025-02-07,1801.29,1790.7
2025-02-10,1788.51,1801.29
2025-02-11,1763.84,1788.51
2025-02-12,1765.66,1763.84
2025-02-13,1838.89,1765.66
2025-02-14,1844.64,1838.89
2025-02-17,1877.14,1844.64
2025-02-18,1900.79,1877.14
2025-02-19,1883.55,1900.79
2025-02-20,1872.26,1883.55
2025-02-21,1879.92,1872.26
2025-02-24,1868.23,1879.92
2025-02-25,1878.43,1868.23
2025-02-27,1919.78,1878.43
2025-02-28,1881.72,1919.78
2025-03-03,1837.94,1881.72
2025-03-04,1799.04,1837.94
2025-03-05,1782.38,1799.04
2025-03-06,1830.56,1782.38
2025-03-07,1849.98,1830.56
2025-03-10,1860.62,1849.98
2025-03-11,1806.72,1860.62
2025-03-12,1814.78,1806.72
2025-03-13,1816.49,1814.78
2025-03-17,1864.99,1816.49
2025-03-18,1848.89,1864.99
2025-03-19,1851.54,1848.89
2025-03-20,1839.57,1851.54
2025-03-21,1844.07,1839.57
2025-03-24,1881.28,1844.07
2025-03-25,1937.36,1881.28
