date,vwap,prev_vwap
2025-01-01,292.88,
2025-01-02,295.01,292.88
2025-01-03,294.36,295.01
2025-01-06,285.1,294.36
2025-01-07,285.57,285.1
2025-01-08,282.19,285.57
2025-01-09,282.13,282.19
2025-01-10,273.89,282.13
2025-01-13,263.58,273.89
2025-01-14,265.92,263.58
2025-01-15,269.11,265.92
2025-01-16,275.6,269.11
2025-01-17,280.57,275.6
2025-01-20,285.24,280.57
2025-01-21,281.91,285.24
2025-01-22,269.93,281.91
2025-01-23,273.94,269.93
2025-01-24,272.52,273.94
2025-01-27,263.9,272.52
2025-01-28,257.89,263.9
2025-01-29,265.7,257.89
2025-01-30,274.52,265.7
2025-01-31,289.17,274.52
2025-02-01,286.38,289.17
2025-02-03,269.28,286.38
2025-02-04,282.46,269.28
2025-02-05,289.71,282.46
2025-02-06,283.64,289.71
2025-02-07,276.79,283.64
2025-02-10,276.54,276.79
2025-02-11,266.65,276.54
2025-02-12,258.88,266.65
2025-02-13,262.87,258.88
2025-02-14,253.18,262.87
2025-02-17,246.74,253.18
2025-02-18,243.67,246.74
2025-02-19,250.98,243.67
2025-02-20,257.74,250.98
2025-02-21,257.51,257.74
2025-02-24,255.23,257.51
2025-02-25,257.35,255.23
2025-02-27,254.13,257.35
2025-02-28,246.6,254.13
2025-03-03,252.68,246.6
2025-03-04,263.31,252.68
2025-03-05,271.04,263.31
2025-03-06,274.51,271.04
2025-03-07,277.54,274.51
2025-03-10,278.05,277.54
2025-03-11,274.9,278.05
2025-03-12,277.22,274.9
2025-03-13,282.52,277.22
2025-03-17,279.54,282.52
2025-03-18,283.2,279.54
2025-03-19,289.2,283.2
2025-03-20,295.04,289.2
2025-03-21,296.44,295.04
2025-03-24,302.22,296.44
2025-03-25,300.9,302.22
2025-03-26,301.83,300.9
2025-03-27,300.35,301.83
2025-03-28,303.02,300.35
2025-04-01,298.17,303.02
2025-04-02,279.81,298.17
2025-04-03,286,279.81
2025-04-04,282.03,286
2025-04-07,268.89,282.03
2025-04-08,281.62,268.89
2025-04-09,279.8,281.62
2025-04-11,285.23,279.8
2025-04-15,292.21,285.23
2025-04-16,293.25,292.21
2025-04-17,294.53,293.25
