date,vwap,prev_vwap
2025-01-01,1800.56,
2025-01-02,1793.36,1800.56
2025-01-03,1813.57,1793.36
2025-01-06,1755.86,1813.57
2025-01-07,1750.81,1755.86
2025-01-08,1716.68,1750.81
2025-01-09,1694.91,1716.68
2025-01-10,1628.33,1694.91
2025-01-13,1556.8,1628.33
2025-01-14,1559.64,1556.8
2025-01-15,1607.85,1559.64
2025-01-16,1611.06,1607.85
2025-01-17,1599.59,1611.06
2025-01-20,1601.19,1599.59
2025-01-21,1543.28,1601.19
2025-01-22,1494.76,1543.28
2025-01-23,1513.07,1494.76
2025-01-24,1513.68,1513.07
2025-01-27,1365.86,1513.68
2025-01-28,1272.79,1365.86
2025-01-29,1282.91,1272.79
2025-01-30,1288.18,1282.91
2025-01-31,1299.33,1288.18
2025-02-01,1313.25,1299.33
2025-02-03,1259.35,1313.25
2025-02-04,1275.76,1259.35
2025-02-05,1343.51,1275.76
2025-02-06,1338.63,1343.51
2025-02-07,1338.8,1338.63
2025-02-10,1304.23,1338.8
2025-02-11,1248.21,1304.23
2025-02-12,1215.8,1248.21
2025-02-13,1244.21,1215.8
2025-02-14,1212.75,1244.21
2025-02-17,1202.17,1212.75
2025-02-18,1183.98,1202.17
2025-02-19,1206.61,1183.98
2025-02-20,1236.59,1206.61
2025-02-21,1268.58,1236.59
2025-02-24,1225.28,1268.58
2025-02-25,1207.13,1225.28
2025-02-27,1173.05,1207.13
2025-02-28,1117.85,1173.05
2025-03-03,1102.65,1117.85
2025-03-04,1111.4,1102.65
2025-03-05,1125.3,1111.4
2025-03-06,1168.6,1125.3
2025-03-07,1166.02,1168.6
2025-03-10,1127.07,1166.02
2025-03-11,1092.92,1127.07
2025-03-12,1093.42,1092.92
2025-03-13,1079.3,1093.42
2025-03-17,1058.42,1079.3
2025-03-18,1104.42,1058.42
2025-03-19,1155.28,1104.42
2025-03-20,1173.9,1155.28
2025-03-21,1207.17,1173.9
2025-03-24,1238.81,1207.17
2025-03-25,1219.84,1238.81
2025-03-26,1199.49,1219.84
2025-03-27,1184.85,1199.49
2025-03-28,1235.87,1184.85
2025-04-01,1206.84,1235.87
2025-04-02,1214.16,1206.84
2025-04-03,1230.27,1214.16
2025-04-04,1204.62,1230.27
2025-04-07,1128.04,1204.62
2025-04-08,1175.94,1128.04
2025-04-09,1155.07,1175.94
2025-04-11,1171.19,1155.07
2025-04-15,1214.35,1171.19
2025-04-16,1230.38,1214.35
2025-04-17,1239,1230.38
2025-04-21,1287.5,1239
2025-04-22,1320.61,1287.5
2025-04-23,1336.68,1320.61
2025-04-24,1364.41,1336.68
2025-04-25,1323.55,1364.41
2025-04-28,1336.44,1323.55
2025-04-29,1357.93,1336.44
2025-04-30,1322.7,1357.93
2025-05-02,1324.36,1322.7
2025-05-05,1286.2,1324.36
2025-05-06,1281.82,1286.2
2025-05-07,1268.02,1281.82
2025-05-08,1270.79,1268.02
2025-05-09,1212.52,1270.79
2025-05-12,1272.68,1212.52
2025-05-13,1307.03,1272.68
2025-05-14,1337.41,1307.03
2025-05-15,1338.51,1337.41
2025-05-16,1399.83,1338.51
2025-05-19,1447.49,1399.83
2025-05-20,1460.05,1447.49
2025-05-21,1444.69,1460.05
2025-05-22,1460.62,1444.69
2025-05-23,1458.69,1460.62
2025-05-26,1473.08,1458.69
2025-05-27,1466.84,1473.08
2025-05-28,1504.49,1466.84
2025-05-29,1521.92,1504.49
2025-05-30,1539.79,1521.92
2025-06-02,1642.71,1539.79
2025-06-03,1709.88,1642.71
2025-06-04,1705.09,1709.88
2025-06-05,1752.67,1705.09
2025-06-06,1793.89,1752.67
2025-06-09,1797.46,1793.89
2025-06-10,1805.47,1797.46
2025-06-11,1747.08,1805.47
2025-06-12,1671,1747.08
2025-06-13,1642.39,1671
2025-06-16,1658.74,1642.39
2025-06-17,1700.41,1658.74
2025-06-18,1686.07,1700.41
2025-06-19,1656.41,1686.07
2025-06-20,1672.04,1656.41
2025-06-23,1709.51,1672.04
2025-06-24,1748.2,1709.51
2025-06-25,1765.26,1748.2
2025-06-26,1741.78,1765.26
2025-06-27,1775.37,1741.78
2025-06-30,1793.84,1775.37
2025-07-01,1794.23,1793.84
2025-07-02,1787.57,1794.23
2025-07-03,1795.56,1787.57
2025-07-04,1762.28,1795.56
2025-07-07,1775.84,1762.28
2025-07-08,1752.21,1775.84
2025-07-09,1762.63,1752.21
2025-07-10,1762.04,1762.63
2025-07-11,1708.13,1762.04
2025-07-14,1695.47,1708.13
2025-07-15,1687.87,1695.47
2025-07-16,1717.94,1687.87
2025-07-17,1720.18,1717.94
2025-07-18,1702.62,1720.18
2025-07-21,1721.17,1702.62
2025-07-22,1729.93,1721.17
2025-07-23,1690.56,1729.93
2025-07-24,1682.91,1690.56
2025-07-25,1636.45,1682.91
2025-07-28,1555.16,1636.45
2025-07-29,1535.45,1555.16
2025-07-30,1521.28,1535.45
2025-07-31,1492.4,1521.28
2025-08-01,1481.96,1492.4
2025-08-04,1538.4,1481.96
2025-08-05,1564.12,1538.4
2025-08-06,1544.78,1564.12
2025-08-07,1540.13,1544.78
2025-08-08,1577.83,1540.13
2025-08-11,1565.28,1577.83
2025-08-12,1554.9,1565.28
2025-08-13,1563.72,1554.9
2025-08-14,1561.48,1563.72
2025-08-18,1581.86,1561.48
2025-08-19,1579.03,1581.86
2025-08-20,1580.14,1579.03
2025-08-21,1583,1580.14
2025-08-22,1579.36,1583
2025-08-25,1555.97,1579.36
2025-08-26,1509.33,1555.97
2025-08-28,1472.6,1509.33
2025-08-29,1434.53,1472.6
2025-09-01,1463.5,1434.53
2025-09-02,1511.07,1463.5
2025-09-03,1516.78,1511.07
2025-09-04,1514.17,1516.78
2025-09-05,1527.59,1514.17
2025-09-08,1548.54,1527.59
2025-09-09,1552.81,1548.54
2025-09-10,1549.94,1552.81
2025-09-11,1541.83,1549.94
2025-09-12,1545.86,1541.83
2025-09-15,1556.15,1545.86
2025-09-16,1547.89,1556.15
2025-09-17,1567.58,1547.89
2025-09-18,1602.08,1567.58
2025-09-19,1589.22,1602.08
2025-09-22,1568.56,1589.22
2025-09-23,1542.42,1568.56
2025-09-24,1523.38,1542.42
2025-09-25,1503.88,1523.38
2025-09-26,1479.24,1503.88
2025-09-29,1481.49,1479.24
2025-09-30,1462.84,1481.49
2025-10-01,1470.91,1462.84
2025-10-03,1485.5,1470.91
2025-10-06,1511.47,1485.5
2025-10-07,1569.56,1511.47
2025-10-08,1548.17,1569.56
2025-10-09,1550.52,1548.17
2025-10-10,1591.59,1550.52
2025-10-13,1612.38,1591.59
2025-10-14,1626.85,1612.38
2025-10-15,1622.59,1626.85
2025-10-16,1625.04,1622.59
2025-10-17,1625.1,1625.04
2025-10-20,1607.74,1625.1
2025-10-21,1605.68,1607.74
2025-10-23,1611.69,1605.68
2025-10-24,1598.61,1611.69
2025-10-27,1624.15,1598.61
2025-10-28,1635.96,1624.15
2025-10-29,1609.83,1635.96
2025-10-30,1615.36,1609.83
2025-10-31,1592.17,1615.36
2025-11-03,1597.19,1592.17
2025-11-04,1550.22,1597.19
2025-11-06,1527.74,1550.22
2025-11-07,1569.19,1527.74
2025-11-10,1595.34,1569.19
2025-11-11,1595.14,1595.34
2025-11-12,1641.52,1595.14
2025-11-13,1647.42,1641.52
2025-11-14,1631.93,1647.42
2025-11-17,1630.58,1631.93
2025-11-18,1614.27,1630.58
2025-11-19,1614.94,1614.27
2025-11-20,1656,1614.94
2025-11-21,1625.61,1656
2025-11-24,1602.72,1625.61
2025-11-25,1582.21,1602.72
2025-11-26,1614.85,1582.21
2025-11-27,1620.67,1614.85
