date,vwap,prev_vwap
2025-01-01,2180.27,
2025-01-02,2121.82,2180.27
2025-01-03,2102.86,2121.82
2025-01-06,2134.81,2102.86
2025-01-07,2169.06,2134.81
2025-01-08,2222.92,2169.06
2025-01-09,2311.42,2222.92
2025-01-10,2244.01,2311.42
2025-01-13,2285.48,2244.01
2025-01-14,2315.18,2285.48
2025-01-15,2281.11,2315.18
2025-01-16,2257.51,2281.11
2025-01-17,2201.58,2257.51
2025-01-20,2192.18,2201.58
2025-01-21,2207.57,2192.18
2025-01-22,2121.35,2207.57
2025-01-23,2132.34,2121.35
2025-01-24,2108.93,2132.34
2025-01-27,1988.92,2108.93
2025-01-28,2007.6,1988.92
2025-01-29,2039.93,2007.6
2025-01-30,2057.12,2039.93
2025-01-31,2151.68,2057.12
2025-02-01,2114.02,2151.68
2025-02-03,2119.19,2114.02
2025-02-04,2225.18,2119.19
2025-02-05,2289.11,2225.18
2025-02-06,2321.66,2289.11
2025-02-07,2347.77,2321.66
2025-02-10,2367.25,2347.77
2025-02-11,2122.74,2367.25
2025-02-12,2114.73,2122.74
2025-02-13,2138.64,2114.73
2025-02-14,1795.28,2138.64
2025-02-17,1588.4,1795.28
2025-02-18,1770.84,1588.4
2025-02-19,1700.3,1770.84
2025-02-20,1668.71,1700.3
2025-02-21,1654.52,1668.71
2025-02-24,1648.03,1654.52
2025-02-25,1651.34,1648.03
2025-02-27,1588.62,1651.34
2025-02-28,1506.13,1588.62
2025-03-03,1522.65,1506.13
2025-03-04,1716.1,1522.65
2025-03-05,1762.25,1716.1
2025-03-06,1750.12,1762.25
2025-03-07,1728.32,1750.12
2025-03-10,1698.28,1728.32
2025-03-11,1649.62,1698.28
2025-03-12,1603.89,1649.62
2025-03-13,1633.21,1603.89
2025-03-17,1613.28,1633.21
2025-03-18,1634.05,1613.28
2025-03-19,1655.13,1634.05
2025-03-20,1641.56,1655.13
2025-03-21,1670.13,1641.56
2025-03-24,1668.7,1670.13
2025-03-25,1667.71,1668.7
2025-03-26,1667.34,1667.71
2025-03-27,1699.04,1667.34
2025-03-28,1683.11,1699.04
2025-04-01,1658.65,1683.11
2025-04-02,1683.27,1658.65
2025-04-03,1723.97,1683.27
2025-04-04,1664.71,1723.97
2025-04-07,1579.69,1664.71
2025-04-08,1607,1579.69
2025-04-09,1623.7,1607
2025-04-11,1649.65,1623.7
2025-04-15,1728.23,1649.65
2025-04-16,1744.34,1728.23
2025-04-17,1722.66,1744.34
2025-04-21,1721.38,1722.66
2025-04-22,1687.98,1721.38
2025-04-23,1657.01,1687.98
2025-04-24,1662,1657.01
2025-04-25,1598.77,1662
2025-04-28,1559.76,1598.77
2025-04-29,1567.5,1559.76
2025-04-30,1545.58,1567.5
2025-05-02,1494.54,1545.58
2025-05-05,1460.09,1494.54
2025-05-06,1395.57,1460.09
2025-05-07,1404.35,1395.57
2025-05-08,1517.49,1404.35
2025-05-09,1519.76,1517.49
2025-05-12,1523.73,1519.76
2025-05-13,1519.94,1523.73
2025-05-14,1503.14,1519.94
2025-05-15,1526,1503.14
2025-05-16,1508.7,1526
2025-05-19,1530.47,1508.7
2025-05-20,1515.16,1530.47
2025-05-21,1518.39,1515.16
2025-05-22,1527.82,1518.39
2025-05-23,1533.19,1527.82
2025-05-26,1540.41,1533.19
2025-05-27,1536.82,1540.41
2025-05-28,1612,1536.82
2025-05-29,1669.48,1612
2025-05-30,1741.07,1669.48
2025-06-02,1814.12,1741.07
2025-06-03,1828.92,1814.12
2025-06-04,1867.61,1828.92
2025-06-05,1876.29,1867.61
2025-06-06,1914.81,1876.29
2025-06-09,2013.99,1914.81
2025-06-10,2087.89,2013.99
2025-06-11,2118.38,2087.89
2025-06-12,2084.48,2118.38
2025-06-13,2070.64,2084.48
2025-06-16,2103.29,2070.64
2025-06-17,2092.2,2103.29
2025-06-18,2010.09,2092.2
2025-06-19,2015.61,2010.09
2025-06-20,1850.76,2015.61
2025-06-23,1814.19,1850.76
2025-06-24,1785.69,1814.19
2025-06-25,1812.9,1785.69
2025-06-26,1813.74,1812.9
2025-06-27,1823,1813.74
2025-06-30,1834.76,1823
2025-07-01,1810.9,1834.76
2025-07-02,1769.05,1810.9
2025-07-03,1750.15,1769.05
2025-07-04,1744.52,1750.15
2025-07-07,1782.82,1744.52
2025-07-08,1755.89,1782.82
2025-07-09,1841.61,1755.89
2025-07-10,1807.78,1841.61
2025-07-11,1799.18,1807.78
2025-07-14,1838.02,1799.18
2025-07-15,1838.92,1838.02
2025-07-16,1847.92,1838.92
2025-07-17,1892.05,1847.92
2025-07-18,1904.5,1892.05
2025-07-21,1921.55,1904.5
2025-07-22,1906.58,1921.55
2025-07-23,1926.43,1906.58
2025-07-24,1950.2,1926.43
2025-07-25,1909.44,1950.2
2025-07-28,1877.77,1909.44
2025-07-29,1844.15,1877.77
