date,vwap,prev_vwap
2025-01-01,2501.67,
2025-01-02,2499.82,2501.67
2025-01-03,2468.62,2499.82
2025-01-06,2439.09,2468.62
2025-01-07,2448.92,2439.09
2025-01-08,2430.48,2448.92
2025-01-09,2477.38,2430.48
2025-01-10,2425.94,2477.38
2025-01-13,2356.13,2425.94
2025-01-14,2348.07,2356.13
2025-01-15,2356.67,2348.07
2025-01-16,2359.5,2356.67
2025-01-17,2367.99,2359.5
2025-01-20,2346.87,2367.99
2025-01-21,2367.69,2346.87
2025-01-22,2300.35,2367.69
2025-01-23,2356.03,2300.35
2025-01-24,2317.9,2356.03
2025-01-27,2239.96,2317.9
2025-01-28,2201.51,2239.96
2025-01-29,2258.41,2201.51
2025-01-30,2277.46,2258.41
2025-01-31,2313.09,2277.46
2025-02-01,2320.13,2313.09
2025-02-03,2343.08,2320.13
2025-02-04,2336.79,2343.08
2025-02-05,2351.09,2336.79
2025-02-06,2373.4,2351.09
2025-02-07,2348.73,2373.4
2025-02-10,2303.56,2348.73
2025-02-11,2225.93,2303.56
2025-02-12,2190.75,2225.93
2025-02-13,2234.11,2190.75
2025-02-14,1939.72,2234.11
2025-02-17,1888.52,1939.72
2025-02-18,1890.63,1888.52
2025-02-19,1918.46,1890.63
2025-02-20,1957.68,1918.46
2025-02-21,1957.48,1957.68
2025-02-24,1938.29,1957.48
2025-02-25,1942.11,1938.29
2025-02-27,1896.71,1942.11
2025-02-28,1848.38,1896.71
2025-03-03,1824.07,1848.38
2025-03-04,1857.74,1824.07
2025-03-05,1920.12,1857.74
2025-03-06,1957.08,1920.12
2025-03-07,1979.9,1957.08
2025-03-10,1968.25,1979.9
2025-03-11,1960.66,1968.25
2025-03-12,1940.28,1960.66
2025-03-13,1957.02,1940.28
2025-03-17,1981.91,1957.02
2025-03-18,1996.65,1981.91
2025-03-19,2026.32,1996.65
2025-03-20,2050.28,2026.32
2025-03-21,2047.8,2050.28
2025-03-24,2086.34,2047.8
2025-03-25,2052.07,2086.34
2025-03-26,2016.62,2052.07
2025-03-27,1998.06,2016.62
2025-03-28,1996.55,1998.06
2025-04-01,1965.53,1996.55
2025-04-02,2018.32,1965.53
2025-04-03,1993.66,2018.32
2025-04-04,1947.93,1993.66
2025-04-07,1833.88,1947.93
2025-04-08,1830.69,1833.88
2025-04-09,1803.64,1830.69
2025-04-11,1905.13,1803.64
2025-04-15,1942.8,1905.13
2025-04-16,1967.93,1942.8
2025-04-17,1964.42,1967.93
2025-04-21,1998.48,1964.42
2025-04-22,2046.1,1998.48
2025-04-23,2012.23,2046.1
2025-04-24,2016.51,2012.23
2025-04-25,1956.14,2016.51
2025-04-28,1968.9,1956.14
2025-04-29,1988.32,1968.9
2025-04-30,1959.68,1988.32
2025-05-02,1981.38,1959.68
2025-05-05,2014.59,1981.38
2025-05-06,1977.38,2014.59
2025-05-07,1970.57,1977.38
2025-05-08,1937.32,1970.57
2025-05-09,1899.8,1937.32
2025-05-12,1969.57,1899.8
2025-05-13,1955.37,1969.57
2025-05-14,1972.03,1955.37
2025-05-15,2026.53,1972.03
2025-05-16,2087.25,2026.53
2025-05-19,2148.58,2087.25
2025-05-20,2109.93,2148.58
2025-05-21,2082.61,2109.93
2025-05-22,2097.94,2082.61
2025-05-23,2078.34,2097.94
2025-05-26,2065.69,2078.34
2025-05-27,2071.36,2065.69
2025-05-28,2036.04,2071.36
2025-05-29,2088.15,2036.04
2025-05-30,2040.92,2088.15
2025-06-02,1994.77,2040.92
2025-06-03,2018.59,1994.77
2025-06-04,1996.85,2018.59
2025-06-05,1993.6,1996.85
2025-06-06,1945.97,1993.6
2025-06-09,1953.72,1945.97
2025-06-10,1953.75,1953.72
2025-06-11,1964.04,1953.75
2025-06-12,1943.3,1964.04
2025-06-13,1909.51,1943.3
2025-06-16,1904.6,1909.51
2025-06-17,1909.88,1904.6
2025-06-18,1910.5,1909.88
2025-06-19,1889.68,1910.5
2025-06-20,1883.56,1889.68
2025-06-23,1881.07,1883.56
2025-06-24,1895.47,1881.07
2025-06-25,1932.5,1895.47
2025-06-26,1961.41,1932.5
2025-06-27,1979.96,1961.41
2025-06-30,1982.54,1979.96
2025-07-01,1967.82,1982.54
2025-07-02,1992.84,1967.82
2025-07-03,1986.05,1992.84
2025-07-04,1964.69,1986.05
2025-07-07,1964.62,1964.69
2025-07-08,1979.8,1964.62
2025-07-09,1980.38,1979.8
2025-07-10,1981.16,1980.38
2025-07-11,1987.65,1981.16
2025-07-14,1972.79,1987.65
2025-07-15,1985.29,1972.79
2025-07-16,1967.16,1985.29
2025-07-17,1961.84,1967.16
2025-07-18,1948.56,1961.84
2025-07-21,1936.73,1948.56
2025-07-22,1932.03,1936.73
2025-07-23,1929.23,1932.03
2025-07-24,1928.12,1929.23
2025-07-25,1903.79,1928.12
2025-07-28,1880.72,1903.79
2025-07-29,1865.51,1880.72
2025-07-30,1895.09,1865.51
2025-07-31,1855.04,1895.09
2025-08-01,1831.86,1855.04
2025-08-04,1813.24,1831.86
2025-08-05,1818.23,1813.24
2025-08-06,1811.78,1818.23
2025-08-07,1806.58,1811.78
2025-08-08,1813.31,1806.58
2025-08-11,1828.03,1813.31
2025-08-12,1855.75,1828.03
2025-08-13,1866.06,1855.75
2025-08-14,1820.42,1866.06
2025-08-18,1816.51,1820.42
2025-08-19,1816.27,1816.51
2025-08-20,1814.4,1816.27
2025-08-21,1809.81,1814.4
2025-08-22,1813.29,1809.81
2025-08-25,1826.41,1813.29
2025-08-26,1834.14,1826.41
2025-08-28,1813.11,1834.14
2025-08-29,1796.47,1813.11
2025-09-01,1791.63,1796.47
2025-09-02,1771.72,1791.63
2025-09-03,1756.29,1771.72
2025-09-04,1756.51,1756.29
2025-09-05,1756.2,1756.51
2025-09-08,1748.02,1756.2
2025-09-09,1739.75,1748.02
2025-09-10,1750.33,1739.75
2025-09-11,1749.71,1750.33
2025-09-12,1758.05,1749.71
2025-09-15,1748.33,1758.05
2025-09-16,1778.68,1748.33
2025-09-17,1838.81,1778.68
2025-09-18,1821.78,1838.81
2025-09-19,1813.03,1821.78
2025-09-22,1818.5,1813.03
2025-09-23,1820.06,1818.5
2025-09-24,1873.72,1820.06
2025-09-25,1867,1873.72
2025-09-26,1846.23,1867
2025-09-29,1835.04,1846.23
2025-09-30,1839.78,1835.04
2025-10-01,1835.92,1839.78
2025-10-03,1850.81,1835.92
2025-10-06,1844.35,1850.81
2025-10-07,1805.89,1844.35
2025-10-08,1800.16,1805.89
2025-10-09,1781.78,1800.16
2025-10-10,1774.95,1781.78
2025-10-13,1774.74,1774.95
2025-10-14,1761.26,1774.74
2025-10-15,1768.07,1761.26
2025-10-16,1776.08,1768.07
2025-10-17,1769.8,1776.08
2025-10-20,1764.95,1769.8
2025-10-21,1772.57,1764.95
2025-10-23,1770.66,1772.57
2025-10-24,1761.12,1770.66
2025-10-27,1749.1,1761.12
2025-10-28,1760.38,1749.1
2025-10-29,1748.62,1760.38
2025-10-30,1746.39,1748.62
2025-10-31,1732.62,1746.39
2025-11-03,1736.42,1732.62
2025-11-04,1744.4,1736.42
2025-11-06,1734.28,1744.4
2025-11-07,1722.7,1734.28
2025-11-10,1721.64,1722.7
2025-11-11,1727.16,1721.64
