date,vwap,prev_vwap
2025-01-01,2227.26,
2025-01-02,2193.28,2227.26
2025-01-03,2195.61,2193.28
2025-01-06,2153.44,2195.61
2025-01-07,2100.46,2153.44
2025-01-08,2120.88,2100.46
2025-01-09,2106.51,2120.88
2025-01-10,2088.42,2106.51
2025-01-13,2042.52,2088.42
2025-01-14,2024.63,2042.52
2025-01-15,2085.99,2024.63
2025-01-16,2077.79,2085.99
2025-01-17,2105.86,2077.79
2025-01-20,2108.78,2105.86
2025-01-21,2102.66,2108.78
2025-01-22,2102.16,2102.66
2025-01-23,2106.97,2102.16
2025-01-24,2089.73,2106.97
2025-01-27,2007.95,2089.73
2025-01-28,1968.88,2007.95
2025-01-29,1974.86,1968.88
2025-01-30,1984.25,1974.86
2025-01-31,1986.4,1984.25
2025-02-01,2011.88,1986.4
2025-02-03,1984.41,2011.88
2025-02-04,1982.1,1984.41
2025-02-05,1955.52,1982.1
2025-02-06,1990.24,1955.52
2025-02-07,1993.3,1990.24
2025-02-10,1949.6,1993.3
2025-02-11,1900.07,1949.6
2025-02-12,1856.13,1900.07
2025-02-13,1923.1,1856.13
2025-02-14,1872.86,1923.1
2025-02-17,1820.5,1872.86
2025-02-18,1817.75,1820.5
2025-02-19,1861.14,1817.75
2025-02-20,1875.26,1861.14
2025-02-21,1876.24,1875.26
2025-02-24,1856.17,1876.24
2025-02-25,1835.7,1856.17
2025-02-27,1796.21,1835.7
2025-02-28,1760.44,1796.21
2025-03-03,1715.52,1760.44
2025-03-04,1726.67,1715.52
2025-03-05,1773.58,1726.67
2025-03-06,1845.64,1773.58
2025-03-07,1885.2,1845.64
2025-03-10,1893.42,1885.2
2025-03-11,1855.95,1893.42
2025-03-12,1884.89,1855.95
2025-03-13,1905.34,1884.89
2025-03-17,1904.51,1905.34
2025-03-18,1940.62,1904.51
2025-03-19,1959.52,1940.62
2025-03-20,1955.8,1959.52
2025-03-21,1961.02,1955.8
2025-03-24,1995.35,1961.02
2025-03-25,1995.94,1995.35
2025-03-26,2000.5,1995.94
2025-03-27,1987.74,2000.5
2025-03-28,1966.21,1987.74
2025-04-01,1942.87,1966.21
2025-04-02,1929.69,1942.87
2025-04-03,1904.8,1929.69
2025-04-04,1848.72,1904.8
2025-04-07,1762.52,1848.72
2025-04-08,1822.76,1762.52
2025-04-09,1860.25,1822.76
2025-04-11,1888.67,1860.25
2025-04-15,1924.31,1888.67
2025-04-16,1921.43,1924.31
2025-04-17,1979.16,1921.43
2025-04-21,1957.74,1979.16
2025-04-22,1972.57,1957.74
2025-04-23,1957.82,1972.57
2025-04-24,1958.36,1957.82
2025-04-25,1927.46,1958.36
2025-04-28,1915.95,1927.46
2025-04-29,1900.46,1915.95
2025-04-30,1886.95,1900.46
2025-05-02,1872.37,1886.95
2025-05-05,1866.27,1872.37
2025-05-06,1872.2,1866.27
2025-05-07,2032.82,1872.2
2025-05-08,2082.56,2032.82
2025-05-09,2074.6,2082.56
2025-05-12,2104.66,2074.6
2025-05-13,2138.3,2104.66
2025-05-14,2180.47,2138.3
2025-05-15,2170.87,2180.47
2025-05-16,2221.21,2170.87
2025-05-19,2253.94,2221.21
2025-05-20,2217.58,2253.94
2025-05-21,2345.48,2217.58
2025-05-22,2327.66,2345.48
2025-05-23,2411.96,2327.66
2025-05-26,2396.81,2411.96
2025-05-27,2428.72,2396.81
2025-05-28,2418.91,2428.72
2025-05-29,2435.3,2418.91
2025-05-30,2446.83,2435.3
2025-06-02,2426.92,2446.83
2025-06-03,2433.64,2426.92
2025-06-04,2432.79,2433.64
2025-06-05,2529.09,2432.79
2025-06-06,2491.14,2529.09
2025-06-09,2511.43,2491.14
2025-06-10,2507.67,2511.43
2025-06-11,2534.75,2507.67
2025-06-12,2460.14,2534.75
2025-06-13,2404.79,2460.14
2025-06-16,2500.13,2404.79
2025-06-17,2442.73,2500.13
2025-06-18,2434.25,2442.73
2025-06-19,2433.22,2434.25
2025-06-20,2569.2,2433.22
2025-06-23,2565.69,2569.2
2025-06-24,2514.5,2565.69
2025-06-25,2700.06,2514.5
2025-06-26,2641.56,2700.06
2025-06-27,2656.47,2641.56
2025-06-30,2734.3,2656.47
2025-07-01,2932.5,2734.3
2025-07-02,2880.15,2932.5
2025-07-03,2803.59,2880.15
2025-07-04,2791.4,2803.59
2025-07-07,2682.73,2791.4
2025-07-08,2632.28,2682.73
2025-07-09,2659.41,2632.28
2025-07-10,2646.39,2659.41
2025-07-11,2628.94,2646.39
2025-07-14,2667.85,2628.94
2025-07-15,2723.49,2667.85
2025-07-16,2698.54,2723.49
2025-07-17,2697.82,2698.54
2025-07-18,2679.75,2697.82
2025-07-21,2638.15,2679.75
2025-07-22,2626.76,2638.15
2025-07-23,2630.64,2626.76
2025-07-24,2641.6,2630.64
2025-07-25,2600.33,2641.6
2025-07-28,2569.36,2600.33
2025-07-29,2548.28,2569.36
2025-07-30,2580.07,2548.28
2025-07-31,2554.26,2580.07
2025-08-01,2502.25,2554.26
2025-08-04,2647.8,2502.25
2025-08-05,2599.74,2647.8
2025-08-06,2545.3,2599.74
2025-08-07,2531.33,2545.3
2025-08-08,2526.7,2531.33
2025-08-11,2524.01,2526.7
2025-08-12,2536.42,2524.01
2025-08-13,2554.88,2536.42
2025-08-14,2606.74,2554.88
2025-08-18,2834.78,2606.74
2025-08-19,2842.29,2834.78
2025-08-20,2876.53,2842.29
2025-08-21,2871.26,2876.53
2025-08-22,2849.97,2871.26
2025-08-25,2860.46,2849.97
2025-08-26,2819.61,2860.46
2025-08-28,2878.33,2819.61
2025-08-29,2890.17,2878.33
2025-09-01,2941.63,2890.17
2025-09-02,2875.65,2941.63
2025-09-03,2936.92,2875.65
2025-09-04,2945.62,2936.92
2025-09-05,2991.71,2945.62
2025-09-08,3014.07,2991.71
2025-09-09,3027.45,3014.07
2025-09-10,3024.6,3027.45
2025-09-11,2950.9,3024.6
2025-09-12,2883.19,2950.9
2025-09-15,2862.59,2883.19
2025-09-16,2881.89,2862.59
2025-09-17,2890.7,2881.89
2025-09-18,2890.33,2890.7
2025-09-19,2891.59,2890.33
2025-09-22,2856.64,2891.59
2025-09-23,2891.84,2856.64
2025-09-24,2808.47,2891.84
2025-09-25,2747.37,2808.47
2025-09-26,2743.49,2747.37
2025-09-29,2752.36,2743.49
2025-09-30,2726.82,2752.36
2025-10-01,2796.38,2726.82
2025-10-03,2830.61,2796.38
2025-10-06,2869.57,2830.61
2025-10-07,2962.83,2869.57
2025-10-08,2946.69,2962.83
2025-10-09,2919.78,2946.69
2025-10-10,2891.45,2919.78
2025-10-13,2871.22,2891.45
2025-10-14,2805.78,2871.22
2025-10-15,2799.07,2805.78
2025-10-16,2917.35,2799.07
2025-10-17,2923.12,2917.35
2025-10-20,2954.37,2923.12
2025-10-21,2963.85,2954.37
2025-10-23,2958.65,2963.85
2025-10-24,2911,2958.65
2025-10-27,2923.63,2911
2025-10-28,2938.2,2923.63
2025-10-29,2849.19,2938.2
2025-10-30,2853.15,2849.19
2025-10-31,2867.55,2853.15
2025-11-03,2861.79,2867.55
2025-11-04,2876.68,2861.79
2025-11-06,2859.18,2876.68
2025-11-07,2845.91,2859.18
2025-11-10,2835.13,2845.91
2025-11-11,2814.47,2835.13
2025-11-12,2876.73,2814.47
2025-11-13,2706.15,2876.73
2025-11-14,2677,2706.15
2025-11-17,2700,2677
2025-11-18,2625.47,2700
2025-11-19,2715.18,2625.47
2025-11-20,2727.61,2715.18
2025-11-21,2715.53,2727.61
2025-11-24,2678.79,2715.53
2025-11-25,2678.58,2678.79
2025-11-26,2677.35,2678.58
2025-11-27,2668.23,2677.35
2025-11-28,2648.06,2668.23
2025-12-01,2711.78,2648.06
2025-12-02,2665.37,2711.78
2025-12-03,2654.7,2665.37
2025-12-04,2649.78,2654.7
2025-12-05,2653.06,2649.78
2025-12-08,2646.92,2653.06
2025-12-09,2606.87,2646.92
2025-12-10,2596.11,2606.87
2025-12-11,2568.46,2596.11
2025-12-12,2599.39,2568.46
2025-12-15,2597.91,2599.39
2025-12-16,2601.69,2597.91
2025-12-17,2601.9,2601.69
2025-12-18,2597.39,2601.9
2025-12-19,2664.93,2597.39
2025-12-22,2662.34,2664.93
2025-12-23,2620.71,2662.34
2025-12-24,2600.58,2620.71
2025-12-26,2564.91,2600.58
2025-12-29,2560.41,2564.91
2025-12-30,2573.64,2560.41
2025-12-31,2571.56,2573.64
2026-01-01,2557.13,2571.56
2026-01-02,2554.38,2557.13
2026-01-05,2564.26,2554.38
2026-01-06,2564.82,2564.26
2026-01-07,2585.72,2564.82
2026-01-08,2600.85,2585.72
2026-01-09,2610.05,2600.85
2026-01-12,2569.87,2610.05
2026-01-13,2565.62,2569.87
2026-01-14,2547.2,2565.62
2026-01-16,2501.65,2547.2
