date,vwap,prev_vwap
2025-01-01,1918.88,
2025-01-02,1956.3,1918.88
2025-01-03,1956.95,1956.3
2025-01-06,1951.88,1956.95
2025-01-07,1930.16,1951.88
2025-01-08,1915,1930.16
2025-01-09,1935.7,1915
2025-01-10,1977.11,1935.7
2025-01-13,1992.36,1977.11
2025-01-14,1824.43,1992.36
2025-01-15,1824.99,1824.43
2025-01-16,1796.66,1824.99
2025-01-17,1776.06,1796.66
2025-01-20,1785.22,1776.06
2025-01-21,1805.77,1785.22
2025-01-22,1820.11,1805.77
2025-01-23,1814.54,1820.11
2025-01-24,1803.18,1814.54
2025-01-27,1734.65,1803.18
2025-01-28,1707.81,1734.65
2025-01-29,1715.29,1707.81
2025-01-30,1716.41,1715.29
2025-01-31,1724.09,1716.41
2025-02-01,1704.35,1724.09
2025-02-03,1686.67,1704.35
2025-02-04,1712.68,1686.67
2025-02-05,1718.44,1712.68
2025-02-06,1719.71,1718.44
2025-02-07,1720.82,1719.71
2025-02-10,1728.54,1720.82
2025-02-11,1732.76,1728.54
2025-02-12,1717.61,1732.76
2025-02-13,1712.75,1717.61
2025-02-14,1709.15,1712.75
2025-02-17,1707.8,1709.15
2025-02-18,1719.23,1707.8
2025-02-19,1714.19,1719.23
2025-02-20,1696.15,1714.19
2025-02-21,1696.62,1696.15
2025-02-24,1649.63,1696.62
2025-02-25,1640.84,1649.63
2025-02-27,1626.13,1640.84
2025-02-28,1574.6,1626.13
2025-03-03,1579.48,1574.6
2025-03-04,1539.73,1579.48
2025-03-05,1569.69,1539.73
2025-03-06,1584.44,1569.69
2025-03-07,1564.26,1584.44
2025-03-10,1558.35,1564.26
2025-03-11,1553.21,1558.35
2025-03-12,1526.42,1553.21
2025-03-13,1536.04,1526.42
2025-03-17,1532.81,1536.04
2025-03-18,1553.11,1532.81
2025-03-19,1536.19,1553.11
2025-03-20,1568.78,1536.19
2025-03-21,1567.64,1568.78
2025-03-24,1590.29,1567.64
2025-03-25,1633.44,1590.29
2025-03-26,1634.48,1633.44
2025-03-27,1626.44,1634.48
2025-03-28,1603.17,1626.44
2025-04-01,1549.26,1603.17
2025-04-02,1524.27,1549.26
2025-04-03,1477.26,1524.27
2025-04-04,1433.64,1477.26
2025-04-07,1341.53,1433.64
2025-04-08,1396.09,1341.53
2025-04-09,1377.67,1396.09
2025-04-11,1399.73,1377.67
2025-04-15,1420.09,1399.73
2025-04-16,1424.34,1420.09
2025-04-17,1409.58,1424.34
2025-04-21,1473.95,1409.58
2025-04-22,1480.59,1473.95
2025-04-23,1583.28,1480.59
2025-04-24,1587.95,1583.28
2025-04-25,1583.92,1587.95
2025-04-28,1548.84,1583.92
2025-04-29,1564.53,1548.84
2025-04-30,1569.92,1564.53
2025-05-02,1573.44,1569.92
2025-05-05,1577.67,1573.44
2025-05-06,1575.07,1577.67
2025-05-07,1562.62,1575.07
2025-05-08,1581.65,1562.62
2025-05-09,1569.43,1581.65
2025-05-12,1651.26,1569.43
2025-05-13,1632.9,1651.26
2025-05-14,1632.79,1632.9
2025-05-15,1671.48,1632.79
2025-05-16,1667.09,1671.48
2025-05-19,1648.41,1667.09
2025-05-20,1645.92,1648.41
2025-05-21,1648.03,1645.92
2025-05-22,1629.6,1648.03
2025-05-23,1655.65,1629.6
2025-05-26,1669.56,1655.65
2025-05-27,1654.27,1669.56
2025-05-28,1654.59,1654.27
2025-05-29,1663.36,1654.59
2025-05-30,1640.93,1663.36
2025-06-02,1624.66,1640.93
2025-06-03,1631.03,1624.66
2025-06-04,1631.91,1631.03
2025-06-05,1634.36,1631.91
2025-06-06,1633.47,1634.36
2025-06-09,1650.6,1633.47
2025-06-10,1671.68,1650.6
2025-06-11,1707.99,1671.68
2025-06-12,1706.01,1707.99
2025-06-13,1693.86,1706.01
2025-06-16,1719.53,1693.86
2025-06-17,1731.35,1719.53
2025-06-18,1720.55,1731.35
2025-06-19,1707.25,1720.55
2025-06-20,1735.97,1707.25
2025-06-23,1709.85,1735.97
2025-06-24,1704.45,1709.85
2025-06-25,1714.03,1704.45
2025-06-26,1719.14,1714.03
2025-06-27,1725.28,1719.14
2025-06-30,1725.82,1725.28
2025-07-01,1724.9,1725.82
2025-07-02,1721.52,1724.9
2025-07-03,1718.24,1721.52
2025-07-04,1719.03,1718.24
2025-07-07,1711.09,1719.03
2025-07-08,1704.55,1711.09
2025-07-09,1680.92,1704.55
2025-07-10,1661.89,1680.92
2025-07-11,1640.55,1661.89
2025-07-14,1617.76,1640.55
2025-07-15,1573.16,1617.76
2025-07-16,1567.13,1573.16
2025-07-17,1555.4,1567.13
2025-07-18,1541.04,1555.4
2025-07-21,1532.77,1541.04
2025-07-22,1528.68,1532.77
2025-07-23,1527.16,1528.68
2025-07-24,1515.11,1527.16
2025-07-25,1499.87,1515.11
2025-07-28,1474.52,1499.87
2025-07-29,1470,1474.52
2025-07-30,1474.63,1470
2025-07-31,1469.99,1474.63
2025-08-01,1455.75,1469.99
2025-08-04,1460.11,1455.75
2025-08-05,1480.25,1460.11
2025-08-06,1465.98,1480.25
2025-08-07,1462.9,1465.98
2025-08-08,1473.68,1462.9
2025-08-11,1484.68,1473.68
2025-08-12,1501.89,1484.68
2025-08-13,1500,1501.89
2025-08-14,1501.41,1500
2025-08-18,1483.48,1501.41
2025-08-19,1476.27,1483.48
2025-08-20,1478.37,1476.27
2025-08-21,1495.28,1478.37
2025-08-22,1470.96,1495.28
2025-08-25,1500.79,1470.96
2025-08-26,1495.22,1500.79
2025-08-28,1457.19,1495.22
2025-08-29,1455.83,1457.19
2025-09-01,1466.84,1455.83
2025-09-02,1467.23,1466.84
2025-09-03,1460.87,1467.23
2025-09-04,1452.76,1460.87
2025-09-05,1423.2,1452.76
2025-09-08,1412.11,1423.2
2025-09-09,1424.97,1412.11
2025-09-10,1462.85,1424.97
2025-09-11,1464.18,1462.85
2025-09-12,1467.45,1464.18
2025-09-15,1461.11,1467.45
2025-09-16,1474.82,1461.11
2025-09-17,1486.66,1474.82
2025-09-18,1494.93,1486.66
2025-09-19,1470.86,1494.93
2025-09-22,1438.15,1470.86
2025-09-23,1429.61,1438.15
2025-09-24,1437.54,1429.61
2025-09-25,1424.63,1437.54
2025-09-26,1399.93,1424.63
2025-09-29,1389.77,1399.93
2025-09-30,1391.55,1389.77
2025-10-01,1387.87,1391.55
2025-10-03,1389.62,1387.87
2025-10-06,1414.89,1389.62
2025-10-07,1432.33,1414.89
2025-10-08,1449.94,1432.33
2025-10-09,1481.66,1449.94
2025-10-10,1490.52,1481.66
2025-10-13,1489.55,1490.52
2025-10-14,1509.47,1489.55
2025-10-15,1497.08,1509.47
2025-10-16,1512.81,1497.08
2025-10-17,1492.04,1512.81
2025-10-20,1498.57,1492.04
2025-10-21,1490.39,1498.57
2025-10-23,1531.37,1490.39
2025-10-24,1523.82,1531.37
2025-10-27,1539.22,1523.82
2025-10-28,1522.39,1539.22
2025-10-29,1549.69,1522.39
2025-10-30,1547.65,1549.69
2025-10-31,1545.71,1547.65
2025-11-03,1540.77,1545.71
2025-11-04,1530.36,1540.77
2025-11-06,1525.7,1530.36
2025-11-07,1508.39,1525.7
2025-11-10,1538.01,1508.39
2025-11-11,1558.43,1538.01
2025-11-12,1591.3,1558.43
2025-11-13,1596.49,1591.3
2025-11-14,1588.33,1596.49
2025-11-17,1599.95,1588.33
2025-11-18,1595.15,1599.95
2025-11-19,1650.37,1595.15
2025-11-20,1652.84,1650.37
2025-11-21,1622.45,1652.84
2025-11-24,1617.14,1622.45
2025-11-25,1601.61,1617.14
2025-11-26,1618.84,1601.61
2025-11-27,1625.43,1618.84
2025-11-28,1627.54,1625.43
2025-12-01,1639.51,1627.54
2025-12-02,1635.1,1639.51
2025-12-03,1638.68,1635.1
2025-12-04,1658.55,1638.68
2025-12-05,1679.98,1658.55
2025-12-08,1688.85,1679.98
2025-12-09,1666.53,1688.85
2025-12-10,1664.38,1666.53
2025-12-11,1666.62,1664.38
2025-12-12,1669.69,1666.62
2025-12-15,1681.83,1669.69
2025-12-16,1653.45,1681.83
2025-12-17,1654.82,1653.45
2025-12-18,1660.82,1654.82
2025-12-19,1644.84,1660.82
2025-12-22,1665.51,1644.84
2025-12-23,1674.59,1665.51
2025-12-24,1674.72,1674.59
2025-12-26,1660.76,1674.72
2025-12-29,1642.6,1660.76
2025-12-30,1619.83,1642.6
2025-12-31,1624.23,1619.83
2026-01-01,1636.32,1624.23
2026-01-02,1636.46,1636.32
2026-01-05,1602.85,1636.46
2026-01-06,1616.64,1602.85
2026-01-07,1638.36,1616.64
2026-01-08,1649.47,1638.36
2026-01-09,1664.49,1649.47
2026-01-12,1657.06,1664.49
2026-01-13,1657.4,1657.06
2026-01-14,1667.72,1657.4
2026-01-16,1690.44,1667.72
2026-01-19,1706.84,1690.44
2026-01-20,1692.73,1706.84
2026-01-21,1678.69,1692.73
2026-01-22,1696.66,1678.69
2026-01-23,1710.03,1696.66
2026-01-27,1714.93,1710.03
2026-01-28,1719.01,1714.93
2026-01-29,1712.49,1719.01
2026-01-30,1696.74,1712.49
2026-02-01,1673.91,1696.74
2026-02-02,1674.91,1673.91
2026-02-03,1712.72,1674.91
2026-02-04,1609.09,1712.72
2026-02-05,1612.1,1609.09
2026-02-06,1592.41,1612.1
2026-02-09,1601.57,1592.41
2026-02-10,1586.43,1601.57
2026-02-11,1556.12,1586.43
2026-02-12,1492.68,1556.12
2026-02-13,1439.36,1492.68
2026-02-16,1456.22,1439.36
2026-02-17,1490.04,1456.22
2026-02-18,1462.49,1490.04
2026-02-19,1473.32,1462.49
2026-02-20,1441.1,1473.32
2026-02-23,1427.48,1441.1
2026-02-24,1346.66,1427.48
2026-02-25,1379.33,1346.66
2026-02-26,1383.22,1379.33
2026-02-27,1390.09,1383.22
2026-03-02,1369.5,1390.09
2026-03-04,1367.86,1369.5
2026-03-05,1346.61,1367.86
2026-03-06,1364.05,1346.61
2026-03-09,1355.54,1364.05
2026-03-10,1356.02,1355.54
2026-03-11,1355.4,1356.02
2026-03-12,1355.47,1355.4
2026-03-13,1336.25,1355.47
2026-03-16,1322.95,1336.25
2026-03-17,1318.68,1322.95
2026-03-18,1362.83,1318.68
2026-03-19,1325.85,1362.83
2026-03-20,1337.81,1325.85
2026-03-23,1352.36,1337.81
2026-03-24,1378.06,1352.36
2026-03-25,1383.83,1378.06
2026-03-27,1376.5,1383.83
2026-03-30,1345.87,1376.5
2026-04-01,1367.96,1345.87
2026-04-02,1384.54,1367.96
2026-04-06,1406.71,1384.54
2026-04-07,1435.93,1406.71
2026-04-08,1450.32,1435.93
2026-04-09,1453.12,1450.32
2026-04-10,1438.64,1453.12
2026-04-13,1427.35,1438.64
2026-04-15,1450.85,1427.35
2026-04-16,1446.11,1450.85
2026-04-17,1438.28,1446.11
2026-04-20,1434.33,1438.28
2026-04-21,1440.59,1434.33
2026-04-22,1304.43,1440.59
2026-04-23,1279.21,1304.43
2026-04-24,1217.49,1279.21
2026-04-27,1218.15,1217.49
2026-04-28,1202.59,1218.15
2026-04-29,1202.38,1202.59
2026-04-30,1200.95,1202.38
2026-05-04,1199.3,1200.95
2026-05-05,1199.4,1199.3
2026-05-06,1194.87,1199.4
2026-05-07,1185.93,1194.87
2026-05-08,1194.9,1185.93
2026-05-11,1200.25,1194.9
2026-05-12,1154.12,1200.25
2026-05-13,1145.7,1154.12
2026-05-14,1119.6,1145.7
2026-05-15,1136.8,1119.6
2026-05-18,1138.54,1136.8
2026-05-19,1180.95,1138.54
2026-05-20,1172.82,1180.95
2026-05-21,1170.33,1172.82
2026-05-22,1165.48,1170.33
2026-05-25,1168.76,1165.48
2026-05-26,1165.98,1168.76
2026-05-27,1162.91,1165.98
2026-05-29,1184.28,1162.91
2026-06-01,1200.49,1184.28
2026-06-02,1236.8,1200.49
2026-06-03,1193.69,1236.8
2026-06-04,1168.81,1193.69
2026-06-05,1156.81,1168.81
2026-06-08,1149.64,1156.81
2026-06-09,1143.49,1149.64
2026-06-10,1141.62,1143.49
2026-06-11,1104.07,1141.62
2026-06-12,1107.93,1104.07
2026-06-15,1120.27,1107.93
2026-06-16,1150.83,1120.27
2026-06-17,1165.82,1150.83
2026-06-18,1158.45,1165.82
2026-06-19,1118.44,1158.45
2026-06-22,1137.61,1118.44
2026-06-23,1112.95,1137.61
2026-06-24,1111.16,1112.95
2026-06-25,1112.79,1111.16
2026-06-29,1097.93,1112.79
2026-06-30,1079.17,1097.93
2026-07-01,1051.09,1079.17
2026-07-02,1074.55,1051.09
2026-07-03,1136.63,1074.55
2026-07-06,1136.15,1136.63
2026-07-07,1163.17,1136.15
2026-07-08,1157.9,1163.17
2026-07-09,1146.84,1157.9
2026-07-10,1167.37,1146.84
2026-07-13,1211.3,1167.37
2026-07-14,1184.48,1211.3
2026-07-15,1168.05,1184.48
2026-07-16,1193.95,1168.05
2026-07-17,1207.41,1193.95
2026-07-20,1216.07,1207.41
2026-07-21,1233.07,1216.07
2026-07-22,1236.65,1233.07
2026-07-23,1242.21,1236.65
2026-07-24,1260.48,1242.21
2026-07-27,1295.72,1260.48
2026-07-28,1325.86,1295.72
2026-07-29,1342.8,1325.86
2026-07-30,1360.1,1342.8
2026-07-31,1340.12,1360.1
2026-08-03,1355.65,1340.12
2026-08-04,1356.42,1355.65
2026-08-05,1350.12,1356.42
2026-08-06,1339.27,1350.12
2026-08-07,1353.94,1339.27
2026-08-10,1358.42,1353.94
2026-08-11,1367.72,1358.42
2026-08-12,1357,1367.72
2026-08-13,1364.23,1357
2026-08-14,1360.98,1364.23
2026-08-17,1334.26,1360.98
2026-08-18,1300.63,1334.26
2026-08-19,1316.02,1300.63
2026-08-20,1326.83,1316.02
2026-08-21,1309.72,1326.83
2026-08-24,1318.31,1309.72
2026-08-25,1305.1,1318.31
2026-08-26,1304.83,1305.1
2026-08-27,1286.91,1304.83
2026-08-28,1318.13,1286.91
2026-08-31,1313.07,1318.13
