date,vwap,prev_vwap
2025-02-19,759.95,
2025-02-20,786.65,759.95
2025-02-21,805.22,786.65
2025-02-24,817.74,805.22
2025-02-25,811.47,817.74
2025-02-27,818.32,811.47
2025-02-28,805.04,818.32
2025-03-03,806.19,805.04
2025-03-04,800.73,806.19
2025-03-05,807.61,800.73
2025-03-06,814.16,807.61
2025-03-07,784.27,814.16
2025-03-10,785.35,784.27
2025-03-11,786.84,785.35
2025-03-12,778.54,786.84
2025-03-13,766.36,778.54
2025-03-17,731.43,766.36
2025-03-18,770.65,731.43
2025-03-19,735.71,770.65
2025-03-20,735.98,735.71
2025-03-21,734.86,735.98
2025-03-24,735.25,734.86
2025-03-25,729.88,735.25
2025-03-26,722.98,729.88
2025-03-27,716.77,722.98
2025-03-28,705.4,716.77
2025-04-01,702.26,705.4
2025-04-02,694.01,702.26
2025-04-03,692.81,694.01
2025-04-04,655.31,692.81
2025-04-07,623.95,655.31
2025-04-08,670.15,623.95
2025-04-09,632.03,670.15
2025-04-11,634.35,632.03
2025-04-15,639.03,634.35
2025-04-16,629.12,639.03
2025-04-17,663.18,629.12
2025-04-21,673.42,663.18
2025-04-22,664.95,673.42
2025-04-23,652.34,664.95
2025-04-24,684.54,652.34
2025-04-25,700.2,684.54
2025-04-28,697.7,700.2
2025-04-29,721.24,697.7
2025-04-30,701.48,721.24
2025-05-02,700.7,701.48
2025-05-05,707.43,700.7
2025-05-06,693.38,707.43
2025-05-07,683.94,693.38
2025-05-08,699.73,683.94
2025-05-09,696.18,699.73
2025-05-12,738.79,696.18
2025-05-13,747.91,738.79
2025-05-14,754.66,747.91
2025-05-15,761.48,754.66
2025-05-16,775.27,761.48
2025-05-19,748.11,775.27
2025-05-20,763,748.11
2025-05-21,789.7,763
2025-05-22,801.71,789.7
2025-05-23,805.33,801.71
2025-05-26,800.41,805.33
2025-05-27,815.26,800.41
2025-05-28,818.89,815.26
2025-05-29,816.4,818.89
2025-05-30,854.99,816.4
2025-06-02,823.47,854.99
2025-06-03,810.64,823.47
2025-06-04,813.47,810.64
2025-06-05,822.21,813.47
2025-06-06,825.16,822.21
2025-06-09,831.8,825.16
2025-06-10,842.97,831.8
2025-06-11,843.55,842.97
2025-06-12,825.11,843.55
2025-06-13,823.74,825.11
2025-06-16,829.01,823.74
2025-06-17,834.25,829.01
2025-06-18,838.52,834.25
2025-06-19,824.35,838.52
2025-06-20,828.77,824.35
2025-06-23,832.65,828.77
2025-06-24,842.25,832.65
2025-06-25,848.99,842.25
2025-06-26,850.61,848.99
2025-06-27,868.6,850.61
2025-06-30,855.48,868.6
2025-07-01,846.52,855.48
2025-07-02,865.89,846.52
2025-07-03,875.7,865.89
2025-07-04,863.25,875.7
2025-07-07,857.95,863.25
2025-07-08,877.98,857.95
2025-07-09,887.85,877.98
2025-07-10,883.67,887.85
2025-07-11,865.29,883.67
2025-07-14,846.33,865.29
2025-07-15,848.31,846.33
2025-07-16,854.19,848.31
2025-07-17,865.11,854.19
2025-07-18,863.5,865.11
2025-07-21,856.4,863.5
2025-07-22,860.24,856.4
2025-07-23,861.58,860.24
2025-07-24,841.2,861.58
2025-07-25,759.28,841.2
2025-07-28,720.78,759.28
2025-07-29,722.17,720.78
2025-07-30,711.25,722.17
2025-07-31,703.88,711.25
2025-08-01,701.34,703.88
2025-08-04,700.29,701.34
2025-08-05,720.62,700.29
2025-08-06,721.04,720.62
2025-08-07,723.15,721.04
2025-08-08,718.48,723.15
2025-08-11,708.47,718.48
2025-08-12,705.93,708.47
2025-08-13,720.52,705.93
