date,vwap,prev_vwap
2025-01-01,1945.05,
2025-01-02,1924.84,1945.05
2025-01-03,1940.62,1924.84
2025-01-06,1897.79,1940.62
2025-01-07,1945.18,1897.79
2025-01-08,1949.97,1945.18
2025-01-09,1947.11,1949.97
2025-01-10,1927.86,1947.11
2025-01-13,1886.12,1927.86
2025-01-14,1920.44,1886.12
2025-01-15,1942.56,1920.44
2025-01-16,1874.55,1942.56
2025-01-17,1861.63,1874.55
2025-01-20,1912.54,1861.63
2025-01-21,1884.56,1912.54
2025-01-22,1856.58,1884.56
2025-01-23,1826.95,1856.58
2025-01-24,1799.45,1826.95
2025-01-27,1638.99,1799.45
2025-01-28,1529.32,1638.99
2025-01-29,1684.68,1529.32
2025-01-30,1752.36,1684.68
2025-01-31,1768.44,1752.36
2025-02-01,1740.62,1768.44
2025-02-03,1745.22,1740.62
2025-02-04,1744.88,1745.22
2025-02-05,1759.24,1744.88
2025-02-06,1697.15,1759.24
2025-02-07,1759.21,1697.15
2025-02-10,1696.53,1759.21
2025-02-11,1654.49,1696.53
2025-02-12,1706.14,1654.49
2025-02-13,1742.73,1706.14
2025-02-14,1664.45,1742.73
2025-02-17,1670.21,1664.45
2025-02-18,1677.14,1670.21
2025-02-19,1743.42,1677.14
2025-02-20,1776.45,1743.42
2025-02-21,1819.36,1776.45
2025-02-24,1809.05,1819.36
2025-02-25,1901.41,1809.05
2025-02-27,1844.79,1901.41
2025-02-28,1797.07,1844.79
2025-03-03,1793.06,1797.07
2025-03-04,1777.74,1793.06
2025-03-05,1777.17,1777.74
2025-03-06,1795.02,1777.17
2025-03-07,1746.05,1795.02
2025-03-10,1729.52,1746.05
2025-03-11,1729.36,1729.52
2025-03-12,1721.44,1729.36
2025-03-13,1665.63,1721.44
2025-03-17,1473.01,1665.63
2025-03-18,1478.03,1473.01
2025-03-19,1530.39,1478.03
2025-03-20,1481.61,1530.39
2025-03-21,1474.63,1481.61
2025-03-24,1487.1,1474.63
2025-03-25,1495.91,1487.1
2025-03-26,1493.57,1495.91
2025-03-27,1527.16,1493.57
2025-03-28,1560.05,1527.16
2025-04-01,1506.38,1560.05
2025-04-02,1505.9,1506.38
2025-04-03,1479.5,1505.9
2025-04-04,1428.69,1479.5
2025-04-07,1350.82,1428.69
2025-04-08,1356.07,1350.82
2025-04-09,1323.58,1356.07
2025-04-11,1350.34,1323.58
2025-04-15,1407.57,1350.34
2025-04-16,1413.84,1407.57
2025-04-17,1415.63,1413.84
2025-04-21,1432.76,1415.63
2025-04-22,1432.89,1432.76
2025-04-23,1502.32,1432.89
2025-04-24,1487.21,1502.32
2025-04-25,1455.97,1487.21
2025-04-28,1460.94,1455.97
2025-04-29,1478.92,1460.94
2025-04-30,1493.77,1478.92
2025-05-02,1475.66,1493.77
2025-05-05,1482.66,1475.66
2025-05-06,1461.36,1482.66
2025-05-07,1463.19,1461.36
2025-05-08,1532.76,1463.19
2025-05-09,1533.36,1532.76
2025-05-12,1566.4,1533.36
2025-05-13,1637.79,1566.4
2025-05-14,1643.21,1637.79
2025-05-15,1658.59,1643.21
2025-05-16,1685.74,1658.59
2025-05-19,1634.77,1685.74
2025-05-20,1579.01,1634.77
2025-05-21,1597.98,1579.01
2025-05-22,1565.21,1597.98
2025-05-23,1570.39,1565.21
2025-05-26,1583.55,1570.39
2025-05-27,1582.98,1583.55
2025-05-28,1530.31,1582.98
2025-05-29,1509.33,1530.31
2025-05-30,1512.12,1509.33
2025-06-02,1526.49,1512.12
2025-06-03,1541.26,1526.49
2025-06-04,1590.31,1541.26
2025-06-05,1603.62,1590.31
2025-06-06,1594.38,1603.62
2025-06-09,1655.73,1594.38
2025-06-10,1660.02,1655.73
2025-06-11,1732.57,1660.02
2025-06-12,1734.46,1732.57
2025-06-13,1733.29,1734.46
2025-06-16,1740.42,1733.29
2025-06-17,1827.13,1740.42
2025-06-18,1727.54,1827.13
2025-06-19,1651.63,1727.54
2025-06-20,1615.82,1651.63
