date,vwap,prev_vwap
2025-01-01,1374.35,
2025-01-02,1365.99,1374.35
2025-01-03,1392.28,1365.99
2025-01-06,1384.72,1392.28
2025-01-07,1342.43,1384.72
2025-01-08,1344.48,1342.43
2025-01-09,1324.24,1344.48
2025-01-10,1292.23,1324.24
2025-01-13,1192.33,1292.23
2025-01-14,1155.83,1192.33
2025-01-15,1128.72,1155.83
2025-01-16,1141.87,1128.72
2025-01-17,1176.88,1141.87
2025-01-20,1198.65,1176.88
2025-01-21,1160.98,1198.65
2025-01-22,1087.15,1160.98
2025-01-23,1078.4,1087.15
2025-01-24,1097.13,1078.4
2025-01-27,1112.81,1097.13
2025-01-28,1128.02,1112.81
2025-01-29,1116.18,1128.02
2025-01-30,1160.5,1116.18
2025-01-31,1209.43,1160.5
2025-02-01,1239.37,1209.43
2025-02-03,1275.53,1239.37
2025-02-04,1285.44,1275.53
2025-02-05,1280.67,1285.44
2025-02-06,1222.21,1280.67
2025-02-07,1228.77,1222.21
2025-02-10,1184.56,1228.77
2025-02-11,1162.75,1184.56
2025-02-12,1172.51,1162.75
2025-02-13,1176.86,1172.51
2025-02-14,1158.52,1176.86
2025-02-17,1152.51,1158.52
2025-02-18,1166.68,1152.51
2025-02-19,1183.8,1166.68
2025-02-20,1185.44,1183.8
2025-02-21,1210.82,1185.44
2025-02-24,1198.91,1210.82
2025-02-25,1197.84,1198.91
2025-02-27,1195.77,1197.84
2025-02-28,1165.77,1195.77
2025-03-03,1129.07,1165.77
2025-03-04,1115.41,1129.07
2025-03-05,1144.99,1115.41
2025-03-06,1151.28,1144.99
2025-03-07,1120.91,1151.28
2025-03-10,1093.24,1120.91
2025-03-11,1124.06,1093.24
2025-03-12,1095.78,1124.06
2025-03-13,1067.96,1095.78
2025-03-17,1055.19,1067.96
2025-03-18,1086.09,1055.19
2025-03-19,1158.85,1086.09
2025-03-20,1210.12,1158.85
2025-03-21,1184.82,1210.12
2025-03-24,1225.96,1184.82
2025-03-25,1218.14,1225.96
2025-03-26,1219.74,1218.14
2025-03-27,1225.05,1219.74
2025-03-28,1217.19,1225.05
2025-04-01,1168.02,1217.19
2025-04-02,1199.13,1168.02
2025-04-03,1215.45,1199.13
2025-04-04,1187.33,1215.45
2025-04-07,1108.52,1187.33
2025-04-08,1131.53,1108.52
2025-04-09,1110.87,1131.53
2025-04-11,1122.55,1110.87
2025-04-15,1191.49,1122.55
2025-04-16,1240.96,1191.49
2025-04-17,1242.28,1240.96
2025-04-21,1281.98,1242.28
2025-04-22,1317.21,1281.98
2025-04-23,1352.46,1317.21
2025-04-24,1328.09,1352.46
2025-04-25,1332.1,1328.09
2025-04-28,1298.33,1332.1
2025-04-29,1295.38,1298.33
2025-04-30,1342.54,1295.38
2025-05-02,1359.22,1342.54
2025-05-05,1332.67,1359.22
2025-05-06,1310.8,1332.67
2025-05-07,1291,1310.8
2025-05-08,1303.5,1291
2025-05-09,1237.73,1303.5
2025-05-12,1298.38,1237.73
2025-05-13,1277.35,1298.38
2025-05-14,1309.64,1277.35
2025-05-15,1360.52,1309.64
2025-05-16,1393.16,1360.52
2025-05-19,1418.98,1393.16
2025-05-20,1395.71,1418.98
2025-05-21,1406.49,1395.71
2025-05-22,1407.72,1406.49
2025-05-23,1414.91,1407.72
2025-05-26,1446.04,1414.91
2025-05-27,1458.09,1446.04
2025-05-28,1469.51,1458.09
2025-05-29,1447.63,1469.51
2025-05-30,1431.67,1447.63
2025-06-02,1429.82,1431.67
2025-06-03,1456.82,1429.82
2025-06-04,1450.21,1456.82
2025-06-05,1463.87,1450.21
2025-06-06,1500.45,1463.87
2025-06-09,1514.04,1500.45
2025-06-10,1478.88,1514.04
2025-06-11,1476.57,1478.88
2025-06-12,1459.52,1476.57
2025-06-13,1440.45,1459.52
2025-06-16,1461.24,1440.45
2025-06-17,1473.56,1461.24
2025-06-18,1449.77,1473.56
2025-06-19,1441.44,1449.77
2025-06-20,1475.35,1441.44
2025-06-23,1478.19,1475.35
2025-06-24,1489.92,1478.19
2025-06-25,1463.65,1489.92
2025-06-26,1434.59,1463.65
