date,vwap,prev_vwap
2025-01-01,1475.11,
2025-01-02,1489.33,1475.11
2025-01-03,1496.27,1489.33
2025-01-06,1435.17,1496.27
2025-01-07,1436.24,1435.17
2025-01-08,1427.95,1436.24
2025-01-09,1417.37,1427.95
2025-01-10,1367.48,1417.37
2025-01-13,1279.13,1367.48
2025-01-14,1396.42,1279.13
2025-01-15,1383.55,1396.42
2025-01-16,1404.76,1383.55
2025-01-17,1388.24,1404.76
2025-01-20,1402.77,1388.24
2025-01-21,1414.87,1402.77
2025-01-22,1387.68,1414.87
2025-01-23,1410.26,1387.68
2025-01-24,1390.61,1410.26
2025-01-27,1336.22,1390.61
2025-01-28,1288.8,1336.22
2025-01-29,1322.88,1288.8
2025-01-30,1451.5,1322.88
2025-01-31,1452.07,1451.5
2025-02-01,1477.77,1452.07
2025-02-03,1386.5,1477.77
2025-02-04,1369.74,1386.5
2025-02-05,1377.22,1369.74
2025-02-06,1359.43,1377.22
2025-02-07,1352.82,1359.43
2025-02-10,1335.31,1352.82
2025-02-11,1294.93,1335.31
2025-02-12,1243.13,1294.93
2025-02-13,1245.92,1243.13
2025-02-14,1179.08,1245.92
2025-02-17,1145.01,1179.08
2025-02-18,1109.71,1145.01
2025-02-19,1166.52,1109.71
2025-02-20,1195.07,1166.52
2025-02-21,1201.85,1195.07
2025-02-24,1175.53,1201.85
2025-02-25,1173.68,1175.53
2025-02-27,1137.83,1173.68
2025-02-28,1086.16,1137.83
2025-03-03,1047.65,1086.16
2025-03-04,1079.07,1047.65
2025-03-05,1087.2,1079.07
2025-03-06,1110.83,1087.2
2025-03-07,1135.8,1110.83
2025-03-10,1114.69,1135.8
2025-03-11,1076.64,1114.69
2025-03-12,1065.57,1076.64
2025-03-13,1044.52,1065.57
2025-03-17,1034.96,1044.52
2025-03-18,1068.72,1034.96
2025-03-19,1115.47,1068.72
2025-03-20,1129.71,1115.47
2025-03-21,1188.32,1129.71
2025-03-24,1277.74,1188.32
2025-03-25,1225.03,1277.74
2025-03-26,1200.07,1225.03
2025-03-27,1176.74,1200.07
2025-03-28,1185.01,1176.74
2025-04-01,1179.62,1185.01
2025-04-02,1171.03,1179.62
2025-04-03,1180.45,1171.03
2025-04-04,1145.98,1180.45
2025-04-07,1057.22,1145.98
2025-04-08,1108.81,1057.22
2025-04-09,1087.36,1108.81
2025-04-11,1144.25,1087.36
2025-04-15,1178.46,1144.25
2025-04-16,1249.41,1178.46
2025-04-17,1238.28,1249.41
2025-04-21,1247.12,1238.28
2025-04-22,1251.24,1247.12
2025-04-23,1248.75,1251.24
2025-04-24,1241.65,1248.75
2025-04-25,1198.04,1241.65
2025-04-28,1199.46,1198.04
2025-04-29,1205.12,1199.46
2025-04-30,1175.37,1205.12
2025-05-02,1156.08,1175.37
2025-05-05,1173.62,1156.08
2025-05-06,1171.82,1173.62
2025-05-07,1133.62,1171.82
2025-05-08,1143.5,1133.62
2025-05-09,1091.82,1143.5
2025-05-12,1183.77,1091.82
2025-05-13,1232.21,1183.77
2025-05-14,1245.88,1232.21
2025-05-15,1259.2,1245.88
2025-05-16,1287.14,1259.2
2025-05-19,1288.82,1287.14
2025-05-20,1282.64,1288.82
2025-05-21,1267.99,1282.64
2025-05-22,1263.34,1267.99
2025-05-23,1296.94,1263.34
2025-05-26,1327.95,1296.94
2025-05-27,1264.96,1327.95
2025-05-28,1244.53,1264.96
2025-05-29,1203.36,1244.53
2025-05-30,1231.81,1203.36
2025-06-02,1247.96,1231.81
2025-06-03,1239.27,1247.96
2025-06-04,1232.99,1239.27
2025-06-05,1229.48,1232.99
2025-06-06,1223.72,1229.48
2025-06-09,1234.93,1223.72
2025-06-10,1222.1,1234.93
2025-06-11,1221.52,1222.1
2025-06-12,1210.56,1221.52
2025-06-13,1190.65,1210.56
2025-06-16,1176.71,1190.65
2025-06-17,1179.51,1176.71
2025-06-18,1169.34,1179.51
2025-06-19,1157.31,1169.34
2025-06-20,1150.44,1157.31
2025-06-23,1147.06,1150.44
2025-06-24,1164.02,1147.06
2025-06-25,1187.3,1164.02
2025-06-26,1189.58,1187.3
2025-06-27,1176.66,1189.58
2025-06-30,1171.53,1176.66
2025-07-01,1222.43,1171.53
2025-07-02,1216.97,1222.43
2025-07-03,1214.55,1216.97
2025-07-04,1203.68,1214.55
2025-07-07,1197.89,1203.68
2025-07-08,1206.54,1197.89
2025-07-09,1206.7,1206.54
2025-07-10,1246.29,1206.7
2025-07-11,1231.37,1246.29
2025-07-14,1218.33,1231.37
2025-07-15,1229.22,1218.33
2025-07-16,1251.44,1229.22
2025-07-17,1278.83,1251.44
2025-07-18,1272.97,1278.83
2025-07-21,1271.33,1272.97
2025-07-22,1275.19,1271.33
2025-07-23,1312.76,1275.19
2025-07-24,1467.56,1312.76
2025-07-25,1496.94,1467.56
2025-07-28,1460.34,1496.94
2025-07-29,1431.24,1460.34
2025-07-30,1426.22,1431.24
2025-07-31,1425.65,1426.22
2025-08-01,1454.05,1425.65
2025-08-04,1441.93,1454.05
2025-08-05,1451.84,1441.93
2025-08-06,1424.53,1451.84
2025-08-07,1439.86,1424.53
2025-08-08,1420.56,1439.86
2025-08-11,1427.18,1420.56
2025-08-12,1444.38,1427.18
2025-08-13,1482.02,1444.38
2025-08-14,1469.86,1482.02
2025-08-18,1463.01,1469.86
2025-08-19,1518.43,1463.01
2025-08-20,1532.04,1518.43
2025-08-21,1535.71,1532.04
2025-08-22,1571.4,1535.71
2025-08-25,1638.16,1571.4
2025-08-26,1600.42,1638.16
2025-08-28,1529.5,1600.42
2025-08-29,1537.19,1529.5
2025-09-01,1564.15,1537.19
2025-09-02,1584.49,1564.15
2025-09-03,1592.97,1584.49
2025-09-04,1572.34,1592.97
2025-09-05,1539.57,1572.34
2025-09-08,1525.53,1539.57
2025-09-09,1543.16,1525.53
2025-09-10,1597.99,1543.16
2025-09-11,1637.79,1597.99
2025-09-12,1634.81,1637.79
2025-09-15,1654.63,1634.81
2025-09-16,1634.39,1654.63
2025-09-17,1661.35,1634.39
2025-09-18,1669.06,1661.35
2025-09-19,1645.88,1669.06
2025-09-22,1668.42,1645.88
2025-09-23,1681.03,1668.42
2025-09-24,1654.03,1681.03
2025-09-25,1618.36,1654.03
2025-09-26,1575.42,1618.36
2025-09-29,1576.12,1575.42
2025-09-30,1551.49,1576.12
2025-10-01,1558.3,1551.49
2025-10-03,1548.31,1558.3
2025-10-06,1558.73,1548.31
2025-10-07,1545.5,1558.73
2025-10-08,1538.44,1545.5
2025-10-09,1530.07,1538.44
2025-10-10,1527.37,1530.07
2025-10-13,1484.44,1527.37
2025-10-14,1441.58,1484.44
2025-10-15,1469.04,1441.58
2025-10-16,1453.53,1469.04
2025-10-17,1435.24,1453.53
2025-10-20,1434.28,1435.24
2025-10-21,1446.34,1434.28
2025-10-23,1435.05,1446.34
2025-10-24,1415,1435.05
2025-10-27,1426.23,1415
2025-10-28,1466.33,1426.23
2025-10-29,1525.76,1466.33
2025-10-30,1526.03,1525.76
2025-10-31,1544.38,1526.03
2025-11-03,1530.95,1544.38
2025-11-04,1525.05,1530.95
2025-11-06,1514.94,1525.05
2025-11-07,1506.78,1514.94
2025-11-10,1499.68,1506.78
2025-11-11,1428.84,1499.68
2025-11-12,1427.51,1428.84
2025-11-13,1443.5,1427.51
2025-11-14,1409.66,1443.5
2025-11-17,1410.59,1409.66
2025-11-18,1384.9,1410.59
2025-11-19,1382.88,1384.9
2025-11-20,1389.72,1382.88
2025-11-21,1346.15,1389.72
2025-11-24,1285.33,1346.15
2025-11-25,1273.62,1285.33
2025-11-26,1284.57,1273.62
2025-11-27,1285.34,1284.57
2025-11-28,1258.13,1285.34
2025-12-01,1261.29,1258.13
2025-12-02,1243.34,1261.29
2025-12-03,1221.6,1243.34
2025-12-04,1226.22,1221.6
2025-12-05,1215.2,1226.22
2025-12-08,1183.45,1215.2
2025-12-09,1195.98,1183.45
2025-12-10,1200.19,1195.98
2025-12-11,1187.72,1200.19
2025-12-12,1209.2,1187.72
2025-12-15,1218.34,1209.2
2025-12-16,1204.41,1218.34
2025-12-17,1170.92,1204.41
2025-12-18,1140.87,1170.92
2025-12-19,1156.98,1140.87
2025-12-22,1192.99,1156.98
2025-12-23,1195.89,1192.99
2025-12-24,1247.99,1195.89
2025-12-26,1239.95,1247.99
2025-12-29,1209.39,1239.95
2025-12-30,1205.16,1209.39
2025-12-31,1202.17,1205.16
2026-01-01,1202.6,1202.17
2026-01-02,1257.57,1202.6
2026-01-05,1246.38,1257.57
2026-01-06,1210.25,1246.38
2026-01-07,1214.33,1210.25
2026-01-08,1192.81,1214.33
2026-01-09,1165.71,1192.81
2026-01-12,1132.91,1165.71
2026-01-13,1138.05,1132.91
2026-01-14,1116.69,1138.05
2026-01-16,1117.63,1116.69
2026-01-19,1088.41,1117.63
2026-01-20,1054.32,1088.41
2026-01-21,1027.18,1054.32
2026-01-22,1031.27,1027.18
2026-01-23,999.35,1031.27
2026-01-27,980.12,999.35
2026-01-28,1062.21,980.12
2026-01-29,1064.04,1062.21
2026-01-30,1076.13,1064.04
2026-02-01,1100.69,1076.13
2026-02-02,1067.73,1100.69
2026-02-03,1070.12,1067.73
2026-02-04,1065.81,1070.12
2026-02-05,1052.21,1065.81
2026-02-06,1022.36,1052.21
2026-02-09,1048.04,1022.36
2026-02-10,1069.75,1048.04
2026-02-11,1051.37,1069.75
2026-02-12,1033.72,1051.37
2026-02-13,1019.24,1033.72
2026-02-16,1026.3,1019.24
2026-02-17,1026.38,1026.3
2026-02-18,1031.57,1026.38
2026-02-19,1018.16,1031.57
2026-02-20,1011.88,1018.16
2026-02-23,1036.44,1011.88
2026-02-24,1020.99,1036.44
2026-02-25,1015.99,1020.99
2026-02-26,1014.99,1015.99
2026-02-27,1001.43,1014.99
2026-03-02,958.5,1001.43
2026-03-04,914.74,958.5
2026-03-05,920.03,914.74
2026-03-06,920.4,920.03
2026-03-09,887.21,920.4
2026-03-10,921.71,887.21
2026-03-11,914.88,921.71
2026-03-12,897.62,914.88
2026-03-13,884.66,897.62
2026-03-16,885.44,884.66
2026-03-17,904.01,885.44
2026-03-18,1022.7,904.01
2026-03-19,1016.42,1022.7
2026-03-20,1093.98,1016.42
2026-03-23,1051.08,1093.98
2026-03-24,1087.26,1051.08
2026-03-25,1079.21,1087.26
