date,vwap,prev_vwap
2025-01-01,90.46,
2025-01-02,91.38,90.46
2025-01-03,90.78,91.38
2025-01-06,88.65,90.78
2025-01-07,89.74,88.65
2025-01-08,89.45,89.74
2025-01-09,87.94,89.45
2025-01-10,86.93,87.94
2025-01-13,84.55,86.93
2025-01-14,84.64,84.55
2025-01-15,84.22,84.64
2025-01-16,85.36,84.22
2025-01-17,86.07,85.36
2025-01-20,88.63,86.07
2025-01-21,89.06,88.63
2025-01-22,88.47,89.06
2025-01-23,89.63,88.47
2025-01-24,88.35,89.63
2025-01-27,85.64,88.35
2025-01-28,83.19,85.64
2025-01-29,85.04,83.19
2025-01-30,85.32,85.04
2025-01-31,85.04,85.32
2025-02-01,85.27,85.04
2025-02-03,85,85.27
2025-02-04,84.99,85
2025-02-05,83.99,84.99
2025-02-06,83.86,83.99
2025-02-07,83.88,83.86
2025-02-10,82.54,83.88
2025-02-11,80.7,82.54
2025-02-12,83.81,80.7
2025-02-13,84.85,83.81
2025-02-14,83.06,84.85
2025-02-17,81.63,83.06
2025-02-18,80.94,81.63
2025-02-19,83.6,80.94
2025-02-20,85.39,83.6
2025-02-21,86.93,85.39
2025-02-24,86.77,86.93
2025-02-25,88,86.77
2025-02-27,87.13,88
2025-02-28,87.42,87.13
2025-03-03,85.63,87.42
2025-03-04,85.96,85.63
2025-03-05,86.48,85.96
2025-03-06,87.18,86.48
2025-03-07,86.99,87.18
2025-03-10,86.6,86.99
2025-03-11,85.33,86.6
2025-03-12,83.51,85.33
2025-03-13,83.49,83.51
2025-03-17,83.89,83.49
2025-03-18,83.47,83.89
2025-03-19,83.17,83.47
2025-03-20,84.08,83.17
2025-03-21,87.66,84.08
2025-03-24,89.3,87.66
2025-03-25,89.12,89.3
2025-03-26,89.4,89.12
2025-03-27,89.58,89.4
2025-03-28,88.82,89.58
2025-04-01,89.41,88.82
2025-04-02,92.65,89.41
2025-04-03,93.87,92.65
2025-04-04,92.85,93.87
2025-04-07,87.87,92.85
2025-04-08,90.1,87.87
2025-04-09,87,90.1
2025-04-11,89.2,87
2025-04-15,92.51,89.2
2025-04-16,97.38,92.51
2025-04-17,97.95,97.38
2025-04-21,100.88,97.95
2025-04-22,103.12,100.88
2025-04-23,106.92,103.12
2025-04-24,107.71,106.92
2025-04-25,106.49,107.71
2025-04-28,105.98,106.49
2025-04-29,103.63,105.98
2025-04-30,102.24,103.63
2025-05-02,101.38,102.24
2025-05-05,99.57,101.38
2025-05-06,97.19,99.57
2025-05-07,96.55,97.19
2025-05-08,100.71,96.55
2025-05-09,97.47,100.71
2025-05-12,101.37,97.47
2025-05-13,100.33,101.37
2025-05-14,107.38,100.33
2025-05-15,108.02,107.38
2025-05-16,107.66,108.02
2025-05-19,108.78,107.66
2025-05-20,105.52,108.78
2025-05-21,104.65,105.52
2025-05-22,105.34,104.65
2025-05-23,106.25,105.34
2025-05-26,107.02,106.25
2025-05-27,106.52,107.02
2025-05-28,109.25,106.52
2025-05-29,109.76,109.25
2025-05-30,112.83,109.76
2025-06-02,114.06,112.83
2025-06-03,113.47,114.06
2025-06-04,112.48,113.47
2025-06-05,112.94,112.48
2025-06-06,114.13,112.94
2025-06-09,115.44,114.13
2025-06-10,113.99,115.44
2025-06-11,113.45,113.99
2025-06-12,111.86,113.45
2025-06-13,109.45,111.86
2025-06-16,107.89,109.45
2025-06-17,108.17,107.89
2025-06-18,107.68,108.17
2025-06-19,105.43,107.68
2025-06-20,103.5,105.43
2025-06-23,103.73,103.5
2025-06-24,106.7,103.73
2025-06-25,108.15,106.7
2025-06-26,105.24,108.15
2025-06-27,106.53,105.24
2025-06-30,109.75,106.53
2025-07-01,109.89,109.75
2025-07-02,107.11,109.89
2025-07-03,110.54,107.11
2025-07-04,110.9,110.54
2025-07-07,112.2,110.9
2025-07-08,111.32,112.2
2025-07-09,112.29,111.32
2025-07-10,114.61,112.29
2025-07-11,116.96,114.61
2025-07-14,117.43,116.96
2025-07-15,118.41,117.43
2025-07-16,118.17,118.41
2025-07-17,117.97,118.17
2025-07-18,115.84,117.97
2025-07-21,114.56,115.84
2025-07-22,117.21,114.56
2025-07-23,118.31,117.21
2025-07-24,116.16,118.31
2025-07-25,109.45,116.16
2025-07-28,111.58,109.45
2025-07-29,107.67,111.58
2025-07-30,106.79,107.67
2025-07-31,105.58,106.79
2025-08-01,102.99,105.58
2025-08-04,102.54,102.99
2025-08-05,104.18,102.54
2025-08-06,102.87,104.18
2025-08-07,102.16,102.87
2025-08-08,102.49,102.16
2025-08-11,101.76,102.49
2025-08-12,103.35,101.76
2025-08-13,102.88,103.35
2025-08-14,104.93,102.88
2025-08-18,107.89,104.93
2025-08-19,110.76,107.89
2025-08-20,111.73,110.76
2025-08-21,113.46,111.73
2025-08-22,113.88,113.46
2025-08-25,112.23,113.88
2025-08-26,109.42,112.23
2025-08-28,105.95,109.42
2025-08-29,105.93,105.95
2025-09-01,107.8,105.93
2025-09-02,104.6,107.8
2025-09-03,107.52,104.6
2025-09-04,106.97,107.52
2025-09-05,106.68,106.97
2025-09-08,106.95,106.68
2025-09-09,106.3,106.95
2025-09-10,106.86,106.3
2025-09-11,106.67,106.86
2025-09-12,106.7,106.67
2025-09-15,106.63,106.7
2025-09-16,106.79,106.63
2025-09-17,108.16,106.79
2025-09-18,108.04,108.16
2025-09-19,107.3,108.04
2025-09-22,108.82,107.3
2025-09-23,111.8,108.82
2025-09-24,111.91,111.8
2025-09-25,110.15,111.91
2025-09-26,107.62,110.15
2025-09-29,107.21,107.62
2025-09-30,106.83,107.21
2025-10-01,108.02,106.83
2025-10-03,108.43,108.02
2025-10-06,110.73,108.43
2025-10-07,111.33,110.73
2025-10-08,109.31,111.33
2025-10-09,108.67,109.31
2025-10-10,108.92,108.67
2025-10-13,106.52,108.92
2025-10-14,106.32,106.52
2025-10-15,108.22,106.32
2025-10-16,108.21,108.22
2025-10-17,111.56,108.21
