date,vwap,prev_vwap
2025-01-01,1345.32,
2025-01-02,1384.09,1345.32
2025-01-03,1400.9,1384.09
2025-01-06,1369.08,1400.9
2025-01-07,1363.48,1369.08
2025-01-08,1366.27,1363.48
2025-01-09,1336.05,1366.27
2025-01-10,1270.41,1336.05
2025-01-13,1210.42,1270.41
2025-01-14,1150.69,1210.42
2025-01-15,1125.23,1150.69
2025-01-16,1153.3,1125.23
2025-01-17,1142.2,1153.3
2025-01-20,1115.46,1142.2
2025-01-21,1101.71,1115.46
2025-01-22,1071.97,1101.71
2025-01-23,1104.01,1071.97
2025-01-24,1117.26,1104.01
2025-01-27,1090.77,1117.26
2025-01-28,1099.17,1090.77
2025-01-29,1146.73,1099.17
2025-01-30,1180.24,1146.73
2025-01-31,1199.74,1180.24
2025-02-01,1211.01,1199.74
2025-02-03,1250.08,1211.01
2025-02-04,1271.44,1250.08
2025-02-05,1300.17,1271.44
2025-02-06,1284.11,1300.17
2025-02-07,1266.36,1284.11
2025-02-10,1297.53,1266.36
2025-02-11,1289.66,1297.53
2025-02-12,1273.52,1289.66
2025-02-13,1235.82,1273.52
2025-02-14,1184.75,1235.82
2025-02-17,1124.04,1184.75
2025-02-18,1108.25,1124.04
2025-02-19,1111.32,1108.25
2025-02-20,1102.95,1111.32
2025-02-21,1097.09,1102.95
2025-02-24,1088.44,1097.09
2025-02-25,1089.73,1088.44
2025-02-27,1085.89,1089.73
2025-02-28,1057.65,1085.89
2025-03-03,1041.49,1057.65
2025-03-04,1037.63,1041.49
2025-03-05,1048.03,1037.63
2025-03-06,1023.8,1048.03
2025-03-07,1035.12,1023.8
2025-03-10,1054.48,1035.12
2025-03-11,1069.55,1054.48
2025-03-12,1088.59,1069.55
2025-03-13,1082.22,1088.59
2025-03-17,1075.31,1082.22
2025-03-18,1082.28,1075.31
2025-03-19,1094.85,1082.28
2025-03-20,1106.81,1094.85
2025-03-21,1162.29,1106.81
2025-03-24,1164.87,1162.29
2025-03-25,1147.33,1164.87
