date,vwap,prev_vwap
2025-01-01,1678.07,
2025-01-02,1686.71,1678.07
2025-01-03,1652.98,1686.71
2025-01-06,1574.49,1652.98
2025-01-07,1586.53,1574.49
2025-01-08,1539.12,1586.53
2025-01-09,1496.69,1539.12
2025-01-10,1415.7,1496.69
2025-01-13,1338.65,1415.7
2025-01-14,1315.93,1338.65
2025-01-15,1282.6,1315.93
2025-01-16,1323.43,1282.6
2025-01-17,1292.89,1323.43
2025-01-20,1294.33,1292.89
2025-01-21,1291.57,1294.33
2025-01-22,1215.91,1291.57
2025-01-23,1210.15,1215.91
2025-01-24,1132.99,1210.15
2025-01-27,1074.97,1132.99
2025-01-28,1022.85,1074.97
2025-01-29,1074.96,1022.85
2025-01-30,1036.51,1074.96
2025-01-31,1068.69,1036.51
2025-02-01,1063.29,1068.69
2025-02-03,995.86,1063.29
2025-02-04,1085.45,995.86
2025-02-05,1112.93,1085.45
2025-02-06,1103.71,1112.93
2025-02-07,1100.43,1103.71
2025-02-10,1036.83,1100.43
2025-02-11,996,1036.83
2025-02-12,972.44,996
2025-02-13,979.37,972.44
2025-02-14,928.13,979.37
2025-02-17,914.2,928.13
2025-02-18,896.41,914.2
2025-02-19,971.99,896.41
2025-02-20,1006.84,971.99
2025-02-21,1003.5,1006.84
2025-02-24,984.12,1003.5
2025-02-25,969.25,984.12
2025-02-27,936.47,969.25
2025-02-28,951.26,936.47
2025-03-03,928.78,951.26
2025-03-04,940.69,928.78
2025-03-05,954.48,940.69
2025-03-06,959.35,954.48
2025-03-07,967.97,959.35
2025-03-10,920.2,967.97
2025-03-11,894.04,920.2
2025-03-12,904.84,894.04
2025-03-13,902.83,904.84
2025-03-17,923.11,902.83
2025-03-18,940.85,923.11
2025-03-19,1026.7,940.85
2025-03-20,1002.16,1026.7
2025-03-21,1020.38,1002.16
2025-03-24,1066.32,1020.38
2025-03-25,1021.76,1066.32
2025-03-26,1015.08,1021.76
2025-03-27,1012.05,1015.08
2025-03-28,1024.99,1012.05
2025-04-01,1025.4,1024.99
2025-04-02,1017.94,1025.4
2025-04-03,1021.69,1017.94
2025-04-04,989.79,1021.69
2025-04-07,911.88,989.79
2025-04-08,940.12,911.88
2025-04-09,921.62,940.12
2025-04-11,973.45,921.62
2025-04-15,1025.09,973.45
2025-04-16,1031.22,1025.09
2025-04-17,1069.55,1031.22
2025-04-21,1130.86,1069.55
2025-04-22,1122.18,1130.86
2025-04-23,1116.72,1122.18
2025-04-24,1112.77,1116.72
2025-04-25,1082,1112.77
2025-04-28,1088.12,1082
2025-04-29,1103.01,1088.12
2025-04-30,1076.6,1103.01
2025-05-02,1064.06,1076.6
2025-05-05,1078.3,1064.06
2025-05-06,1059.78,1078.3
2025-05-07,1059.97,1059.78
2025-05-08,1092.24,1059.97
2025-05-09,1059.77,1092.24
2025-05-12,1120.72,1059.77
2025-05-13,1121.09,1120.72
2025-05-14,1177.21,1121.09
2025-05-15,1213.13,1177.21
2025-05-16,1250.99,1213.13
2025-05-19,1282.41,1250.99
2025-05-20,1248.15,1282.41
2025-05-21,1238.7,1248.15
2025-05-22,1233.74,1238.7
2025-05-23,1222.12,1233.74
2025-05-26,1276.07,1222.12
2025-05-27,1266.32,1276.07
2025-05-28,1402.92,1266.32
2025-05-29,1440.53,1402.92
2025-05-30,1437.6,1440.53
2025-06-02,1449.97,1437.6
2025-06-03,1468.61,1449.97
2025-06-04,1513.7,1468.61
2025-06-05,1516.88,1513.7
2025-06-06,1490.52,1516.88
