date,vwap,prev_vwap
2025-01-01,121.92,
2025-01-02,120.43,121.92
2025-01-03,124.93,120.43
2025-01-06,115.69,124.93
2025-01-07,114.18,115.69
2025-01-08,111.65,114.18
2025-01-09,109.19,111.65
2025-01-10,104.94,109.19
2025-01-13,103.08,104.94
2025-01-14,103.49,103.08
2025-01-15,105.99,103.49
2025-01-16,110.12,105.99
2025-01-17,108.72,110.12
2025-01-20,111.15,108.72
2025-01-21,110.42,111.15
2025-01-22,109.28,110.42
2025-01-23,109.74,109.28
2025-01-24,107.94,109.74
2025-01-27,105.7,107.94
2025-01-28,110.45,105.7
2025-01-29,112.38,110.45
2025-01-30,112.01,112.38
2025-01-31,114.25,112.01
2025-02-01,114.21,114.25
2025-02-03,109.6,114.21
2025-02-04,113.2,109.6
2025-02-05,118.91,113.2
2025-02-06,119.24,118.91
2025-02-07,119.49,119.24
2025-02-10,115.53,119.49
2025-02-11,111.92,115.53
2025-02-12,112.82,111.92
2025-02-13,114.13,112.82
2025-02-14,110.49,114.13
2025-02-17,108.15,110.49
2025-02-18,108.2,108.15
2025-02-19,113.63,108.2
2025-02-20,116.42,113.63
2025-02-21,116.05,116.42
2025-02-24,116.06,116.05
2025-02-25,116.33,116.06
2025-02-27,115.77,116.33
2025-02-28,112.1,115.77
2025-03-03,109.49,112.1
2025-03-04,112.17,109.49
2025-03-05,115.61,112.17
2025-03-06,117.02,115.61
2025-03-07,117.4,117.02
2025-03-10,116.32,117.4
2025-03-11,114.08,116.32
2025-03-12,113.89,114.08
2025-03-13,114.09,113.89
2025-03-17,113.06,114.09
2025-03-18,115.91,113.06
2025-03-19,119.48,115.91
2025-03-20,119.46,119.48
2025-03-21,121.14,119.46
2025-03-24,126.03,121.14
2025-03-25,124.98,126.03
2025-03-26,121.9,124.98
2025-03-27,123.88,121.9
2025-03-28,126.54,123.88
2025-04-01,124.7,126.54
2025-04-02,126.03,124.7
2025-04-03,130.17,126.03
2025-04-04,126.06,130.17
2025-04-07,116.46,126.06
2025-04-08,119.88,116.46
2025-04-09,117.61,119.88
2025-04-11,118.67,117.61
2025-04-15,121.19,118.67
2025-04-16,125.6,121.19
2025-04-17,126.57,125.6
2025-04-21,128.95,126.57
2025-04-22,129.25,128.95
2025-04-23,127.43,129.25
2025-04-24,128.69,127.43
2025-04-25,125.41,128.69
2025-04-28,127.97,125.41
2025-04-29,129.14,127.97
2025-04-30,126.27,129.14
2025-05-02,126.4,126.27
2025-05-05,126.12,126.4
2025-05-06,121.01,126.12
2025-05-07,119.47,121.01
2025-05-08,117.42,119.47
2025-05-09,121.29,117.42
2025-05-12,127.77,121.29
2025-05-13,130.69,127.77
